filename,model_type,network,num_nodes,num_possible_sources,avg_num_sources,avg_portion_affected,accuracy,avg rank of source,avg norm rank of source,avg prediction for source,avg prediction over all nodes,min prediction over all nodes,max prediction over all nodes,source in top 5,source in top 20,source in top 40,source in top 80,pdgrapher_perturbation_discovery,pdgrapher_response_prediction,gene_specific_metrics
baseline_advanced_random_1118_1931,advanced_random,dorothea_500_1000,,,,,0.001,243.193,0.486,0.002,0.002,0.0,0.004,0.008,0.041,0.079,0.167,,,
baseline_advanced_random_1118_1946,advanced_random,dorothea_500_1000,,,,,0.001,243.193,0.486,0.002,0.002,0.0,0.004,0.008,0.041,0.079,0.167,,,
baseline_advanced_random_1119_1058,advanced_random,dorothea_500_1000,,,,,0.001,243.193,0.486,0.002,0.002,0.0,0.004,0.008,0.041,0.079,0.167,,,
baseline_advanced_random_1119_1139,advanced_random,dorothea_500_1000,,,,,0.001,243.193,0.486,0.002,0.002,0.0,0.004,0.008,0.041,0.079,0.167,,,
baseline_advanced_random_1119_1344,advanced_random,dorothea_500_1000,,,,,0.001,243.193,0.486,0.002,0.002,0.0,0.004,0.008,0.041,0.079,0.167,,,
baseline_overlap_1118_1931,overlap,dorothea_500_1000,,,,,0.004,253.102,0.506,0.002,0.002,0.002,0.002,0.013,0.04,0.084,0.158,,,
baseline_overlap_1118_1946,overlap,dorothea_500_1000,,,,,0.004,253.102,0.506,0.002,0.002,0.002,0.002,0.013,0.04,0.084,0.158,,,
baseline_overlap_1119_1058,overlap,dorothea_500_1000,,,,,0.004,253.102,0.506,0.002,0.002,0.002,0.002,0.013,0.04,0.084,0.158,,,
baseline_overlap_1119_1139,overlap,dorothea_500_1000,,,,,0.004,253.102,0.506,0.002,0.002,0.002,0.002,0.013,0.04,0.084,0.158,,,
baseline_overlap_1119_1344,overlap,dorothea_500_1000,,,,,0.004,253.102,0.506,0.002,0.002,0.002,0.002,0.013,0.04,0.084,0.158,,,
baseline_random_1118_1931,random,dorothea_500_1000,,,,,0.001,243.193,0.486,0.002,0.002,0.0,0.004,0.008,0.041,0.079,0.167,,,
baseline_random_1118_1946,random,dorothea_500_1000,,,,,0.001,243.193,0.486,0.002,0.002,0.0,0.004,0.008,0.041,0.079,0.167,,,
baseline_random_1119_1058,random,dorothea_500_1000,,,,,0.001,243.193,0.486,0.002,0.002,0.0,0.004,0.008,0.041,0.079,0.167,,,
baseline_random_1119_1139,random,dorothea_500_1000,,,,,0.001,243.193,0.486,0.002,0.002,0.0,0.004,0.008,0.041,0.079,0.167,,,
baseline_random_1119_1344,random,dorothea_500_1000,,,,,0.001,243.193,0.486,0.002,0.002,0.0,0.004,0.008,0.041,0.079,0.167,,,
baseline_smallestSuperset_1118_1931,smallestSuperset,dorothea_500_1000,,,,,0.004,253.102,0.506,0.002,0.002,0.002,0.002,0.013,0.04,0.084,0.158,,,
baseline_smallestSuperset_1118_1946,smallestSuperset,dorothea_500_1000,,,,,0.004,253.102,0.506,0.002,0.002,0.002,0.002,0.013,0.04,0.084,0.158,,,
baseline_smallestSuperset_1119_1058,smallestSuperset,dorothea_500_1000,,,,,0.004,253.102,0.506,0.002,0.002,0.002,0.002,0.013,0.04,0.084,0.158,,,
baseline_smallestSuperset_1119_1139,smallestSuperset,dorothea_500_1000,,,,,0.004,253.102,0.506,0.002,0.002,0.002,0.002,0.013,0.04,0.084,0.158,,,
baseline_smallestSuperset_1119_1344,smallestSuperset,dorothea_500_1000,,,,,0.004,253.102,0.506,0.002,0.002,0.002,0.002,0.013,0.04,0.084,0.158,,,
pdgrapher_1118_1927,pdgrapher,dorothea_500_1000,500.0,279.0,1.0,0.505,0.009,134.122,0.268,0.251,0.006,-0.796,2.274,0.031,0.105,0.194,0.345,"{'recall@1': 0.0035, 'recall@10': 0.0277, 'recall@100': 0.3386, 'recall@1000': 1.0, 'ranking_score': 0.7, 'ranking_score_dcg': 0.117, 'perc_partially_accurate_predictions': 0.35, 'recall@1_std': 0.0592, 'recall@10_std': 0.1641, 'recall@100_std': 0.4732, 'recall@1000_std': 0.0, 'ranking_score_std': 0.1842, 'ranking_score_dcg_std': 0.0848, 'perc_partially_accurate_predictions_std': 5.92, 'total_samples': 2274, 'avg_topk': 350.022}","{'forward_mae': -1, 'forward_mse': -1, 'forward_r2': -1, 'forward_r2_scgen': -1, 'forward_spearman': -1, 'backward_mae': -1, 'backward_mse': -1, 'backward_r2': -1, 'backward_r2_scgen': -1, 'backward_spearman': -1, 'backward_avg_topk': -1}","{'IRF3': {'gene_name': 'IRF3', 'gene_index': 195, 'total_samples': 2274, 'times_true_source': 0, 'times_predicted_source': 0, 'correct_predictions': 0, 'avg_prediction_prob': -0.261, 'avg_rank': 0.0, 'in_top20_count': 0, 'in_top40_count': 0, 'in_top80_count': 0, 'avg_rank_when_true': None, 'avg_prob_when_true': None, 'in_top20_when_true': 0, 'in_top40_when_true': 0, 'in_top80_when_true': 0, 'accuracy_when_true': None, 'precision': None, 'recall': None, 'f1_score': None}, 'ATF7': {'gene_name': 'ATF7', 'gene_index': 15, 'total_samples': 2274, 'times_true_source': 3, 'times_predicted_source': 240, 'correct_predictions': 1, 'avg_prediction_prob': 0.785, 'avg_rank': 0.0, 'in_top20_count': 0, 'in_top40_count': 0, 'in_top80_count': 0, 'avg_rank_when_true': 32.333, 'avg_prob_when_true': 0.823, 'in_top20_when_true': 2, 'in_top40_when_true': 2, 'in_top80_when_true': 2, 'accuracy_when_true': 0.333, 'precision': 0.004, 'recall': 0.333, 'f1_score': 0.008}, 'SREBF2': {'gene_name': 'SREBF2', 'gene_index': 402, 'total_samples': 2274, 'times_true_source': 10, 'times_predicted_source': 46, 'correct_predictions': 0, 'avg_prediction_prob': 0.575, 'avg_rank': 0.0, 'in_top20_count': 0, 'in_top40_count': 0, 'in_top80_count': 0, 'avg_rank_when_true': 27.4, 'avg_prob_when_true': 0.723, 'in_top20_when_true': 5, 'in_top40_when_true': 9, 'in_top80_when_true': 9, 'accuracy_when_true': 0.0, 'precision': 0.0, 'recall': 0.0, 'f1_score': None}, 'MYC': {'gene_name': 'MYC', 'gene_index': 260, 'total_samples': 2274, 'times_true_source': 6, 'times_predicted_source': 21, 'correct_predictions': 0, 'avg_prediction_prob': 0.374, 'avg_rank': 0.0, 'in_top20_count': 0, 'in_top40_count': 0, 'in_top80_count': 0, 'avg_rank_when_true': 74.0, 'avg_prob_when_true': 0.451, 'in_top20_when_true': 2, 'in_top40_when_true': 2, 'in_top80_when_true': 4, 'accuracy_when_true': 0.0, 'precision': 0.0, 'recall': 0.0, 'f1_score': None}}"
pdgrapher_1118_1928,pdgrapher,dorothea_500_1000,500.0,279.0,1.0,0.505,0.009,134.122,0.268,0.251,0.006,-0.796,2.274,0.031,0.105,0.194,0.345,"{'recall@1': 0.0018, 'recall@10': 0.029, 'recall@100': 0.3382, 'recall@1000': 1.0, 'ranking_score': 0.7028, 'ranking_score_dcg': 0.1161, 'perc_partially_accurate_predictions': 0.18, 'recall@1_std': 0.0419, 'recall@10_std': 0.1679, 'recall@100_std': 0.4731, 'recall@1000_std': 0.0, 'ranking_score_std': 0.1814, 'ranking_score_dcg_std': 0.0761, 'perc_partially_accurate_predictions_std': 4.19, 'total_samples': 2274, 'avg_topk': 351.4063}","{'forward_mae': -1, 'forward_mse': -1, 'forward_r2': -1, 'forward_r2_scgen': -1, 'forward_spearman': -1, 'backward_mae': -1, 'backward_mse': -1, 'backward_r2': -1, 'backward_r2_scgen': -1, 'backward_spearman': -1, 'backward_avg_topk': -1}","{'IRF3': {'gene_name': 'IRF3', 'gene_index': 195, 'total_samples': 2274, 'times_true_source': 0, 'times_predicted_source': 0, 'correct_predictions': 0, 'avg_prediction_prob': -0.261, 'avg_rank': 0.0, 'in_top20_count': 0, 'in_top40_count': 0, 'in_top80_count': 0, 'avg_rank_when_true': None, 'avg_prob_when_true': None, 'in_top20_when_true': 0, 'in_top40_when_true': 0, 'in_top80_when_true': 0, 'accuracy_when_true': None, 'precision': None, 'recall': None, 'f1_score': None}, 'ATF7': {'gene_name': 'ATF7', 'gene_index': 15, 'total_samples': 2274, 'times_true_source': 3, 'times_predicted_source': 240, 'correct_predictions': 1, 'avg_prediction_prob': 0.785, 'avg_rank': 0.0, 'in_top20_count': 0, 'in_top40_count': 0, 'in_top80_count': 0, 'avg_rank_when_true': 32.333, 'avg_prob_when_true': 0.823, 'in_top20_when_true': 2, 'in_top40_when_true': 2, 'in_top80_when_true': 2, 'accuracy_when_true': 0.333, 'precision': 0.004, 'recall': 0.333, 'f1_score': 0.008}, 'SREBF2': {'gene_name': 'SREBF2', 'gene_index': 402, 'total_samples': 2274, 'times_true_source': 10, 'times_predicted_source': 46, 'correct_predictions': 0, 'avg_prediction_prob': 0.575, 'avg_rank': 0.0, 'in_top20_count': 0, 'in_top40_count': 0, 'in_top80_count': 0, 'avg_rank_when_true': 27.4, 'avg_prob_when_true': 0.723, 'in_top20_when_true': 5, 'in_top40_when_true': 9, 'in_top80_when_true': 9, 'accuracy_when_true': 0.0, 'precision': 0.0, 'recall': 0.0, 'f1_score': None}, 'MYC': {'gene_name': 'MYC', 'gene_index': 260, 'total_samples': 2274, 'times_true_source': 6, 'times_predicted_source': 21, 'correct_predictions': 0, 'avg_prediction_prob': 0.374, 'avg_rank': 0.0, 'in_top20_count': 0, 'in_top40_count': 0, 'in_top80_count': 0, 'avg_rank_when_true': 74.0, 'avg_prob_when_true': 0.451, 'in_top20_when_true': 2, 'in_top40_when_true': 2, 'in_top80_when_true': 4, 'accuracy_when_true': 0.0, 'precision': 0.0, 'recall': 0.0, 'f1_score': None}}"
