filename,model_type,network,num_nodes,num_possible_sources,avg_num_sources,avg_portion_affected,accuracy,avg rank of source,avg norm rank of source,avg prediction for source,avg prediction over all nodes,min prediction over all nodes,max prediction over all nodes,source in top 5,source in top 20,source in top 40,source in top 80,pdgrapher_perturbation_discovery,pdgrapher_response_prediction,gene_specific_metrics
baseline_advanced_random_1117_1351,advanced_random,dorothea_500_1000,,,,,0.002,144.578,0.289,0.004,0.002,0.0,0.009,0.018,0.07,0.15,0.306,,,
baseline_advanced_random_1117_1546,advanced_random,dorothea_500_1000,,,,,0.002,144.578,0.289,0.004,0.002,0.0,0.009,0.018,0.07,0.15,0.306,,,
baseline_advanced_random_1117_2328,advanced_random,dorothea_500_1000,,,,,0.002,144.578,0.289,0.004,0.002,0.0,0.009,0.018,0.07,0.15,0.306,,,
baseline_advanced_random_1118_0903,advanced_random,dorothea_500_1000,,,,,0.002,144.578,0.289,0.004,0.002,0.0,0.009,0.018,0.07,0.15,0.306,,,
baseline_advanced_random_1118_1004,advanced_random,dorothea_500_1000,,,,,0.002,144.578,0.289,0.004,0.002,0.0,0.009,0.018,0.07,0.15,0.306,,,
baseline_overlap_1117_1351,overlap,dorothea_500_1000,,,,,0.005,151.173,0.302,0.004,0.002,0.0,0.008,0.023,0.095,0.169,0.292,,,
baseline_overlap_1117_1546,overlap,dorothea_500_1000,,,,,0.005,151.173,0.302,0.004,0.002,0.0,0.008,0.023,0.095,0.169,0.292,,,
baseline_overlap_1117_2328,overlap,dorothea_500_1000,,,,,0.005,151.173,0.302,0.004,0.002,0.0,0.008,0.023,0.095,0.169,0.292,,,
baseline_overlap_1118_0903,overlap,dorothea_500_1000,,,,,0.005,151.173,0.302,0.004,0.002,0.0,0.008,0.023,0.095,0.169,0.292,,,
baseline_overlap_1118_1004,overlap,dorothea_500_1000,,,,,0.005,151.173,0.302,0.004,0.002,0.0,0.008,0.023,0.095,0.169,0.292,,,
baseline_random_1117_1351,random,dorothea_500_1000,,,,,0.001,243.193,0.486,0.002,0.002,0.0,0.004,0.008,0.041,0.079,0.167,,,
baseline_random_1117_1546,random,dorothea_500_1000,,,,,0.001,243.193,0.486,0.002,0.002,0.0,0.004,0.008,0.041,0.079,0.167,,,
baseline_random_1117_2328,random,dorothea_500_1000,,,,,0.001,243.193,0.486,0.002,0.002,0.0,0.004,0.008,0.041,0.079,0.167,,,
baseline_random_1118_0903,random,dorothea_500_1000,,,,,0.001,243.193,0.486,0.002,0.002,0.0,0.004,0.008,0.041,0.079,0.167,,,
baseline_random_1118_1004,random,dorothea_500_1000,,,,,0.001,243.193,0.486,0.002,0.002,0.0,0.004,0.008,0.041,0.079,0.167,,,
baseline_smallestSuperset_1117_1351,smallestSuperset,dorothea_500_1000,,,,,0.004,253.102,0.506,0.002,0.002,0.002,0.002,0.013,0.04,0.084,0.158,,,
baseline_smallestSuperset_1117_1546,smallestSuperset,dorothea_500_1000,,,,,0.004,253.102,0.506,0.002,0.002,0.002,0.002,0.013,0.04,0.084,0.158,,,
baseline_smallestSuperset_1117_2328,smallestSuperset,dorothea_500_1000,,,,,0.004,253.102,0.506,0.002,0.002,0.002,0.002,0.013,0.04,0.084,0.158,,,
baseline_smallestSuperset_1118_0903,smallestSuperset,dorothea_500_1000,,,,,0.004,253.102,0.506,0.002,0.002,0.002,0.002,0.013,0.04,0.084,0.158,,,
baseline_smallestSuperset_1118_1004,smallestSuperset,dorothea_500_1000,,,,,0.004,253.102,0.506,0.002,0.002,0.002,0.002,0.013,0.04,0.084,0.158,,,
