filename,model_type,network,num_nodes,num_possible_sources,avg_num_sources,avg_portion_affected,accuracy,avg rank of source,avg norm rank of source,avg prediction for source,avg prediction over all nodes,min prediction over all nodes,max prediction over all nodes,source in top 5,source in top 20,source in top 40,source in top 80,pdgrapher_perturbation_discovery,pdgrapher_response_prediction,gene_specific_metrics
baseline_advanced_random_1117_1348,advanced_random,dorothea_500_1000,,,,,0.001,243.193,0.486,0.002,0.002,0.0,0.004,0.008,0.041,0.079,0.167,,,
baseline_advanced_random_1117_2326,advanced_random,dorothea_500_1000,,,,,0.001,243.193,0.486,0.002,0.002,0.0,0.004,0.008,0.041,0.079,0.167,,,
baseline_advanced_random_1118_0901,advanced_random,dorothea_500_1000,,,,,0.001,243.193,0.486,0.002,0.002,0.0,0.004,0.008,0.041,0.079,0.167,,,
baseline_advanced_random_1118_1001,advanced_random,dorothea_500_1000,,,,,0.001,243.193,0.486,0.002,0.002,0.0,0.004,0.008,0.041,0.079,0.167,,,
baseline_advanced_random_1118_1201,advanced_random,dorothea_500_1000,,,,,0.001,243.193,0.486,0.002,0.002,0.0,0.004,0.008,0.041,0.079,0.167,,,
baseline_overlap_1117_1348,overlap,dorothea_500_1000,,,,,0.001,250.544,0.501,0.002,0.002,0.0,0.007,0.008,0.028,0.07,0.159,,,
baseline_overlap_1117_2326,overlap,dorothea_500_1000,,,,,0.001,250.544,0.501,0.002,0.002,0.0,0.007,0.008,0.028,0.07,0.159,,,
baseline_overlap_1118_0901,overlap,dorothea_500_1000,,,,,0.001,250.544,0.501,0.002,0.002,0.0,0.007,0.008,0.028,0.07,0.159,,,
baseline_overlap_1118_1001,overlap,dorothea_500_1000,,,,,0.001,250.544,0.501,0.002,0.002,0.0,0.007,0.008,0.028,0.07,0.159,,,
baseline_overlap_1118_1201,overlap,dorothea_500_1000,,,,,0.001,250.544,0.501,0.002,0.002,0.0,0.007,0.008,0.028,0.07,0.159,,,
baseline_random_1117_1348,random,dorothea_500_1000,,,,,0.001,243.193,0.486,0.002,0.002,0.0,0.004,0.008,0.041,0.079,0.167,,,
baseline_random_1117_2326,random,dorothea_500_1000,,,,,0.001,243.193,0.486,0.002,0.002,0.0,0.004,0.008,0.041,0.079,0.167,,,
baseline_random_1118_0901,random,dorothea_500_1000,,,,,0.001,243.193,0.486,0.002,0.002,0.0,0.004,0.008,0.041,0.079,0.167,,,
baseline_random_1118_1001,random,dorothea_500_1000,,,,,0.001,243.193,0.486,0.002,0.002,0.0,0.004,0.008,0.041,0.079,0.167,,,
baseline_random_1118_1201,random,dorothea_500_1000,,,,,0.001,243.193,0.486,0.002,0.002,0.0,0.004,0.008,0.041,0.079,0.167,,,
baseline_smallestSuperset_1117_1348,smallestSuperset,dorothea_500_1000,,,,,0.004,253.102,0.506,0.002,0.002,0.002,0.002,0.013,0.04,0.084,0.158,,,
baseline_smallestSuperset_1117_2326,smallestSuperset,dorothea_500_1000,,,,,0.004,253.102,0.506,0.002,0.002,0.002,0.002,0.013,0.04,0.084,0.158,,,
baseline_smallestSuperset_1118_0901,smallestSuperset,dorothea_500_1000,,,,,0.004,253.102,0.506,0.002,0.002,0.002,0.002,0.013,0.04,0.084,0.158,,,
