filename,model_type,network,num_nodes,num_possible_sources,avg_num_sources,avg_portion_affected,accuracy,avg rank of source,avg norm rank of source,avg prediction for source,avg prediction over all nodes,min prediction over all nodes,max prediction over all nodes,source in top 5,source in top 20,source in top 40,source in top 80,pdgrapher_perturbation_discovery,pdgrapher_response_prediction,gene_specific_metrics
baseline_advanced_random_1122_1014,advanced_random,dorothea_600_1200,,,,,0.005,134.96,0.225,0.004,0.002,0.0,0.008,0.019,0.075,0.152,0.299,,,
baseline_advanced_random_1122_1326,advanced_random,dorothea_600_1200,,,,,0.005,134.96,0.225,0.004,0.002,0.0,0.008,0.019,0.075,0.152,0.299,,,
baseline_overlap_1122_1014,overlap,dorothea_600_1200,,,,,0.007,140.96,0.235,0.004,0.002,0.0,0.006,0.028,0.098,0.152,0.299,,,
baseline_overlap_1122_1326,overlap,dorothea_600_1200,,,,,0.007,140.96,0.235,0.004,0.002,0.0,0.006,0.028,0.098,0.152,0.299,,,
baseline_random_1122_1014,random,dorothea_600_1200,,,,,0.002,299.517,0.499,0.002,0.002,0.0,0.004,0.011,0.032,0.068,0.14,,,
baseline_random_1122_1326,random,dorothea_600_1200,,,,,0.002,299.517,0.499,0.002,0.002,0.0,0.004,0.011,0.032,0.068,0.14,,,
baseline_smallestSuperset_1122_1014,smallestSuperset,dorothea_600_1200,,,,,0.0,301.429,0.502,0.002,0.002,0.002,0.002,0.016,0.023,0.058,0.143,,,
baseline_smallestSuperset_1122_1326,smallestSuperset,dorothea_600_1200,,,,,0.0,301.429,0.502,0.002,0.002,0.002,0.002,0.016,0.023,0.058,0.143,,,
pdgrapher_1122_1036,pdgrapher,dorothea_600_1200,600.0,271.0,1.0,0.518,0.014,119.69,0.199,0.658,-0.605,-5.288,3.841,0.05,0.133,0.225,0.382,"{'recall@1': 0.0016, 'recall@10': 0.0415, 'recall@100': 0.3659, 'recall@1000': 1.0, 'ranking_score': 0.7711, 'ranking_score_dcg': 0.13, 'perc_partially_accurate_predictions': 0.16, 'recall@1_std': 0.0405, 'recall@10_std': 0.1994, 'recall@100_std': 0.4817, 'recall@1000_std': 0.0, 'ranking_score_std': 0.1375, 'ranking_score_dcg_std': 0.0807, 'perc_partially_accurate_predictions_std': 4.05, 'total_samples': 2435, 'avg_topk': 462.648}","{'forward_mae': -1, 'forward_mse': -1, 'forward_r2': -1, 'forward_r2_scgen': -1, 'forward_spearman': -1, 'backward_mae': -1, 'backward_mse': -1, 'backward_r2': -1, 'backward_r2_scgen': -1, 'backward_spearman': -1, 'backward_avg_topk': -1}","{'IRF3': {'gene_name': 'IRF3', 'gene_index': 242, 'total_samples': 2435, 'times_true_source': 10, 'times_predicted_source': 30, 'correct_predictions': 1, 'avg_prediction_prob': 0.784, 'avg_rank': 0.0, 'in_top20_count': 0, 'in_top40_count': 0, 'in_top80_count': 0, 'avg_rank_when_true': 81.4, 'avg_prob_when_true': 0.608, 'in_top20_when_true': 2, 'in_top40_when_true': 3, 'in_top80_when_true': 6, 'accuracy_when_true': 0.1, 'precision': 0.033, 'recall': 0.1, 'f1_score': 0.05}, 'ATF7': {'gene_name': 'ATF7', 'gene_index': 32, 'total_samples': 2435, 'times_true_source': 11, 'times_predicted_source': 0, 'correct_predictions': 0, 'avg_prediction_prob': 0.343, 'avg_rank': 0.0, 'in_top20_count': 0, 'in_top40_count': 0, 'in_top80_count': 0, 'avg_rank_when_true': 176.0, 'avg_prob_when_true': 0.522, 'in_top20_when_true': 0, 'in_top40_when_true': 0, 'in_top80_when_true': 2, 'accuracy_when_true': 0.0, 'precision': None, 'recall': 0.0, 'f1_score': None}, 'SREBF2': {'gene_name': 'SREBF2', 'gene_index': 498, 'total_samples': 2435, 'times_true_source': 12, 'times_predicted_source': 45, 'correct_predictions': 1, 'avg_prediction_prob': 1.0, 'avg_rank': 0.0, 'in_top20_count': 0, 'in_top40_count': 0, 'in_top80_count': 0, 'avg_rank_when_true': 34.5, 'avg_prob_when_true': 1.397, 'in_top20_when_true': 6, 'in_top40_when_true': 8, 'in_top80_when_true': 10, 'accuracy_when_true': 0.083, 'precision': 0.022, 'recall': 0.083, 'f1_score': 0.035}, 'MYC': {'gene_name': 'MYC', 'gene_index': 313, 'total_samples': 2435, 'times_true_source': 9, 'times_predicted_source': 0, 'correct_predictions': 0, 'avg_prediction_prob': 0.518, 'avg_rank': 0.0, 'in_top20_count': 0, 'in_top40_count': 0, 'in_top80_count': 0, 'avg_rank_when_true': 127.111, 'avg_prob_when_true': 0.697, 'in_top20_when_true': 1, 'in_top40_when_true': 1, 'in_top80_when_true': 2, 'accuracy_when_true': 0.0, 'precision': None, 'recall': 0.0, 'f1_score': None}}"
pdgrapher_1122_1345,pdgrapher,dorothea_600_1200,600.0,271.0,1.0,0.518,0.011,122.066,0.203,0.67,-0.777,-4.722,3.765,0.045,0.13,0.222,0.381,"{'recall@1': 0.0029, 'recall@10': 0.0308, 'recall@100': 0.354, 'recall@1000': 1.0, 'ranking_score': 0.7646, 'ranking_score_dcg': 0.1264, 'perc_partially_accurate_predictions': 0.29, 'recall@1_std': 0.0535, 'recall@10_std': 0.1728, 'recall@100_std': 0.4782, 'recall@1000_std': 0.0, 'ranking_score_std': 0.1362, 'ranking_score_dcg_std': 0.0809, 'perc_partially_accurate_predictions_std': 5.35, 'total_samples': 2435, 'avg_topk': 458.7811}","{'forward_mae': -1, 'forward_mse': -1, 'forward_r2': -1, 'forward_r2_scgen': -1, 'forward_spearman': -1, 'backward_mae': -1, 'backward_mse': -1, 'backward_r2': -1, 'backward_r2_scgen': -1, 'backward_spearman': -1, 'backward_avg_topk': -1}","{'IRF3': {'gene_name': 'IRF3', 'gene_index': 242, 'total_samples': 2435, 'times_true_source': 10, 'times_predicted_source': 5, 'correct_predictions': 1, 'avg_prediction_prob': 0.549, 'avg_rank': 0.0, 'in_top20_count': 0, 'in_top40_count': 0, 'in_top80_count': 0, 'avg_rank_when_true': 96.8, 'avg_prob_when_true': 0.533, 'in_top20_when_true': 1, 'in_top40_when_true': 1, 'in_top80_when_true': 3, 'accuracy_when_true': 0.1, 'precision': 0.2, 'recall': 0.1, 'f1_score': 0.133}, 'ATF7': {'gene_name': 'ATF7', 'gene_index': 32, 'total_samples': 2435, 'times_true_source': 11, 'times_predicted_source': 0, 'correct_predictions': 0, 'avg_prediction_prob': 0.325, 'avg_rank': 0.0, 'in_top20_count': 0, 'in_top40_count': 0, 'in_top80_count': 0, 'avg_rank_when_true': 198.455, 'avg_prob_when_true': 0.534, 'in_top20_when_true': 0, 'in_top40_when_true': 0, 'in_top80_when_true': 0, 'accuracy_when_true': 0.0, 'precision': None, 'recall': 0.0, 'f1_score': None}, 'SREBF2': {'gene_name': 'SREBF2', 'gene_index': 498, 'total_samples': 2435, 'times_true_source': 12, 'times_predicted_source': 0, 'correct_predictions': 0, 'avg_prediction_prob': 0.359, 'avg_rank': 0.0, 'in_top20_count': 0, 'in_top40_count': 0, 'in_top80_count': 0, 'avg_rank_when_true': 162.833, 'avg_prob_when_true': 0.424, 'in_top20_when_true': 0, 'in_top40_when_true': 0, 'in_top80_when_true': 1, 'accuracy_when_true': 0.0, 'precision': None, 'recall': 0.0, 'f1_score': None}, 'MYC': {'gene_name': 'MYC', 'gene_index': 313, 'total_samples': 2435, 'times_true_source': 9, 'times_predicted_source': 0, 'correct_predictions': 0, 'avg_prediction_prob': 0.674, 'avg_rank': 0.0, 'in_top20_count': 0, 'in_top40_count': 0, 'in_top80_count': 0, 'avg_rank_when_true': 103.444, 'avg_prob_when_true': 0.73, 'in_top20_when_true': 0, 'in_top40_when_true': 2, 'in_top80_when_true': 4, 'accuracy_when_true': 0.0, 'precision': None, 'recall': 0.0, 'f1_score': None}}"
