filename,model_type,network,num_nodes,num_possible_sources,avg_num_sources,avg_portion_affected,accuracy,avg rank of source,avg norm rank of source,avg prediction for source,avg prediction over all nodes,min prediction over all nodes,max prediction over all nodes,source in top 5,source in top 20,source in top 40,source in top 80,pdgrapher_perturbation_discovery,pdgrapher_response_prediction,gene_specific_metrics
baseline_advanced_random_1121_0903,advanced_random,dorothea_500_1000,,,,,0.003,140.415,0.281,0.004,0.002,0.0,0.008,0.017,0.074,0.142,0.279,,,
baseline_advanced_random_1121_1206,advanced_random,dorothea_500_1000,,,,,0.003,140.415,0.281,0.004,0.002,0.0,0.008,0.017,0.074,0.142,0.279,,,
baseline_advanced_random_1121_1349,advanced_random,dorothea_500_1000,,,,,0.003,140.415,0.281,0.004,0.002,0.0,0.008,0.017,0.074,0.142,0.279,,,
baseline_overlap_1121_0903,overlap,dorothea_500_1000,,,,,0.008,141.493,0.283,0.004,0.002,0.0,0.006,0.031,0.091,0.164,0.301,,,
baseline_overlap_1121_1206,overlap,dorothea_500_1000,,,,,0.008,141.493,0.283,0.004,0.002,0.0,0.006,0.031,0.091,0.164,0.301,,,
baseline_overlap_1121_1349,overlap,dorothea_500_1000,,,,,0.008,141.493,0.283,0.004,0.002,0.0,0.006,0.031,0.091,0.164,0.301,,,
baseline_random_1121_0903,random,dorothea_500_1000,,,,,0.002,251.962,0.504,0.002,0.002,0.0,0.004,0.009,0.038,0.081,0.158,,,
baseline_random_1121_1206,random,dorothea_500_1000,,,,,0.002,251.962,0.504,0.002,0.002,0.0,0.004,0.009,0.038,0.081,0.158,,,
baseline_random_1121_1349,random,dorothea_500_1000,,,,,0.002,251.962,0.504,0.002,0.002,0.0,0.004,0.009,0.038,0.081,0.158,,,
baseline_smallestSuperset_1121_0903,smallestSuperset,dorothea_500_1000,,,,,0.003,256.412,0.513,0.002,0.002,0.002,0.002,0.014,0.041,0.089,0.157,,,
baseline_smallestSuperset_1121_1206,smallestSuperset,dorothea_500_1000,,,,,0.003,256.412,0.513,0.002,0.002,0.002,0.002,0.014,0.041,0.089,0.157,,,
baseline_smallestSuperset_1121_1349,smallestSuperset,dorothea_500_1000,,,,,0.003,256.412,0.513,0.002,0.002,0.002,0.002,0.014,0.041,0.089,0.157,,,
pdgrapher_1118_1939,pdgrapher,dorothea_500_1000,500.0,279.0,1.0,0.494,0.004,145.932,0.292,0.114,-0.142,-1.386,0.719,0.022,0.081,0.149,0.289,"{'recall@1': 0.0051, 'recall@10': 0.0409, 'recall@100': 0.3573, 'recall@1000': 1.0, 'ranking_score': 0.7056, 'ranking_score_dcg': 0.1225, 'perc_partially_accurate_predictions': 0.51, 'recall@1_std': 0.071, 'recall@10_std': 0.1981, 'recall@100_std': 0.4792, 'recall@1000_std': 0.0, 'ranking_score_std': 0.1857, 'ranking_score_dcg_std': 0.0981, 'perc_partially_accurate_predictions_std': 7.1, 'total_samples': 5524, 'avg_topk': 352.7915}","{'forward_mae': -1, 'forward_mse': -1, 'forward_r2': -1, 'forward_r2_scgen': -1, 'forward_spearman': -1, 'backward_mae': -1, 'backward_mse': -1, 'backward_r2': -1, 'backward_r2_scgen': -1, 'backward_spearman': -1, 'backward_avg_topk': -1}","{'IRF3': {'gene_name': 'IRF3', 'gene_index': 195, 'total_samples': 5524, 'times_true_source': 0, 'times_predicted_source': 0, 'correct_predictions': 0, 'avg_prediction_prob': -0.513, 'avg_rank': 0.0, 'in_top20_count': 0, 'in_top40_count': 0, 'in_top80_count': 0, 'avg_rank_when_true': None, 'avg_prob_when_true': None, 'in_top20_when_true': 0, 'in_top40_when_true': 0, 'in_top80_when_true': 0, 'accuracy_when_true': None, 'precision': None, 'recall': None, 'f1_score': None}, 'ATF7': {'gene_name': 'ATF7', 'gene_index': 15, 'total_samples': 5524, 'times_true_source': 23, 'times_predicted_source': 11, 'correct_predictions': 0, 'avg_prediction_prob': -0.043, 'avg_rank': 0.0, 'in_top20_count': 0, 'in_top40_count': 0, 'in_top80_count': 0, 'avg_rank_when_true': 232.87, 'avg_prob_when_true': -0.074, 'in_top20_when_true': 1, 'in_top40_when_true': 1, 'in_top80_when_true': 2, 'accuracy_when_true': 0.0, 'precision': 0.0, 'recall': 0.0, 'f1_score': None}, 'SREBF2': {'gene_name': 'SREBF2', 'gene_index': 402, 'total_samples': 5524, 'times_true_source': 23, 'times_predicted_source': 117, 'correct_predictions': 0, 'avg_prediction_prob': 0.278, 'avg_rank': 0.0, 'in_top20_count': 0, 'in_top40_count': 0, 'in_top80_count': 0, 'avg_rank_when_true': 61.652, 'avg_prob_when_true': 0.277, 'in_top20_when_true': 6, 'in_top40_when_true': 10, 'in_top80_when_true': 16, 'accuracy_when_true': 0.0, 'precision': 0.0, 'recall': 0.0, 'f1_score': None}, 'MYC': {'gene_name': 'MYC', 'gene_index': 260, 'total_samples': 5524, 'times_true_source': 19, 'times_predicted_source': 5, 'correct_predictions': 0, 'avg_prediction_prob': 0.197, 'avg_rank': 0.0, 'in_top20_count': 0, 'in_top40_count': 0, 'in_top80_count': 0, 'avg_rank_when_true': 105.421, 'avg_prob_when_true': 0.181, 'in_top20_when_true': 1, 'in_top40_when_true': 1, 'in_top80_when_true': 9, 'accuracy_when_true': 0.0, 'precision': 0.0, 'recall': 0.0, 'f1_score': None}}"
