filename,model_type,network,num_nodes,num_possible_sources,avg_num_sources,avg_portion_affected,accuracy,avg rank of source,avg prediction for source,avg prediction over all nodes,min prediction over all nodes,max prediction over all nodes,source in top 5,source in top 20,source in top 40,source in top 80,avg norm rank of source,gene_specific_metrics,pdgrapher_perturbation_discovery,pdgrapher_response_prediction
baseline_advanced_random_1021_0745,advanced_random,dorothea_500_1000,,,,,0.002,251.509,0.002,0.002,0.0,0.004,0.01,0.04,0.08,0.159,,,,
baseline_advanced_random_1022_1658,advanced_random,dorothea_500_1000,,,,,0.002,251.509,0.002,0.002,0.0,0.004,0.01,0.04,0.08,0.159,,,,
baseline_advanced_random_1025_2151,advanced_random,dorothea_500_1000,,,,,0.002,251.509,0.002,0.002,0.0,0.004,0.01,0.04,0.08,0.159,,,,
baseline_advanced_random_1026_1717,advanced_random,dorothea_500_1000,,,,,0.002,251.509,0.002,0.002,0.0,0.004,0.01,0.04,0.08,0.159,,,,
baseline_advanced_random_1027_0316,advanced_random,dorothea_500_1000,,,,,0.002,251.509,0.002,0.002,0.0,0.004,0.01,0.04,0.08,0.159,,,,
baseline_advanced_random_1027_1221,advanced_random,dorothea_500_1000,,,,,0.002,251.509,0.002,0.002,0.0,0.004,0.01,0.04,0.08,0.159,,,,
baseline_advanced_random_1027_1505,advanced_random,dorothea_500_1000,,,,,0.002,251.509,0.002,0.002,0.0,0.004,0.01,0.04,0.08,0.159,,,,
baseline_advanced_random_1029_0038,advanced_random,dorothea_500_1000,,,,,0.002,251.509,0.002,0.002,0.0,0.004,0.01,0.04,0.08,0.159,0.503,,,
baseline_jordan_1021_0745,jordan,dorothea_500_1000,,,,,0.0,261.129,0.002,0.002,0.0,1.0,0.007,0.035,0.079,0.131,,,,
baseline_jordan_1022_1658,jordan,dorothea_500_1000,,,,,0.0,261.129,0.002,0.002,0.0,1.0,0.007,0.035,0.079,0.131,,,,
baseline_jordan_1025_2151,jordan,dorothea_500_1000,,,,,0.0,261.129,0.002,0.002,0.0,1.0,0.007,0.035,0.079,0.131,,,,
baseline_jordan_1026_1717,jordan,dorothea_500_1000,,,,,0.0,261.129,0.002,0.002,0.0,1.0,0.007,0.035,0.079,0.131,,,,
baseline_jordan_1027_0316,jordan,dorothea_500_1000,,,,,0.0,261.129,0.002,0.002,0.0,1.0,0.007,0.035,0.079,0.131,,,,
baseline_jordan_1027_1221,jordan,dorothea_500_1000,,,,,0.0,261.129,0.002,0.002,0.0,1.0,0.007,0.035,0.079,0.131,,,,
baseline_jordan_1027_1505,jordan,dorothea_500_1000,,,,,0.0,261.129,0.002,0.002,0.0,1.0,0.007,0.035,0.079,0.131,,,,
baseline_jordan_1029_0038,jordan,dorothea_500_1000,,,,,0.0,261.129,0.002,0.002,0.0,1.0,0.007,0.035,0.079,0.131,0.522,,,
baseline_overlap_1021_0745,overlap,dorothea_500_1000,,,,,0.003,254.083,0.002,0.002,0.002,0.002,0.012,0.039,0.087,0.156,,,,
baseline_overlap_1022_1658,overlap,dorothea_500_1000,,,,,0.003,254.083,0.002,0.002,0.002,0.002,0.012,0.039,0.087,0.156,,,,
baseline_overlap_1025_2151,overlap,dorothea_500_1000,,,,,0.003,254.083,0.002,0.002,0.002,0.002,0.012,0.039,0.087,0.156,,,,
baseline_overlap_1026_1717,overlap,dorothea_500_1000,,,,,0.003,254.083,0.002,0.002,0.002,0.002,0.012,0.039,0.087,0.156,,,,
baseline_overlap_1027_0316,overlap,dorothea_500_1000,,,,,0.003,254.083,0.002,0.002,0.002,0.002,0.012,0.039,0.087,0.156,,,,
