filename,model_type,network,num_nodes,num_possible_sources,avg_num_sources,avg_portion_affected,accuracy,avg rank of source,avg norm rank of source,avg prediction for source,avg prediction over all nodes,min prediction over all nodes,max prediction over all nodes,source in top 5,source in top 20,source in top 40,source in top 80,gene_specific_metrics,pdgrapher_perturbation_discovery,pdgrapher_response_prediction
baseline_advanced_random_1101_1123,advanced_random,dorothea_500_1000,,,,,0.002,251.509,0.503,0.002,0.002,0.0,0.004,0.01,0.04,0.08,0.159,,,
baseline_advanced_random_1101_1553,advanced_random,dorothea_500_1000,,,,,0.002,251.509,0.503,0.002,0.002,0.0,0.004,0.01,0.04,0.08,0.159,,,
baseline_jordan_1101_1123,jordan,dorothea_500_1000,,,,,0.0,258.544,0.517,0.002,0.002,0.0,1.0,0.01,0.046,0.085,0.144,,,
baseline_jordan_1101_1553,jordan,dorothea_500_1000,,,,,0.0,258.544,0.517,0.002,0.002,0.0,1.0,0.01,0.046,0.085,0.144,,,
baseline_overlap_1101_1123,overlap,dorothea_500_1000,,,,,0.003,254.083,0.508,0.002,0.002,0.002,0.002,0.012,0.039,0.087,0.156,,,
baseline_overlap_1101_1553,overlap,dorothea_500_1000,,,,,0.003,254.083,0.508,0.002,0.002,0.002,0.002,0.012,0.039,0.087,0.156,,,
baseline_random_1101_1123,random,dorothea_500_1000,,,,,0.002,251.509,0.503,0.002,0.002,0.0,0.004,0.01,0.04,0.08,0.159,,,
baseline_random_1101_1553,random,dorothea_500_1000,,,,,0.002,251.509,0.503,0.002,0.002,0.0,0.004,0.01,0.04,0.08,0.159,,,
baseline_smallestSuperset_1101_1123,smallestSuperset,dorothea_500_1000,,,,,0.003,254.083,0.508,0.002,0.002,0.002,0.002,0.012,0.039,0.087,0.156,,,
baseline_smallestSuperset_1101_1553,smallestSuperset,dorothea_500_1000,,,,,0.003,254.083,0.508,0.002,0.002,0.002,0.002,0.012,0.039,0.087,0.156,,,
