filename,model_type,network,num_nodes,num_possible_sources,avg_num_sources,avg_portion_affected,accuracy,avg rank of source,avg norm rank of source,avg prediction for source,avg prediction over all nodes,min prediction over all nodes,max prediction over all nodes,source in top 5,source in top 20,source in top 40,source in top 80,gene_specific_metrics,pdgrapher_perturbation_discovery,pdgrapher_response_prediction
baseline_advanced_random_1101_1027,advanced_random,dorothea_500_1000,,,,,0.004,148.925,0.298,0.004,0.002,0.0,0.009,0.019,0.071,0.141,0.279,,,
baseline_advanced_random_1101_1457,advanced_random,dorothea_500_1000,,,,,0.004,148.925,0.298,0.004,0.002,0.0,0.009,0.019,0.071,0.141,0.279,,,
baseline_jordan_1101_1027,jordan,dorothea_500_1000,,,,,0.026,244.663,0.489,0.016,0.002,0.0,1.0,0.049,0.081,0.123,0.187,,,
baseline_jordan_1101_1457,jordan,dorothea_500_1000,,,,,0.026,244.663,0.489,0.016,0.002,0.0,1.0,0.049,0.081,0.123,0.187,,,
baseline_overlap_1101_1027,overlap,dorothea_500_1000,,,,,0.025,111.382,0.223,0.031,0.002,0.0,0.746,0.203,0.261,0.335,0.493,,,
baseline_overlap_1101_1457,overlap,dorothea_500_1000,,,,,0.025,111.382,0.223,0.031,0.002,0.0,0.746,0.203,0.261,0.335,0.493,,,
baseline_random_1101_1027,random,dorothea_500_1000,,,,,0.002,251.509,0.503,0.002,0.002,0.0,0.004,0.01,0.04,0.08,0.159,,,
baseline_random_1101_1457,random,dorothea_500_1000,,,,,0.002,251.509,0.503,0.002,0.002,0.0,0.004,0.01,0.04,0.08,0.159,,,
baseline_smallestSuperset_1101_1027,smallestSuperset,dorothea_500_1000,,,,,0.027,245.549,0.491,0.025,0.002,0.0,1.0,0.036,0.063,0.111,0.183,,,
baseline_smallestSuperset_1101_1457,smallestSuperset,dorothea_500_1000,,,,,0.027,245.549,0.491,0.025,0.002,0.0,1.0,0.036,0.063,0.111,0.183,,,
