filename,model_type,network,num_nodes,num_possible_sources,avg_num_sources,avg_portion_affected,accuracy,avg rank of source,avg norm rank of source,avg prediction for source,avg prediction over all nodes,min prediction over all nodes,max prediction over all nodes,source in top 5,source in top 20,source in top 40,source in top 80,gene_specific_metrics,pdgrapher_perturbation_discovery,pdgrapher_response_prediction
baseline_advanced_random_1101_0032,advanced_random,dorothea_500_1000,,,,,0.004,140.01,0.28,0.004,0.002,0.0,0.008,0.019,0.071,0.142,0.281,,,
baseline_advanced_random_1101_0036,advanced_random,dorothea_500_1000,,,,,0.004,140.01,0.28,0.004,0.002,0.0,0.008,0.019,0.071,0.142,0.281,,,
baseline_advanced_random_1101_0039,advanced_random,dorothea_500_1000,,,,,0.004,140.01,0.28,0.004,0.002,0.0,0.008,0.019,0.071,0.142,0.281,,,
baseline_jordan_1101_0032,jordan,dorothea_500_1000,,,,,0.107,103.901,0.208,0.07,0.002,0.0,1.0,0.2,0.272,0.345,0.486,,,
baseline_jordan_1101_0036,jordan,dorothea_500_1000,,,,,0.107,103.901,0.208,0.07,0.002,0.0,1.0,0.2,0.272,0.345,0.486,,,
baseline_jordan_1101_0039,jordan,dorothea_500_1000,,,,,0.107,103.901,0.208,0.07,0.002,0.0,1.0,0.2,0.272,0.345,0.486,,,
baseline_overlap_1101_0032,overlap,dorothea_500_1000,,,,,0.106,61.692,0.123,0.049,0.002,0.0,0.709,0.351,0.409,0.484,0.629,,,
baseline_overlap_1101_0036,overlap,dorothea_500_1000,,,,,0.106,61.692,0.123,0.049,0.002,0.0,0.709,0.351,0.409,0.484,0.629,,,
baseline_overlap_1101_0039,overlap,dorothea_500_1000,,,,,0.106,61.692,0.123,0.049,0.002,0.0,0.709,0.351,0.409,0.484,0.629,,,
baseline_random_1101_0032,random,dorothea_500_1000,,,,,0.002,251.509,0.503,0.002,0.002,0.0,0.004,0.01,0.04,0.08,0.159,,,
baseline_random_1101_0036,random,dorothea_500_1000,,,,,0.002,251.509,0.503,0.002,0.002,0.0,0.004,0.01,0.04,0.08,0.159,,,
baseline_random_1101_0039,random,dorothea_500_1000,,,,,0.002,251.509,0.503,0.002,0.002,0.0,0.004,0.01,0.04,0.08,0.159,,,
baseline_smallestSuperset_1101_0032,smallestSuperset,dorothea_500_1000,,,,,0.125,148.68,0.297,0.122,0.002,0.0,1.0,0.138,0.2,0.283,0.45,,,
baseline_smallestSuperset_1101_0036,smallestSuperset,dorothea_500_1000,,,,,0.125,148.68,0.297,0.122,0.002,0.0,1.0,0.138,0.2,0.283,0.45,,,
baseline_smallestSuperset_1101_0039,smallestSuperset,dorothea_500_1000,,,,,0.125,148.68,0.297,0.122,0.002,0.0,1.0,0.138,0.2,0.283,0.45,,,
