filename,model_type,network,num_nodes,num_possible_sources,avg_num_sources,avg_portion_affected,accuracy,avg rank of source,avg prediction for source,avg prediction over all nodes,min prediction over all nodes,max prediction over all nodes,source in top 5,source in top 20,source in top 40,source in top 80,gene_specific_metrics,pdgrapher_perturbation_discovery,pdgrapher_response_prediction
baseline_advanced_random_1016_1808,advanced_random,dorothea_100_150,,,,,0.0,29.579,0.017,0.01,0.0,0.038,0.102,0.327,0.657,1.0,,,
baseline_advanced_random_1016_2202,advanced_random,dorothea_100_150,,,,,0.0,29.579,0.017,0.01,0.0,0.038,0.102,0.327,0.657,1.0,,,
baseline_advanced_random_1017_0255,advanced_random,dorothea_100_150,,,,,0.0,29.579,0.017,0.01,0.0,0.038,0.102,0.327,0.657,1.0,,,
baseline_advanced_random_1017_0652,advanced_random,dorothea_100_150,,,,,0.0,29.579,0.017,0.01,0.0,0.038,0.102,0.327,0.657,1.0,,,
baseline_advanced_random_1017_1015,advanced_random,dorothea_100_150,,,,,0.0,29.579,0.017,0.01,0.0,0.038,0.102,0.327,0.657,1.0,,,
baseline_jordan_1016_1808,jordan,dorothea_100_150,,,,,0.173,17.949,0.131,0.01,0.0,1.0,0.343,0.606,0.906,0.961,,,
baseline_jordan_1016_2202,jordan,dorothea_100_150,,,,,0.173,17.949,0.131,0.01,0.0,1.0,0.343,0.606,0.906,0.961,,,
baseline_jordan_1017_0255,jordan,dorothea_100_150,,,,,0.173,17.949,0.131,0.01,0.0,1.0,0.343,0.606,0.906,0.961,,,
baseline_jordan_1017_0652,jordan,dorothea_100_150,,,,,0.173,17.949,0.131,0.01,0.0,1.0,0.343,0.606,0.906,0.961,,,
baseline_jordan_1017_1015,jordan,dorothea_100_150,,,,,0.173,17.949,0.131,0.01,0.0,1.0,0.343,0.606,0.906,0.961,,,
baseline_overlap_1016_1808,overlap,dorothea_100_150,,,,,0.173,8.752,0.073,0.01,0.0,0.538,0.539,0.85,0.988,0.988,,,
baseline_overlap_1016_2202,overlap,dorothea_100_150,,,,,0.173,8.752,0.073,0.01,0.0,0.538,0.539,0.85,0.988,0.988,,,
baseline_overlap_1017_0255,overlap,dorothea_100_150,,,,,0.173,8.752,0.073,0.01,0.0,0.538,0.539,0.85,0.988,0.988,,,
baseline_overlap_1017_0652,overlap,dorothea_100_150,,,,,0.173,8.752,0.073,0.01,0.0,0.538,0.539,0.85,0.988,0.988,,,
baseline_overlap_1017_1015,overlap,dorothea_100_150,,,,,0.173,8.752,0.073,0.01,0.0,0.538,0.539,0.85,0.988,0.988,,,
baseline_random_1016_1808,random,dorothea_100_150,,,,,0.0,48.02,0.01,0.01,0.0,0.023,0.063,0.217,0.409,0.843,,,
