filename,model_type,network,num_nodes,num_possible_sources,avg_num_sources,avg_portion_affected,accuracy,avg rank of source,avg prediction for source,avg prediction over all nodes,min prediction over all nodes,max prediction over all nodes,source in top 5,source in top 20,source in top 40,source in top 80,gene_specific_metrics,pdgrapher_perturbation_discovery,pdgrapher_response_prediction
baseline_advanced_random_1016_1811,advanced_random,dorothea_100_500,,,,,0.011,50.271,0.01,0.01,0.0,0.025,0.047,0.197,0.386,0.784,,,
baseline_advanced_random_1016_2203,advanced_random,dorothea_100_500,,,,,0.011,50.271,0.01,0.01,0.0,0.025,0.047,0.197,0.386,0.784,,,
baseline_advanced_random_1017_0257,advanced_random,dorothea_100_500,,,,,0.011,50.271,0.01,0.01,0.0,0.025,0.047,0.197,0.386,0.784,,,
baseline_advanced_random_1017_0654,advanced_random,dorothea_100_500,,,,,0.011,50.271,0.01,0.01,0.0,0.025,0.047,0.197,0.386,0.784,,,
baseline_advanced_random_1017_1017,advanced_random,dorothea_100_500,,,,,0.011,50.271,0.01,0.01,0.0,0.025,0.047,0.197,0.386,0.784,,,
baseline_jordan_1016_1811,jordan,dorothea_100_500,,,,,0.007,49.596,0.01,0.01,0.005,0.019,0.038,0.201,0.374,0.811,,,
baseline_jordan_1016_2203,jordan,dorothea_100_500,,,,,0.007,49.596,0.01,0.01,0.005,0.019,0.038,0.201,0.374,0.811,,,
baseline_jordan_1017_0257,jordan,dorothea_100_500,,,,,0.007,49.596,0.01,0.01,0.005,0.019,0.038,0.201,0.374,0.811,,,
baseline_jordan_1017_0654,jordan,dorothea_100_500,,,,,0.007,49.596,0.01,0.01,0.005,0.019,0.038,0.201,0.374,0.811,,,
baseline_jordan_1017_1017,jordan,dorothea_100_500,,,,,0.007,49.596,0.01,0.01,0.005,0.019,0.038,0.201,0.374,0.811,,,
baseline_overlap_1016_1811,overlap,dorothea_100_500,,,,,0.011,48.728,0.01,0.01,0.01,0.01,0.056,0.199,0.388,0.798,,,
baseline_overlap_1016_2203,overlap,dorothea_100_500,,,,,0.011,48.728,0.01,0.01,0.01,0.01,0.056,0.199,0.388,0.798,,,
baseline_overlap_1017_0257,overlap,dorothea_100_500,,,,,0.011,48.728,0.01,0.01,0.01,0.01,0.056,0.199,0.388,0.798,,,
baseline_overlap_1017_0654,overlap,dorothea_100_500,,,,,0.011,48.728,0.01,0.01,0.01,0.01,0.056,0.199,0.388,0.798,,,
baseline_overlap_1017_1017,overlap,dorothea_100_500,,,,,0.011,48.728,0.01,0.01,0.01,0.01,0.056,0.199,0.388,0.798,,,
baseline_random_1016_1811,random,dorothea_100_500,,,,,0.011,50.271,0.01,0.01,0.0,0.025,0.047,0.197,0.386,0.784,,,
baseline_random_1016_2203,random,dorothea_100_500,,,,,0.011,50.271,0.01,0.01,0.0,0.025,0.047,0.197,0.386,0.784,,,
baseline_random_1017_0257,random,dorothea_100_500,,,,,0.011,50.271,0.01,0.01,0.0,0.025,0.047,0.197,0.386,0.784,,,
baseline_random_1017_0654,random,dorothea_100_500,,,,,0.011,50.271,0.01,0.01,0.0,0.025,0.047,0.197,0.386,0.784,,,
baseline_random_1017_1017,random,dorothea_100_500,,,,,0.011,50.271,0.01,0.01,0.0,0.025,0.047,0.197,0.386,0.784,,,
baseline_smallestSuperset_1016_1811,smallestSuperset,dorothea_100_500,,,,,0.011,48.728,0.01,0.01,0.01,0.01,0.056,0.199,0.388,0.798,,,
baseline_smallestSuperset_1016_2203,smallestSuperset,dorothea_100_500,,,,,0.011,48.728,0.01,0.01,0.01,0.01,0.056,0.199,0.388,0.798,,,
baseline_smallestSuperset_1017_0257,smallestSuperset,dorothea_100_500,,,,,0.011,48.728,0.01,0.01,0.01,0.01,0.056,0.199,0.388,0.798,,,
baseline_smallestSuperset_1017_0654,smallestSuperset,dorothea_100_500,,,,,0.011,48.728,0.01,0.01,0.01,0.01,0.056,0.199,0.388,0.798,,,
baseline_smallestSuperset_1017_1017,smallestSuperset,dorothea_100_500,,,,,0.011,48.728,0.01,0.01,0.01,0.01,0.056,0.199,0.388,0.798,,,
gat_1016_1818,gat,dorothea_100_500,100.0,89.0,1.0,0.346,0.037,16.121,0.246,0.082,0.0,0.354,0.18,0.631,0.962,1.0,"{'IRF3': {'gene_name': 'IRF3', 'gene_index': 37, 'total_samples': 2012, 'times_true_source': 18, 'times_predicted_source': 3, 'correct_predictions': 1, 'avg_prediction_prob': 0.045, 'avg_rank': 0.0, 'in_top20_count': 0, 'in_top40_count': 0, 'in_top80_count': 0, 'avg_rank_when_true': 7.667, 'avg_prob_when_true': 0.287, 'in_top20_when_true': 15, 'in_top40_when_true': 18, 'in_top80_when_true': 18, 'accuracy_when_true': 0.056, 'precision': 0.333, 'recall': 0.056, 'f1_score': 0.095}, 'ATF7': {'gene_name': 'ATF7', 'gene_index': 3, 'total_samples': 2012, 'times_true_source': 20, 'times_predicted_source': 11, 'correct_predictions': 0, 'avg_prediction_prob': 0.126, 'avg_rank': 0.0, 'in_top20_count': 0, 'in_top40_count': 0, 'in_top80_count': 0, 'avg_rank_when_true': 28.4, 'avg_prob_when_true': 0.209, 'in_top20_when_true': 4, 'in_top40_when_true': 17, 'in_top80_when_true': 20, 'accuracy_when_true': 0.0, 'precision': 0.0, 'recall': 0.0, 'f1_score': None}, 'MYC': {'gene_name': 'MYC', 'gene_index': 50, 'total_samples': 2012, 'times_true_source': 20, 'times_predicted_source': 1, 'correct_predictions': 0, 'avg_prediction_prob': 0.201, 'avg_rank': 0.0, 'in_top20_count': 0, 'in_top40_count': 0, 'in_top80_count': 0, 'avg_rank_when_true': 16.85, 'avg_prob_when_true': 0.243, 'in_top20_when_true': 17, 'in_top40_when_true': 20, 'in_top80_when_true': 20, 'accuracy_when_true': 0.0, 'precision': 0.0, 'recall': 0.0, 'f1_score': None}}",,
