filename,model_type,network,num_nodes,num_possible_sources,avg_num_sources,avg_portion_affected,accuracy,avg rank of source,avg prediction for source,avg prediction over all nodes,min prediction over all nodes,max prediction over all nodes,source in top 5,source in top 20,source in top 40,source in top 80,gene_specific_metrics,pdgrapher_perturbation_discovery,pdgrapher_response_prediction
baseline_advanced_random_1016_1448,advanced_random,dorothea_500_1000,,,,,0.0,246.316,0.002,0.002,0.0,0.004,0.011,0.061,0.117,0.194,,,
baseline_advanced_random_1016_1449,advanced_random,dorothea_500_1000,,,,,0.0,246.316,0.002,0.002,0.0,0.004,0.011,0.061,0.117,0.194,,,
baseline_advanced_random_1016_1502,advanced_random,dorothea_500_1000,,,,,0.0,246.316,0.002,0.002,0.0,0.004,0.011,0.061,0.117,0.194,,,
baseline_advanced_random_1016_1511,advanced_random,dorothea_500_1000,,,,,0.0,246.316,0.002,0.002,0.0,0.004,0.011,0.061,0.117,0.194,,,
baseline_advanced_random_1016_1622,advanced_random,dorothea_500_1000,,,,,0.003,246.679,0.002,0.002,0.0,0.004,0.017,0.05,0.09,0.17,,,
baseline_advanced_random_1016_1641,advanced_random,dorothea_500_1000,,,,,0.003,246.679,0.002,0.002,0.0,0.004,0.017,0.05,0.09,0.17,,,
baseline_jordan_1016_1448,jordan,dorothea_500_1000,,,,,0.0,207.857,0.002,0.002,0.001,0.004,0.011,0.058,0.114,0.239,,,
baseline_jordan_1016_1449,jordan,dorothea_500_1000,,,,,0.0,211.865,0.002,0.002,0.001,0.004,0.016,0.058,0.109,0.22,,,
baseline_jordan_1016_1502,jordan,dorothea_500_1000,,,,,0.0,211.865,0.002,0.002,0.001,0.004,0.016,0.058,0.109,0.22,,,
baseline_jordan_1016_1511,jordan,dorothea_500_1000,,,,,0.0,211.865,0.002,0.002,0.001,0.004,0.016,0.058,0.109,0.22,,,
baseline_jordan_1016_1622,jordan,dorothea_500_1000,,,,,0.0,267.441,0.002,0.002,0.001,0.004,0.004,0.036,0.069,0.112,,,
baseline_jordan_1016_1641,jordan,dorothea_500_1000,,,,,0.0,267.441,0.002,0.002,0.001,0.004,0.004,0.036,0.069,0.112,,,
baseline_overlap_1016_1448,overlap,dorothea_500_1000,,,,,0.016,158.318,0.002,0.002,0.002,0.002,0.04,0.098,0.172,0.273,,,
baseline_overlap_1016_1449,overlap,dorothea_500_1000,,,,,0.016,158.318,0.002,0.002,0.002,0.002,0.04,0.098,0.172,0.273,,,
baseline_overlap_1016_1502,overlap,dorothea_500_1000,,,,,0.016,158.318,0.002,0.002,0.002,0.002,0.04,0.098,0.172,0.273,,,
baseline_overlap_1016_1511,overlap,dorothea_500_1000,,,,,0.016,158.318,0.002,0.002,0.002,0.002,0.04,0.098,0.172,0.273,,,
baseline_overlap_1016_1622,overlap,dorothea_500_1000,,,,,0.001,256.211,0.002,0.002,0.002,0.002,0.018,0.042,0.09,0.136,,,
baseline_overlap_1016_1641,overlap,dorothea_500_1000,,,,,0.001,256.211,0.002,0.002,0.002,0.002,0.018,0.042,0.09,0.136,,,
baseline_random_1016_1448,random,dorothea_500_1000,,,,,0.0,246.316,0.002,0.002,0.0,0.004,0.011,0.061,0.117,0.194,,,
baseline_random_1016_1449,random,dorothea_500_1000,,,,,0.0,246.316,0.002,0.002,0.0,0.004,0.011,0.061,0.117,0.194,,,
baseline_random_1016_1502,random,dorothea_500_1000,,,,,0.0,246.316,0.002,0.002,0.0,0.004,0.011,0.061,0.117,0.194,,,
baseline_random_1016_1511,random,dorothea_500_1000,,,,,0.0,246.316,0.002,0.002,0.0,0.004,0.011,0.061,0.117,0.194,,,
baseline_random_1016_1622,random,dorothea_500_1000,,,,,0.003,246.679,0.002,0.002,0.0,0.004,0.017,0.05,0.09,0.17,,,
baseline_random_1016_1641,random,dorothea_500_1000,,,,,0.003,246.679,0.002,0.002,0.0,0.004,0.017,0.05,0.09,0.17,,,
baseline_smallestSuperset_1016_1448,smallestSuperset,dorothea_500_1000,,,,,0.016,158.318,0.002,0.002,0.002,0.002,0.04,0.098,0.172,0.273,,,
baseline_smallestSuperset_1016_1449,smallestSuperset,dorothea_500_1000,,,,,0.016,158.318,0.002,0.002,0.002,0.002,0.04,0.098,0.172,0.273,,,
baseline_smallestSuperset_1016_1502,smallestSuperset,dorothea_500_1000,,,,,0.016,158.318,0.002,0.002,0.002,0.002,0.04,0.098,0.172,0.273,,,
baseline_smallestSuperset_1016_1511,smallestSuperset,dorothea_500_1000,,,,,0.016,158.318,0.002,0.002,0.002,0.002,0.04,0.098,0.172,0.273,,,
baseline_smallestSuperset_1016_1622,smallestSuperset,dorothea_500_1000,,,,,0.001,256.211,0.002,0.002,0.002,0.002,0.018,0.042,0.09,0.136,,,
baseline_smallestSuperset_1016_1641,smallestSuperset,dorothea_500_1000,,,,,0.001,256.211,0.002,0.002,0.002,0.002,0.018,0.042,0.09,0.136,,,
gat_1016_1424,gat,dorothea_500_1000,500.0,279.0,1.0,0.29,0.011,70.748,0.068,0.019,0.0,0.1,0.044,0.174,0.343,0.621,"{'IRF3': {'gene_name': 'IRF3', 'gene_index': 195, 'total_samples': 757, 'times_true_source': 0, 'times_predicted_source': 0, 'correct_predictions': 0, 'avg_prediction_prob': 0.0, 'avg_rank': 0.0, 'in_top20_count': 0, 'in_top40_count': 0, 'in_top80_count': 0, 'avg_rank_when_true': None, 'avg_prob_when_true': None, 'in_top20_when_true': 0, 'in_top40_when_true': 0, 'in_top80_when_true': 0, 'accuracy_when_true': None, 'precision': None, 'recall': None, 'f1_score': None}, 'ATF7': {'gene_name': 'ATF7', 'gene_index': 15, 'total_samples': 757, 'times_true_source': 0, 'times_predicted_source': 0, 'correct_predictions': 0, 'avg_prediction_prob': 0.0, 'avg_rank': 0.0, 'in_top20_count': 0, 'in_top40_count': 0, 'in_top80_count': 0, 'avg_rank_when_true': None, 'avg_prob_when_true': None, 'in_top20_when_true': 0, 'in_top40_when_true': 0, 'in_top80_when_true': 0, 'accuracy_when_true': None, 'precision': None, 'recall': None, 'f1_score': None}, 'SREBF2': {'gene_name': 'SREBF2', 'gene_index': 402, 'total_samples': 757, 'times_true_source': 5, 'times_predicted_source': 0, 'correct_predictions': 0, 'avg_prediction_prob': 0.002, 'avg_rank': 0.0, 'in_top20_count': 0, 'in_top40_count': 0, 'in_top80_count': 0, 'avg_rank_when_true': 23.4, 'avg_prob_when_true': 0.077, 'in_top20_when_true': 1, 'in_top40_when_true': 5, 'in_top80_when_true': 5, 'accuracy_when_true': 0.0, 'precision': None, 'recall': 0.0, 'f1_score': None}, 'MYC': {'gene_name': 'MYC', 'gene_index': 260, 'total_samples': 757, 'times_true_source': 4, 'times_predicted_source': 0, 'correct_predictions': 0, 'avg_prediction_prob': 0.042, 'avg_rank': 0.0, 'in_top20_count': 0, 'in_top40_count': 0, 'in_top80_count': 0, 'avg_rank_when_true': 130.25, 'avg_prob_when_true': 0.054, 'in_top20_when_true': 0, 'in_top40_when_true': 0, 'in_top80_when_true': 1, 'accuracy_when_true': 0.0, 'precision': None, 'recall': 0.0, 'f1_score': None}}",,
gat_1016_1643,gat,dorothea_500_1000,500.0,279.0,1.0,0.29,0.018,70.332,0.072,0.021,0.0,0.12,0.069,0.193,0.33,0.631,"{'IRF3': {'gene_name': 'IRF3', 'gene_index': 195, 'total_samples': 757, 'times_true_source': 0, 'times_predicted_source': 0, 'correct_predictions': 0, 'avg_prediction_prob': 0.0, 'avg_rank': 0.0, 'in_top20_count': 0, 'in_top40_count': 0, 'in_top80_count': 0, 'avg_rank_when_true': None, 'avg_prob_when_true': None, 'in_top20_when_true': 0, 'in_top40_when_true': 0, 'in_top80_when_true': 0, 'accuracy_when_true': None, 'precision': None, 'recall': None, 'f1_score': None}, 'ATF7': {'gene_name': 'ATF7', 'gene_index': 15, 'total_samples': 757, 'times_true_source': 0, 'times_predicted_source': 0, 'correct_predictions': 0, 'avg_prediction_prob': 0.0, 'avg_rank': 0.0, 'in_top20_count': 0, 'in_top40_count': 0, 'in_top80_count': 0, 'avg_rank_when_true': None, 'avg_prob_when_true': None, 'in_top20_when_true': 0, 'in_top40_when_true': 0, 'in_top80_when_true': 0, 'accuracy_when_true': None, 'precision': None, 'recall': None, 'f1_score': None}, 'SREBF2': {'gene_name': 'SREBF2', 'gene_index': 402, 'total_samples': 757, 'times_true_source': 5, 'times_predicted_source': 0, 'correct_predictions': 0, 'avg_prediction_prob': 0.002, 'avg_rank': 0.0, 'in_top20_count': 0, 'in_top40_count': 0, 'in_top80_count': 0, 'avg_rank_when_true': 24.2, 'avg_prob_when_true': 0.081, 'in_top20_when_true': 2, 'in_top40_when_true': 5, 'in_top80_when_true': 5, 'accuracy_when_true': 0.0, 'precision': None, 'recall': 0.0, 'f1_score': None}, 'MYC': {'gene_name': 'MYC', 'gene_index': 260, 'total_samples': 757, 'times_true_source': 4, 'times_predicted_source': 0, 'correct_predictions': 0, 'avg_prediction_prob': 0.042, 'avg_rank': 0.0, 'in_top20_count': 0, 'in_top40_count': 0, 'in_top80_count': 0, 'avg_rank_when_true': 141.75, 'avg_prob_when_true': 0.054, 'in_top20_when_true': 0, 'in_top40_when_true': 0, 'in_top80_when_true': 0, 'accuracy_when_true': 0.0, 'precision': None, 'recall': 0.0, 'f1_score': None}}",,
