filename,model_type,network,num_nodes,num_possible_sources,avg_num_sources,avg_portion_affected,accuracy,avg rank of source,avg prediction for source,avg prediction over all nodes,min prediction over all nodes,max prediction over all nodes,source in top 5,source in top 20,source in top 40,source in top 80,gene_specific_metrics,pdgrapher_perturbation_discovery,pdgrapher_response_prediction
baseline_advanced_random_1016_1445,advanced_random,dorothea_500_1000,,,,,0.0,136.997,0.004,0.002,0.0,0.008,0.021,0.103,0.172,0.313,,,
baseline_advanced_random_1016_1446,advanced_random,dorothea_500_1000,,,,,0.0,136.997,0.004,0.002,0.0,0.008,0.021,0.103,0.172,0.313,,,
baseline_advanced_random_1016_1459,advanced_random,dorothea_500_1000,,,,,0.0,136.997,0.004,0.002,0.0,0.008,0.021,0.103,0.172,0.313,,,
baseline_advanced_random_1016_1507,advanced_random,dorothea_500_1000,,,,,0.0,136.997,0.004,0.002,0.0,0.008,0.021,0.103,0.172,0.313,,,
baseline_advanced_random_1016_1615,advanced_random,dorothea_500_1000,,,,,0.003,137.309,0.004,0.002,0.0,0.008,0.028,0.082,0.161,0.276,,,
baseline_advanced_random_1016_1635,advanced_random,dorothea_500_1000,,,,,0.003,137.309,0.004,0.002,0.0,0.008,0.028,0.082,0.161,0.276,,,
baseline_jordan_1016_1445,jordan,dorothea_500_1000,,,,,0.207,86.297,0.146,0.002,0.0,1.0,0.257,0.371,0.435,0.544,,,
baseline_jordan_1016_1446,jordan,dorothea_500_1000,,,,,0.448,25.159,0.326,0.002,0.0,1.0,0.562,0.692,0.772,0.878,,,
baseline_jordan_1016_1459,jordan,dorothea_500_1000,,,,,0.448,25.159,0.326,0.002,0.0,1.0,0.562,0.692,0.772,0.878,,,
baseline_jordan_1016_1507,jordan,dorothea_500_1000,,,,,0.448,25.159,0.326,0.002,0.0,1.0,0.562,0.692,0.772,0.878,,,
baseline_jordan_1016_1615,jordan,dorothea_500_1000,,,,,0.453,20.68,0.347,0.002,0.0,1.0,0.587,0.736,0.824,0.902,,,
baseline_jordan_1016_1635,jordan,dorothea_500_1000,,,,,0.453,20.68,0.347,0.002,0.0,1.0,0.587,0.736,0.824,0.902,,,
baseline_overlap_1016_1445,overlap,dorothea_500_1000,,,,,0.361,39.926,0.009,0.002,0.0,0.448,0.379,0.451,0.552,0.775,,,
baseline_overlap_1016_1446,overlap,dorothea_500_1000,,,,,0.361,39.926,0.009,0.002,0.0,0.448,0.379,0.451,0.552,0.775,,,
baseline_overlap_1016_1459,overlap,dorothea_500_1000,,,,,0.361,39.926,0.009,0.002,0.0,0.448,0.379,0.451,0.552,0.775,,,
baseline_overlap_1016_1507,overlap,dorothea_500_1000,,,,,0.361,39.926,0.009,0.002,0.0,0.448,0.379,0.451,0.552,0.775,,,
baseline_overlap_1016_1615,overlap,dorothea_500_1000,,,,,0.395,36.14,0.009,0.002,0.0,0.475,0.416,0.482,0.605,0.801,,,
baseline_overlap_1016_1635,overlap,dorothea_500_1000,,,,,0.395,36.14,0.009,0.002,0.0,0.475,0.416,0.482,0.605,0.801,,,
baseline_random_1016_1445,random,dorothea_500_1000,,,,,0.0,246.316,0.002,0.002,0.0,0.004,0.011,0.061,0.117,0.194,,,
baseline_random_1016_1446,random,dorothea_500_1000,,,,,0.0,246.316,0.002,0.002,0.0,0.004,0.011,0.061,0.117,0.194,,,
baseline_random_1016_1459,random,dorothea_500_1000,,,,,0.0,246.316,0.002,0.002,0.0,0.004,0.011,0.061,0.117,0.194,,,
baseline_random_1016_1507,random,dorothea_500_1000,,,,,0.0,246.316,0.002,0.002,0.0,0.004,0.011,0.061,0.117,0.194,,,
baseline_random_1016_1615,random,dorothea_500_1000,,,,,0.003,246.679,0.002,0.002,0.0,0.004,0.017,0.05,0.09,0.17,,,
baseline_random_1016_1635,random,dorothea_500_1000,,,,,0.003,246.679,0.002,0.002,0.0,0.004,0.017,0.05,0.09,0.17,,,
baseline_smallestSuperset_1016_1445,smallestSuperset,dorothea_500_1000,,,,,0.363,36.029,0.363,0.002,0.0,1.0,0.39,0.483,0.597,0.796,,,
baseline_smallestSuperset_1016_1446,smallestSuperset,dorothea_500_1000,,,,,0.363,36.029,0.363,0.002,0.0,1.0,0.39,0.483,0.597,0.796,,,
baseline_smallestSuperset_1016_1459,smallestSuperset,dorothea_500_1000,,,,,0.363,36.029,0.363,0.002,0.0,1.0,0.39,0.483,0.597,0.796,,,
baseline_smallestSuperset_1016_1507,smallestSuperset,dorothea_500_1000,,,,,0.363,36.029,0.363,0.002,0.0,1.0,0.39,0.483,0.597,0.796,,,
baseline_smallestSuperset_1016_1615,smallestSuperset,dorothea_500_1000,,,,,0.395,38.466,0.4,0.002,0.0,1.0,0.416,0.478,0.573,0.771,,,
baseline_smallestSuperset_1016_1635,smallestSuperset,dorothea_500_1000,,,,,0.395,38.466,0.4,0.002,0.0,1.0,0.416,0.478,0.573,0.771,,,
