filename,model_type,network,num_nodes,num_possible_sources,avg_num_sources,avg_portion_affected,accuracy,avg rank of source,avg norm rank of source,avg prediction for source,avg prediction over all nodes,min prediction over all nodes,max prediction over all nodes,source in top 5,source in top 20,source in top 40,source in top 80,pdgrapher_perturbation_discovery,pdgrapher_response_prediction,gene_specific_metrics
baseline_advanced_random_1117_1146,advanced_random,dorothea_500_1000,,,,,0.003,145.199,0.29,0.004,0.002,0.0,0.008,0.019,0.074,0.147,0.29,,,
baseline_advanced_random_1117_1258,advanced_random,dorothea_500_1000,,,,,0.003,145.199,0.29,0.004,0.002,0.0,0.008,0.019,0.074,0.147,0.29,,,
baseline_overlap_1117_1146,overlap,dorothea_500_1000,,,,,0.026,101.625,0.203,0.032,0.002,0.0,0.967,0.21,0.298,0.389,0.54,,,
baseline_overlap_1117_1258,overlap,dorothea_500_1000,,,,,0.026,101.625,0.203,0.032,0.002,0.0,0.967,0.21,0.298,0.389,0.54,,,
baseline_random_1117_1146,random,dorothea_500_1000,,,,,0.002,248.82,0.498,0.002,0.002,0.0,0.004,0.01,0.041,0.083,0.166,,,
baseline_random_1117_1258,random,dorothea_500_1000,,,,,0.002,248.82,0.498,0.002,0.002,0.0,0.004,0.01,0.041,0.083,0.166,,,
baseline_smallestSuperset_1117_1146,smallestSuperset,dorothea_500_1000,,,,,0.025,245.765,0.492,0.023,0.002,0.0,1.0,0.036,0.063,0.12,0.187,,,
baseline_smallestSuperset_1117_1258,smallestSuperset,dorothea_500_1000,,,,,0.025,245.765,0.492,0.023,0.002,0.0,1.0,0.036,0.063,0.12,0.187,,,
pdgrapher_1117_1052,pdgrapher,dorothea_500_1000,500.0,279.0,1.0,0.503,0.007,134.993,0.27,0.288,-0.119,-1.769,0.889,0.025,0.086,0.171,0.324,"{'recall@1': 0.0024, 'recall@10': 0.0332, 'recall@100': 0.3469, 'recall@1000': 1.0, 'ranking_score': 0.7112, 'ranking_score_dcg': 0.1192, 'perc_partially_accurate_predictions': 0.24, 'recall@1_std': 0.0486, 'recall@10_std': 0.1792, 'recall@100_std': 0.476, 'recall@1000_std': 0.0, 'ranking_score_std': 0.1701, 'ranking_score_dcg_std': 0.0824, 'perc_partially_accurate_predictions_std': 4.86, 'total_samples': 4217, 'avg_topk': 355.5898}","{'forward_mae': -1, 'forward_mse': -1, 'forward_r2': -1, 'forward_r2_scgen': -1, 'forward_spearman': -1, 'backward_mae': -1, 'backward_mse': -1, 'backward_r2': -1, 'backward_r2_scgen': -1, 'backward_spearman': -1, 'backward_avg_topk': -1}","{'IRF3': {'gene_name': 'IRF3', 'gene_index': 195, 'total_samples': 4217, 'times_true_source': 0, 'times_predicted_source': 0, 'correct_predictions': 0, 'avg_prediction_prob': -0.306, 'avg_rank': 0.0, 'in_top20_count': 0, 'in_top40_count': 0, 'in_top80_count': 0, 'avg_rank_when_true': None, 'avg_prob_when_true': None, 'in_top20_when_true': 0, 'in_top40_when_true': 0, 'in_top80_when_true': 0, 'accuracy_when_true': None, 'precision': None, 'recall': None, 'f1_score': None}, 'ATF7': {'gene_name': 'ATF7', 'gene_index': 15, 'total_samples': 4217, 'times_true_source': 21, 'times_predicted_source': 0, 'correct_predictions': 0, 'avg_prediction_prob': 0.223, 'avg_rank': 0.0, 'in_top20_count': 0, 'in_top40_count': 0, 'in_top80_count': 0, 'avg_rank_when_true': 122.524, 'avg_prob_when_true': 0.285, 'in_top20_when_true': 1, 'in_top40_when_true': 5, 'in_top80_when_true': 7, 'accuracy_when_true': 0.0, 'precision': None, 'recall': 0.0, 'f1_score': None}, 'SREBF2': {'gene_name': 'SREBF2', 'gene_index': 402, 'total_samples': 4217, 'times_true_source': 16, 'times_predicted_source': 6, 'correct_predictions': 0, 'avg_prediction_prob': 0.391, 'avg_rank': 0.0, 'in_top20_count': 0, 'in_top40_count': 0, 'in_top80_count': 0, 'avg_rank_when_true': 85.938, 'avg_prob_when_true': 0.388, 'in_top20_when_true': 0, 'in_top40_when_true': 5, 'in_top80_when_true': 7, 'accuracy_when_true': 0.0, 'precision': 0.0, 'recall': 0.0, 'f1_score': None}, 'MYC': {'gene_name': 'MYC', 'gene_index': 260, 'total_samples': 4217, 'times_true_source': 20, 'times_predicted_source': 0, 'correct_predictions': 0, 'avg_prediction_prob': 0.355, 'avg_rank': 0.0, 'in_top20_count': 0, 'in_top40_count': 0, 'in_top80_count': 0, 'avg_rank_when_true': 92.95, 'avg_prob_when_true': 0.385, 'in_top20_when_true': 0, 'in_top40_when_true': 3, 'in_top80_when_true': 11, 'accuracy_when_true': 0.0, 'precision': None, 'recall': 0.0, 'f1_score': None}}"
pdgrapher_1117_1303,pdgrapher,dorothea_500_1000,500.0,279.0,1.0,0.503,0.005,135.605,0.271,0.281,-0.2,-1.891,1.158,0.027,0.094,0.18,0.316,"{'recall@1': 0.0043, 'recall@10': 0.0387, 'recall@100': 0.3427, 'recall@1000': 1.0, 'ranking_score': 0.7105, 'ranking_score_dcg': 0.121, 'perc_partially_accurate_predictions': 0.43, 'recall@1_std': 0.0652, 'recall@10_std': 0.1928, 'recall@100_std': 0.4746, 'recall@1000_std': 0.0, 'ranking_score_std': 0.1694, 'ranking_score_dcg_std': 0.0915, 'perc_partially_accurate_predictions_std': 6.52, 'total_samples': 4217, 'avg_topk': 355.2597}","{'forward_mae': -1, 'forward_mse': -1, 'forward_r2': -1, 'forward_r2_scgen': -1, 'forward_spearman': -1, 'backward_mae': -1, 'backward_mse': -1, 'backward_r2': -1, 'backward_r2_scgen': -1, 'backward_spearman': -1, 'backward_avg_topk': -1}","{'IRF3': {'gene_name': 'IRF3', 'gene_index': 195, 'total_samples': 4217, 'times_true_source': 0, 'times_predicted_source': 0, 'correct_predictions': 0, 'avg_prediction_prob': -1.125, 'avg_rank': 0.0, 'in_top20_count': 0, 'in_top40_count': 0, 'in_top80_count': 0, 'avg_rank_when_true': None, 'avg_prob_when_true': None, 'in_top20_when_true': 0, 'in_top40_when_true': 0, 'in_top80_when_true': 0, 'accuracy_when_true': None, 'precision': None, 'recall': None, 'f1_score': None}, 'ATF7': {'gene_name': 'ATF7', 'gene_index': 15, 'total_samples': 4217, 'times_true_source': 21, 'times_predicted_source': 2, 'correct_predictions': 1, 'avg_prediction_prob': 0.146, 'avg_rank': 0.0, 'in_top20_count': 0, 'in_top40_count': 0, 'in_top80_count': 0, 'avg_rank_when_true': 132.476, 'avg_prob_when_true': 0.263, 'in_top20_when_true': 2, 'in_top40_when_true': 3, 'in_top80_when_true': 6, 'accuracy_when_true': 0.048, 'precision': 0.5, 'recall': 0.048, 'f1_score': 0.087}, 'SREBF2': {'gene_name': 'SREBF2', 'gene_index': 402, 'total_samples': 4217, 'times_true_source': 16, 'times_predicted_source': 1, 'correct_predictions': 0, 'avg_prediction_prob': 0.317, 'avg_rank': 0.0, 'in_top20_count': 0, 'in_top40_count': 0, 'in_top80_count': 0, 'avg_rank_when_true': 133.562, 'avg_prob_when_true': 0.289, 'in_top20_when_true': 0, 'in_top40_when_true': 0, 'in_top80_when_true': 2, 'accuracy_when_true': 0.0, 'precision': 0.0, 'recall': 0.0, 'f1_score': None}, 'MYC': {'gene_name': 'MYC', 'gene_index': 260, 'total_samples': 4217, 'times_true_source': 20, 'times_predicted_source': 15, 'correct_predictions': 2, 'avg_prediction_prob': 0.461, 'avg_rank': 0.0, 'in_top20_count': 0, 'in_top40_count': 0, 'in_top80_count': 0, 'avg_rank_when_true': 47.55, 'avg_prob_when_true': 0.585, 'in_top20_when_true': 7, 'in_top40_when_true': 13, 'in_top80_when_true': 16, 'accuracy_when_true': 0.1, 'precision': 0.133, 'recall': 0.1, 'f1_score': 0.114}}"
