filename,model_type,network,num_nodes,num_possible_sources,avg_num_sources,avg_portion_affected,accuracy,avg rank of source,avg norm rank of source,avg prediction for source,avg prediction over all nodes,min prediction over all nodes,max prediction over all nodes,source in top 5,source in top 20,source in top 40,source in top 80,pdgrapher_perturbation_discovery,pdgrapher_response_prediction,gene_specific_metrics
baseline_advanced_random_1115_1435,advanced_random,dorothea_100_200,,,,,0.005,34.244,0.342,0.014,0.01,0.0,0.034,0.062,0.307,0.581,1.0,,,
baseline_advanced_random_1115_1917,advanced_random,dorothea_100_200,,,,,0.005,34.244,0.342,0.014,0.01,0.0,0.034,0.062,0.307,0.581,1.0,,,
baseline_advanced_random_1116_1703,advanced_random,dorothea_100_200,,,,,0.005,34.244,0.342,0.014,0.01,0.0,0.034,0.062,0.307,0.581,1.0,,,
baseline_advanced_random_1116_2147,advanced_random,dorothea_100_200,,,,,0.005,34.244,0.342,0.014,0.01,0.0,0.034,0.062,0.307,0.581,1.0,,,
baseline_advanced_random_1116_2241,advanced_random,dorothea_100_200,,,,,0.005,34.244,0.342,0.014,0.01,0.0,0.034,0.062,0.307,0.581,1.0,,,
baseline_overlap_1115_1435,overlap,dorothea_100_200,,,,,0.019,33.744,0.337,0.014,0.01,0.0,0.032,0.081,0.286,0.563,0.981,,,
baseline_overlap_1115_1917,overlap,dorothea_100_200,,,,,0.019,33.744,0.337,0.014,0.01,0.0,0.032,0.081,0.286,0.563,0.981,,,
baseline_overlap_1116_1703,overlap,dorothea_100_200,,,,,0.019,33.744,0.337,0.014,0.01,0.0,0.032,0.081,0.286,0.563,0.981,,,
baseline_overlap_1116_2147,overlap,dorothea_100_200,,,,,0.019,33.744,0.337,0.014,0.01,0.0,0.032,0.081,0.286,0.563,0.981,,,
baseline_overlap_1116_2241,overlap,dorothea_100_200,,,,,0.019,33.744,0.337,0.014,0.01,0.0,0.032,0.081,0.286,0.563,0.981,,,
baseline_random_1115_1435,random,dorothea_100_200,,,,,0.003,48.582,0.486,0.01,0.01,0.0,0.024,0.042,0.215,0.401,0.818,,,
baseline_random_1115_1917,random,dorothea_100_200,,,,,0.003,48.582,0.486,0.01,0.01,0.0,0.024,0.042,0.215,0.401,0.818,,,
baseline_random_1116_1703,random,dorothea_100_200,,,,,0.003,48.582,0.486,0.01,0.01,0.0,0.024,0.042,0.215,0.401,0.818,,,
baseline_random_1116_2147,random,dorothea_100_200,,,,,0.003,48.582,0.486,0.01,0.01,0.0,0.024,0.042,0.215,0.401,0.818,,,
