filename,model_type,network,num_nodes,num_possible_sources,avg_num_sources,avg_portion_affected,accuracy,avg rank of source,avg prediction for source,avg prediction over all nodes,min prediction over all nodes,max prediction over all nodes,source in top 3,source in top 5,gene_specific_metrics
baseline_advanced_random_0927_1952,advanced_random,dorothea_500_1250,,,,,0.005,237.509,0.002,0.002,0.0,0.009,0.009,0.015,
baseline_advanced_random_0929_0018,advanced_random,dorothea_500_1250,,,,,0.005,237.509,0.002,0.002,0.0,0.009,0.009,0.015,
baseline_jordan_0927_1952,jordan,dorothea_500_1250,,,,,0.0,298.411,0.0,0.002,0.0,1.0,0.001,0.001,
baseline_jordan_0929_0018,jordan,dorothea_500_1250,,,,,0.0,298.411,0.0,0.002,0.0,1.0,0.001,0.001,
baseline_overlap_0927_1952,overlap,dorothea_500_1250,,,,,0.0,282.697,0.008,0.002,0.0,0.997,0.026,0.028,
baseline_overlap_0929_0018,overlap,dorothea_500_1250,,,,,0.0,282.697,0.008,0.002,0.0,0.997,0.026,0.028,
baseline_random_0927_1952,random,dorothea_500_1250,,,,,0.004,252.483,0.002,0.002,0.0,0.004,0.007,0.014,
baseline_random_0929_0018,random,dorothea_500_1250,,,,,0.004,252.483,0.002,0.002,0.0,0.004,0.007,0.014,
baseline_smallestSuperset_0927_1952,smallestSuperset,dorothea_500_1250,,,,,0.0,238.422,0.002,0.002,0.0,1.0,0.023,0.023,
baseline_smallestSuperset_0929_0018,smallestSuperset,dorothea_500_1250,,,,,0.0,238.422,0.002,0.002,0.0,1.0,0.023,0.023,
