filename,model_type,network,num_nodes,num_possible_sources,avg_num_sources,avg_portion_affected,accuracy,avg rank of source,avg prediction for source,avg prediction over all nodes,min prediction over all nodes,max prediction over all nodes,source in top 3,source in top 5,gene_specific_metrics
baseline_advanced_random_0923_0226,advanced_random,dorothea_500_900,,,,,0.002,249.115,0.002,0.002,0.0,0.004,0.007,0.011,
baseline_advanced_random_0925_1831,advanced_random,dorothea_500_900,,,,,0.002,249.115,0.002,0.002,0.0,0.004,0.007,0.011,
baseline_advanced_random_0926_1649,advanced_random,dorothea_500_900,,,,,0.002,249.115,0.002,0.002,0.0,0.004,0.007,0.011,
baseline_advanced_random_0927_2117,advanced_random,dorothea_500_900,,,,,0.002,249.115,0.002,0.002,0.0,0.004,0.007,0.011,
baseline_advanced_random_0929_0141,advanced_random,dorothea_500_900,,,,,0.002,249.115,0.002,0.002,0.0,0.004,0.007,0.011,
baseline_jordan_0923_0226,jordan,dorothea_500_900,,,,,0.0,267.568,0.002,0.002,0.0,1.0,0.006,0.006,
baseline_jordan_0925_1831,jordan,dorothea_500_900,,,,,0.0,267.568,0.002,0.002,0.0,1.0,0.006,0.006,
baseline_jordan_0926_1649,jordan,dorothea_500_900,,,,,0.0,267.568,0.002,0.002,0.0,1.0,0.006,0.006,
baseline_jordan_0927_2117,jordan,dorothea_500_900,,,,,0.0,267.568,0.002,0.002,0.0,1.0,0.006,0.006,
baseline_jordan_0929_0141,jordan,dorothea_500_900,,,,,0.0,267.568,0.002,0.002,0.0,1.0,0.006,0.006,
baseline_overlap_0923_0226,overlap,dorothea_500_900,,,,,0.0,262.724,0.002,0.002,0.002,0.002,0.01,0.014,
baseline_overlap_0925_1831,overlap,dorothea_500_900,,,,,0.0,262.724,0.002,0.002,0.002,0.002,0.01,0.014,
baseline_overlap_0926_1649,overlap,dorothea_500_900,,,,,0.0,262.724,0.002,0.002,0.002,0.002,0.01,0.014,
baseline_overlap_0927_2117,overlap,dorothea_500_900,,,,,0.0,262.724,0.002,0.002,0.002,0.002,0.01,0.014,
baseline_overlap_0929_0141,overlap,dorothea_500_900,,,,,0.0,262.724,0.002,0.002,0.002,0.002,0.01,0.014,
baseline_random_0923_0226,random,dorothea_500_900,,,,,0.002,249.115,0.002,0.002,0.0,0.004,0.007,0.011,
baseline_random_0925_1831,random,dorothea_500_900,,,,,0.002,249.115,0.002,0.002,0.0,0.004,0.007,0.011,
baseline_random_0926_1649,random,dorothea_500_900,,,,,0.002,249.115,0.002,0.002,0.0,0.004,0.007,0.011,
baseline_random_0927_2117,random,dorothea_500_900,,,,,0.002,249.115,0.002,0.002,0.0,0.004,0.007,0.011,
