filename,model_type,network,num_nodes,num_possible_sources,avg_num_sources,avg_portion_affected,accuracy,avg rank of source,avg prediction for source,avg prediction over all nodes,min prediction over all nodes,max prediction over all nodes,source in top 5,source in top 20,source in top 40,source in top 80,gene_specific_metrics,pdgrapher_perturbation_discovery,pdgrapher_response_prediction
baseline_advanced_random_1018_1148,advanced_random,dorothea_100_500,,,,,0.011,50.271,0.01,0.01,0.0,0.025,0.047,0.197,0.386,0.784,,,
baseline_advanced_random_1018_1249,advanced_random,dorothea_100_500,,,,,0.009,49.46,0.01,0.01,0.0,0.025,0.047,0.201,0.398,0.802,,,
baseline_advanced_random_1018_1731,advanced_random,dorothea_100_500,,,,,0.009,49.46,0.01,0.01,0.0,0.025,0.047,0.201,0.398,0.802,,,
baseline_advanced_random_1018_2131,advanced_random,dorothea_100_500,,,,,0.009,49.46,0.01,0.01,0.0,0.025,0.047,0.201,0.398,0.802,,,
baseline_advanced_random_1019_0010,advanced_random,dorothea_100_500,,,,,0.009,49.46,0.01,0.01,0.0,0.025,0.047,0.201,0.398,0.802,,,
baseline_advanced_random_1019_1329,advanced_random,dorothea_100_500,,,,,0.009,49.46,0.01,0.01,0.0,0.025,0.047,0.201,0.398,0.802,,,
baseline_jordan_1018_1148,jordan,dorothea_100_500,,,,,0.007,49.596,0.01,0.01,0.005,0.019,0.038,0.201,0.374,0.811,,,
baseline_jordan_1018_1249,jordan,dorothea_100_500,,,,,0.01,49.287,0.01,0.01,0.004,0.02,0.056,0.206,0.398,0.786,,,
baseline_jordan_1018_1731,jordan,dorothea_100_500,,,,,0.01,49.287,0.01,0.01,0.004,0.02,0.056,0.206,0.398,0.786,,,
baseline_jordan_1018_2131,jordan,dorothea_100_500,,,,,0.01,49.287,0.01,0.01,0.004,0.02,0.056,0.206,0.398,0.786,,,
baseline_jordan_1019_0010,jordan,dorothea_100_500,,,,,0.01,49.287,0.01,0.01,0.004,0.02,0.056,0.206,0.398,0.786,,,
baseline_jordan_1019_1329,jordan,dorothea_100_500,,,,,0.01,49.287,0.01,0.01,0.004,0.02,0.056,0.206,0.398,0.786,,,
baseline_overlap_1018_1148,overlap,dorothea_100_500,,,,,0.011,48.728,0.01,0.01,0.01,0.01,0.056,0.199,0.388,0.798,,,
baseline_overlap_1018_1249,overlap,dorothea_100_500,,,,,0.011,49.449,0.01,0.01,0.01,0.01,0.055,0.204,0.397,0.784,,,
baseline_overlap_1018_1731,overlap,dorothea_100_500,,,,,0.011,49.449,0.01,0.01,0.01,0.01,0.055,0.204,0.397,0.784,,,
baseline_overlap_1018_2131,overlap,dorothea_100_500,,,,,0.011,49.449,0.01,0.01,0.01,0.01,0.055,0.204,0.397,0.784,,,
baseline_overlap_1019_0010,overlap,dorothea_100_500,,,,,0.011,49.449,0.01,0.01,0.01,0.01,0.055,0.204,0.397,0.784,,,
baseline_overlap_1019_1329,overlap,dorothea_100_500,,,,,0.011,49.449,0.01,0.01,0.01,0.01,0.055,0.204,0.397,0.784,,,
baseline_random_1018_1148,random,dorothea_100_500,,,,,0.011,50.271,0.01,0.01,0.0,0.025,0.047,0.197,0.386,0.784,,,
baseline_random_1018_1249,random,dorothea_100_500,,,,,0.009,49.46,0.01,0.01,0.0,0.025,0.047,0.201,0.398,0.802,,,
baseline_random_1018_1731,random,dorothea_100_500,,,,,0.009,49.46,0.01,0.01,0.0,0.025,0.047,0.201,0.398,0.802,,,
baseline_random_1018_2131,random,dorothea_100_500,,,,,0.009,49.46,0.01,0.01,0.0,0.025,0.047,0.201,0.398,0.802,,,
