filename,model_type,network,num_nodes,num_possible_sources,avg_num_sources,avg_portion_affected,accuracy,avg rank of source,avg prediction for source,avg prediction over all nodes,min prediction over all nodes,max prediction over all nodes,source in top 5,source in top 20,source in top 40,source in top 80,gene_specific_metrics,pdgrapher_perturbation_discovery,pdgrapher_response_prediction
baseline_advanced_random_1018_1147,advanced_random,dorothea_100_500,,,,,0.011,50.271,0.01,0.01,0.0,0.025,0.047,0.197,0.386,0.784,,,
baseline_advanced_random_1018_1237,advanced_random,dorothea_100_500,,,,,0.009,49.46,0.01,0.01,0.0,0.025,0.047,0.201,0.398,0.802,,,
baseline_advanced_random_1018_1721,advanced_random,dorothea_100_500,,,,,0.009,49.46,0.01,0.01,0.0,0.025,0.047,0.201,0.398,0.802,,,
baseline_advanced_random_1018_2121,advanced_random,dorothea_100_500,,,,,0.009,49.46,0.01,0.01,0.0,0.025,0.047,0.201,0.398,0.802,,,
baseline_advanced_random_1019_0001,advanced_random,dorothea_100_500,,,,,0.009,49.46,0.01,0.01,0.0,0.025,0.047,0.201,0.398,0.802,,,
baseline_advanced_random_1019_1319,advanced_random,dorothea_100_500,,,,,0.009,49.46,0.01,0.01,0.0,0.025,0.047,0.201,0.398,0.802,,,
baseline_jordan_1018_1147,jordan,dorothea_100_500,,,,,0.034,17.326,0.032,0.01,0.0,0.2,0.157,0.591,0.96,1.0,,,
baseline_jordan_1018_1237,jordan,dorothea_100_500,,,,,0.036,17.212,0.032,0.01,0.0,0.2,0.158,0.595,0.963,1.0,,,
baseline_jordan_1018_1721,jordan,dorothea_100_500,,,,,0.036,17.212,0.032,0.01,0.0,0.2,0.158,0.595,0.963,1.0,,,
baseline_jordan_1018_2121,jordan,dorothea_100_500,,,,,0.036,17.212,0.032,0.01,0.0,0.2,0.158,0.595,0.963,1.0,,,
baseline_jordan_1019_0001,jordan,dorothea_100_500,,,,,0.036,17.212,0.032,0.01,0.0,0.2,0.158,0.595,0.963,1.0,,,
baseline_jordan_1019_1319,jordan,dorothea_100_500,,,,,0.036,17.212,0.032,0.01,0.0,0.2,0.158,0.595,0.963,1.0,,,
baseline_overlap_1018_1147,overlap,dorothea_100_500,,,,,0.034,17.326,0.032,0.01,0.0,0.2,0.157,0.591,0.96,1.0,,,
baseline_overlap_1018_1237,overlap,dorothea_100_500,,,,,0.036,17.212,0.032,0.01,0.0,0.2,0.158,0.595,0.963,1.0,,,
baseline_overlap_1018_1721,overlap,dorothea_100_500,,,,,0.036,17.212,0.032,0.01,0.0,0.2,0.158,0.595,0.963,1.0,,,
baseline_overlap_1018_2121,overlap,dorothea_100_500,,,,,0.036,17.212,0.032,0.01,0.0,0.2,0.158,0.595,0.963,1.0,,,
baseline_overlap_1019_0001,overlap,dorothea_100_500,,,,,0.036,17.212,0.032,0.01,0.0,0.2,0.158,0.595,0.963,1.0,,,
baseline_overlap_1019_1319,overlap,dorothea_100_500,,,,,0.036,17.212,0.032,0.01,0.0,0.2,0.158,0.595,0.963,1.0,,,
baseline_random_1018_1147,random,dorothea_100_500,,,,,0.011,50.271,0.01,0.01,0.0,0.025,0.047,0.197,0.386,0.784,,,
baseline_random_1018_1237,random,dorothea_100_500,,,,,0.009,49.46,0.01,0.01,0.0,0.025,0.047,0.201,0.398,0.802,,,
baseline_random_1018_1721,random,dorothea_100_500,,,,,0.009,49.46,0.01,0.01,0.0,0.025,0.047,0.201,0.398,0.802,,,
baseline_random_1018_2121,random,dorothea_100_500,,,,,0.009,49.46,0.01,0.01,0.0,0.025,0.047,0.201,0.398,0.802,,,
baseline_random_1019_0001,random,dorothea_100_500,,,,,0.009,49.46,0.01,0.01,0.0,0.025,0.047,0.201,0.398,0.802,,,
baseline_random_1019_1319,random,dorothea_100_500,,,,,0.009,49.46,0.01,0.01,0.0,0.025,0.047,0.201,0.398,0.802,,,
baseline_smallestSuperset_1018_1147,smallestSuperset,dorothea_100_500,,,,,0.011,48.728,0.01,0.01,0.01,0.01,0.056,0.199,0.388,0.798,,,
baseline_smallestSuperset_1018_1237,smallestSuperset,dorothea_100_500,,,,,0.011,49.449,0.01,0.01,0.01,0.01,0.055,0.204,0.397,0.784,,,
baseline_smallestSuperset_1018_1721,smallestSuperset,dorothea_100_500,,,,,0.011,49.449,0.01,0.01,0.01,0.01,0.055,0.204,0.397,0.784,,,
baseline_smallestSuperset_1018_2121,smallestSuperset,dorothea_100_500,,,,,0.011,49.449,0.01,0.01,0.01,0.01,0.055,0.204,0.397,0.784,,,
baseline_smallestSuperset_1019_0001,smallestSuperset,dorothea_100_500,,,,,0.011,49.449,0.01,0.01,0.01,0.01,0.055,0.204,0.397,0.784,,,
baseline_smallestSuperset_1019_1319,smallestSuperset,dorothea_100_500,,,,,0.011,49.449,0.01,0.01,0.01,0.01,0.055,0.204,0.397,0.784,,,
gat_1018_1307,gat,dorothea_100_500,100.0,89.0,1.0,0.346,0.037,17.002,0.23,0.079,0.0,0.239,0.149,0.616,0.96,1.0,"{'IRF3': {'gene_name': 'IRF3', 'gene_index': 37, 'total_samples': 19993, 'times_true_source': 225, 'times_predicted_source': 1, 'correct_predictions': 1, 'avg_prediction_prob': 0.054, 'avg_rank': 0.0, 'in_top20_count': 0, 'in_top40_count': 0, 'in_top80_count': 0, 'avg_rank_when_true': 6.107, 'avg_prob_when_true': 0.239, 'in_top20_when_true': 225, 'in_top40_when_true': 225, 'in_top80_when_true': 225, 'accuracy_when_true': 0.004, 'precision': 1.0, 'recall': 0.004, 'f1_score': 0.009}, 'ATF7': {'gene_name': 'ATF7', 'gene_index': 3, 'total_samples': 19993, 'times_true_source': 200, 'times_predicted_source': 5582, 'correct_predictions': 45, 'avg_prediction_prob': 0.139, 'avg_rank': 0.0, 'in_top20_count': 0, 'in_top40_count': 0, 'in_top80_count': 0, 'avg_rank_when_true': 15.745, 'avg_prob_when_true': 0.239, 'in_top20_when_true': 151, 'in_top40_when_true': 200, 'in_top80_when_true': 200, 'accuracy_when_true': 0.225, 'precision': 0.008, 'recall': 0.225, 'f1_score': 0.016}, 'MYC': {'gene_name': 'MYC', 'gene_index': 50, 'total_samples': 19993, 'times_true_source': 222, 'times_predicted_source': 0, 'correct_predictions': 0, 'avg_prediction_prob': 0.188, 'avg_rank': 0.0, 'in_top20_count': 0, 'in_top40_count': 0, 'in_top80_count': 0, 'avg_rank_when_true': 28.0, 'avg_prob_when_true': 0.217, 'in_top20_when_true': 42, 'in_top40_when_true': 191, 'in_top80_when_true': 222, 'accuracy_when_true': 0.0, 'precision': None, 'recall': 0.0, 'f1_score': None}}",,
