filename,model_type,network,num_nodes,num_possible_sources,avg_num_sources,avg_portion_affected,accuracy,avg rank of source,avg prediction for source,avg prediction over all nodes,min prediction over all nodes,max prediction over all nodes,source in top 5,source in top 20,source in top 40,source in top 80,gene_specific_metrics,pdgrapher_perturbation_discovery,pdgrapher_response_prediction
baseline_advanced_random_1018_1339,advanced_random,dorothea_500_550,,,,,0.001,247.406,0.002,0.002,0.0,0.004,0.008,0.035,0.071,0.159,,,
baseline_advanced_random_1018_1736,advanced_random,dorothea_500_550,,,,,0.001,247.406,0.002,0.002,0.0,0.004,0.008,0.035,0.071,0.159,,,
baseline_advanced_random_1018_2135,advanced_random,dorothea_500_550,,,,,0.001,247.406,0.002,0.002,0.0,0.004,0.008,0.035,0.071,0.159,,,
baseline_advanced_random_1019_0010,advanced_random,dorothea_500_550,,,,,0.001,247.406,0.002,0.002,0.0,0.004,0.008,0.035,0.071,0.159,,,
baseline_advanced_random_1019_1331,advanced_random,dorothea_500_550,,,,,0.001,247.406,0.002,0.002,0.0,0.004,0.008,0.035,0.071,0.159,,,
baseline_jordan_1018_1339,jordan,dorothea_500_550,,,,,0.0,241.493,0.002,0.002,0.0,0.004,0.001,0.002,0.003,0.104,,,
baseline_jordan_1018_1736,jordan,dorothea_500_550,,,,,0.0,241.493,0.002,0.002,0.0,0.004,0.001,0.002,0.003,0.104,,,
baseline_jordan_1018_2135,jordan,dorothea_500_550,,,,,0.0,241.493,0.002,0.002,0.0,0.004,0.001,0.002,0.003,0.104,,,
baseline_jordan_1019_0010,jordan,dorothea_500_550,,,,,0.0,241.493,0.002,0.002,0.0,0.004,0.001,0.002,0.003,0.104,,,
baseline_jordan_1019_1331,jordan,dorothea_500_550,,,,,0.0,241.493,0.002,0.002,0.0,0.004,0.001,0.002,0.003,0.104,,,
baseline_overlap_1018_1339,overlap,dorothea_500_550,,,,,0.004,233.125,0.002,0.002,0.002,0.002,0.026,0.029,0.142,0.202,,,
baseline_overlap_1018_1736,overlap,dorothea_500_550,,,,,0.004,233.125,0.002,0.002,0.002,0.002,0.026,0.029,0.142,0.202,,,
baseline_overlap_1018_2135,overlap,dorothea_500_550,,,,,0.004,233.125,0.002,0.002,0.002,0.002,0.026,0.029,0.142,0.202,,,
baseline_overlap_1019_0010,overlap,dorothea_500_550,,,,,0.004,233.125,0.002,0.002,0.002,0.002,0.026,0.029,0.142,0.202,,,
baseline_overlap_1019_1331,overlap,dorothea_500_550,,,,,0.004,233.125,0.002,0.002,0.002,0.002,0.026,0.029,0.142,0.202,,,
