filename,model_type,network,num_nodes,num_possible_sources,avg_num_sources,avg_portion_affected,accuracy,avg rank of source,avg prediction for source,avg prediction over all nodes,min prediction over all nodes,max prediction over all nodes,source in top 5,source in top 20,source in top 40,source in top 80,avg norm rank of source,gene_specific_metrics,pdgrapher_perturbation_discovery,pdgrapher_response_prediction
baseline_advanced_random_1020_1038,advanced_random,dorothea_500_550,,,,,0.004,122.561,0.004,0.002,0.0,0.009,0.02,0.081,0.165,0.326,,,,
baseline_advanced_random_1021_0055,advanced_random,dorothea_500_550,,,,,0.004,122.561,0.004,0.002,0.0,0.009,0.02,0.081,0.165,0.326,,,,
baseline_advanced_random_1022_1605,advanced_random,dorothea_500_550,,,,,0.004,122.561,0.004,0.002,0.0,0.009,0.02,0.081,0.165,0.326,,,,
baseline_advanced_random_1022_1713,advanced_random,dorothea_500_550,,,,,0.004,122.561,0.004,0.002,0.0,0.009,0.02,0.081,0.165,0.326,,,,
baseline_advanced_random_1025_2059,advanced_random,dorothea_500_550,,,,,0.004,122.561,0.004,0.002,0.0,0.009,0.02,0.081,0.165,0.326,,,,
baseline_advanced_random_1026_1616,advanced_random,dorothea_500_550,,,,,0.004,122.561,0.004,0.002,0.0,0.009,0.02,0.081,0.165,0.326,,,,
baseline_advanced_random_1027_0205,advanced_random,dorothea_500_550,,,,,0.004,122.561,0.004,0.002,0.0,0.009,0.02,0.081,0.165,0.326,,,,
baseline_advanced_random_1027_1120,advanced_random,dorothea_500_550,,,,,0.004,122.561,0.004,0.002,0.0,0.009,0.02,0.081,0.165,0.326,,,,
baseline_advanced_random_1027_1416,advanced_random,dorothea_500_550,,,,,0.004,122.561,0.004,0.002,0.0,0.009,0.02,0.081,0.165,0.326,,,,
baseline_advanced_random_1028_2349,advanced_random,dorothea_500_550,,,,,0.004,122.561,0.004,0.002,0.0,0.009,0.02,0.081,0.165,0.326,0.245,,,
baseline_jordan_1020_1038,jordan,dorothea_500_550,,,,,0.283,87.269,0.227,0.002,0.0,1.0,0.561,0.669,0.702,0.712,,,,
baseline_jordan_1021_0055,jordan,dorothea_500_550,,,,,0.283,87.269,0.227,0.002,0.0,1.0,0.561,0.669,0.702,0.712,,,,
baseline_jordan_1022_1605,jordan,dorothea_500_550,,,,,0.283,87.269,0.227,0.002,0.0,1.0,0.561,0.669,0.702,0.712,,,,
baseline_jordan_1022_1713,jordan,dorothea_500_550,,,,,0.283,87.269,0.227,0.002,0.0,1.0,0.561,0.669,0.702,0.712,,,,
baseline_jordan_1025_2059,jordan,dorothea_500_550,,,,,0.283,87.269,0.227,0.002,0.0,1.0,0.561,0.669,0.702,0.712,,,,
baseline_jordan_1026_1616,jordan,dorothea_500_550,,,,,0.283,87.269,0.227,0.002,0.0,1.0,0.561,0.669,0.702,0.712,,,,
baseline_jordan_1027_0205,jordan,dorothea_500_550,,,,,0.283,87.269,0.227,0.002,0.0,1.0,0.561,0.669,0.702,0.712,,,,
baseline_jordan_1027_1120,jordan,dorothea_500_550,,,,,0.283,87.269,0.227,0.002,0.0,1.0,0.561,0.669,0.702,0.712,,,,
baseline_jordan_1027_1416,jordan,dorothea_500_550,,,,,0.283,87.269,0.227,0.002,0.0,1.0,0.561,0.669,0.702,0.712,,,,
baseline_jordan_1028_2349,jordan,dorothea_500_550,,,,,0.283,87.269,0.227,0.002,0.0,1.0,0.561,0.669,0.702,0.712,0.175,,,
baseline_overlap_1020_1038,overlap,dorothea_500_550,,,,,0.267,12.481,0.118,0.002,0.0,0.875,0.908,0.959,0.963,0.964,,,,
baseline_overlap_1021_0055,overlap,dorothea_500_550,,,,,0.267,12.481,0.118,0.002,0.0,0.875,0.908,0.959,0.963,0.964,,,,
baseline_overlap_1022_1605,overlap,dorothea_500_550,,,,,0.267,12.481,0.118,0.002,0.0,0.875,0.908,0.959,0.963,0.964,,,,
baseline_overlap_1022_1713,overlap,dorothea_500_550,,,,,0.267,12.481,0.118,0.002,0.0,0.875,0.908,0.959,0.963,0.964,,,,
baseline_overlap_1025_2059,overlap,dorothea_500_550,,,,,0.267,12.481,0.118,0.002,0.0,0.875,0.908,0.959,0.963,0.964,,,,
baseline_overlap_1026_1616,overlap,dorothea_500_550,,,,,0.267,12.481,0.118,0.002,0.0,0.875,0.908,0.959,0.963,0.964,,,,
baseline_overlap_1027_0205,overlap,dorothea_500_550,,,,,0.267,12.481,0.118,0.002,0.0,0.875,0.908,0.959,0.963,0.964,,,,
baseline_overlap_1027_1120,overlap,dorothea_500_550,,,,,0.267,12.481,0.118,0.002,0.0,0.875,0.908,0.959,0.963,0.964,,,,
baseline_overlap_1027_1416,overlap,dorothea_500_550,,,,,0.267,12.481,0.118,0.002,0.0,0.875,0.908,0.959,0.963,0.964,,,,
baseline_overlap_1028_2349,overlap,dorothea_500_550,,,,,0.267,12.481,0.118,0.002,0.0,0.875,0.908,0.959,0.963,0.964,0.025,,,
baseline_random_1020_1038,random,dorothea_500_550,,,,,0.002,249.529,0.002,0.002,0.0,0.004,0.009,0.041,0.082,0.164,,,,
baseline_random_1021_0055,random,dorothea_500_550,,,,,0.002,249.529,0.002,0.002,0.0,0.004,0.009,0.041,0.082,0.164,,,,
baseline_random_1022_1605,random,dorothea_500_550,,,,,0.002,249.529,0.002,0.002,0.0,0.004,0.009,0.041,0.082,0.164,,,,
baseline_random_1022_1713,random,dorothea_500_550,,,,,0.002,249.529,0.002,0.002,0.0,0.004,0.009,0.041,0.082,0.164,,,,
baseline_random_1025_2059,random,dorothea_500_550,,,,,0.002,249.529,0.002,0.002,0.0,0.004,0.009,0.041,0.082,0.164,,,,
baseline_random_1026_1616,random,dorothea_500_550,,,,,0.002,249.529,0.002,0.002,0.0,0.004,0.009,0.041,0.082,0.164,,,,
baseline_random_1027_0205,random,dorothea_500_550,,,,,0.002,249.529,0.002,0.002,0.0,0.004,0.009,0.041,0.082,0.164,,,,
baseline_random_1027_1120,random,dorothea_500_550,,,,,0.002,249.529,0.002,0.002,0.0,0.004,0.009,0.041,0.082,0.164,,,,
baseline_random_1027_1416,random,dorothea_500_550,,,,,0.002,249.529,0.002,0.002,0.0,0.004,0.009,0.041,0.082,0.164,,,,
baseline_random_1028_2349,random,dorothea_500_550,,,,,0.002,249.529,0.002,0.002,0.0,0.004,0.009,0.041,0.082,0.164,0.499,,,
baseline_smallestSuperset_1020_1038,smallestSuperset,dorothea_500_550,,,,,0.307,172.287,0.307,0.002,0.0,1.0,0.324,0.347,0.393,0.431,,,,
baseline_smallestSuperset_1021_0055,smallestSuperset,dorothea_500_550,,,,,0.307,172.287,0.307,0.002,0.0,1.0,0.324,0.347,0.393,0.431,,,,
baseline_smallestSuperset_1022_1605,smallestSuperset,dorothea_500_550,,,,,0.307,172.287,0.307,0.002,0.0,1.0,0.324,0.347,0.393,0.431,,,,
baseline_smallestSuperset_1022_1713,smallestSuperset,dorothea_500_550,,,,,0.307,172.287,0.307,0.002,0.0,1.0,0.324,0.347,0.393,0.431,,,,
baseline_smallestSuperset_1025_2059,smallestSuperset,dorothea_500_550,,,,,0.307,172.287,0.307,0.002,0.0,1.0,0.324,0.347,0.393,0.431,,,,
baseline_smallestSuperset_1026_1616,smallestSuperset,dorothea_500_550,,,,,0.307,172.287,0.307,0.002,0.0,1.0,0.324,0.347,0.393,0.431,,,,
baseline_smallestSuperset_1027_0205,smallestSuperset,dorothea_500_550,,,,,0.307,172.287,0.307,0.002,0.0,1.0,0.324,0.347,0.393,0.431,,,,
baseline_smallestSuperset_1027_1120,smallestSuperset,dorothea_500_550,,,,,0.307,172.287,0.307,0.002,0.0,1.0,0.324,0.347,0.393,0.431,,,,
baseline_smallestSuperset_1027_1416,smallestSuperset,dorothea_500_550,,,,,0.307,172.287,0.307,0.002,0.0,1.0,0.324,0.347,0.393,0.431,,,,
baseline_smallestSuperset_1028_2349,smallestSuperset,dorothea_500_550,,,,,0.307,172.287,0.307,0.002,0.0,1.0,0.324,0.347,0.393,0.431,0.345,,,
gat_1020_1152,gat,dorothea_500_550,500.0,246.0,1.0,0.032,0.004,174.226,0.027,0.019,0.005,0.041,0.021,0.081,0.163,0.318,,"{'IRF3': {'gene_name': 'IRF3', 'gene_index': 195, 'total_samples': 22042, 'times_true_source': 0, 'times_predicted_source': 0, 'correct_predictions': 0, 'avg_prediction_prob': 0.012, 'avg_rank': 0.0, 'in_top20_count': 0, 'in_top40_count': 0, 'in_top80_count': 0, 'avg_rank_when_true': None, 'avg_prob_when_true': None, 'in_top20_when_true': 0, 'in_top40_when_true': 0, 'in_top80_when_true': 0, 'accuracy_when_true': None, 'precision': None, 'recall': None, 'f1_score': None}, 'ATF7': {'gene_name': 'ATF7', 'gene_index': 15, 'total_samples': 22042, 'times_true_source': 74, 'times_predicted_source': 163, 'correct_predictions': 0, 'avg_prediction_prob': 0.04, 'avg_rank': 0.0, 'in_top20_count': 0, 'in_top40_count': 0, 'in_top80_count': 0, 'avg_rank_when_true': 64.5, 'avg_prob_when_true': 0.041, 'in_top20_when_true': 10, 'in_top40_when_true': 18, 'in_top80_when_true': 51, 'accuracy_when_true': 0.0, 'precision': 0.0, 'recall': 0.0, 'f1_score': None}, 'SREBF2': {'gene_name': 'SREBF2', 'gene_index': 402, 'total_samples': 22042, 'times_true_source': 88, 'times_predicted_source': 0, 'correct_predictions': 0, 'avg_prediction_prob': 0.011, 'avg_rank': 0.0, 'in_top20_count': 0, 'in_top40_count': 0, 'in_top80_count': 0, 'avg_rank_when_true': 396.795, 'avg_prob_when_true': 0.011, 'in_top20_when_true': 0, 'in_top40_when_true': 0, 'in_top80_when_true': 0, 'accuracy_when_true': 0.0, 'precision': None, 'recall': 0.0, 'f1_score': None}, 'MYC': {'gene_name': 'MYC', 'gene_index': 260, 'total_samples': 22042, 'times_true_source': 0, 'times_predicted_source': 0, 'correct_predictions': 0, 'avg_prediction_prob': 0.013, 'avg_rank': 0.0, 'in_top20_count': 0, 'in_top40_count': 0, 'in_top80_count': 0, 'avg_rank_when_true': None, 'avg_prob_when_true': None, 'in_top20_when_true': 0, 'in_top40_when_true': 0, 'in_top80_when_true': 0, 'accuracy_when_true': None, 'precision': None, 'recall': None, 'f1_score': None}}",,
