filename,model_type,network,num_nodes,num_possible_sources,avg_num_sources,avg_portion_affected,accuracy,avg rank of source,avg prediction for source,avg prediction over all nodes,min prediction over all nodes,max prediction over all nodes,source in top 5,source in top 20,source in top 40,source in top 80,avg norm rank of source,gene_specific_metrics,pdgrapher_perturbation_discovery,pdgrapher_response_prediction
baseline_advanced_random_1021_0231,advanced_random,dorothea_500_550,,,,,0.002,249.529,0.002,0.002,0.0,0.004,0.009,0.041,0.082,0.164,,,,
baseline_advanced_random_1025_2243,advanced_random,dorothea_500_550,,,,,0.002,249.529,0.002,0.002,0.0,0.004,0.009,0.041,0.082,0.164,,,,
baseline_advanced_random_1026_1757,advanced_random,dorothea_500_550,,,,,0.002,249.529,0.002,0.002,0.0,0.004,0.009,0.041,0.082,0.164,,,,
baseline_advanced_random_1027_0348,advanced_random,dorothea_500_550,,,,,0.002,249.529,0.002,0.002,0.0,0.004,0.009,0.041,0.082,0.164,,,,
baseline_advanced_random_1027_1259,advanced_random,dorothea_500_550,,,,,0.002,249.529,0.002,0.002,0.0,0.004,0.009,0.041,0.082,0.164,,,,
baseline_advanced_random_1027_1600,advanced_random,dorothea_500_550,,,,,0.002,249.529,0.002,0.002,0.0,0.004,0.009,0.041,0.082,0.164,,,,
baseline_advanced_random_1029_0133,advanced_random,dorothea_500_550,,,,,0.002,249.529,0.002,0.002,0.0,0.004,0.009,0.041,0.082,0.164,0.499,,,
baseline_jordan_1021_0231,jordan,dorothea_500_550,,,,,0.0,253.718,0.001,0.002,0.0,1.0,0.006,0.054,0.099,0.154,,,,
baseline_jordan_1025_2243,jordan,dorothea_500_550,,,,,0.0,253.718,0.001,0.002,0.0,1.0,0.006,0.054,0.099,0.154,,,,
baseline_jordan_1026_1757,jordan,dorothea_500_550,,,,,0.0,253.718,0.001,0.002,0.0,1.0,0.006,0.054,0.099,0.154,,,,
baseline_jordan_1027_0348,jordan,dorothea_500_550,,,,,0.0,253.718,0.001,0.002,0.0,1.0,0.006,0.054,0.099,0.154,,,,
baseline_jordan_1027_1259,jordan,dorothea_500_550,,,,,0.0,253.718,0.001,0.002,0.0,1.0,0.006,0.054,0.099,0.154,,,,
baseline_jordan_1027_1600,jordan,dorothea_500_550,,,,,0.0,253.718,0.001,0.002,0.0,1.0,0.006,0.054,0.099,0.154,,,,
baseline_jordan_1029_0133,jordan,dorothea_500_550,,,,,0.0,253.718,0.001,0.002,0.0,1.0,0.006,0.054,0.099,0.154,0.507,,,
baseline_overlap_1021_0231,overlap,dorothea_500_550,,,,,0.005,251.79,0.002,0.002,0.002,0.002,0.017,0.044,0.094,0.155,,,,
baseline_overlap_1025_2243,overlap,dorothea_500_550,,,,,0.005,251.79,0.002,0.002,0.002,0.002,0.017,0.044,0.094,0.155,,,,
baseline_overlap_1026_1757,overlap,dorothea_500_550,,,,,0.005,251.79,0.002,0.002,0.002,0.002,0.017,0.044,0.094,0.155,,,,
baseline_overlap_1027_0348,overlap,dorothea_500_550,,,,,0.005,251.79,0.002,0.002,0.002,0.002,0.017,0.044,0.094,0.155,,,,
baseline_overlap_1027_1259,overlap,dorothea_500_550,,,,,0.005,251.79,0.002,0.002,0.002,0.002,0.017,0.044,0.094,0.155,,,,
baseline_overlap_1027_1600,overlap,dorothea_500_550,,,,,0.005,251.79,0.002,0.002,0.002,0.002,0.017,0.044,0.094,0.155,,,,
baseline_overlap_1029_0133,overlap,dorothea_500_550,,,,,0.005,251.79,0.002,0.002,0.002,0.002,0.017,0.044,0.094,0.155,0.504,,,
baseline_random_1021_0231,random,dorothea_500_550,,,,,0.002,249.529,0.002,0.002,0.0,0.004,0.009,0.041,0.082,0.164,,,,
baseline_random_1025_2243,random,dorothea_500_550,,,,,0.002,249.529,0.002,0.002,0.0,0.004,0.009,0.041,0.082,0.164,,,,
baseline_random_1026_1757,random,dorothea_500_550,,,,,0.002,249.529,0.002,0.002,0.0,0.004,0.009,0.041,0.082,0.164,,,,
baseline_random_1027_0348,random,dorothea_500_550,,,,,0.002,249.529,0.002,0.002,0.0,0.004,0.009,0.041,0.082,0.164,,,,
baseline_random_1027_1259,random,dorothea_500_550,,,,,0.002,249.529,0.002,0.002,0.0,0.004,0.009,0.041,0.082,0.164,,,,
baseline_random_1027_1600,random,dorothea_500_550,,,,,0.002,249.529,0.002,0.002,0.0,0.004,0.009,0.041,0.082,0.164,,,,
baseline_random_1029_0133,random,dorothea_500_550,,,,,0.002,249.529,0.002,0.002,0.0,0.004,0.009,0.041,0.082,0.164,0.499,,,
baseline_smallestSuperset_1021_0231,smallestSuperset,dorothea_500_550,,,,,0.005,251.79,0.002,0.002,0.002,0.002,0.017,0.044,0.094,0.155,,,,
baseline_smallestSuperset_1025_2243,smallestSuperset,dorothea_500_550,,,,,0.005,251.79,0.002,0.002,0.002,0.002,0.017,0.044,0.094,0.155,,,,
baseline_smallestSuperset_1026_1757,smallestSuperset,dorothea_500_550,,,,,0.005,251.79,0.002,0.002,0.002,0.002,0.017,0.044,0.094,0.155,,,,
baseline_smallestSuperset_1027_0348,smallestSuperset,dorothea_500_550,,,,,0.005,251.79,0.002,0.002,0.002,0.002,0.017,0.044,0.094,0.155,,,,
baseline_smallestSuperset_1027_1259,smallestSuperset,dorothea_500_550,,,,,0.005,251.79,0.002,0.002,0.002,0.002,0.017,0.044,0.094,0.155,,,,
baseline_smallestSuperset_1027_1600,smallestSuperset,dorothea_500_550,,,,,0.005,251.79,0.002,0.002,0.002,0.002,0.017,0.044,0.094,0.155,,,,
