filename,model_type,network,num_nodes,num_possible_sources,avg_num_sources,avg_portion_affected,accuracy,avg rank of source,avg prediction for source,avg prediction over all nodes,min prediction over all nodes,max prediction over all nodes,source in top 3,source in top 5,source in top 20,source in top 40,source in top 80,gene_specific_metrics
baseline_advanced_random_1002_1640,advanced_random,dorothea_500_1000,,,,,0.001,253.321,0.002,0.002,0.0,0.008,0.005,0.008,,,,
baseline_advanced_random_1006_1202,advanced_random,dorothea_500_1000,,,,,0.001,253.321,0.002,0.002,0.0,0.008,0.005,0.008,,,,
baseline_advanced_random_1006_1416,advanced_random,dorothea_500_1000,,,,,0.001,253.321,0.002,0.002,0.0,0.008,0.005,0.008,,,,
baseline_advanced_random_1006_1423,advanced_random,dorothea_500_1000,,,,,0.001,253.321,0.002,0.002,0.0,0.008,0.005,0.008,,,,
baseline_advanced_random_1006_1435,advanced_random,dorothea_500_1000,,,,,0.001,253.321,0.002,0.002,0.0,0.008,0.005,0.008,,,,
baseline_advanced_random_1007_2318,advanced_random,dorothea_500_1000,,,,,0.003,260.579,0.002,0.002,0.0,0.008,0.006,0.009,,,,
baseline_advanced_random_1009_0013,advanced_random,dorothea_500_1000,,,,,0.003,260.579,0.002,0.002,0.0,0.008,,,0.041,0.079,0.152,
baseline_advanced_random_1009_0926,advanced_random,dorothea_500_1000,,,,,0.003,260.579,0.002,0.002,0.0,0.008,,,0.041,0.079,0.152,
baseline_advanced_random_1009_1018,advanced_random,dorothea_500_1000,,,,,0.003,260.579,0.002,0.002,0.0,0.008,,,0.041,0.079,0.152,
baseline_advanced_random_1009_1056,advanced_random,dorothea_500_1000,,,,,0.003,260.579,0.002,0.002,0.0,0.008,,0.009,0.041,0.079,0.152,
baseline_advanced_random_1009_1219,advanced_random,dorothea_500_1000,,,,,0.003,260.579,0.002,0.002,0.0,0.008,,0.009,0.041,0.079,0.152,
baseline_jordan_1002_1640,jordan,dorothea_500_1000,,,,,0.0,258.783,0.002,0.002,0.0,1.0,0.002,0.006,,,,
baseline_jordan_1006_1202,jordan,dorothea_500_1000,,,,,0.0,258.783,0.002,0.002,0.0,1.0,0.002,0.006,,,,
baseline_jordan_1006_1416,jordan,dorothea_500_1000,,,,,0.0,258.783,0.002,0.002,0.0,1.0,0.002,0.006,,,,
