filename,model_type,network,num_nodes,num_possible_sources,avg_num_sources,avg_portion_affected,accuracy,avg rank of source,avg prediction for source,avg prediction over all nodes,min prediction over all nodes,max prediction over all nodes,source in top 3,source in top 5,source in top 20,source in top 40,source in top 80,gene_specific_metrics
baseline_advanced_random_1007_1405,advanced_random,dorothea_500_550,,,,,0.003,257.218,0.002,0.002,0.0,0.004,0.007,0.011,,,,
baseline_advanced_random_1008_1109,advanced_random,dorothea_500_550,,,,,0.003,257.218,0.002,0.002,0.0,0.004,0.007,0.011,,,,
baseline_advanced_random_1009_0011,advanced_random,dorothea_500_550,,,,,0.003,257.218,0.002,0.002,0.0,0.004,,,0.037,0.069,0.147,
baseline_advanced_random_1009_0923,advanced_random,dorothea_500_550,,,,,0.003,257.218,0.002,0.002,0.0,0.004,,,0.037,0.069,0.147,
baseline_advanced_random_1009_1014,advanced_random,dorothea_500_550,,,,,0.003,257.218,0.002,0.002,0.0,0.004,,,0.037,0.069,0.147,
baseline_advanced_random_1009_1053,advanced_random,dorothea_500_550,,,,,0.003,257.218,0.002,0.002,0.0,0.004,,0.011,0.037,0.069,0.147,
baseline_advanced_random_1009_1216,advanced_random,dorothea_500_550,,,,,0.003,257.218,0.002,0.002,0.0,0.004,,0.011,0.037,0.069,0.147,
baseline_jordan_1007_1405,jordan,dorothea_500_550,,,,,0.0,252.565,0.001,0.002,0.0,1.0,0.001,0.003,,,,
baseline_jordan_1008_1109,jordan,dorothea_500_550,,,,,0.0,252.565,0.001,0.002,0.0,1.0,0.001,0.003,,,,
baseline_jordan_1009_0011,jordan,dorothea_500_550,,,,,0.0,252.565,0.001,0.002,0.0,1.0,,,0.037,0.08,0.142,
baseline_jordan_1009_0923,jordan,dorothea_500_550,,,,,0.0,252.565,0.001,0.002,0.0,1.0,,,0.037,0.08,0.142,
baseline_jordan_1009_1014,jordan,dorothea_500_550,,,,,0.0,252.565,0.001,0.002,0.0,1.0,,,0.037,0.08,0.142,
baseline_jordan_1009_1053,jordan,dorothea_500_550,,,,,0.0,252.565,0.001,0.002,0.0,1.0,,0.003,0.037,0.08,0.142,
baseline_jordan_1009_1216,jordan,dorothea_500_550,,,,,0.0,252.565,0.001,0.002,0.0,1.0,,0.003,0.037,0.08,0.142,
baseline_overlap_1007_1405,overlap,dorothea_500_550,,,,,0.0,252.565,0.001,0.002,0.0,1.0,0.001,0.003,,,,
baseline_overlap_1008_1109,overlap,dorothea_500_550,,,,,0.0,252.565,0.001,0.002,0.0,1.0,0.001,0.003,,,,
baseline_overlap_1009_0011,overlap,dorothea_500_550,,,,,0.0,252.565,0.001,0.002,0.0,1.0,,,0.037,0.08,0.142,
baseline_overlap_1009_0923,overlap,dorothea_500_550,,,,,0.0,252.565,0.001,0.002,0.0,1.0,,,0.037,0.08,0.142,
baseline_overlap_1009_1014,overlap,dorothea_500_550,,,,,0.0,252.565,0.001,0.002,0.0,1.0,,,0.037,0.08,0.142,
