filename,model_type,network,num_nodes,num_possible_sources,avg_num_sources,avg_portion_affected,accuracy,avg rank of source,avg prediction for source,avg prediction over all nodes,min prediction over all nodes,max prediction over all nodes,source in top 3,source in top 5,source in top 20,source in top 40,source in top 80,gene_specific_metrics
baseline_advanced_random_1008_1415,advanced_random,dorothea_500_600,,,,,0.003,251.274,0.002,0.002,0.0,0.009,0.008,0.01,,,,
baseline_advanced_random_1009_0011,advanced_random,dorothea_500_600,,,,,0.003,251.274,0.002,0.002,0.0,0.009,,,0.038,0.09,0.163,
baseline_advanced_random_1009_0923,advanced_random,dorothea_500_600,,,,,0.003,251.274,0.002,0.002,0.0,0.009,,,0.038,0.09,0.163,
baseline_advanced_random_1009_1014,advanced_random,dorothea_500_600,,,,,0.003,251.274,0.002,0.002,0.0,0.009,,,0.038,0.09,0.163,
baseline_advanced_random_1009_1054,advanced_random,dorothea_500_600,,,,,0.003,251.274,0.002,0.002,0.0,0.009,,0.01,0.038,0.09,0.163,
baseline_advanced_random_1009_1216,advanced_random,dorothea_500_600,,,,,0.003,251.274,0.002,0.002,0.0,0.009,,0.01,0.038,0.09,0.163,
baseline_jordan_1008_1415,jordan,dorothea_500_600,,,,,0.004,245.95,0.001,0.002,0.0,1.0,0.006,0.01,,,,
baseline_jordan_1009_0011,jordan,dorothea_500_600,,,,,0.004,245.95,0.001,0.002,0.0,1.0,,,0.049,0.11,0.182,
baseline_jordan_1009_0923,jordan,dorothea_500_600,,,,,0.004,245.95,0.001,0.002,0.0,1.0,,,0.049,0.11,0.182,
baseline_jordan_1009_1014,jordan,dorothea_500_600,,,,,0.004,245.95,0.001,0.002,0.0,1.0,,,0.049,0.11,0.182,
baseline_jordan_1009_1054,jordan,dorothea_500_600,,,,,0.004,245.95,0.001,0.002,0.0,1.0,,0.01,0.049,0.11,0.182,
baseline_jordan_1009_1216,jordan,dorothea_500_600,,,,,0.004,245.95,0.001,0.002,0.0,1.0,,0.01,0.049,0.11,0.182,
baseline_overlap_1008_1415,overlap,dorothea_500_600,,,,,0.0,244.152,0.002,0.002,0.0,1.0,0.0,0.002,,,,
baseline_overlap_1009_0011,overlap,dorothea_500_600,,,,,0.0,244.152,0.002,0.002,0.0,1.0,,,0.04,0.09,0.161,
baseline_overlap_1009_0923,overlap,dorothea_500_600,,,,,0.0,244.152,0.002,0.002,0.0,1.0,,,0.04,0.09,0.161,
baseline_overlap_1009_1014,overlap,dorothea_500_600,,,,,0.0,244.152,0.002,0.002,0.0,1.0,,,0.04,0.09,0.161,
baseline_overlap_1009_1054,overlap,dorothea_500_600,,,,,0.0,244.152,0.002,0.002,0.0,1.0,,0.002,0.04,0.09,0.161,
baseline_overlap_1009_1216,overlap,dorothea_500_600,,,,,0.0,244.152,0.002,0.002,0.0,1.0,,0.002,0.04,0.09,0.161,
baseline_random_1008_1415,random,dorothea_500_600,,,,,0.003,248.827,0.002,0.002,0.0,0.004,0.004,0.012,,,,
baseline_random_1009_0011,random,dorothea_500_600,,,,,0.003,248.827,0.002,0.002,0.0,0.004,,,0.037,0.078,0.158,
