filename,model_type,network,num_nodes,num_possible_sources,avg_num_sources,avg_portion_affected,accuracy,avg rank of source,avg prediction for source,avg prediction over all nodes,min prediction over all nodes,max prediction over all nodes,source in top 20,source in top 40,source in top 80,source in top 5,gene_specific_metrics
baseline_advanced_random_1008_1622,advanced_random,dorothea_500_800,,,,,0.004,246.143,0.002,0.002,0.0,0.009,0.038,0.086,0.163,,
baseline_advanced_random_1009_0012,advanced_random,dorothea_500_800,,,,,0.004,246.143,0.002,0.002,0.0,0.009,0.038,0.086,0.163,,
baseline_advanced_random_1009_0925,advanced_random,dorothea_500_800,,,,,0.004,246.143,0.002,0.002,0.0,0.009,0.038,0.086,0.163,,
baseline_advanced_random_1009_1015,advanced_random,dorothea_500_800,,,,,0.004,246.143,0.002,0.002,0.0,0.009,0.038,0.086,0.163,,
baseline_advanced_random_1009_1055,advanced_random,dorothea_500_800,,,,,0.004,246.143,0.002,0.002,0.0,0.009,0.038,0.086,0.163,0.013,
baseline_advanced_random_1009_1217,advanced_random,dorothea_500_800,,,,,0.004,246.143,0.002,0.002,0.0,0.009,0.038,0.086,0.163,0.013,
baseline_jordan_1008_1622,jordan,dorothea_500_800,,,,,0.002,250.207,0.001,0.002,0.0,1.0,0.038,0.077,0.162,,
baseline_jordan_1009_0012,jordan,dorothea_500_800,,,,,0.002,250.207,0.001,0.002,0.0,1.0,0.038,0.077,0.162,,
baseline_jordan_1009_0925,jordan,dorothea_500_800,,,,,0.002,250.207,0.001,0.002,0.0,1.0,0.038,0.077,0.162,,
baseline_jordan_1009_1015,jordan,dorothea_500_800,,,,,0.002,250.207,0.001,0.002,0.0,1.0,0.038,0.077,0.162,,
baseline_jordan_1009_1055,jordan,dorothea_500_800,,,,,0.002,250.207,0.001,0.002,0.0,1.0,0.038,0.077,0.162,0.01,
baseline_jordan_1009_1217,jordan,dorothea_500_800,,,,,0.002,250.207,0.001,0.002,0.0,1.0,0.038,0.077,0.162,0.01,
baseline_overlap_1008_1622,overlap,dorothea_500_800,,,,,0.0,245.07,0.002,0.002,0.0,1.0,0.027,0.067,0.153,,
baseline_overlap_1009_0012,overlap,dorothea_500_800,,,,,0.0,245.07,0.002,0.002,0.0,1.0,0.027,0.067,0.153,,
baseline_overlap_1009_0925,overlap,dorothea_500_800,,,,,0.0,245.07,0.002,0.002,0.0,1.0,0.027,0.067,0.153,,
baseline_overlap_1009_1015,overlap,dorothea_500_800,,,,,0.0,245.07,0.002,0.002,0.0,1.0,0.027,0.067,0.153,,
baseline_overlap_1009_1055,overlap,dorothea_500_800,,,,,0.0,245.07,0.002,0.002,0.0,1.0,0.027,0.067,0.153,0.002,
baseline_overlap_1009_1217,overlap,dorothea_500_800,,,,,0.0,245.07,0.002,0.002,0.0,1.0,0.027,0.067,0.153,0.002,
baseline_random_1008_1622,random,dorothea_500_800,,,,,0.003,244.906,0.002,0.002,0.0,0.004,0.042,0.081,0.173,,
baseline_random_1009_0012,random,dorothea_500_800,,,,,0.003,244.906,0.002,0.002,0.0,0.004,0.042,0.081,0.173,,
baseline_random_1009_0925,random,dorothea_500_800,,,,,0.003,244.906,0.002,0.002,0.0,0.004,0.042,0.081,0.173,,
baseline_random_1009_1015,random,dorothea_500_800,,,,,0.003,244.906,0.002,0.002,0.0,0.004,0.042,0.081,0.173,,
baseline_random_1009_1055,random,dorothea_500_800,,,,,0.003,244.906,0.002,0.002,0.0,0.004,0.042,0.081,0.173,0.014,
baseline_random_1009_1217,random,dorothea_500_800,,,,,0.003,244.906,0.002,0.002,0.0,0.004,0.042,0.081,0.173,0.014,
baseline_smallestSuperset_1008_1622,smallestSuperset,dorothea_500_800,,,,,0.007,250.936,0.002,0.002,0.0,1.0,0.04,0.09,0.154,,
baseline_smallestSuperset_1009_0012,smallestSuperset,dorothea_500_800,,,,,0.007,250.936,0.002,0.002,0.0,1.0,0.04,0.09,0.154,,
