filename,model_type,network,num_nodes,num_possible_sources,avg_num_sources,avg_portion_affected,accuracy,avg rank of source,avg prediction for source,avg prediction over all nodes,min prediction over all nodes,max prediction over all nodes,source in top 20,source in top 40,source in top 80,source in top 5,gene_specific_metrics
baseline_advanced_random_1008_1653,advanced_random,dorothea_500_800,,,,,0.003,244.906,0.002,0.002,0.0,0.004,0.042,0.081,0.173,,
baseline_advanced_random_1009_0043,advanced_random,dorothea_500_800,,,,,0.003,244.906,0.002,0.002,0.0,0.004,0.042,0.081,0.173,,
baseline_advanced_random_1009_0955,advanced_random,dorothea_500_800,,,,,0.003,244.906,0.002,0.002,0.0,0.004,0.042,0.081,0.173,,
baseline_advanced_random_1009_1125,advanced_random,dorothea_500_800,,,,,0.003,244.906,0.002,0.002,0.0,0.004,0.042,0.081,0.173,0.014,
baseline_advanced_random_1009_1248,advanced_random,dorothea_500_800,,,,,0.003,244.906,0.002,0.002,0.0,0.004,0.042,0.081,0.173,0.014,
baseline_jordan_1008_1653,jordan,dorothea_500_800,,,,,0.0,253.536,0.002,0.002,0.0,1.0,0.043,0.087,0.153,,
baseline_jordan_1009_0043,jordan,dorothea_500_800,,,,,0.0,253.536,0.002,0.002,0.0,1.0,0.043,0.087,0.153,,
baseline_jordan_1009_0955,jordan,dorothea_500_800,,,,,0.0,253.536,0.002,0.002,0.0,1.0,0.043,0.087,0.153,,
baseline_jordan_1009_1125,jordan,dorothea_500_800,,,,,0.0,253.536,0.002,0.002,0.0,1.0,0.043,0.087,0.153,0.002,
baseline_jordan_1009_1248,jordan,dorothea_500_800,,,,,0.0,253.536,0.002,0.002,0.0,1.0,0.043,0.087,0.153,0.002,
baseline_overlap_1008_1653,overlap,dorothea_500_800,,,,,0.007,251.611,0.002,0.002,0.002,0.002,0.04,0.086,0.157,,
baseline_overlap_1009_0043,overlap,dorothea_500_800,,,,,0.007,251.611,0.002,0.002,0.002,0.002,0.04,0.086,0.157,,
baseline_overlap_1009_0955,overlap,dorothea_500_800,,,,,0.007,251.611,0.002,0.002,0.002,0.002,0.04,0.086,0.157,,
baseline_overlap_1009_1125,overlap,dorothea_500_800,,,,,0.007,251.611,0.002,0.002,0.002,0.002,0.04,0.086,0.157,0.018,
baseline_overlap_1009_1248,overlap,dorothea_500_800,,,,,0.007,251.611,0.002,0.002,0.002,0.002,0.04,0.086,0.157,0.018,
baseline_random_1008_1653,random,dorothea_500_800,,,,,0.003,244.906,0.002,0.002,0.0,0.004,0.042,0.081,0.173,,
baseline_random_1009_0043,random,dorothea_500_800,,,,,0.003,244.906,0.002,0.002,0.0,0.004,0.042,0.081,0.173,,
baseline_random_1009_0955,random,dorothea_500_800,,,,,0.003,244.906,0.002,0.002,0.0,0.004,0.042,0.081,0.173,,
baseline_random_1009_1125,random,dorothea_500_800,,,,,0.003,244.906,0.002,0.002,0.0,0.004,0.042,0.081,0.173,0.014,
baseline_random_1009_1248,random,dorothea_500_800,,,,,0.003,244.906,0.002,0.002,0.0,0.004,0.042,0.081,0.173,0.014,
baseline_smallestSuperset_1008_1653,smallestSuperset,dorothea_500_800,,,,,0.007,251.611,0.002,0.002,0.002,0.002,0.04,0.086,0.157,,
baseline_smallestSuperset_1009_0043,smallestSuperset,dorothea_500_800,,,,,0.007,251.611,0.002,0.002,0.002,0.002,0.04,0.086,0.157,,
baseline_smallestSuperset_1009_0955,smallestSuperset,dorothea_500_800,,,,,0.007,251.611,0.002,0.002,0.002,0.002,0.04,0.086,0.157,,
baseline_smallestSuperset_1009_1125,smallestSuperset,dorothea_500_800,,,,,0.007,251.611,0.002,0.002,0.002,0.002,0.04,0.086,0.157,0.018,
baseline_smallestSuperset_1009_1248,smallestSuperset,dorothea_500_800,,,,,0.007,251.611,0.002,0.002,0.002,0.002,0.04,0.086,0.157,0.018,
gat_1008_1641,gat,dorothea_500_800,500.0,263.0,1.0,0.392,0.003,231.221,0.019,0.019,0.009,0.044,0.049,0.098,0.186,,"{'IRF3': {'gene_name': 'IRF3', 'gene_index': 195, 'total_samples': 2104, 'times_true_source': 0, 'times_predicted_source': 2, 'correct_predictions': 0, 'avg_prediction_prob': 0.022, 'avg_rank': 0.0, 'in_top20_count': 0, 'in_top40_count': 0, 'in_top80_count': 0, 'avg_rank_when_true': None, 'avg_prob_when_true': None, 'in_top20_when_true': 0, 'in_top40_when_true': 0, 'in_top80_when_true': 0, 'accuracy_when_true': None, 'precision': 0.0, 'recall': None, 'f1_score': None}, 'ATF7': {'gene_name': 'ATF7', 'gene_index': 15, 'total_samples': 2104, 'times_true_source': 7, 'times_predicted_source': 0, 'correct_predictions': 0, 'avg_prediction_prob': 0.017, 'avg_rank': 0.0, 'in_top20_count': 0, 'in_top40_count': 0, 'in_top80_count': 0, 'avg_rank_when_true': 330.571, 'avg_prob_when_true': 0.018, 'in_top20_when_true': 0, 'in_top40_when_true': 1, 'in_top80_when_true': 1, 'accuracy_when_true': 0.0, 'precision': None, 'recall': 0.0, 'f1_score': None}, 'SREBF2': {'gene_name': 'SREBF2', 'gene_index': 402, 'total_samples': 2104, 'times_true_source': 15, 'times_predicted_source': 3, 'correct_predictions': 0, 'avg_prediction_prob': 0.021, 'avg_rank': 0.0, 'in_top20_count': 0, 'in_top40_count': 0, 'in_top80_count': 0, 'avg_rank_when_true': 172.8, 'avg_prob_when_true': 0.021, 'in_top20_when_true': 0, 'in_top40_when_true': 0, 'in_top80_when_true': 0, 'accuracy_when_true': 0.0, 'precision': 0.0, 'recall': 0.0, 'f1_score': None}, 'MYC': {'gene_name': 'MYC', 'gene_index': 260, 'total_samples': 2104, 'times_true_source': 9, 'times_predicted_source': 1, 'correct_predictions': 0, 'avg_prediction_prob': 0.018, 'avg_rank': 0.0, 'in_top20_count': 0, 'in_top40_count': 0, 'in_top80_count': 0, 'avg_rank_when_true': 306.444, 'avg_prob_when_true': 0.018, 'in_top20_when_true': 0, 'in_top40_when_true': 0, 'in_top80_when_true': 0, 'accuracy_when_true': 0.0, 'precision': 0.0, 'recall': 0.0, 'f1_score': None}}"
