filename,model_type,network,num_nodes,num_possible_sources,avg_num_sources,avg_portion_affected,accuracy,avg rank of source,avg prediction for source,avg prediction over all nodes,min prediction over all nodes,max prediction over all nodes,source in top 3,source in top 5,gene_specific_metrics,run
baseline_advanced_random_0922_1944,advanced_random,dorothea_500_1000,,,,,0.002,250.334,0.002,0.002,0.0,0.012,0.006,0.01,,bs_500_1000
baseline_advanced_random_0925_1742,advanced_random,dorothea_500_1000,,,,,0.002,250.334,0.002,0.002,0.0,0.012,0.006,0.01,,bs_500_1000
baseline_advanced_random_0925_1804,advanced_random,dorothea_500_1000,,,,,0.002,250.334,0.002,0.002,0.0,0.012,0.006,0.01,,bs_500_1000
baseline_jordan_0922_1944,jordan,dorothea_500_1000,,,,,0.001,263.118,0.002,0.002,0.0,1.0,0.009,0.011,,bs_500_1000
baseline_jordan_0925_1742,jordan,dorothea_500_1000,,,,,0.001,263.118,0.002,0.002,0.0,1.0,0.009,0.011,,bs_500_1000
baseline_jordan_0925_1804,jordan,dorothea_500_1000,,,,,0.001,263.118,0.002,0.002,0.0,1.0,0.009,0.011,,bs_500_1000
baseline_overlap_0922_1944,overlap,dorothea_500_1000,,,,,0.005,259.763,0.003,0.002,0.0,1.0,0.011,0.015,,bs_500_1000
baseline_overlap_0925_1742,overlap,dorothea_500_1000,,,,,0.005,259.763,0.003,0.002,0.0,1.0,0.011,0.015,,bs_500_1000
baseline_overlap_0925_1804,overlap,dorothea_500_1000,,,,,0.005,259.763,0.003,0.002,0.0,1.0,0.011,0.015,,bs_500_1000
baseline_random_0922_1944,random,dorothea_500_1000,,,,,0.002,249.133,0.002,0.002,0.0,0.004,0.007,0.011,,bs_500_1000
baseline_random_0925_1742,random,dorothea_500_1000,,,,,0.002,249.133,0.002,0.002,0.0,0.004,0.007,0.011,,bs_500_1000
baseline_random_0925_1804,random,dorothea_500_1000,,,,,0.002,249.133,0.002,0.002,0.0,0.004,0.007,0.011,,bs_500_1000
baseline_smallestSuperset_0922_1944,smallestSuperset,dorothea_500_1000,,,,,0.0,259.516,0.002,0.002,0.0,1.0,0.01,0.015,,bs_500_1000
baseline_smallestSuperset_0925_1742,smallestSuperset,dorothea_500_1000,,,,,0.0,259.516,0.002,0.002,0.0,1.0,0.01,0.015,,bs_500_1000
baseline_smallestSuperset_0925_1804,smallestSuperset,dorothea_500_1000,,,,,0.0,259.516,0.002,0.002,0.0,1.0,0.01,0.015,,bs_500_1000
gat_0922_2001,gat,dorothea_500_1000,500.0,202.0,1.0,0.522,0.005,225.512,0.019,0.019,0.008,0.037,0.013,0.02,"{'IRF3': {'gene_name': 'IRF3', 'gene_index': 214, 'total_samples': 19796, 'times_true_source': 99, 'times_predicted_source': 9, 'correct_predictions': 0, 'avg_prediction_prob': 0.021, 'avg_rank': 0.0, 'in_top3_count': 0, 'in_top5_count': 0, 'avg_rank_when_true': 62.596, 'avg_prob_when_true': 0.021, 'in_top3_when_true': 0, 'in_top5_when_true': 0, 'accuracy_when_true': 0.0, 'precision': 0.0, 'recall': 0.0, 'f1_score': None}, 'SREBF2': {'gene_name': 'SREBF2', 'gene_index': 433, 'total_samples': 19796, 'times_true_source': 94, 'times_predicted_source': 92, 'correct_predictions': 0, 'avg_prediction_prob': 0.024, 'avg_rank': 0.0, 'in_top3_count': 0, 'in_top5_count': 0, 'avg_rank_when_true': 30.138, 'avg_prob_when_true': 0.023, 'in_top3_when_true': 1, 'in_top5_when_true': 1, 'accuracy_when_true': 0.0, 'precision': 0.0, 'recall': 0.0, 'f1_score': None}, 'MYC': {'gene_name': 'MYC', 'gene_index': 265, 'total_samples': 19796, 'times_true_source': 89, 'times_predicted_source': 1633, 'correct_predictions': 0, 'avg_prediction_prob': 0.02, 'avg_rank': 0.0, 'in_top3_count': 0, 'in_top5_count': 0, 'avg_rank_when_true': 174.989, 'avg_prob_when_true': 0.019, 'in_top3_when_true': 0, 'in_top5_when_true': 0, 'accuracy_when_true': 0.0, 'precision': 0.0, 'recall': 0.0, 'f1_score': None}}",bs_500_1000
