experiment,file,file_path,network,model_type,accuracy,avg rank of source,avg prediction for source,avg prediction over all nodes,min prediction over all nodes,max prediction over all nodes,source in top 3,source in top 5,source in top 20,source in top 40,source in top 80,recall@1,recall@10,recall@100,recall@1000,ranking_score,ranking_score_dcg,perc_partially_accurate_predictions,recall@1_std,recall@10_std,recall@100_std,recall@1000_std,ranking_score_std,ranking_score_dcg_std,perc_partially_accurate_predictions_std,total_samples,avg_topk
10716_self_loops,pdgrapher_1008_1322.json,reports/10716_self_loops/pdgrapher_1008_1322.json,10716_self_loops,pdgrapher,0.016,2188.372,0.22,-0.152,-1.348,4.693,0.029,0.036,,,,,,,,,,,,,,,,,,,
10716_self_loops,pdgrapher_1008_1343.json,reports/10716_self_loops/pdgrapher_1008_1343.json,10716_self_loops,pdgrapher,0.018,1857.729,0.802,-0.181,-3.765,7.848,,,0.066,0.084,0.105,,,,,,,,,,,,,,,,
10716_self_loops,pdgrapher_1008_1503.json,reports/10716_self_loops/pdgrapher_1008_1503.json,10716_self_loops,pdgrapher,0.014,2040.971,0.511,-0.056,-1.405,7.675,,,0.061,0.078,0.099,,,,,,,,,,,,,,,,
10716_self_loops,pdgrapher_1008_1506.json,reports/10716_self_loops/pdgrapher_1008_1506.json,10716_self_loops,pdgrapher,0.018,1857.729,0.802,-0.181,-3.765,7.848,0.031,0.038,,,,,,,,,,,,,,,,,,,
10716_self_loops,pdgrapher_1009_1007.json,reports/10716_self_loops/pdgrapher_1009_1007.json,10716_self_loops,pdgrapher,0.015,2349.945,0.438,-0.296,-3.777,6.154,,0.038,0.062,0.08,0.104,,,,,,,,,,,,,,,,
10716_self_loops,pdgrapher_1009_1412.json,reports/10716_self_loops/pdgrapher_1009_1412.json,10716_self_loops,pdgrapher,0.017,1992.306,0.375,-0.941,-3.828,7.197,,0.037,0.058,0.071,0.085,0.0052,0.0214,0.0509,0.294,0.8047,0.0911,0.52,0.0716,0.1448,0.2198,0.4556,0.1472,0.0864,7.16,4851.0,8623.1552
10716_weakly_connected_10,pdgrapher_1008_1319.json,reports/10716_weakly_connected_10/pdgrapher_1008_1319.json,10716_weakly_connected_10,pdgrapher,0.014,2130.248,0.51,-0.072,-1.737,6.62,0.029,0.035,,,,,,,,,,,,,,,,,,,
10716_weakly_connected_10,pdgrapher_1008_1336.json,reports/10716_weakly_connected_10/pdgrapher_1008_1336.json,10716_weakly_connected_10,pdgrapher,0.012,2129.074,0.691,-0.043,-1.817,9.053,0.027,0.034,,,,,,,,,,,,,,,,,,,
10716_weakly_connected_10,pdgrapher_1008_1526.json,reports/10716_weakly_connected_10/pdgrapher_1008_1526.json,10716_weakly_connected_10,pdgrapher,0.013,2398.706,0.622,0.006,-1.545,10.023,,,0.055,0.072,0.092,,,,,,,,,,,,,,,,
10716_weakly_connected_10,pdgrapher_1009_1028.json,reports/10716_weakly_connected_10/pdgrapher_1009_1028.json,10716_weakly_connected_10,pdgrapher,0.011,2527.892,0.515,-0.3,-2.883,8.316,,0.032,0.051,0.068,0.088,,,,,,,,,,,,,,,,
10716_weakly_connected_10,pdgrapher_1009_1359.json,reports/10716_weakly_connected_10/pdgrapher_1009_1359.json,10716_weakly_connected_10,pdgrapher,0.014,2400.855,0.305,-0.047,-1.135,5.324,,0.032,0.051,0.066,0.086,0.0085,0.0293,0.0637,0.2845,0.752,0.0917,0.85,0.0915,0.1686,0.2442,0.4512,0.2252,0.109,9.15,4851.0,8058.5702
og_pdgrapher_data,pdgrapher_1001_2334.json,reports/og_pdgrapher_data/pdgrapher_1001_2334.json,pdgrapher_grn,pdgrapher,0.013,2316.089,0.369,-0.039,-1.578,4.931,0.026,0.031,,,,,,,,,,,,,,,,,,,
og_pdgrapher_data,pdgrapher_1007_1804.json,reports/og_pdgrapher_data/pdgrapher_1007_1804.json,pdgrapher_grn,pdgrapher,0.015,2662.218,0.315,-0.129,-2.645,7.685,0.027,0.037,,,,,,,,,,,,,,,,,,,
og_pdgrapher_data,pdgrapher_1008_1253.json,reports/og_pdgrapher_data/pdgrapher_1008_1253.json,pdgrapher_grn,pdgrapher,0.016,2124.741,0.24,-0.17,-2.393,3.801,0.029,0.033,,,,,,,,,,,,,,,,,,,
og_pdgrapher_data,pdgrapher_1008_1352.json,reports/og_pdgrapher_data/pdgrapher_1008_1352.json,pdgrapher_grn,pdgrapher,0.016,2124.74,0.24,-0.17,-2.393,3.801,,,0.057,0.075,0.09,,,,,,,,,,,,,,,,
og_pdgrapher_data,pdgrapher_1008_1619.json,reports/og_pdgrapher_data/pdgrapher_1008_1619.json,pdgrapher_grn,pdgrapher,0.009,4434.88,0.089,-0.006,-0.672,4.0,,,0.03,0.041,0.051,,,,,,,,,,,,,,,,
og_pdgrapher_data,pdgrapher_1009_1441.json,reports/og_pdgrapher_data/pdgrapher_1009_1441.json,pdgrapher_grn,pdgrapher,0.009,4434.88,0.089,-0.006,-0.672,4.0,,0.02,0.03,0.041,0.051,0.0062,0.0186,0.0437,0.2043,0.5897,0.0684,0.62,0.0784,0.1349,0.2044,0.4032,0.3046,0.0973,7.84,4851.0,6319.2503
og_pdgrapher_data_fr,pdgrapher_1002_0019.json,reports/og_pdgrapher_data_fr/pdgrapher_1002_0019.json,random_10716_300000,pdgrapher,0.015,1908.387,0.927,-0.89,-5.031,6.382,0.029,0.036,,,,,,,,,,,,,,,,,,,
og_pdgrapher_data_fr,pdgrapher_1002_0838.json,reports/og_pdgrapher_data_fr/pdgrapher_1002_0838.json,random_10716_300000,pdgrapher,0.014,3569.96,0.116,-0.019,-0.948,3.844,0.023,0.029,,,,,,,,,,,,,,,,,,,
og_pdgrapher_data_fr,pdgrapher_1008_1236.json,reports/og_pdgrapher_data_fr/pdgrapher_1008_1236.json,random_10716_300000,pdgrapher,0.014,2031.176,0.545,-0.158,-2.898,5.523,0.029,0.034,,,,,,,,,,,,,,,,,,,
og_pdgrapher_data_fr,pdgrapher_1008_1606.json,reports/og_pdgrapher_data_fr/pdgrapher_1008_1606.json,random_10716_300000,pdgrapher,0.013,2448.741,0.398,-0.19,-2.383,5.609,,,0.048,0.062,0.083,,,,,,,,,,,,,,,,
og_pdgrapher_data_fr,pdgrapher_1009_1317.json,reports/og_pdgrapher_data_fr/pdgrapher_1009_1317.json,random_10716_300000,pdgrapher,0.012,2523.52,0.439,-0.152,-2.627,7.062,,0.032,0.058,0.075,0.098,0.0054,0.0223,0.0563,0.2758,0.7195,0.0835,0.54,0.073,0.1475,0.2305,0.4469,0.2484,0.0922,7.3,4851.0,7710.4857
