filename,model_type,network,num_nodes,num_possible_sources,avg_num_sources,avg_portion_affected,accuracy,avg rank of source,avg prediction for source,avg prediction over all nodes,min prediction over all nodes,max prediction over all nodes,source in top 5,source in top 20,source in top 40,source in top 80,pdgrapher_perturbation_discovery,pdgrapher_response_prediction
baseline_advanced_random_1010_1505,advanced_random,barabasi_64,,,,,0.019,30.572,0.016,0.016,0.0,0.04,0.083,0.326,0.647,1.0,,
baseline_advanced_random_1010_1524,advanced_random,barabasi_64,,,,,0.019,30.572,0.016,0.016,0.0,0.04,0.083,0.326,0.647,1.0,,
baseline_advanced_random_1010_1526,advanced_random,barabasi_64,,,,,0.019,30.572,0.016,0.016,0.0,0.04,0.083,0.326,0.647,1.0,,
baseline_advanced_random_1013_1023,advanced_random,barabasi_64,,,,,0.019,30.572,0.016,0.016,0.0,0.04,0.083,0.326,0.647,1.0,,
baseline_advanced_random_1013_1232,advanced_random,barabasi_64,,,,,0.019,30.572,0.016,0.016,0.0,0.04,0.083,0.326,0.647,1.0,,
baseline_advanced_random_1013_1434,advanced_random,barabasi_64,,,,,0.019,30.572,0.016,0.016,0.0,0.04,0.083,0.326,0.647,1.0,,
baseline_jordan_1010_1505,jordan,barabasi_64,,,,,0.014,30.373,0.016,0.016,0.003,0.031,0.09,0.332,0.644,1.0,,
baseline_jordan_1010_1524,jordan,barabasi_64,,,,,0.016,30.943,0.016,0.016,0.003,0.031,0.073,0.334,0.642,1.0,,
baseline_jordan_1010_1526,jordan,barabasi_64,,,,,0.016,30.943,0.016,0.016,0.003,0.031,0.073,0.334,0.642,1.0,,
baseline_jordan_1013_1023,jordan,barabasi_64,,,,,0.016,30.943,0.016,0.016,0.003,0.031,0.073,0.334,0.642,1.0,,
baseline_jordan_1013_1232,jordan,barabasi_64,,,,,0.022,30.71,0.016,0.016,0.003,0.029,0.083,0.32,0.652,1.0,,
baseline_jordan_1013_1434,jordan,barabasi_64,,,,,0.022,30.71,0.016,0.016,0.003,0.029,0.083,0.32,0.652,1.0,,
baseline_overlap_1010_1505,overlap,barabasi_64,,,,,0.015,30.304,0.016,0.016,0.016,0.016,0.081,0.328,0.653,1.0,,
baseline_overlap_1010_1524,overlap,barabasi_64,,,,,0.015,30.304,0.016,0.016,0.016,0.016,0.081,0.328,0.653,1.0,,
baseline_overlap_1010_1526,overlap,barabasi_64,,,,,0.015,30.304,0.016,0.016,0.016,0.016,0.081,0.328,0.653,1.0,,
baseline_overlap_1013_1023,overlap,barabasi_64,,,,,0.015,30.304,0.016,0.016,0.016,0.016,0.081,0.328,0.653,1.0,,
baseline_overlap_1013_1232,overlap,barabasi_64,,,,,0.015,30.304,0.016,0.016,0.016,0.016,0.081,0.328,0.653,1.0,,
baseline_overlap_1013_1434,overlap,barabasi_64,,,,,0.015,30.304,0.016,0.016,0.016,0.016,0.081,0.328,0.653,1.0,,
baseline_random_1010_1505,random,barabasi_64,,,,,0.019,30.572,0.016,0.016,0.0,0.04,0.083,0.326,0.647,1.0,,
baseline_random_1010_1524,random,barabasi_64,,,,,0.019,30.572,0.016,0.016,0.0,0.04,0.083,0.326,0.647,1.0,,
baseline_random_1010_1526,random,barabasi_64,,,,,0.019,30.572,0.016,0.016,0.0,0.04,0.083,0.326,0.647,1.0,,
baseline_random_1013_1023,random,barabasi_64,,,,,0.019,30.572,0.016,0.016,0.0,0.04,0.083,0.326,0.647,1.0,,
baseline_random_1013_1232,random,barabasi_64,,,,,0.019,30.572,0.016,0.016,0.0,0.04,0.083,0.326,0.647,1.0,,
baseline_random_1013_1434,random,barabasi_64,,,,,0.019,30.572,0.016,0.016,0.0,0.04,0.083,0.326,0.647,1.0,,
baseline_smallestSuperset_1010_1505,smallestSuperset,barabasi_64,,,,,0.015,30.304,0.016,0.016,0.016,0.016,0.081,0.328,0.653,1.0,,
baseline_smallestSuperset_1010_1524,smallestSuperset,barabasi_64,,,,,0.015,30.304,0.016,0.016,0.016,0.016,0.081,0.328,0.653,1.0,,
baseline_smallestSuperset_1010_1526,smallestSuperset,barabasi_64,,,,,0.015,30.304,0.016,0.016,0.016,0.016,0.081,0.328,0.653,1.0,,
baseline_smallestSuperset_1013_1023,smallestSuperset,barabasi_64,,,,,0.015,30.304,0.016,0.016,0.016,0.016,0.081,0.328,0.653,1.0,,
baseline_smallestSuperset_1013_1232,smallestSuperset,barabasi_64,,,,,0.015,30.304,0.016,0.016,0.016,0.016,0.081,0.328,0.653,1.0,,
baseline_smallestSuperset_1013_1434,smallestSuperset,barabasi_64,,,,,0.015,30.304,0.016,0.016,0.016,0.016,0.081,0.328,0.653,1.0,,
gat_1010_1508,gat,barabasi_64,64.0,64.0,1.0,0.983,0.018,32.029,0.142,0.142,0.106,0.166,0.079,0.307,0.62,1.0,,
gat_1010_1527,gat,barabasi_64,64.0,64.0,1.0,0.983,0.016,31.123,0.144,0.144,0.107,0.169,0.092,0.306,0.638,1.0,,
gat_1010_1530,gat,barabasi_64,64.0,64.0,1.0,0.983,0.026,30.512,0.139,0.139,0.094,0.17,0.101,0.321,0.648,1.0,,
gat_1013_1234,gat,barabasi_64,64.0,64.0,1.0,0.983,0.017,31.92,0.141,0.141,0.106,0.186,0.08,0.32,0.615,1.0,,
gat_1013_1437,gat,barabasi_64,64.0,64.0,1.0,0.983,0.021,31.907,0.14,0.14,0.091,0.181,0.094,0.301,0.619,1.0,,
pdgrapher_1010_1531,pdgrapher,barabasi_64,64.0,64.0,1.0,0.983,0.05,28.961,-0.835,-0.997,-7.307,4.032,0.137,0.383,0.642,1.0,"{'recall@1': 0.0126, 'recall@10': 0.1454, 'recall@100': 1.0, 'recall@1000': 1.0, 'ranking_score': 0.4983, 'ranking_score_dcg': 0.1393, 'perc_partially_accurate_predictions': 1.26, 'recall@1_std': 0.1114, 'recall@10_std': 0.3525, 'recall@100_std': 0.0, 'recall@1000_std': 0.0, 'ranking_score_std': 0.2881, 'ranking_score_dcg_std': 0.1575, 'perc_partially_accurate_predictions_std': 11.14, 'total_samples': 1114, 'avg_topk': 31.8914}","{'forward_mae': -1, 'forward_mse': -1, 'forward_r2': -1, 'forward_r2_scgen': -1, 'forward_spearman': -1, 'backward_mae': -1, 'backward_mse': -1, 'backward_r2': -1, 'backward_r2_scgen': -1, 'backward_spearman': -1, 'backward_avg_topk': -1}"
pdgrapher_1013_1240,pdgrapher,barabasi_64,64.0,64.0,1.0,0.983,0.147,23.922,-0.472,-1.223,-4.767,7.241,0.268,0.487,0.725,1.0,"{'recall@1': 0.0242, 'recall@10': 0.1759, 'recall@100': 1.0, 'recall@1000': 1.0, 'ranking_score': 0.5238, 'ranking_score_dcg': 0.1534, 'perc_partially_accurate_predictions': 2.42, 'recall@1_std': 0.1538, 'recall@10_std': 0.3808, 'recall@100_std': 0.0, 'recall@1000_std': 0.0, 'ranking_score_std': 0.2893, 'ranking_score_dcg_std': 0.1768, 'perc_partially_accurate_predictions_std': 15.38, 'total_samples': 1114, 'avg_topk': 33.5215}","{'forward_mae': -1, 'forward_mse': -1, 'forward_r2': -1, 'forward_r2_scgen': -1, 'forward_spearman': -1, 'backward_mae': -1, 'backward_mse': -1, 'backward_r2': -1, 'backward_r2_scgen': -1, 'backward_spearman': -1, 'backward_avg_topk': -1}"
pdgrapher_1013_1444,pdgrapher,barabasi_64,64.0,64.0,1.0,0.983,0.15,23.128,0.191,-0.801,-3.266,19.117,0.266,0.513,0.739,1.0,"{'recall@1': 0.0153, 'recall@10': 0.1679, 'recall@100': 1.0, 'recall@1000': 1.0, 'ranking_score': 0.5118, 'ranking_score_dcg': 0.1446, 'perc_partially_accurate_predictions': 1.53, 'recall@1_std': 0.1226, 'recall@10_std': 0.3737, 'recall@100_std': 0.0, 'recall@1000_std': 0.0, 'ranking_score_std': 0.2905, 'ranking_score_dcg_std': 0.1603, 'perc_partially_accurate_predictions_std': 12.26, 'total_samples': 1114, 'avg_topk': 32.754}","{'forward_mae': -1, 'forward_mse': -1, 'forward_r2': -1, 'forward_r2_scgen': -1, 'forward_spearman': -1, 'backward_mae': -1, 'backward_mse': -1, 'backward_r2': -1, 'backward_r2_scgen': -1, 'backward_spearman': -1, 'backward_avg_topk': -1}"
pdgraphernognn_1010_1507,pdgraphernognn,barabasi_64,64.0,64.0,1.0,0.983,0.048,28.601,-0.442,-0.809,-8.653,14.276,0.162,0.385,0.648,1.0,"{'recall@1': 0.0081, 'recall@10': 0.1391, 'recall@100': 1.0, 'recall@1000': 1.0, 'ranking_score': 0.5008, 'ranking_score_dcg': 0.1357, 'perc_partially_accurate_predictions': 0.81, 'recall@1_std': 0.0895, 'recall@10_std': 0.3461, 'recall@100_std': 0.0, 'recall@1000_std': 0.0, 'ranking_score_std': 0.2853, 'ranking_score_dcg_std': 0.144, 'perc_partially_accurate_predictions_std': 8.95, 'total_samples': 1114, 'avg_topk': 32.0521}","{'forward_mae': -1, 'forward_mse': -1, 'forward_r2': -1, 'forward_r2_scgen': -1, 'forward_spearman': -1, 'backward_mae': -1, 'backward_mse': -1, 'backward_r2': -1, 'backward_r2_scgen': -1, 'backward_spearman': -1, 'backward_avg_topk': -1}"
pdgraphernognn_1010_1526,pdgraphernognn,barabasi_64,64.0,64.0,1.0,0.983,0.056,28.156,0.351,-0.744,-9.061,84.93,0.167,0.393,0.671,1.0,"{'recall@1': 0.0126, 'recall@10': 0.1418, 'recall@100': 1.0, 'recall@1000': 1.0, 'ranking_score': 0.4958, 'ranking_score_dcg': 0.1363, 'perc_partially_accurate_predictions': 1.26, 'recall@1_std': 0.1114, 'recall@10_std': 0.3489, 'recall@100_std': 0.0, 'recall@1000_std': 0.0, 'ranking_score_std': 0.2881, 'ranking_score_dcg_std': 0.152, 'perc_partially_accurate_predictions_std': 11.14, 'total_samples': 1114, 'avg_topk': 31.7343}","{'forward_mae': -1, 'forward_mse': -1, 'forward_r2': -1, 'forward_r2_scgen': -1, 'forward_spearman': -1, 'backward_mae': -1, 'backward_mse': -1, 'backward_r2': -1, 'backward_r2_scgen': -1, 'backward_spearman': -1, 'backward_avg_topk': -1}"
pdgraphernognn_1010_1527,pdgraphernognn,barabasi_64,64.0,64.0,1.0,0.983,0.054,28.874,-0.793,-1.123,-11.816,9.49,0.162,0.373,0.654,1.0,"{'recall@1': 0.0171, 'recall@10': 0.1634, 'recall@100': 1.0, 'recall@1000': 1.0, 'ranking_score': 0.5082, 'ranking_score_dcg': 0.1438, 'perc_partially_accurate_predictions': 1.71, 'recall@1_std': 0.1295, 'recall@10_std': 0.3697, 'recall@100_std': 0.0, 'recall@1000_std': 0.0, 'ranking_score_std': 0.2869, 'ranking_score_dcg_std': 0.1633, 'perc_partially_accurate_predictions_std': 12.95, 'total_samples': 1114, 'avg_topk': 32.5251}","{'forward_mae': -1, 'forward_mse': -1, 'forward_r2': -1, 'forward_r2_scgen': -1, 'forward_spearman': -1, 'backward_mae': -1, 'backward_mse': -1, 'backward_r2': -1, 'backward_r2_scgen': -1, 'backward_spearman': -1, 'backward_avg_topk': -1}"
pdgraphernognn_1013_1024,pdgraphernognn,barabasi_64,64.0,64.0,1.0,0.983,0.045,28.343,-1.059,-1.456,-4.138,13.178,0.143,0.391,0.653,1.0,"{'recall@1': 0.018, 'recall@10': 0.1454, 'recall@100': 1.0, 'recall@1000': 1.0, 'ranking_score': 0.5097, 'ranking_score_dcg': 0.1433, 'perc_partially_accurate_predictions': 1.8, 'recall@1_std': 0.1328, 'recall@10_std': 0.3525, 'recall@100_std': 0.0, 'recall@1000_std': 0.0, 'ranking_score_std': 0.2854, 'ranking_score_dcg_std': 0.163, 'perc_partially_accurate_predictions_std': 13.28, 'total_samples': 1114, 'avg_topk': 32.623}","{'forward_mae': -1, 'forward_mse': -1, 'forward_r2': -1, 'forward_r2_scgen': -1, 'forward_spearman': -1, 'backward_mae': -1, 'backward_mse': -1, 'backward_r2': -1, 'backward_r2_scgen': -1, 'backward_spearman': -1, 'backward_avg_topk': -1}"
