filename,model_type,network,num_nodes,num_possible_sources,avg_num_sources,avg_portion_affected,accuracy,avg rank of source,avg prediction for source,avg prediction over all nodes,min prediction over all nodes,max prediction over all nodes,source in top 3,source in top 5,gene_specific_metrics
baseline_advanced_random_0902_1647,advanced_random,dorothea_290,,,,,0.005,143.294,0.003,0.003,0.0,0.008,0.012,0.018,
baseline_advanced_random_0917_1217,advanced_random,dorothea_290,,,,,0.003,146.178,0.003,0.003,0.0,0.008,0.008,0.015,
baseline_jordan_0902_1647,jordan,dorothea_290,,,,,0.003,148.164,0.003,0.003,0.0,1.0,0.01,0.013,
baseline_jordan_0917_1217,jordan,dorothea_290,,,,,0.0,156.814,0.003,0.003,0.0,1.0,0.006,0.015,
baseline_overlap_0902_1647,overlap,dorothea_290,,,,,0.0,152.531,0.003,0.003,0.003,0.003,0.012,0.018,
baseline_overlap_0917_1217,overlap,dorothea_290,,,,,0.0,150.931,0.003,0.003,0.003,0.003,0.01,0.015,
baseline_random_0902_1647,random,dorothea_290,,,,,0.005,143.294,0.003,0.003,0.0,0.008,0.012,0.018,
baseline_random_0917_1217,random,dorothea_290,,,,,0.003,146.178,0.003,0.003,0.0,0.008,0.008,0.015,
baseline_smallestSuperset_0902_1647,smallestSuperset,dorothea_290,,,,,0.0,152.531,0.003,0.003,0.003,0.003,0.012,0.018,
baseline_smallestSuperset_0917_1217,smallestSuperset,dorothea_290,,,,,0.0,150.931,0.003,0.003,0.003,0.003,0.01,0.015,
gat_0902_1823,gat,dorothea_290,290.0,180.0,1.0,0.581,0.012,136.32,0.034,0.033,0.024,0.071,0.022,0.03,"{'IRF3': {'gene_name': 'IRF3', 'gene_index': 125, 'total_samples': 8550, 'times_true_source': 50, 'times_predicted_source': 22, 'correct_predictions': 0, 'avg_prediction_prob': 0.035, 'avg_rank': 0.0, 'in_top3_count': 0, 'in_top5_count': 0, 'avg_rank_when_true': 89.42, 'avg_prob_when_true': 0.035, 'in_top3_when_true': 0, 'in_top5_when_true': 0, 'accuracy_when_true': 0.0, 'precision': 0.0, 'recall': 0.0, 'f1_score': None}, 'SREBF2': {'gene_name': 'SREBF2', 'gene_index': 246, 'total_samples': 8550, 'times_true_source': 50, 'times_predicted_source': 0, 'correct_predictions': 0, 'avg_prediction_prob': 0.029, 'avg_rank': 0.0, 'in_top3_count': 0, 'in_top5_count': 0, 'avg_rank_when_true': 241.4, 'avg_prob_when_true': 0.03, 'in_top3_when_true': 0, 'in_top5_when_true': 0, 'accuracy_when_true': 0.0, 'precision': None, 'recall': 0.0, 'f1_score': None}, 'MYC': {'gene_name': 'MYC', 'gene_index': 152, 'total_samples': 8550, 'times_true_source': 50, 'times_predicted_source': 177, 'correct_predictions': 0, 'avg_prediction_prob': 0.032, 'avg_rank': 0.0, 'in_top3_count': 0, 'in_top5_count': 0, 'avg_rank_when_true': 173.54, 'avg_prob_when_true': 0.032, 'in_top3_when_true': 0, 'in_top5_when_true': 0, 'accuracy_when_true': 0.0, 'precision': 0.0, 'recall': 0.0, 'f1_score': None}}"
