filename,model_type,network,num_nodes,num_possible_sources,avg_num_sources,avg_portion_affected,accuracy,avg rank of source,avg prediction for source,avg prediction over all nodes,min prediction over all nodes,max prediction over all nodes,source in top 3,source in top 5,gene_specific_metrics
baseline_advanced_random_0902_1605,advanced_random,dorothea_290,,,,,0.003,139.497,0.004,0.003,0.0,0.013,0.012,0.018,
baseline_advanced_random_0917_1211,advanced_random,dorothea_290,,,,,0.004,141.371,0.004,0.003,0.0,0.012,0.011,0.016,
baseline_jordan_0902_1605,jordan,dorothea_290,,,,,0.002,148.167,0.003,0.003,0.0,1.0,0.006,0.013,
baseline_jordan_0917_1211,jordan,dorothea_290,,,,,0.002,145.017,0.003,0.003,0.0,1.0,0.011,0.02,
baseline_overlap_0902_1605,overlap,dorothea_290,,,,,0.0,146.946,0.003,0.003,0.0,1.0,0.005,0.008,
baseline_overlap_0917_1211,overlap,dorothea_290,,,,,0.001,146.145,0.003,0.003,0.0,1.0,0.01,0.017,
baseline_random_0902_1605,random,dorothea_290,,,,,0.002,141.858,0.004,0.003,0.0,0.008,0.014,0.023,
baseline_random_0917_1211,random,dorothea_290,,,,,0.004,143.068,0.003,0.003,0.0,0.008,0.011,0.014,
baseline_smallestSuperset_0902_1605,smallestSuperset,dorothea_290,,,,,0.0,153.81,0.003,0.003,0.0,1.0,0.013,0.019,
baseline_smallestSuperset_0917_1211,smallestSuperset,dorothea_290,,,,,0.0,154.038,0.003,0.003,0.0,1.0,0.006,0.012,
