filename,model_type,network,num_nodes,num_possible_sources,avg_num_sources,avg_portion_affected,accuracy,avg rank of source,avg prediction for source,avg prediction over all nodes,min prediction over all nodes,max prediction over all nodes,source in top 3,source in top 5,gene_specific_metrics
baseline_advanced_random_0902_1608,advanced_random,dorothea_727_sparse,,,,,0.002,335.653,0.002,0.001,0.0,0.013,0.005,0.008,
baseline_advanced_random_0917_1454,advanced_random,dorothea_727_sparse,,,,,0.0,368.154,0.001,0.001,0.0,0.013,0.003,0.003,
baseline_jordan_0902_1608,jordan,dorothea_727_sparse,,,,,0.0,416.899,0.0,0.001,0.0,1.0,0.0,0.0,
baseline_jordan_0917_1454,jordan,dorothea_727_sparse,,,,,0.0,369.424,0.001,0.001,0.0,1.0,0.0,0.002,
baseline_overlap_0902_1608,overlap,dorothea_727_sparse,,,,,0.0,412.992,0.001,0.001,0.0,1.0,0.006,0.011,
baseline_overlap_0917_1454,overlap,dorothea_727_sparse,,,,,0.0,364.398,0.001,0.001,0.0,1.0,0.002,0.005,
baseline_random_0902_1608,random,dorothea_727_sparse,,,,,0.001,363.314,0.001,0.001,0.0,0.003,0.005,0.008,
baseline_random_0917_1454,random,dorothea_727_sparse,,,,,0.001,355.771,0.001,0.001,0.0,0.003,0.005,0.009,
baseline_smallestSuperset_0902_1608,smallestSuperset,dorothea_727_sparse,,,,,0.0,392.098,0.001,0.001,0.0,1.0,0.0,0.0,
baseline_smallestSuperset_0917_1454,smallestSuperset,dorothea_727_sparse,,,,,0.0,369.304,0.001,0.001,0.0,1.0,0.0,0.0,
gat_0902_1826,gat,dorothea_727_sparse,727.0,180.0,1.0,0.16,0.006,202.271,0.022,0.013,0.001,0.131,0.023,0.035,"{'IRF3': {'gene_name': 'IRF3', 'gene_index': 334, 'total_samples': 5096, 'times_true_source': 0, 'times_predicted_source': 0, 'correct_predictions': 0, 'avg_prediction_prob': 0.022, 'avg_rank': 0.0, 'in_top3_count': 0, 'in_top5_count': 0, 'avg_rank_when_true': None, 'avg_prob_when_true': None, 'in_top3_when_true': 0, 'in_top5_when_true': 0, 'accuracy_when_true': None, 'precision': None, 'recall': None, 'f1_score': None}, 'SREBF2': {'gene_name': 'SREBF2', 'gene_index': 620, 'total_samples': 5096, 'times_true_source': 102, 'times_predicted_source': 0, 'correct_predictions': 0, 'avg_prediction_prob': 0.016, 'avg_rank': 0.0, 'in_top3_count': 0, 'in_top5_count': 0, 'avg_rank_when_true': 271.275, 'avg_prob_when_true': 0.016, 'in_top3_when_true': 0, 'in_top5_when_true': 0, 'accuracy_when_true': 0.0, 'precision': None, 'recall': 0.0, 'f1_score': None}, 'MYC': {'gene_name': 'MYC', 'gene_index': 406, 'total_samples': 5096, 'times_true_source': 0, 'times_predicted_source': 128, 'correct_predictions': 0, 'avg_prediction_prob': 0.014, 'avg_rank': 0.0, 'in_top3_count': 0, 'in_top5_count': 0, 'avg_rank_when_true': None, 'avg_prob_when_true': None, 'in_top3_when_true': 0, 'in_top5_when_true': 0, 'accuracy_when_true': None, 'precision': 0.0, 'recall': None, 'f1_score': None}}"
gat_0903_0212,gat,dorothea_727_sparse,727.0,180.0,1.0,0.16,0.009,196.91,0.021,0.012,0.001,0.115,0.029,0.036,"{'IRF3': {'gene_name': 'IRF3', 'gene_index': 334, 'total_samples': 5096, 'times_true_source': 0, 'times_predicted_source': 0, 'correct_predictions': 0, 'avg_prediction_prob': 0.019, 'avg_rank': 0.0, 'in_top3_count': 0, 'in_top5_count': 0, 'avg_rank_when_true': None, 'avg_prob_when_true': None, 'in_top3_when_true': 0, 'in_top5_when_true': 0, 'accuracy_when_true': None, 'precision': None, 'recall': None, 'f1_score': None}, 'SREBF2': {'gene_name': 'SREBF2', 'gene_index': 620, 'total_samples': 5096, 'times_true_source': 102, 'times_predicted_source': 0, 'correct_predictions': 0, 'avg_prediction_prob': 0.015, 'avg_rank': 0.0, 'in_top3_count': 0, 'in_top5_count': 0, 'avg_rank_when_true': 260.667, 'avg_prob_when_true': 0.015, 'in_top3_when_true': 0, 'in_top5_when_true': 0, 'accuracy_when_true': 0.0, 'precision': None, 'recall': 0.0, 'f1_score': None}, 'MYC': {'gene_name': 'MYC', 'gene_index': 406, 'total_samples': 5096, 'times_true_source': 0, 'times_predicted_source': 119, 'correct_predictions': 0, 'avg_prediction_prob': 0.012, 'avg_rank': 0.0, 'in_top3_count': 0, 'in_top5_count': 0, 'avg_rank_when_true': None, 'avg_prob_when_true': None, 'in_top3_when_true': 0, 'in_top5_when_true': 0, 'accuracy_when_true': None, 'precision': 0.0, 'recall': None, 'f1_score': None}}"
gat_0917_1546,gat,dorothea_727_sparse,727.0,180.0,1.0,0.28,0.008,305.531,0.014,0.013,0.003,0.041,0.017,0.026,"{'IRF3': {'gene_name': 'IRF3', 'gene_index': 334, 'total_samples': 1440, 'times_true_source': 4, 'times_predicted_source': 0, 'correct_predictions': 0, 'avg_prediction_prob': 0.019, 'avg_rank': 0.0, 'in_top3_count': 0, 'in_top5_count': 0, 'avg_rank_when_true': 58.25, 'avg_prob_when_true': 0.019, 'in_top3_when_true': 0, 'in_top5_when_true': 0, 'accuracy_when_true': 0.0, 'precision': None, 'recall': 0.0, 'f1_score': None}, 'SREBF2': {'gene_name': 'SREBF2', 'gene_index': 620, 'total_samples': 1440, 'times_true_source': 9, 'times_predicted_source': 0, 'correct_predictions': 0, 'avg_prediction_prob': 0.014, 'avg_rank': 0.0, 'in_top3_count': 0, 'in_top5_count': 0, 'avg_rank_when_true': 174.667, 'avg_prob_when_true': 0.015, 'in_top3_when_true': 0, 'in_top5_when_true': 0, 'accuracy_when_true': 0.0, 'precision': None, 'recall': 0.0, 'f1_score': None}, 'MYC': {'gene_name': 'MYC', 'gene_index': 406, 'total_samples': 1440, 'times_true_source': 5, 'times_predicted_source': 39, 'correct_predictions': 0, 'avg_prediction_prob': 0.015, 'avg_rank': 0.0, 'in_top3_count': 0, 'in_top5_count': 0, 'avg_rank_when_true': 59.2, 'avg_prob_when_true': 0.021, 'in_top3_when_true': 0, 'in_top5_when_true': 0, 'accuracy_when_true': 0.0, 'precision': 0.0, 'recall': 0.0, 'f1_score': None}}"
pdgrapher_0902_1826,pdgrapher,dorothea_727_sparse,727.0,180.0,1.0,0.16,0.328,134.319,1.752,-4.405,-38.222,18.399,0.502,0.551,"{'IRF3': {'gene_name': 'IRF3', 'gene_index': 334, 'total_samples': 5096, 'times_true_source': 0, 'times_predicted_source': 0, 'correct_predictions': 0, 'avg_prediction_prob': -4.478, 'avg_rank': 0.0, 'in_top3_count': 0, 'in_top5_count': 0, 'avg_rank_when_true': None, 'avg_prob_when_true': None, 'in_top3_when_true': 0, 'in_top5_when_true': 0, 'accuracy_when_true': None, 'precision': None, 'recall': None, 'f1_score': None}, 'SREBF2': {'gene_name': 'SREBF2', 'gene_index': 620, 'total_samples': 5096, 'times_true_source': 102, 'times_predicted_source': 171, 'correct_predictions': 44, 'avg_prediction_prob': -3.971, 'avg_rank': 0.0, 'in_top3_count': 0, 'in_top5_count': 0, 'avg_rank_when_true': 166.784, 'avg_prob_when_true': 1.455, 'in_top3_when_true': 55, 'in_top5_when_true': 56, 'accuracy_when_true': 0.431, 'precision': 0.257, 'recall': 0.431, 'f1_score': 0.322}, 'MYC': {'gene_name': 'MYC', 'gene_index': 406, 'total_samples': 5096, 'times_true_source': 0, 'times_predicted_source': 4, 'correct_predictions': 0, 'avg_prediction_prob': -5.374, 'avg_rank': 0.0, 'in_top3_count': 0, 'in_top5_count': 0, 'avg_rank_when_true': None, 'avg_prob_when_true': None, 'in_top3_when_true': 0, 'in_top5_when_true': 0, 'accuracy_when_true': None, 'precision': 0.0, 'recall': None, 'f1_score': None}}"
