filename,model_type,network,num_nodes,num_possible_sources,avg_num_sources,avg_portion_affected,accuracy,avg rank of source,avg prediction for source,avg prediction over all nodes,min prediction over all nodes,max prediction over all nodes,source in top 3,source in top 5,gene_specific_metrics
baseline_advanced_random_0901_1802,advanced_random,dorothea_99,,,,,0.008,49.291,0.01,0.01,0.0,0.025,0.025,0.047,
baseline_advanced_random_0902_1603,advanced_random,dorothea_99,,,,,0.009,48.851,0.01,0.01,0.0,0.025,0.028,0.046,
baseline_advanced_random_0917_1226,advanced_random,dorothea_99,,,,,0.005,48.368,0.01,0.01,0.0,0.024,0.03,0.048,
baseline_jordan_0901_1802,jordan,dorothea_99,,,,,0.012,48.056,0.01,0.01,0.0,1.0,0.032,0.045,
baseline_jordan_0902_1603,jordan,dorothea_99,,,,,0.011,49.002,0.01,0.01,0.0,1.0,0.023,0.045,
baseline_jordan_0917_1226,jordan,dorothea_99,,,,,0.015,48.871,0.01,0.01,0.0,1.0,0.033,0.054,
baseline_overlap_0901_1802,overlap,dorothea_99,,,,,0.012,48.328,0.01,0.01,0.01,0.01,0.031,0.043,
baseline_overlap_0902_1603,overlap,dorothea_99,,,,,0.015,49.217,0.01,0.01,0.01,0.01,0.037,0.049,
baseline_overlap_0917_1226,overlap,dorothea_99,,,,,0.012,49.017,0.01,0.01,0.01,0.01,0.032,0.052,
baseline_random_0901_1802,random,dorothea_99,,,,,0.008,49.291,0.01,0.01,0.0,0.025,0.025,0.047,
baseline_random_0902_1603,random,dorothea_99,,,,,0.009,48.851,0.01,0.01,0.0,0.025,0.028,0.046,
baseline_random_0917_1226,random,dorothea_99,,,,,0.005,48.368,0.01,0.01,0.0,0.024,0.03,0.048,
baseline_smallestSuperset_0901_1802,smallestSuperset,dorothea_99,,,,,0.012,48.328,0.01,0.01,0.01,0.01,0.031,0.043,
baseline_smallestSuperset_0902_1603,smallestSuperset,dorothea_99,,,,,0.015,49.217,0.01,0.01,0.01,0.01,0.037,0.049,
baseline_smallestSuperset_0917_1226,smallestSuperset,dorothea_99,,,,,0.012,49.017,0.01,0.01,0.01,0.01,0.032,0.052,
gat_0901_1812,gat,dorothea_99,99.0,95.0,1.0,0.928,0.012,47.617,0.092,0.092,0.066,0.1,0.034,0.052,"{'MYC': {'gene_name': 'MYC', 'gene_index': 48, 'total_samples': 8646, 'times_true_source': 99, 'times_predicted_source': 0, 'correct_predictions': 0, 'avg_prediction_prob': 0.094, 'avg_rank': 0.0, 'in_top3_count': 0, 'in_top5_count': 0, 'avg_rank_when_true': 26.162, 'avg_prob_when_true': 0.094, 'in_top3_when_true': 0, 'in_top5_when_true': 0, 'accuracy_when_true': 0.0, 'precision': None, 'recall': 0.0, 'f1_score': None}}"
gat_0902_1827,gat,dorothea_99,99.0,95.0,1.0,0.926,0.008,48.819,0.093,0.093,0.084,0.11,0.031,0.05,"{'MYC': {'gene_name': 'MYC', 'gene_index': 48, 'total_samples': 2491, 'times_true_source': 20, 'times_predicted_source': 0, 'correct_predictions': 0, 'avg_prediction_prob': 0.089, 'avg_rank': 0.0, 'in_top3_count': 0, 'in_top5_count': 0, 'avg_rank_when_true': 87.95, 'avg_prob_when_true': 0.089, 'in_top3_when_true': 0, 'in_top5_when_true': 0, 'accuracy_when_true': 0.0, 'precision': None, 'recall': 0.0, 'f1_score': None}}"
gat_0903_0217,gat,dorothea_99,99.0,95.0,1.0,0.926,0.008,48.355,0.093,0.093,0.084,0.113,0.034,0.05,"{'MYC': {'gene_name': 'MYC', 'gene_index': 48, 'total_samples': 2491, 'times_true_source': 20, 'times_predicted_source': 0, 'correct_predictions': 0, 'avg_prediction_prob': 0.09, 'avg_rank': 0.0, 'in_top3_count': 0, 'in_top5_count': 0, 'avg_rank_when_true': 87.4, 'avg_prob_when_true': 0.09, 'in_top3_when_true': 0, 'in_top5_when_true': 0, 'accuracy_when_true': 0.0, 'precision': None, 'recall': 0.0, 'f1_score': None}}"
gat_0917_1229,gat,dorothea_99,99.0,95.0,1.0,0.92,0.015,48.622,0.093,0.093,0.08,0.117,0.047,0.067,"{'MYC': {'gene_name': 'MYC', 'gene_index': 48, 'total_samples': 598, 'times_true_source': 4, 'times_predicted_source': 0, 'correct_predictions': 0, 'avg_prediction_prob': 0.089, 'avg_rank': 0.0, 'in_top3_count': 0, 'in_top5_count': 0, 'avg_rank_when_true': 67.0, 'avg_prob_when_true': 0.089, 'in_top3_when_true': 0, 'in_top5_when_true': 0, 'accuracy_when_true': 0.0, 'precision': None, 'recall': 0.0, 'f1_score': None}}"
pdgrapher_0901_1843,pdgrapher,dorothea_99,99.0,95.0,1.0,0.928,0.063,44.64,0.095,-0.359,-0.879,24.105,0.107,0.132,"{'MYC': {'gene_name': 'MYC', 'gene_index': 48, 'total_samples': 8646, 'times_true_source': 99, 'times_predicted_source': 65, 'correct_predictions': 9, 'avg_prediction_prob': -0.303, 'avg_rank': 0.0, 'in_top3_count': 0, 'in_top5_count': 0, 'avg_rank_when_true': 21.333, 'avg_prob_when_true': 0.56, 'in_top3_when_true': 13, 'in_top5_when_true': 18, 'accuracy_when_true': 0.091, 'precision': 0.138, 'recall': 0.091, 'f1_score': 0.11}}"
pdgrapher_0902_1828,pdgrapher,dorothea_99,99.0,95.0,1.0,0.926,0.016,44.238,-0.018,-0.111,-2.123,2.259,0.039,0.065,"{'MYC': {'gene_name': 'MYC', 'gene_index': 48, 'total_samples': 2491, 'times_true_source': 20, 'times_predicted_source': 5, 'correct_predictions': 0, 'avg_prediction_prob': 0.094, 'avg_rank': 0.0, 'in_top3_count': 0, 'in_top5_count': 0, 'avg_rank_when_true': 34.45, 'avg_prob_when_true': 0.107, 'in_top3_when_true': 0, 'in_top5_when_true': 0, 'accuracy_when_true': 0.0, 'precision': 0.0, 'recall': 0.0, 'f1_score': None}}"
pdgrapher_0903_0218,pdgrapher,dorothea_99,99.0,95.0,1.0,0.926,0.017,43.171,-0.124,-0.196,-1.314,2.012,0.048,0.076,"{'MYC': {'gene_name': 'MYC', 'gene_index': 48, 'total_samples': 2491, 'times_true_source': 20, 'times_predicted_source': 4, 'correct_predictions': 0, 'avg_prediction_prob': -0.245, 'avg_rank': 0.0, 'in_top3_count': 0, 'in_top5_count': 0, 'avg_rank_when_true': 43.85, 'avg_prob_when_true': -0.163, 'in_top3_when_true': 1, 'in_top5_when_true': 2, 'accuracy_when_true': 0.0, 'precision': 0.0, 'recall': 0.0, 'f1_score': None}}"
pdgrapher_0917_1028,pdgrapher,dorothea_99,99.0,95.0,1.0,0.92,0.012,49.975,-0.064,-0.061,-0.709,0.466,0.03,0.045,"{'MYC': {'gene_name': 'MYC', 'gene_index': 48, 'total_samples': 598, 'times_true_source': 4, 'times_predicted_source': 13, 'correct_predictions': 0, 'avg_prediction_prob': -0.001, 'avg_rank': 0.0, 'in_top3_count': 0, 'in_top5_count': 0, 'avg_rank_when_true': 30.5, 'avg_prob_when_true': 0.0, 'in_top3_when_true': 0, 'in_top5_when_true': 0, 'accuracy_when_true': 0.0, 'precision': 0.0, 'recall': 0.0, 'f1_score': None}}"
