filename,model_type,network,num_nodes,num_possible_sources,avg_num_sources,avg_portion_affected,accuracy,avg rank of source,avg prediction for source,avg prediction over all nodes,min prediction over all nodes,max prediction over all nodes,source in top 5,source in top 20,source in top 40,source in top 80,gene_specific_metrics,pdgrapher_perturbation_discovery,pdgrapher_response_prediction
baseline_advanced_random_1019_1340,advanced_random,dorothea_100_500,,,,,0.01,49.724,0.01,0.01,0.0,0.025,0.049,0.198,0.397,0.798,,,
baseline_advanced_random_1019_2303,advanced_random,dorothea_100_500,,,,,0.01,49.724,0.01,0.01,0.0,0.025,0.049,0.198,0.397,0.798,,,
baseline_advanced_random_1020_0829,advanced_random,dorothea_100_500,,,,,0.01,49.724,0.01,0.01,0.0,0.025,0.049,0.198,0.397,0.798,,,
baseline_advanced_random_1021_0052,advanced_random,dorothea_100_500,,,,,0.01,49.724,0.01,0.01,0.0,0.025,0.049,0.198,0.397,0.798,,,
baseline_advanced_random_1022_1606,advanced_random,dorothea_100_500,,,,,0.01,49.724,0.01,0.01,0.0,0.025,0.049,0.198,0.397,0.798,,,
baseline_advanced_random_1022_1716,advanced_random,dorothea_100_500,,,,,0.01,49.724,0.01,0.01,0.0,0.025,0.049,0.198,0.397,0.798,,,
baseline_advanced_random_1022_1759,advanced_random,dorothea_100_500,,,,,0.01,49.724,0.01,0.01,0.0,0.025,0.049,0.198,0.397,0.798,,,
baseline_advanced_random_1022_1844,advanced_random,dorothea_100_500,,,,,0.01,49.724,0.01,0.01,0.0,0.025,0.049,0.198,0.397,0.798,,,
baseline_advanced_random_1022_2224,advanced_random,dorothea_100_500,,,,,0.01,49.724,0.01,0.01,0.0,0.025,0.049,0.198,0.397,0.798,,,
baseline_advanced_random_1023_1212,advanced_random,dorothea_100_500,,,,,0.01,49.724,0.01,0.01,0.0,0.025,0.049,0.198,0.397,0.798,,,
baseline_advanced_random_1023_1340,advanced_random,dorothea_100_500,,,,,0.01,49.724,0.01,0.01,0.0,0.025,0.049,0.198,0.397,0.798,,,
baseline_jordan_1019_1340,jordan,dorothea_100_500,,,,,0.012,49.671,0.01,0.01,0.006,0.022,0.05,0.206,0.388,0.796,,,
baseline_jordan_1019_2303,jordan,dorothea_100_500,,,,,0.012,49.671,0.01,0.01,0.006,0.022,0.05,0.206,0.388,0.796,,,
baseline_jordan_1020_0829,jordan,dorothea_100_500,,,,,0.012,49.671,0.01,0.01,0.006,0.022,0.05,0.206,0.388,0.796,,,
baseline_jordan_1021_0052,jordan,dorothea_100_500,,,,,0.012,49.671,0.01,0.01,0.006,0.022,0.05,0.206,0.388,0.796,,,
baseline_jordan_1022_1606,jordan,dorothea_100_500,,,,,0.012,49.671,0.01,0.01,0.006,0.022,0.05,0.206,0.388,0.796,,,
baseline_jordan_1022_1716,jordan,dorothea_100_500,,,,,0.012,49.671,0.01,0.01,0.006,0.022,0.05,0.206,0.388,0.796,,,
baseline_jordan_1022_1759,jordan,dorothea_100_500,,,,,0.012,49.671,0.01,0.01,0.006,0.022,0.05,0.206,0.388,0.796,,,
baseline_jordan_1022_1844,jordan,dorothea_100_500,,,,,0.012,49.671,0.01,0.01,0.006,0.022,0.05,0.206,0.388,0.796,,,
baseline_jordan_1022_2224,jordan,dorothea_100_500,,,,,0.012,49.671,0.01,0.01,0.006,0.022,0.05,0.206,0.388,0.796,,,
baseline_jordan_1023_1212,jordan,dorothea_100_500,,,,,0.012,49.671,0.01,0.01,0.006,0.022,0.05,0.206,0.388,0.796,,,
baseline_jordan_1023_1340,jordan,dorothea_100_500,,,,,0.012,49.671,0.01,0.01,0.006,0.022,0.05,0.206,0.388,0.796,,,
baseline_overlap_1019_1340,overlap,dorothea_100_500,,,,,0.012,49.695,0.01,0.01,0.01,0.01,0.055,0.2,0.391,0.784,,,
baseline_overlap_1019_2303,overlap,dorothea_100_500,,,,,0.012,49.695,0.01,0.01,0.01,0.01,0.055,0.2,0.391,0.784,,,
baseline_overlap_1020_0829,overlap,dorothea_100_500,,,,,0.012,49.695,0.01,0.01,0.01,0.01,0.055,0.2,0.391,0.784,,,
baseline_overlap_1021_0052,overlap,dorothea_100_500,,,,,0.012,49.695,0.01,0.01,0.01,0.01,0.055,0.2,0.391,0.784,,,
baseline_overlap_1022_1606,overlap,dorothea_100_500,,,,,0.012,49.695,0.01,0.01,0.01,0.01,0.055,0.2,0.391,0.784,,,
baseline_overlap_1022_1716,overlap,dorothea_100_500,,,,,0.012,49.695,0.01,0.01,0.01,0.01,0.055,0.2,0.391,0.784,,,
baseline_overlap_1022_1759,overlap,dorothea_100_500,,,,,0.012,49.695,0.01,0.01,0.01,0.01,0.055,0.2,0.391,0.784,,,
baseline_overlap_1022_1844,overlap,dorothea_100_500,,,,,0.012,49.695,0.01,0.01,0.01,0.01,0.055,0.2,0.391,0.784,,,
