filename,model_type,network,num_nodes,num_possible_sources,avg_num_sources,avg_portion_affected,accuracy,avg rank of source,avg prediction for source,avg prediction over all nodes,min prediction over all nodes,max prediction over all nodes,source in top 5,source in top 20,source in top 40,source in top 80,gene_specific_metrics,pdgrapher_perturbation_discovery,pdgrapher_response_prediction
baseline_advanced_random_1018_1148,advanced_random,dorothea_100_500,,,,,0.012,44.634,0.011,0.01,0.0,0.028,0.052,0.222,0.436,0.896,,,
baseline_advanced_random_1018_1246,advanced_random,dorothea_100_500,,,,,0.01,43.963,0.011,0.01,0.0,0.028,0.053,0.224,0.447,0.9,,,
baseline_advanced_random_1018_1730,advanced_random,dorothea_100_500,,,,,0.01,43.963,0.011,0.01,0.0,0.028,0.053,0.224,0.447,0.9,,,
baseline_advanced_random_1018_2130,advanced_random,dorothea_100_500,,,,,0.01,43.963,0.011,0.01,0.0,0.028,0.053,0.224,0.447,0.9,,,
baseline_advanced_random_1019_0010,advanced_random,dorothea_100_500,,,,,0.01,43.963,0.011,0.01,0.0,0.028,0.053,0.224,0.447,0.9,,,
baseline_advanced_random_1019_1328,advanced_random,dorothea_100_500,,,,,0.01,43.963,0.011,0.01,0.0,0.028,0.053,0.224,0.447,0.9,,,
baseline_jordan_1018_1148,jordan,dorothea_100_500,,,,,0.21,16.33,0.057,0.01,0.0,1.0,0.384,0.688,0.873,0.99,,,
baseline_jordan_1018_1246,jordan,dorothea_100_500,,,,,0.206,15.868,0.056,0.01,0.0,1.0,0.39,0.703,0.88,0.994,,,
baseline_jordan_1018_1730,jordan,dorothea_100_500,,,,,0.206,15.868,0.056,0.01,0.0,1.0,0.39,0.703,0.88,0.994,,,
baseline_jordan_1018_2130,jordan,dorothea_100_500,,,,,0.206,15.868,0.056,0.01,0.0,1.0,0.39,0.703,0.88,0.994,,,
baseline_jordan_1019_0010,jordan,dorothea_100_500,,,,,0.206,15.868,0.056,0.01,0.0,1.0,0.39,0.703,0.88,0.994,,,
baseline_jordan_1019_1328,jordan,dorothea_100_500,,,,,0.206,15.868,0.056,0.01,0.0,1.0,0.39,0.703,0.88,0.994,,,
baseline_overlap_1018_1148,overlap,dorothea_100_500,,,,,0.05,39.886,0.011,0.01,0.0,0.041,0.093,0.261,0.495,0.95,,,
baseline_overlap_1018_1246,overlap,dorothea_100_500,,,,,0.053,40.15,0.011,0.01,0.0,0.041,0.096,0.267,0.497,0.937,,,
baseline_overlap_1018_1730,overlap,dorothea_100_500,,,,,0.053,40.15,0.011,0.01,0.0,0.041,0.096,0.267,0.497,0.937,,,
baseline_overlap_1018_2130,overlap,dorothea_100_500,,,,,0.053,40.15,0.011,0.01,0.0,0.041,0.096,0.267,0.497,0.937,,,
baseline_overlap_1019_0010,overlap,dorothea_100_500,,,,,0.053,40.15,0.011,0.01,0.0,0.041,0.096,0.267,0.497,0.937,,,
baseline_overlap_1019_1328,overlap,dorothea_100_500,,,,,0.053,40.15,0.011,0.01,0.0,0.041,0.096,0.267,0.497,0.937,,,
baseline_random_1018_1148,random,dorothea_100_500,,,,,0.011,50.271,0.01,0.01,0.0,0.025,0.047,0.197,0.386,0.784,,,
baseline_random_1018_1246,random,dorothea_100_500,,,,,0.009,49.46,0.01,0.01,0.0,0.025,0.047,0.201,0.398,0.802,,,
baseline_random_1018_1730,random,dorothea_100_500,,,,,0.009,49.46,0.01,0.01,0.0,0.025,0.047,0.201,0.398,0.802,,,
baseline_random_1018_2130,random,dorothea_100_500,,,,,0.009,49.46,0.01,0.01,0.0,0.025,0.047,0.201,0.398,0.802,,,
