filename,model_type,network,num_nodes,num_possible_sources,avg_num_sources,avg_portion_affected,accuracy,avg rank of source,avg prediction for source,avg prediction over all nodes,min prediction over all nodes,max prediction over all nodes,source in top 5,source in top 20,source in top 40,source in top 80,gene_specific_metrics,pdgrapher_perturbation_discovery,pdgrapher_response_prediction
baseline_advanced_random_1019_1327,advanced_random,dorothea_100_500,,,,,0.01,49.724,0.01,0.01,0.0,0.025,0.049,0.198,0.397,0.798,,,
baseline_advanced_random_1019_2253,advanced_random,dorothea_100_500,,,,,0.01,49.724,0.01,0.01,0.0,0.025,0.049,0.198,0.397,0.798,,,
baseline_advanced_random_1020_0819,advanced_random,dorothea_100_500,,,,,0.01,49.724,0.01,0.01,0.0,0.025,0.049,0.198,0.397,0.798,,,
baseline_advanced_random_1021_0043,advanced_random,dorothea_100_500,,,,,0.01,49.724,0.01,0.01,0.0,0.025,0.049,0.198,0.397,0.798,,,
baseline_jordan_1019_1327,jordan,dorothea_100_500,,,,,0.035,17.217,0.032,0.01,0.0,0.2,0.153,0.595,0.964,1.0,,,
baseline_jordan_1019_2253,jordan,dorothea_100_500,,,,,0.035,17.217,0.032,0.01,0.0,0.2,0.153,0.595,0.964,1.0,,,
baseline_jordan_1020_0819,jordan,dorothea_100_500,,,,,0.035,17.217,0.032,0.01,0.0,0.2,0.153,0.595,0.964,1.0,,,
baseline_jordan_1021_0043,jordan,dorothea_100_500,,,,,0.035,17.217,0.032,0.01,0.0,0.2,0.153,0.595,0.964,1.0,,,
baseline_overlap_1019_1327,overlap,dorothea_100_500,,,,,0.035,17.217,0.032,0.01,0.0,0.2,0.153,0.595,0.964,1.0,,,
baseline_overlap_1019_2253,overlap,dorothea_100_500,,,,,0.035,17.217,0.032,0.01,0.0,0.2,0.153,0.595,0.964,1.0,,,
baseline_overlap_1020_0819,overlap,dorothea_100_500,,,,,0.035,17.217,0.032,0.01,0.0,0.2,0.153,0.595,0.964,1.0,,,
baseline_overlap_1021_0043,overlap,dorothea_100_500,,,,,0.035,17.217,0.032,0.01,0.0,0.2,0.153,0.595,0.964,1.0,,,
baseline_random_1019_1327,random,dorothea_100_500,,,,,0.01,49.724,0.01,0.01,0.0,0.025,0.049,0.198,0.397,0.798,,,
baseline_random_1019_2253,random,dorothea_100_500,,,,,0.01,49.724,0.01,0.01,0.0,0.025,0.049,0.198,0.397,0.798,,,
baseline_random_1020_0819,random,dorothea_100_500,,,,,0.01,49.724,0.01,0.01,0.0,0.025,0.049,0.198,0.397,0.798,,,
baseline_random_1021_0043,random,dorothea_100_500,,,,,0.01,49.724,0.01,0.01,0.0,0.025,0.049,0.198,0.397,0.798,,,
baseline_smallestSuperset_1019_1327,smallestSuperset,dorothea_100_500,,,,,0.012,49.695,0.01,0.01,0.01,0.01,0.055,0.2,0.391,0.784,,,
baseline_smallestSuperset_1019_2253,smallestSuperset,dorothea_100_500,,,,,0.012,49.695,0.01,0.01,0.01,0.01,0.055,0.2,0.391,0.784,,,
baseline_smallestSuperset_1020_0819,smallestSuperset,dorothea_100_500,,,,,0.012,49.695,0.01,0.01,0.01,0.01,0.055,0.2,0.391,0.784,,,
baseline_smallestSuperset_1021_0043,smallestSuperset,dorothea_100_500,,,,,0.012,49.695,0.01,0.01,0.01,0.01,0.055,0.2,0.391,0.784,,,
