filename,model_type,network,num_nodes,num_possible_sources,avg_num_sources,avg_portion_affected,accuracy,avg rank of source,avg prediction for source,avg prediction over all nodes,min prediction over all nodes,max prediction over all nodes,source in top 5,source in top 20,source in top 40,source in top 80,gene_specific_metrics,pdgrapher_perturbation_discovery,pdgrapher_response_prediction
gat_1018_1420,gat,dorothea_500_1000,500,279,1.0,0.34,0.009,75.12,0.06,0.019,0.0,0.106,0.053,0.178,0.334,0.592,"{'IRF3': {'gene_name': 'IRF3', 'gene_index': 195, 'total_samples': 14803, 'times_true_source': 0, 'times_predicted_source': 0, 'correct_predictions': 0, 'avg_prediction_prob': 0.0, 'avg_rank': 0.0, 'in_top20_count': 0, 'in_top40_count': 0, 'in_top80_count': 0, 'avg_rank_when_true': None, 'avg_prob_when_true': None, 'in_top20_when_true': 0, 'in_top40_when_true': 0, 'in_top80_when_true': 0, 'accuracy_when_true': None, 'precision': None, 'recall': None, 'f1_score': None}, 'ATF7': {'gene_name': 'ATF7', 'gene_index': 15, 'total_samples': 14803, 'times_true_source': 0, 'times_predicted_source': 0, 'correct_predictions': 0, 'avg_prediction_prob': 0.0, 'avg_rank': 0.0, 'in_top20_count': 0, 'in_top40_count': 0, 'in_top80_count': 0, 'avg_rank_when_true': None, 'avg_prob_when_true': None, 'in_top20_when_true': 0, 'in_top40_when_true': 0, 'in_top80_when_true': 0, 'accuracy_when_true': None, 'precision': None, 'recall': None, 'f1_score': None}, 'SREBF2': {'gene_name': 'SREBF2', 'gene_index': 402, 'total_samples': 14803, 'times_true_source': 62, 'times_predicted_source': 0, 'correct_predictions': 0, 'avg_prediction_prob': 0.001, 'avg_rank': 0.0, 'in_top20_count': 0, 'in_top40_count': 0, 'in_top80_count': 0, 'avg_rank_when_true': 159.758, 'avg_prob_when_true': 0.04, 'in_top20_when_true': 0, 'in_top40_when_true': 0, 'in_top80_when_true': 2, 'accuracy_when_true': 0.0, 'precision': None, 'recall': 0.0, 'f1_score': None}, 'MYC': {'gene_name': 'MYC', 'gene_index': 260, 'total_samples': 14803, 'times_true_source': 65, 'times_predicted_source': 0, 'correct_predictions': 0, 'avg_prediction_prob': 0.051, 'avg_rank': 0.0, 'in_top20_count': 0, 'in_top40_count': 0, 'in_top80_count': 0, 'avg_rank_when_true': 51.2, 'avg_prob_when_true': 0.063, 'in_top20_when_true': 5, 'in_top40_when_true': 29, 'in_top80_when_true': 54, 'accuracy_when_true': 0.0, 'precision': None, 'recall': 0.0, 'f1_score': None}}",,
gat_1018_1805,gat,dorothea_500_1000,500,279,1.0,0.34,0.007,75.295,0.06,0.019,0.0,0.101,0.045,0.177,0.334,0.593,"{'IRF3': {'gene_name': 'IRF3', 'gene_index': 195, 'total_samples': 14803, 'times_true_source': 0, 'times_predicted_source': 0, 'correct_predictions': 0, 'avg_prediction_prob': 0.0, 'avg_rank': 0.0, 'in_top20_count': 0, 'in_top40_count': 0, 'in_top80_count': 0, 'avg_rank_when_true': None, 'avg_prob_when_true': None, 'in_top20_when_true': 0, 'in_top40_when_true': 0, 'in_top80_when_true': 0, 'accuracy_when_true': None, 'precision': None, 'recall': None, 'f1_score': None}, 'ATF7': {'gene_name': 'ATF7', 'gene_index': 15, 'total_samples': 14803, 'times_true_source': 0, 'times_predicted_source': 0, 'correct_predictions': 0, 'avg_prediction_prob': 0.0, 'avg_rank': 0.0, 'in_top20_count': 0, 'in_top40_count': 0, 'in_top80_count': 0, 'avg_rank_when_true': None, 'avg_prob_when_true': None, 'in_top20_when_true': 0, 'in_top40_when_true': 0, 'in_top80_when_true': 0, 'accuracy_when_true': None, 'precision': None, 'recall': None, 'f1_score': None}, 'SREBF2': {'gene_name': 'SREBF2', 'gene_index': 402, 'total_samples': 14803, 'times_true_source': 62, 'times_predicted_source': 0, 'correct_predictions': 0, 'avg_prediction_prob': 0.001, 'avg_rank': 0.0, 'in_top20_count': 0, 'in_top40_count': 0, 'in_top80_count': 0, 'avg_rank_when_true': 150.145, 'avg_prob_when_true': 0.043, 'in_top20_when_true': 0, 'in_top40_when_true': 0, 'in_top80_when_true': 2, 'accuracy_when_true': 0.0, 'precision': None, 'recall': 0.0, 'f1_score': None}, 'MYC': {'gene_name': 'MYC', 'gene_index': 260, 'total_samples': 14803, 'times_true_source': 65, 'times_predicted_source': 0, 'correct_predictions': 0, 'avg_prediction_prob': 0.054, 'avg_rank': 0.0, 'in_top20_count': 0, 'in_top40_count': 0, 'in_top80_count': 0, 'avg_rank_when_true': 43.785, 'avg_prob_when_true': 0.067, 'in_top20_when_true': 8, 'in_top40_when_true': 31, 'in_top80_when_true': 60, 'accuracy_when_true': 0.0, 'precision': None, 'recall': 0.0, 'f1_score': None}}",,
gat_1018_2220,gat,dorothea_500_1000,500,279,1.0,0.34,0.009,75.398,0.06,0.019,0.0,0.107,0.05,0.177,0.334,0.589,"{'IRF3': {'gene_name': 'IRF3', 'gene_index': 195, 'total_samples': 14803, 'times_true_source': 0, 'times_predicted_source': 0, 'correct_predictions': 0, 'avg_prediction_prob': 0.0, 'avg_rank': 0.0, 'in_top20_count': 0, 'in_top40_count': 0, 'in_top80_count': 0, 'avg_rank_when_true': None, 'avg_prob_when_true': None, 'in_top20_when_true': 0, 'in_top40_when_true': 0, 'in_top80_when_true': 0, 'accuracy_when_true': None, 'precision': None, 'recall': None, 'f1_score': None}, 'ATF7': {'gene_name': 'ATF7', 'gene_index': 15, 'total_samples': 14803, 'times_true_source': 0, 'times_predicted_source': 0, 'correct_predictions': 0, 'avg_prediction_prob': 0.0, 'avg_rank': 0.0, 'in_top20_count': 0, 'in_top40_count': 0, 'in_top80_count': 0, 'avg_rank_when_true': None, 'avg_prob_when_true': None, 'in_top20_when_true': 0, 'in_top40_when_true': 0, 'in_top80_when_true': 0, 'accuracy_when_true': None, 'precision': None, 'recall': None, 'f1_score': None}, 'SREBF2': {'gene_name': 'SREBF2', 'gene_index': 402, 'total_samples': 14803, 'times_true_source': 62, 'times_predicted_source': 0, 'correct_predictions': 0, 'avg_prediction_prob': 0.001, 'avg_rank': 0.0, 'in_top20_count': 0, 'in_top40_count': 0, 'in_top80_count': 0, 'avg_rank_when_true': 159.516, 'avg_prob_when_true': 0.04, 'in_top20_when_true': 0, 'in_top40_when_true': 0, 'in_top80_when_true': 2, 'accuracy_when_true': 0.0, 'precision': None, 'recall': 0.0, 'f1_score': None}, 'MYC': {'gene_name': 'MYC', 'gene_index': 260, 'total_samples': 14803, 'times_true_source': 65, 'times_predicted_source': 0, 'correct_predictions': 0, 'avg_prediction_prob': 0.052, 'avg_rank': 0.0, 'in_top20_count': 0, 'in_top40_count': 0, 'in_top80_count': 0, 'avg_rank_when_true': 47.369, 'avg_prob_when_true': 0.064, 'in_top20_when_true': 6, 'in_top40_when_true': 28, 'in_top80_when_true': 59, 'accuracy_when_true': 0.0, 'precision': None, 'recall': 0.0, 'f1_score': None}}",,
gat_1019_0041,gat,dorothea_500_1000,500,279,1.0,0.34,0.008,74.992,0.059,0.019,0.0,0.104,0.051,0.178,0.334,0.593,"{'IRF3': {'gene_name': 'IRF3', 'gene_index': 195, 'total_samples': 14803, 'times_true_source': 0, 'times_predicted_source': 0, 'correct_predictions': 0, 'avg_prediction_prob': 0.0, 'avg_rank': 0.0, 'in_top20_count': 0, 'in_top40_count': 0, 'in_top80_count': 0, 'avg_rank_when_true': None, 'avg_prob_when_true': None, 'in_top20_when_true': 0, 'in_top40_when_true': 0, 'in_top80_when_true': 0, 'accuracy_when_true': None, 'precision': None, 'recall': None, 'f1_score': None}, 'ATF7': {'gene_name': 'ATF7', 'gene_index': 15, 'total_samples': 14803, 'times_true_source': 0, 'times_predicted_source': 0, 'correct_predictions': 0, 'avg_prediction_prob': 0.0, 'avg_rank': 0.0, 'in_top20_count': 0, 'in_top40_count': 0, 'in_top80_count': 0, 'avg_rank_when_true': None, 'avg_prob_when_true': None, 'in_top20_when_true': 0, 'in_top40_when_true': 0, 'in_top80_when_true': 0, 'accuracy_when_true': None, 'precision': None, 'recall': None, 'f1_score': None}, 'SREBF2': {'gene_name': 'SREBF2', 'gene_index': 402, 'total_samples': 14803, 'times_true_source': 62, 'times_predicted_source': 0, 'correct_predictions': 0, 'avg_prediction_prob': 0.001, 'avg_rank': 0.0, 'in_top20_count': 0, 'in_top40_count': 0, 'in_top80_count': 0, 'avg_rank_when_true': 160.274, 'avg_prob_when_true': 0.04, 'in_top20_when_true': 0, 'in_top40_when_true': 0, 'in_top80_when_true': 2, 'accuracy_when_true': 0.0, 'precision': None, 'recall': 0.0, 'f1_score': None}, 'MYC': {'gene_name': 'MYC', 'gene_index': 260, 'total_samples': 14803, 'times_true_source': 65, 'times_predicted_source': 0, 'correct_predictions': 0, 'avg_prediction_prob': 0.053, 'avg_rank': 0.0, 'in_top20_count': 0, 'in_top40_count': 0, 'in_top80_count': 0, 'avg_rank_when_true': 45.338, 'avg_prob_when_true': 0.064, 'in_top20_when_true': 5, 'in_top40_when_true': 29, 'in_top80_when_true': 63, 'accuracy_when_true': 0.0, 'precision': None, 'recall': 0.0, 'f1_score': None}}",,
gat_1019_1559,gat,dorothea_500_1000,500,279,1.0,0.34,0.009,75.239,0.059,0.019,0.0,0.103,0.051,0.177,0.335,0.591,"{'IRF3': {'gene_name': 'IRF3', 'gene_index': 195, 'total_samples': 14803, 'times_true_source': 0, 'times_predicted_source': 0, 'correct_predictions': 0, 'avg_prediction_prob': 0.0, 'avg_rank': 0.0, 'in_top20_count': 0, 'in_top40_count': 0, 'in_top80_count': 0, 'avg_rank_when_true': None, 'avg_prob_when_true': None, 'in_top20_when_true': 0, 'in_top40_when_true': 0, 'in_top80_when_true': 0, 'accuracy_when_true': None, 'precision': None, 'recall': None, 'f1_score': None}, 'ATF7': {'gene_name': 'ATF7', 'gene_index': 15, 'total_samples': 14803, 'times_true_source': 0, 'times_predicted_source': 0, 'correct_predictions': 0, 'avg_prediction_prob': 0.0, 'avg_rank': 0.0, 'in_top20_count': 0, 'in_top40_count': 0, 'in_top80_count': 0, 'avg_rank_when_true': None, 'avg_prob_when_true': None, 'in_top20_when_true': 0, 'in_top40_when_true': 0, 'in_top80_when_true': 0, 'accuracy_when_true': None, 'precision': None, 'recall': None, 'f1_score': None}, 'SREBF2': {'gene_name': 'SREBF2', 'gene_index': 402, 'total_samples': 14803, 'times_true_source': 62, 'times_predicted_source': 0, 'correct_predictions': 0, 'avg_prediction_prob': 0.001, 'avg_rank': 0.0, 'in_top20_count': 0, 'in_top40_count': 0, 'in_top80_count': 0, 'avg_rank_when_true': 158.516, 'avg_prob_when_true': 0.041, 'in_top20_when_true': 0, 'in_top40_when_true': 0, 'in_top80_when_true': 2, 'accuracy_when_true': 0.0, 'precision': None, 'recall': 0.0, 'f1_score': None}, 'MYC': {'gene_name': 'MYC', 'gene_index': 260, 'total_samples': 14803, 'times_true_source': 65, 'times_predicted_source': 0, 'correct_predictions': 0, 'avg_prediction_prob': 0.053, 'avg_rank': 0.0, 'in_top20_count': 0, 'in_top40_count': 0, 'in_top80_count': 0, 'avg_rank_when_true': 44.708, 'avg_prob_when_true': 0.065, 'in_top20_when_true': 6, 'in_top40_when_true': 30, 'in_top80_when_true': 63, 'accuracy_when_true': 0.0, 'precision': None, 'recall': 0.0, 'f1_score': None}}",,
pdgrapher_1018_1513,pdgrapher,dorothea_500_1000,500,279,1.0,0.34,0.018,68.385,0.958,-3.813,-94.95,5.538,0.088,0.313,0.491,0.736,"{'IRF3': {'gene_name': 'IRF3', 'gene_index': 195, 'total_samples': 14803, 'times_true_source': 0, 'times_predicted_source': 0, 'correct_predictions': 0, 'avg_prediction_prob': -0.647, 'avg_rank': 0.0, 'in_top20_count': 0, 'in_top40_count': 0, 'in_top80_count': 0, 'avg_rank_when_true': None, 'avg_prob_when_true': None, 'in_top20_when_true': 0, 'in_top40_when_true': 0, 'in_top80_when_true': 0, 'accuracy_when_true': None, 'precision': None, 'recall': None, 'f1_score': None}, 'ATF7': {'gene_name': 'ATF7', 'gene_index': 15, 'total_samples': 14803, 'times_true_source': 0, 'times_predicted_source': 0, 'correct_predictions': 0, 'avg_prediction_prob': -0.26, 'avg_rank': 0.0, 'in_top20_count': 0, 'in_top40_count': 0, 'in_top80_count': 0, 'avg_rank_when_true': None, 'avg_prob_when_true': None, 'in_top20_when_true': 0, 'in_top40_when_true': 0, 'in_top80_when_true': 0, 'accuracy_when_true': None, 'precision': None, 'recall': None, 'f1_score': None}, 'SREBF2': {'gene_name': 'SREBF2', 'gene_index': 402, 'total_samples': 14803, 'times_true_source': 62, 'times_predicted_source': 0, 'correct_predictions': 0, 'avg_prediction_prob': -1.129, 'avg_rank': 0.0, 'in_top20_count': 0, 'in_top40_count': 0, 'in_top80_count': 0, 'avg_rank_when_true': 12.452, 'avg_prob_when_true': 2.227, 'in_top20_when_true': 61, 'in_top40_when_true': 62, 'in_top80_when_true': 62, 'accuracy_when_true': 0.0, 'precision': None, 'recall': 0.0, 'f1_score': None}, 'MYC': {'gene_name': 'MYC', 'gene_index': 260, 'total_samples': 14803, 'times_true_source': 65, 'times_predicted_source': 0, 'correct_predictions': 0, 'avg_prediction_prob': -0.251, 'avg_rank': 0.0, 'in_top20_count': 0, 'in_top40_count': 0, 'in_top80_count': 0, 'avg_rank_when_true': 59.846, 'avg_prob_when_true': 0.441, 'in_top20_when_true': 0, 'in_top40_when_true': 12, 'in_top80_when_true': 52, 'accuracy_when_true': 0.0, 'precision': None, 'recall': 0.0, 'f1_score': None}}","{'recall@1': 0.0042, 'recall@10': 0.0457, 'recall@100': 0.3333, 'recall@1000': 1.0, 'ranking_score': 0.5867, 'ranking_score_dcg': 0.1065, 'perc_partially_accurate_predictions': 0.42, 'recall@1_std': 0.0646, 'recall@10_std': 0.2088, 'recall@100_std': 0.4714, 'recall@1000_std': 0.0, 'ranking_score_std': 0.2951, 'ranking_score_dcg_std': 0.1067, 'perc_partially_accurate_predictions_std': 6.46, 'total_samples': 14803, 'avg_topk': 293.3581}","{'forward_mae': -1, 'forward_mse': -1, 'forward_r2': -1, 'forward_r2_scgen': -1, 'forward_spearman': -1, 'backward_mae': -1, 'backward_mse': -1, 'backward_r2': -1, 'backward_r2_scgen': -1, 'backward_spearman': -1, 'backward_avg_topk': -1}"
pdgrapher_1018_1942,pdgrapher,dorothea_500_1000,500,279,1.0,0.34,0.044,89.459,-2.126,-7.892,-60.939,3.938,0.143,0.323,0.474,0.64,"{'IRF3': {'gene_name': 'IRF3', 'gene_index': 195, 'total_samples': 14803, 'times_true_source': 0, 'times_predicted_source': 0, 'correct_predictions': 0, 'avg_prediction_prob': -6.777, 'avg_rank': 0.0, 'in_top20_count': 0, 'in_top40_count': 0, 'in_top80_count': 0, 'avg_rank_when_true': None, 'avg_prob_when_true': None, 'in_top20_when_true': 0, 'in_top40_when_true': 0, 'in_top80_when_true': 0, 'accuracy_when_true': None, 'precision': None, 'recall': None, 'f1_score': None}, 'ATF7': {'gene_name': 'ATF7', 'gene_index': 15, 'total_samples': 14803, 'times_true_source': 0, 'times_predicted_source': 0, 'correct_predictions': 0, 'avg_prediction_prob': -15.177, 'avg_rank': 0.0, 'in_top20_count': 0, 'in_top40_count': 0, 'in_top80_count': 0, 'avg_rank_when_true': None, 'avg_prob_when_true': None, 'in_top20_when_true': 0, 'in_top40_when_true': 0, 'in_top80_when_true': 0, 'accuracy_when_true': None, 'precision': None, 'recall': None, 'f1_score': None}, 'SREBF2': {'gene_name': 'SREBF2', 'gene_index': 402, 'total_samples': 14803, 'times_true_source': 62, 'times_predicted_source': 0, 'correct_predictions': 0, 'avg_prediction_prob': -9.248, 'avg_rank': 0.0, 'in_top20_count': 0, 'in_top40_count': 0, 'in_top80_count': 0, 'avg_rank_when_true': 224.081, 'avg_prob_when_true': -6.54, 'in_top20_when_true': 0, 'in_top40_when_true': 1, 'in_top80_when_true': 1, 'accuracy_when_true': 0.0, 'precision': None, 'recall': 0.0, 'f1_score': None}, 'MYC': {'gene_name': 'MYC', 'gene_index': 260, 'total_samples': 14803, 'times_true_source': 65, 'times_predicted_source': 0, 'correct_predictions': 0, 'avg_prediction_prob': -2.536, 'avg_rank': 0.0, 'in_top20_count': 0, 'in_top40_count': 0, 'in_top80_count': 0, 'avg_rank_when_true': 25.0, 'avg_prob_when_true': 0.224, 'in_top20_when_true': 20, 'in_top40_when_true': 61, 'in_top80_when_true': 65, 'accuracy_when_true': 0.0, 'precision': None, 'recall': 0.0, 'f1_score': None}}","{'recall@1': 0.0052, 'recall@10': 0.0474, 'recall@100': 0.3661, 'recall@1000': 1.0, 'ranking_score': 0.6061, 'ranking_score_dcg': 0.1117, 'perc_partially_accurate_predictions': 0.52, 'recall@1_std': 0.0719, 'recall@10_std': 0.2125, 'recall@100_std': 0.4817, 'recall@1000_std': 0.0, 'ranking_score_std': 0.3007, 'ranking_score_dcg_std': 0.1103, 'perc_partially_accurate_predictions_std': 7.19, 'total_samples': 14803, 'avg_topk': 303.0346}","{'forward_mae': -1, 'forward_mse': -1, 'forward_r2': -1, 'forward_r2_scgen': -1, 'forward_spearman': -1, 'backward_mae': -1, 'backward_mse': -1, 'backward_r2': -1, 'backward_r2_scgen': -1, 'backward_spearman': -1, 'backward_avg_topk': -1}"
pdgrapher_1018_2352,pdgrapher,dorothea_500_1000,500,279,1.0,0.34,0.012,101.624,-2.04,-9.685,-86.867,11.59,0.112,0.301,0.43,0.573,"{'IRF3': {'gene_name': 'IRF3', 'gene_index': 195, 'total_samples': 14803, 'times_true_source': 0, 'times_predicted_source': 0, 'correct_predictions': 0, 'avg_prediction_prob': -4.403, 'avg_rank': 0.0, 'in_top20_count': 0, 'in_top40_count': 0, 'in_top80_count': 0, 'avg_rank_when_true': None, 'avg_prob_when_true': None, 'in_top20_when_true': 0, 'in_top40_when_true': 0, 'in_top80_when_true': 0, 'accuracy_when_true': None, 'precision': None, 'recall': None, 'f1_score': None}, 'ATF7': {'gene_name': 'ATF7', 'gene_index': 15, 'total_samples': 14803, 'times_true_source': 0, 'times_predicted_source': 0, 'correct_predictions': 0, 'avg_prediction_prob': -16.423, 'avg_rank': 0.0, 'in_top20_count': 0, 'in_top40_count': 0, 'in_top80_count': 0, 'avg_rank_when_true': None, 'avg_prob_when_true': None, 'in_top20_when_true': 0, 'in_top40_when_true': 0, 'in_top80_when_true': 0, 'accuracy_when_true': None, 'precision': None, 'recall': None, 'f1_score': None}, 'SREBF2': {'gene_name': 'SREBF2', 'gene_index': 402, 'total_samples': 14803, 'times_true_source': 62, 'times_predicted_source': 0, 'correct_predictions': 0, 'avg_prediction_prob': -3.402, 'avg_rank': 0.0, 'in_top20_count': 0, 'in_top40_count': 0, 'in_top80_count': 0, 'avg_rank_when_true': 88.065, 'avg_prob_when_true': -1.939, 'in_top20_when_true': 0, 'in_top40_when_true': 0, 'in_top80_when_true': 13, 'accuracy_when_true': 0.0, 'precision': None, 'recall': 0.0, 'f1_score': None}, 'MYC': {'gene_name': 'MYC', 'gene_index': 260, 'total_samples': 14803, 'times_true_source': 65, 'times_predicted_source': 2, 'correct_predictions': 0, 'avg_prediction_prob': -7.452, 'avg_rank': 0.0, 'in_top20_count': 0, 'in_top40_count': 0, 'in_top80_count': 0, 'avg_rank_when_true': 40.923, 'avg_prob_when_true': -0.173, 'in_top20_when_true': 22, 'in_top40_when_true': 39, 'in_top80_when_true': 54, 'accuracy_when_true': 0.0, 'precision': 0.0, 'recall': 0.0, 'f1_score': None}}","{'recall@1': 0.003, 'recall@10': 0.0374, 'recall@100': 0.2921, 'recall@1000': 1.0, 'ranking_score': 0.5715, 'ranking_score_dcg': 0.0992, 'perc_partially_accurate_predictions': 0.3, 'recall@1_std': 0.0544, 'recall@10_std': 0.1896, 'recall@100_std': 0.4547, 'recall@1000_std': 0.0, 'ranking_score_std': 0.2988, 'ranking_score_dcg_std': 0.0963, 'perc_partially_accurate_predictions_std': 5.44, 'total_samples': 14803, 'avg_topk': 285.7584}","{'forward_mae': -1, 'forward_mse': -1, 'forward_r2': -1, 'forward_r2_scgen': -1, 'forward_spearman': -1, 'backward_mae': -1, 'backward_mse': -1, 'backward_r2': -1, 'backward_r2_scgen': -1, 'backward_spearman': -1, 'backward_avg_topk': -1}"
pdgrapher_1019_0157,pdgrapher,dorothea_500_1000,500,279,1.0,0.34,0.025,45.744,1.584,-4.193,-15.678,5.788,0.126,0.416,0.604,0.82,"{'IRF3': {'gene_name': 'IRF3', 'gene_index': 195, 'total_samples': 14803, 'times_true_source': 0, 'times_predicted_source': 0, 'correct_predictions': 0, 'avg_prediction_prob': -1.564, 'avg_rank': 0.0, 'in_top20_count': 0, 'in_top40_count': 0, 'in_top80_count': 0, 'avg_rank_when_true': None, 'avg_prob_when_true': None, 'in_top20_when_true': 0, 'in_top40_when_true': 0, 'in_top80_when_true': 0, 'accuracy_when_true': None, 'precision': None, 'recall': None, 'f1_score': None}, 'ATF7': {'gene_name': 'ATF7', 'gene_index': 15, 'total_samples': 14803, 'times_true_source': 0, 'times_predicted_source': 0, 'correct_predictions': 0, 'avg_prediction_prob': -2.006, 'avg_rank': 0.0, 'in_top20_count': 0, 'in_top40_count': 0, 'in_top80_count': 0, 'avg_rank_when_true': None, 'avg_prob_when_true': None, 'in_top20_when_true': 0, 'in_top40_when_true': 0, 'in_top80_when_true': 0, 'accuracy_when_true': None, 'precision': None, 'recall': None, 'f1_score': None}, 'SREBF2': {'gene_name': 'SREBF2', 'gene_index': 402, 'total_samples': 14803, 'times_true_source': 62, 'times_predicted_source': 0, 'correct_predictions': 0, 'avg_prediction_prob': -2.735, 'avg_rank': 0.0, 'in_top20_count': 0, 'in_top40_count': 0, 'in_top80_count': 0, 'avg_rank_when_true': 28.548, 'avg_prob_when_true': 2.044, 'in_top20_when_true': 12, 'in_top40_when_true': 50, 'in_top80_when_true': 62, 'accuracy_when_true': 0.0, 'precision': None, 'recall': 0.0, 'f1_score': None}, 'MYC': {'gene_name': 'MYC', 'gene_index': 260, 'total_samples': 14803, 'times_true_source': 65, 'times_predicted_source': 0, 'correct_predictions': 0, 'avg_prediction_prob': 0.961, 'avg_rank': 0.0, 'in_top20_count': 0, 'in_top40_count': 0, 'in_top80_count': 0, 'avg_rank_when_true': 24.031, 'avg_prob_when_true': 2.368, 'in_top20_when_true': 39, 'in_top40_when_true': 52, 'in_top80_when_true': 61, 'accuracy_when_true': 0.0, 'precision': None, 'recall': 0.0, 'f1_score': None}}","{'recall@1': 0.0022, 'recall@10': 0.0333, 'recall@100': 0.3162, 'recall@1000': 1.0, 'ranking_score': 0.5643, 'ranking_score_dcg': 0.0979, 'perc_partially_accurate_predictions': 0.22, 'recall@1_std': 0.0472, 'recall@10_std': 0.1794, 'recall@100_std': 0.465, 'recall@1000_std': 0.0, 'ranking_score_std': 0.3047, 'ranking_score_dcg_std': 0.0933, 'perc_partially_accurate_predictions_std': 4.72, 'total_samples': 14803, 'avg_topk': 282.1385}","{'forward_mae': -1, 'forward_mse': -1, 'forward_r2': -1, 'forward_r2_scgen': -1, 'forward_spearman': -1, 'backward_mae': -1, 'backward_mse': -1, 'backward_r2': -1, 'backward_r2_scgen': -1, 'backward_spearman': -1, 'backward_avg_topk': -1}"
pdgrapher_1019_1414,pdgrapher,dorothea_500_1000,500,279,1.0,0.34,0.005,65.105,1.191,-0.144,-6.968,4.359,0.076,0.296,0.494,0.719,"{'IRF3': {'gene_name': 'IRF3', 'gene_index': 195, 'total_samples': 14803, 'times_true_source': 0, 'times_predicted_source': 0, 'correct_predictions': 0, 'avg_prediction_prob': -0.059, 'avg_rank': 0.0, 'in_top20_count': 0, 'in_top40_count': 0, 'in_top80_count': 0, 'avg_rank_when_true': None, 'avg_prob_when_true': None, 'in_top20_when_true': 0, 'in_top40_when_true': 0, 'in_top80_when_true': 0, 'accuracy_when_true': None, 'precision': None, 'recall': None, 'f1_score': None}, 'ATF7': {'gene_name': 'ATF7', 'gene_index': 15, 'total_samples': 14803, 'times_true_source': 0, 'times_predicted_source': 0, 'correct_predictions': 0, 'avg_prediction_prob': -0.073, 'avg_rank': 0.0, 'in_top20_count': 0, 'in_top40_count': 0, 'in_top80_count': 0, 'avg_rank_when_true': None, 'avg_prob_when_true': None, 'in_top20_when_true': 0, 'in_top40_when_true': 0, 'in_top80_when_true': 0, 'accuracy_when_true': None, 'precision': None, 'recall': None, 'f1_score': None}, 'SREBF2': {'gene_name': 'SREBF2', 'gene_index': 402, 'total_samples': 14803, 'times_true_source': 62, 'times_predicted_source': 0, 'correct_predictions': 0, 'avg_prediction_prob': -0.785, 'avg_rank': 0.0, 'in_top20_count': 0, 'in_top40_count': 0, 'in_top80_count': 0, 'avg_rank_when_true': 24.935, 'avg_prob_when_true': 1.6, 'in_top20_when_true': 7, 'in_top40_when_true': 62, 'in_top80_when_true': 62, 'accuracy_when_true': 0.0, 'precision': None, 'recall': 0.0, 'f1_score': None}, 'MYC': {'gene_name': 'MYC', 'gene_index': 260, 'total_samples': 14803, 'times_true_source': 65, 'times_predicted_source': 0, 'correct_predictions': 0, 'avg_prediction_prob': 0.08, 'avg_rank': 0.0, 'in_top20_count': 0, 'in_top40_count': 0, 'in_top80_count': 0, 'avg_rank_when_true': 101.662, 'avg_prob_when_true': 0.492, 'in_top20_when_true': 0, 'in_top40_when_true': 5, 'in_top80_when_true': 27, 'accuracy_when_true': 0.0, 'precision': None, 'recall': 0.0, 'f1_score': None}}","{'recall@1': 0.0028, 'recall@10': 0.0422, 'recall@100': 0.3127, 'recall@1000': 1.0, 'ranking_score': 0.5833, 'ranking_score_dcg': 0.1036, 'perc_partially_accurate_predictions': 0.28, 'recall@1_std': 0.0526, 'recall@10_std': 0.2009, 'recall@100_std': 0.4636, 'recall@1000_std': 0.0, 'ranking_score_std': 0.2964, 'ranking_score_dcg_std': 0.0999, 'perc_partially_accurate_predictions_std': 5.26, 'total_samples': 14803, 'avg_topk': 291.6589}","{'forward_mae': -1, 'forward_mse': -1, 'forward_r2': -1, 'forward_r2_scgen': -1, 'forward_spearman': -1, 'backward_mae': -1, 'backward_mse': -1, 'backward_r2': -1, 'backward_r2_scgen': -1, 'backward_spearman': -1, 'backward_avg_topk': -1}"
