filename,model_type,network,num_nodes,num_possible_sources,avg_num_sources,avg_portion_affected,accuracy,avg rank of source,avg prediction for source,avg prediction over all nodes,min prediction over all nodes,max prediction over all nodes,source in top 5,source in top 20,source in top 40,source in top 80,gene_specific_metrics,pdgrapher_perturbation_discovery,pdgrapher_response_prediction
baseline_advanced_random_1018_1147,advanced_random,dorothea_500_550,,,,,0.0,117.856,0.004,0.002,0.0,0.009,0.014,0.077,0.144,0.341,,,
baseline_advanced_random_1018_1322,advanced_random,dorothea_500_550,,,,,0.003,121.298,0.004,0.002,0.0,0.009,0.013,0.074,0.159,0.329,,,
baseline_advanced_random_1018_1717,advanced_random,dorothea_500_550,,,,,0.003,121.298,0.004,0.002,0.0,0.009,0.013,0.074,0.159,0.329,,,
baseline_advanced_random_1018_2117,advanced_random,dorothea_500_550,,,,,0.003,121.298,0.004,0.002,0.0,0.009,0.013,0.074,0.159,0.329,,,
baseline_advanced_random_1018_2355,advanced_random,dorothea_500_550,,,,,0.003,121.298,0.004,0.002,0.0,0.009,0.013,0.074,0.159,0.329,,,
baseline_advanced_random_1019_1314,advanced_random,dorothea_500_550,,,,,0.003,121.298,0.004,0.002,0.0,0.009,0.013,0.074,0.159,0.329,,,
baseline_jordan_1018_1147,jordan,dorothea_500_550,,,,,0.88,0.346,0.667,0.002,0.0,1.0,0.981,1.0,1.0,1.0,,,
baseline_jordan_1018_1322,jordan,dorothea_500_550,,,,,0.926,0.189,0.703,0.002,0.0,1.0,0.987,1.0,1.0,1.0,,,
baseline_jordan_1018_1717,jordan,dorothea_500_550,,,,,0.926,0.189,0.703,0.002,0.0,1.0,0.987,1.0,1.0,1.0,,,
baseline_jordan_1018_2117,jordan,dorothea_500_550,,,,,0.926,0.189,0.703,0.002,0.0,1.0,0.987,1.0,1.0,1.0,,,
baseline_jordan_1018_2355,jordan,dorothea_500_550,,,,,0.926,0.189,0.703,0.002,0.0,1.0,0.987,1.0,1.0,1.0,,,
baseline_jordan_1019_1314,jordan,dorothea_500_550,,,,,0.926,0.189,0.703,0.002,0.0,1.0,0.987,1.0,1.0,1.0,,,
baseline_overlap_1018_1147,overlap,dorothea_500_550,,,,,0.947,0.115,0.073,0.002,0.0,0.64,0.995,1.0,1.0,1.0,,,
baseline_overlap_1018_1322,overlap,dorothea_500_550,,,,,0.933,0.243,0.047,0.002,0.0,0.659,0.979,0.999,1.0,1.0,,,
baseline_overlap_1018_1717,overlap,dorothea_500_550,,,,,0.933,0.243,0.047,0.002,0.0,0.659,0.979,0.999,1.0,1.0,,,
baseline_overlap_1018_2117,overlap,dorothea_500_550,,,,,0.933,0.243,0.047,0.002,0.0,0.659,0.979,0.999,1.0,1.0,,,
baseline_overlap_1018_2355,overlap,dorothea_500_550,,,,,0.933,0.243,0.047,0.002,0.0,0.659,0.979,0.999,1.0,1.0,,,
baseline_overlap_1019_1314,overlap,dorothea_500_550,,,,,0.933,0.243,0.047,0.002,0.0,0.659,0.979,0.999,1.0,1.0,,,
baseline_random_1018_1147,random,dorothea_500_550,,,,,0.0,240.668,0.002,0.002,0.0,0.004,0.0,0.024,0.067,0.139,,,
baseline_random_1018_1322,random,dorothea_500_550,,,,,0.001,247.406,0.002,0.002,0.0,0.004,0.008,0.035,0.071,0.159,,,
baseline_random_1018_1717,random,dorothea_500_550,,,,,0.001,247.406,0.002,0.002,0.0,0.004,0.008,0.035,0.071,0.159,,,
baseline_random_1018_2117,random,dorothea_500_550,,,,,0.001,247.406,0.002,0.002,0.0,0.004,0.008,0.035,0.071,0.159,,,
baseline_random_1018_2355,random,dorothea_500_550,,,,,0.001,247.406,0.002,0.002,0.0,0.004,0.008,0.035,0.071,0.159,,,
baseline_random_1019_1314,random,dorothea_500_550,,,,,0.001,247.406,0.002,0.002,0.0,0.004,0.008,0.035,0.071,0.159,,,
baseline_smallestSuperset_1018_1147,smallestSuperset,dorothea_500_550,,,,,0.933,0.236,0.936,0.002,0.0,1.0,0.99,1.0,1.0,1.0,,,
baseline_smallestSuperset_1018_1322,smallestSuperset,dorothea_500_550,,,,,0.934,0.221,0.94,0.002,0.0,1.0,0.986,1.0,1.0,1.0,,,
baseline_smallestSuperset_1018_1717,smallestSuperset,dorothea_500_550,,,,,0.934,0.221,0.94,0.002,0.0,1.0,0.986,1.0,1.0,1.0,,,
baseline_smallestSuperset_1018_2117,smallestSuperset,dorothea_500_550,,,,,0.934,0.221,0.94,0.002,0.0,1.0,0.986,1.0,1.0,1.0,,,
baseline_smallestSuperset_1018_2355,smallestSuperset,dorothea_500_550,,,,,0.934,0.221,0.94,0.002,0.0,1.0,0.986,1.0,1.0,1.0,,,
baseline_smallestSuperset_1019_1314,smallestSuperset,dorothea_500_550,,,,,0.934,0.221,0.94,0.002,0.0,1.0,0.986,1.0,1.0,1.0,,,
