filename,model_type,network,num_nodes,num_possible_sources,avg_num_sources,avg_portion_affected,accuracy,avg rank of source,avg norm rank of source,avg prediction for source,avg prediction over all nodes,min prediction over all nodes,max prediction over all nodes,source in top 5,source in top 20,source in top 40,source in top 80,gene_specific_metrics,pdgrapher_perturbation_discovery,pdgrapher_response_prediction
baseline_advanced_random_1030_0851,advanced_random,dorothea_1000,,,,,0.0,132.495,0.132,0.004,0.001,0.0,0.009,0.01,0.074,0.127,0.264,,,
baseline_advanced_random_1103_0838,advanced_random,dorothea_1000,,,,,0.0,119.1,0.119,0.004,0.001,0.0,0.009,0.02,0.08,0.171,0.344,,,
baseline_jordan_1030_0851,jordan,dorothea_1000,,,,,0.137,183.843,0.184,0.037,0.001,0.0,1.0,0.311,0.321,0.321,0.368,,,
baseline_jordan_1103_0838,jordan,dorothea_1000,,,,,0.074,87.157,0.087,0.006,0.001,0.0,1.0,0.08,0.174,0.207,0.418,,,
baseline_overlap_1030_0851,overlap,dorothea_1000,,,,,0.157,30.997,0.031,0.213,0.001,0.0,0.667,0.87,0.87,0.87,0.89,,,
baseline_overlap_1103_0838,overlap,dorothea_1000,,,,,0.084,50.378,0.05,0.061,0.001,0.0,0.6,0.241,0.278,0.445,0.689,,,
baseline_random_1030_0851,random,dorothea_1000,,,,,0.0,535.498,0.535,0.001,0.001,0.0,0.002,0.003,0.01,0.03,0.07,,,
baseline_random_1103_0838,random,dorothea_1000,,,,,0.0,481.398,0.481,0.001,0.001,0.0,0.002,0.003,0.023,0.043,0.08,,,
baseline_smallestSuperset_1030_0851,smallestSuperset,dorothea_1000,,,,,0.157,204.304,0.204,0.147,0.001,0.0,1.0,0.157,0.157,0.157,0.331,,,
baseline_smallestSuperset_1103_0838,smallestSuperset,dorothea_1000,,,,,0.087,59.876,0.06,0.085,0.001,0.0,1.0,0.087,0.261,0.475,0.622,,,
