filename,model_type,network,num_nodes,num_possible_sources,avg_num_sources,avg_portion_affected,accuracy,avg rank of source,avg norm rank of source,avg prediction for source,avg prediction over all nodes,min prediction over all nodes,max prediction over all nodes,source in top 5,source in top 20,source in top 40,source in top 80,gene_specific_metrics,pdgrapher_perturbation_discovery,pdgrapher_response_prediction
baseline_advanced_random_1103_0935,advanced_random,dorothea_100_200,,,,,0.016,34.669,0.347,0.014,0.01,0.0,0.035,0.065,0.283,0.576,1.0,,,
baseline_advanced_random_1103_0954,advanced_random,dorothea_100_200,,,,,0.016,34.669,0.347,0.014,0.01,0.0,0.035,0.065,0.283,0.576,1.0,,,
baseline_advanced_random_1103_1503,advanced_random,dorothea_100_200,,,,,0.016,34.669,0.347,0.014,0.01,0.0,0.035,0.065,0.283,0.576,1.0,,,
baseline_advanced_random_1104_1040,advanced_random,dorothea_100_200,,,,,0.016,34.669,0.347,0.014,0.01,0.0,0.035,0.065,0.283,0.576,1.0,,,
baseline_jordan_1103_0935,jordan,dorothea_100_200,,,,,0.139,17.237,0.172,0.063,0.01,0.0,1.0,0.331,0.637,0.913,0.971,,,
baseline_jordan_1103_0954,jordan,dorothea_100_200,,,,,0.139,17.237,0.172,0.063,0.01,0.0,1.0,0.331,0.637,0.913,0.971,,,
baseline_jordan_1103_1503,jordan,dorothea_100_200,,,,,0.139,17.237,0.172,0.063,0.01,0.0,1.0,0.331,0.637,0.913,0.971,,,
baseline_jordan_1104_1040,jordan,dorothea_100_200,,,,,0.139,17.237,0.172,0.063,0.01,0.0,1.0,0.331,0.637,0.913,0.971,,,
baseline_overlap_1103_0935,overlap,dorothea_100_200,,,,,0.175,9.663,0.097,0.05,0.01,0.0,0.482,0.551,0.777,0.995,0.998,,,
baseline_overlap_1103_0954,overlap,dorothea_100_200,,,,,0.175,9.663,0.097,0.05,0.01,0.0,0.482,0.551,0.777,0.995,0.998,,,
baseline_overlap_1103_1503,overlap,dorothea_100_200,,,,,0.175,9.663,0.097,0.05,0.01,0.0,0.482,0.551,0.777,0.995,0.998,,,
baseline_overlap_1104_1040,overlap,dorothea_100_200,,,,,0.175,9.663,0.097,0.05,0.01,0.0,0.482,0.551,0.777,0.995,0.998,,,
baseline_random_1103_0935,random,dorothea_100_200,,,,,0.01,49.088,0.491,0.01,0.01,0.0,0.024,0.045,0.197,0.41,0.812,,,
baseline_random_1103_0954,random,dorothea_100_200,,,,,0.01,49.088,0.491,0.01,0.01,0.0,0.024,0.045,0.197,0.41,0.812,,,
baseline_random_1103_1503,random,dorothea_100_200,,,,,0.01,49.088,0.491,0.01,0.01,0.0,0.024,0.045,0.197,0.41,0.812,,,
baseline_random_1104_1040,random,dorothea_100_200,,,,,0.01,49.088,0.491,0.01,0.01,0.0,0.024,0.045,0.197,0.41,0.812,,,
baseline_smallestSuperset_1103_0935,smallestSuperset,dorothea_100_200,,,,,0.205,25.146,0.251,0.203,0.01,0.0,1.0,0.274,0.545,0.773,0.933,,,
baseline_smallestSuperset_1103_0954,smallestSuperset,dorothea_100_200,,,,,0.205,25.146,0.251,0.203,0.01,0.0,1.0,0.274,0.545,0.773,0.933,,,
baseline_smallestSuperset_1103_1503,smallestSuperset,dorothea_100_200,,,,,0.205,25.146,0.251,0.203,0.01,0.0,1.0,0.274,0.545,0.773,0.933,,,
baseline_smallestSuperset_1104_1040,smallestSuperset,dorothea_100_200,,,,,0.205,25.146,0.251,0.203,0.01,0.0,1.0,0.274,0.545,0.773,0.933,,,
gat_1103_0941,gat,dorothea_100_200,100.0,71.0,1.0,0.444,0.013,41.692,0.417,0.101,0.093,0.01,0.145,0.062,0.27,0.494,0.9,"{'IRF3': {'gene_name': 'IRF3', 'gene_index': 37, 'total_samples': 1847, 'times_true_source': 0, 'times_predicted_source': 0, 'correct_predictions': 0, 'avg_prediction_prob': 0.101, 'avg_rank': 0.0, 'in_top20_count': 0, 'in_top40_count': 0, 'in_top80_count': 0, 'avg_rank_when_true': None, 'avg_prob_when_true': None, 'in_top20_when_true': 0, 'in_top40_when_true': 0, 'in_top80_when_true': 0, 'accuracy_when_true': None, 'precision': None, 'recall': None, 'f1_score': None}, 'ATF7': {'gene_name': 'ATF7', 'gene_index': 3, 'total_samples': 1847, 'times_true_source': 0, 'times_predicted_source': 0, 'correct_predictions': 0, 'avg_prediction_prob': 0.081, 'avg_rank': 0.0, 'in_top20_count': 0, 'in_top40_count': 0, 'in_top80_count': 0, 'avg_rank_when_true': None, 'avg_prob_when_true': None, 'in_top20_when_true': 0, 'in_top40_when_true': 0, 'in_top80_when_true': 0, 'accuracy_when_true': None, 'precision': None, 'recall': None, 'f1_score': None}, 'MYC': {'gene_name': 'MYC', 'gene_index': 50, 'total_samples': 1847, 'times_true_source': 25, 'times_predicted_source': 0, 'correct_predictions': 0, 'avg_prediction_prob': 0.107, 'avg_rank': 0.0, 'in_top20_count': 0, 'in_top40_count': 0, 'in_top80_count': 0, 'avg_rank_when_true': 31.36, 'avg_prob_when_true': 0.108, 'in_top20_when_true': 0, 'in_top40_when_true': 23, 'in_top80_when_true': 25, 'accuracy_when_true': 0.0, 'precision': None, 'recall': 0.0, 'f1_score': None}}",,
pdgrapher_1103_0958,pdgrapher,dorothea_100_200,100.0,71.0,1.0,0.444,0.022,33.127,0.331,0.183,-0.014,-1.577,1.375,0.096,0.343,0.615,0.969,"{'IRF3': {'gene_name': 'IRF3', 'gene_index': 37, 'total_samples': 1847, 'times_true_source': 0, 'times_predicted_source': 0, 'correct_predictions': 0, 'avg_prediction_prob': -0.132, 'avg_rank': 0.0, 'in_top20_count': 0, 'in_top40_count': 0, 'in_top80_count': 0, 'avg_rank_when_true': None, 'avg_prob_when_true': None, 'in_top20_when_true': 0, 'in_top40_when_true': 0, 'in_top80_when_true': 0, 'accuracy_when_true': None, 'precision': None, 'recall': None, 'f1_score': None}, 'ATF7': {'gene_name': 'ATF7', 'gene_index': 3, 'total_samples': 1847, 'times_true_source': 0, 'times_predicted_source': 0, 'correct_predictions': 0, 'avg_prediction_prob': -0.322, 'avg_rank': 0.0, 'in_top20_count': 0, 'in_top40_count': 0, 'in_top80_count': 0, 'avg_rank_when_true': None, 'avg_prob_when_true': None, 'in_top20_when_true': 0, 'in_top40_when_true': 0, 'in_top80_when_true': 0, 'accuracy_when_true': None, 'precision': None, 'recall': None, 'f1_score': None}, 'MYC': {'gene_name': 'MYC', 'gene_index': 50, 'total_samples': 1847, 'times_true_source': 25, 'times_predicted_source': 17, 'correct_predictions': 0, 'avg_prediction_prob': 0.135, 'avg_rank': 0.0, 'in_top20_count': 0, 'in_top40_count': 0, 'in_top80_count': 0, 'avg_rank_when_true': 25.0, 'avg_prob_when_true': 0.253, 'in_top20_when_true': 13, 'in_top40_when_true': 19, 'in_top80_when_true': 24, 'accuracy_when_true': 0.0, 'precision': 0.0, 'recall': 0.0, 'f1_score': None}}","{'recall@1': 0.0135, 'recall@10': 0.1408, 'recall@100': 1.0, 'recall@1000': 1.0, 'ranking_score': 0.6215, 'ranking_score_dcg': 0.1604, 'perc_partially_accurate_predictions': 1.35, 'recall@1_std': 0.1156, 'recall@10_std': 0.3478, 'recall@100_std': 0.0, 'recall@1000_std': 0.0, 'ranking_score_std': 0.2376, 'ranking_score_dcg_std': 0.1497, 'perc_partially_accurate_predictions_std': 11.56, 'total_samples': 1847, 'avg_topk': 62.1494}","{'forward_mae': -1, 'forward_mse': -1, 'forward_r2': -1, 'forward_r2_scgen': -1, 'forward_spearman': -1, 'backward_mae': -1, 'backward_mse': -1, 'backward_r2': -1, 'backward_r2_scgen': -1, 'backward_spearman': -1, 'backward_avg_topk': -1}"
pdgrapher_1104_1044,pdgrapher,dorothea_100_200,100.0,71.0,1.0,0.444,0.027,31.611,0.316,0.322,-0.62,-5.369,1.487,0.109,0.345,0.629,0.999,"{'IRF3': {'gene_name': 'IRF3', 'gene_index': 37, 'total_samples': 1847, 'times_true_source': 0, 'times_predicted_source': 0, 'correct_predictions': 0, 'avg_prediction_prob': -3.249, 'avg_rank': 0.0, 'in_top20_count': 0, 'in_top40_count': 0, 'in_top80_count': 0, 'avg_rank_when_true': None, 'avg_prob_when_true': None, 'in_top20_when_true': 0, 'in_top40_when_true': 0, 'in_top80_when_true': 0, 'accuracy_when_true': None, 'precision': None, 'recall': None, 'f1_score': None}, 'ATF7': {'gene_name': 'ATF7', 'gene_index': 3, 'total_samples': 1847, 'times_true_source': 0, 'times_predicted_source': 0, 'correct_predictions': 0, 'avg_prediction_prob': -3.019, 'avg_rank': 0.0, 'in_top20_count': 0, 'in_top40_count': 0, 'in_top80_count': 0, 'avg_rank_when_true': None, 'avg_prob_when_true': None, 'in_top20_when_true': 0, 'in_top40_when_true': 0, 'in_top80_when_true': 0, 'accuracy_when_true': None, 'precision': None, 'recall': None, 'f1_score': None}, 'MYC': {'gene_name': 'MYC', 'gene_index': 50, 'total_samples': 1847, 'times_true_source': 25, 'times_predicted_source': 4, 'correct_predictions': 0, 'avg_prediction_prob': 0.064, 'avg_rank': 0.0, 'in_top20_count': 0, 'in_top40_count': 0, 'in_top80_count': 0, 'avg_rank_when_true': 37.84, 'avg_prob_when_true': 0.228, 'in_top20_when_true': 6, 'in_top40_when_true': 13, 'in_top80_when_true': 25, 'accuracy_when_true': 0.0, 'precision': 0.0, 'recall': 0.0, 'f1_score': None}}","{'recall@1': 0.0114, 'recall@10': 0.1289, 'recall@100': 1.0, 'recall@1000': 1.0, 'ranking_score': 0.6369, 'ranking_score_dcg': 0.1582, 'perc_partially_accurate_predictions': 1.14, 'recall@1_std': 0.106, 'recall@10_std': 0.335, 'recall@100_std': 0.0, 'recall@1000_std': 0.0, 'ranking_score_std': 0.2065, 'ranking_score_dcg_std': 0.1372, 'perc_partially_accurate_predictions_std': 10.6, 'total_samples': 1847, 'avg_topk': 63.693}","{'forward_mae': -1, 'forward_mse': -1, 'forward_r2': -1, 'forward_r2_scgen': -1, 'forward_spearman': -1, 'backward_mae': -1, 'backward_mse': -1, 'backward_r2': -1, 'backward_r2_scgen': -1, 'backward_spearman': -1, 'backward_avg_topk': -1}"
pdgraphernognn_1103_0956,pdgraphernognn,dorothea_100_200,100.0,71.0,1.0,0.444,0.017,33.234,0.332,0.421,-0.846,-6.534,7.189,0.096,0.315,0.598,1.0,"{'IRF3': {'gene_name': 'IRF3', 'gene_index': 37, 'total_samples': 1847, 'times_true_source': 0, 'times_predicted_source': 0, 'correct_predictions': 0, 'avg_prediction_prob': -4.857, 'avg_rank': 0.0, 'in_top20_count': 0, 'in_top40_count': 0, 'in_top80_count': 0, 'avg_rank_when_true': None, 'avg_prob_when_true': None, 'in_top20_when_true': 0, 'in_top40_when_true': 0, 'in_top80_when_true': 0, 'accuracy_when_true': None, 'precision': None, 'recall': None, 'f1_score': None}, 'ATF7': {'gene_name': 'ATF7', 'gene_index': 3, 'total_samples': 1847, 'times_true_source': 0, 'times_predicted_source': 0, 'correct_predictions': 0, 'avg_prediction_prob': -4.065, 'avg_rank': 0.0, 'in_top20_count': 0, 'in_top40_count': 0, 'in_top80_count': 0, 'avg_rank_when_true': None, 'avg_prob_when_true': None, 'in_top20_when_true': 0, 'in_top40_when_true': 0, 'in_top80_when_true': 0, 'accuracy_when_true': None, 'precision': None, 'recall': None, 'f1_score': None}, 'MYC': {'gene_name': 'MYC', 'gene_index': 50, 'total_samples': 1847, 'times_true_source': 25, 'times_predicted_source': 17, 'correct_predictions': 0, 'avg_prediction_prob': 0.369, 'avg_rank': 0.0, 'in_top20_count': 0, 'in_top40_count': 0, 'in_top80_count': 0, 'avg_rank_when_true': 41.84, 'avg_prob_when_true': 0.34, 'in_top20_when_true': 4, 'in_top40_when_true': 11, 'in_top80_when_true': 25, 'accuracy_when_true': 0.0, 'precision': 0.0, 'recall': 0.0, 'f1_score': None}}","{'recall@1': 0.0141, 'recall@10': 0.1478, 'recall@100': 1.0, 'recall@1000': 1.0, 'ranking_score': 0.6466, 'ranking_score_dcg': 0.1657, 'perc_partially_accurate_predictions': 1.41, 'recall@1_std': 0.1178, 'recall@10_std': 0.3549, 'recall@100_std': 0.0, 'recall@1000_std': 0.0, 'ranking_score_std': 0.2095, 'ranking_score_dcg_std': 0.1463, 'perc_partially_accurate_predictions_std': 11.78, 'total_samples': 1847, 'avg_topk': 64.6605}","{'forward_mae': -1, 'forward_mse': -1, 'forward_r2': -1, 'forward_r2_scgen': -1, 'forward_spearman': -1, 'backward_mae': -1, 'backward_mse': -1, 'backward_r2': -1, 'backward_r2_scgen': -1, 'backward_spearman': -1, 'backward_avg_topk': -1}"
