filename,model_type,network,num_nodes,num_possible_sources,avg_num_sources,avg_portion_affected,accuracy,avg rank of source,avg prediction for source,avg prediction over all nodes,min prediction over all nodes,max prediction over all nodes,source in top 5,source in top 20,source in top 40,source in top 80,gene_specific_metrics,pdgrapher_perturbation_discovery,pdgrapher_response_prediction
baseline_advanced_random_1021_0115,advanced_random,dorothea_100_500,,,,,0.009,50.158,0.01,0.01,0.0,0.025,0.049,0.192,0.392,0.792,,,
baseline_advanced_random_1022_1554,advanced_random,dorothea_100_500,,,,,0.009,50.158,0.01,0.01,0.0,0.025,0.049,0.192,0.392,0.792,,,
baseline_advanced_random_1022_1704,advanced_random,dorothea_100_500,,,,,0.009,50.158,0.01,0.01,0.0,0.025,0.049,0.192,0.392,0.792,,,
baseline_advanced_random_1022_1736,advanced_random,dorothea_100_500,,,,,0.009,50.158,0.01,0.01,0.0,0.025,0.049,0.192,0.392,0.792,,,
baseline_advanced_random_1025_2046,advanced_random,dorothea_100_500,,,,,0.009,50.158,0.01,0.01,0.0,0.025,0.049,0.192,0.392,0.792,,,
baseline_advanced_random_1026_1604,advanced_random,dorothea_100_500,,,,,0.009,50.158,0.01,0.01,0.0,0.025,0.049,0.192,0.392,0.792,,,
baseline_advanced_random_1027_0153,advanced_random,dorothea_100_500,,,,,0.009,50.158,0.01,0.01,0.0,0.025,0.049,0.192,0.392,0.792,,,
baseline_jordan_1021_0115,jordan,dorothea_100_500,,,,,0.014,49.378,0.01,0.01,0.004,0.02,0.059,0.21,0.384,0.798,,,
baseline_jordan_1022_1554,jordan,dorothea_100_500,,,,,0.014,49.378,0.01,0.01,0.004,0.02,0.059,0.21,0.384,0.798,,,
baseline_jordan_1022_1704,jordan,dorothea_100_500,,,,,0.014,49.378,0.01,0.01,0.004,0.02,0.059,0.21,0.384,0.798,,,
baseline_jordan_1022_1736,jordan,dorothea_100_500,,,,,0.014,49.378,0.01,0.01,0.004,0.02,0.059,0.21,0.384,0.798,,,
baseline_jordan_1025_2046,jordan,dorothea_100_500,,,,,0.014,49.378,0.01,0.01,0.004,0.02,0.059,0.21,0.384,0.798,,,
baseline_jordan_1026_1604,jordan,dorothea_100_500,,,,,0.014,49.378,0.01,0.01,0.004,0.02,0.059,0.21,0.384,0.798,,,
baseline_jordan_1027_0153,jordan,dorothea_100_500,,,,,0.014,49.378,0.01,0.01,0.004,0.02,0.059,0.21,0.384,0.798,,,
baseline_overlap_1021_0115,overlap,dorothea_100_500,,,,,0.014,49.16,0.01,0.01,0.01,0.01,0.062,0.202,0.398,0.79,,,
baseline_overlap_1022_1554,overlap,dorothea_100_500,,,,,0.014,49.16,0.01,0.01,0.01,0.01,0.062,0.202,0.398,0.79,,,
baseline_overlap_1022_1704,overlap,dorothea_100_500,,,,,0.014,49.16,0.01,0.01,0.01,0.01,0.062,0.202,0.398,0.79,,,
baseline_overlap_1022_1736,overlap,dorothea_100_500,,,,,0.014,49.16,0.01,0.01,0.01,0.01,0.062,0.202,0.398,0.79,,,
baseline_overlap_1025_2046,overlap,dorothea_100_500,,,,,0.014,49.16,0.01,0.01,0.01,0.01,0.062,0.202,0.398,0.79,,,
baseline_overlap_1026_1604,overlap,dorothea_100_500,,,,,0.014,49.16,0.01,0.01,0.01,0.01,0.062,0.202,0.398,0.79,,,
baseline_overlap_1027_0153,overlap,dorothea_100_500,,,,,0.014,49.16,0.01,0.01,0.01,0.01,0.062,0.202,0.398,0.79,,,
baseline_random_1021_0115,random,dorothea_100_500,,,,,0.009,50.158,0.01,0.01,0.0,0.025,0.049,0.192,0.392,0.792,,,
baseline_random_1022_1554,random,dorothea_100_500,,,,,0.009,50.158,0.01,0.01,0.0,0.025,0.049,0.192,0.392,0.792,,,
baseline_random_1022_1704,random,dorothea_100_500,,,,,0.009,50.158,0.01,0.01,0.0,0.025,0.049,0.192,0.392,0.792,,,
baseline_random_1022_1736,random,dorothea_100_500,,,,,0.009,50.158,0.01,0.01,0.0,0.025,0.049,0.192,0.392,0.792,,,
baseline_random_1025_2046,random,dorothea_100_500,,,,,0.009,50.158,0.01,0.01,0.0,0.025,0.049,0.192,0.392,0.792,,,
baseline_random_1026_1604,random,dorothea_100_500,,,,,0.009,50.158,0.01,0.01,0.0,0.025,0.049,0.192,0.392,0.792,,,
baseline_random_1027_0153,random,dorothea_100_500,,,,,0.009,50.158,0.01,0.01,0.0,0.025,0.049,0.192,0.392,0.792,,,
baseline_smallestSuperset_1021_0115,smallestSuperset,dorothea_100_500,,,,,0.014,49.16,0.01,0.01,0.01,0.01,0.062,0.202,0.398,0.79,,,
baseline_smallestSuperset_1022_1554,smallestSuperset,dorothea_100_500,,,,,0.014,49.16,0.01,0.01,0.01,0.01,0.062,0.202,0.398,0.79,,,
baseline_smallestSuperset_1022_1704,smallestSuperset,dorothea_100_500,,,,,0.014,49.16,0.01,0.01,0.01,0.01,0.062,0.202,0.398,0.79,,,
baseline_smallestSuperset_1022_1736,smallestSuperset,dorothea_100_500,,,,,0.014,49.16,0.01,0.01,0.01,0.01,0.062,0.202,0.398,0.79,,,
baseline_smallestSuperset_1025_2046,smallestSuperset,dorothea_100_500,,,,,0.014,49.16,0.01,0.01,0.01,0.01,0.062,0.202,0.398,0.79,,,
baseline_smallestSuperset_1026_1604,smallestSuperset,dorothea_100_500,,,,,0.014,49.16,0.01,0.01,0.01,0.01,0.062,0.202,0.398,0.79,,,
