filename,model_type,network,num_nodes,num_possible_sources,avg_num_sources,avg_portion_affected,accuracy,avg rank of source,avg prediction for source,avg prediction over all nodes,min prediction over all nodes,max prediction over all nodes,source in top 5,source in top 20,source in top 40,source in top 80,gene_specific_metrics,pdgrapher_perturbation_discovery,pdgrapher_response_prediction
baseline_advanced_random_1021_0116,advanced_random,dorothea_100_500,,,,,0.01,44.56,0.011,0.01,0.0,0.028,0.054,0.222,0.443,0.895,,,
baseline_advanced_random_1022_1554,advanced_random,dorothea_100_500,,,,,0.01,44.56,0.011,0.01,0.0,0.028,0.054,0.222,0.443,0.895,,,
baseline_advanced_random_1022_1704,advanced_random,dorothea_100_500,,,,,0.01,44.56,0.011,0.01,0.0,0.028,0.054,0.222,0.443,0.895,,,
baseline_advanced_random_1022_1736,advanced_random,dorothea_100_500,,,,,0.01,44.56,0.011,0.01,0.0,0.028,0.054,0.222,0.443,0.895,,,
baseline_advanced_random_1025_2045,advanced_random,dorothea_100_500,,,,,0.01,44.56,0.011,0.01,0.0,0.028,0.054,0.222,0.443,0.895,,,
baseline_advanced_random_1026_1604,advanced_random,dorothea_100_500,,,,,0.01,44.56,0.011,0.01,0.0,0.028,0.054,0.222,0.443,0.895,,,
baseline_advanced_random_1027_0153,advanced_random,dorothea_100_500,,,,,0.01,44.56,0.011,0.01,0.0,0.028,0.054,0.222,0.443,0.895,,,
baseline_advanced_random_1027_1109,advanced_random,dorothea_100_500,,,,,0.01,44.56,0.011,0.01,0.0,0.028,0.054,0.222,0.443,0.895,,,
baseline_advanced_random_1027_1405,advanced_random,dorothea_100_500,,,,,0.01,44.56,0.011,0.01,0.0,0.028,0.054,0.222,0.443,0.895,,,
baseline_jordan_1021_0116,jordan,dorothea_100_500,,,,,0.009,44.452,0.011,0.01,0.0,0.021,0.042,0.208,0.445,0.902,,,
baseline_jordan_1022_1554,jordan,dorothea_100_500,,,,,0.009,44.452,0.011,0.01,0.0,0.021,0.042,0.208,0.445,0.902,,,
baseline_jordan_1022_1704,jordan,dorothea_100_500,,,,,0.009,44.452,0.011,0.01,0.0,0.021,0.042,0.208,0.445,0.902,,,
baseline_jordan_1022_1736,jordan,dorothea_100_500,,,,,0.009,44.452,0.011,0.01,0.0,0.021,0.042,0.208,0.445,0.902,,,
baseline_jordan_1025_2045,jordan,dorothea_100_500,,,,,0.009,44.452,0.011,0.01,0.0,0.021,0.042,0.208,0.445,0.902,,,
baseline_jordan_1026_1604,jordan,dorothea_100_500,,,,,0.009,44.452,0.011,0.01,0.0,0.021,0.042,0.208,0.445,0.902,,,
baseline_jordan_1027_0153,jordan,dorothea_100_500,,,,,0.009,44.452,0.011,0.01,0.0,0.021,0.042,0.208,0.445,0.902,,,
baseline_jordan_1027_1109,jordan,dorothea_100_500,,,,,0.009,44.452,0.011,0.01,0.0,0.021,0.042,0.208,0.445,0.902,,,
baseline_jordan_1027_1405,jordan,dorothea_100_500,,,,,0.009,44.452,0.011,0.01,0.0,0.021,0.042,0.208,0.445,0.902,,,
baseline_overlap_1021_0116,overlap,dorothea_100_500,,,,,0.007,44.212,0.011,0.01,0.0,0.063,0.05,0.225,0.453,0.891,,,
baseline_overlap_1022_1554,overlap,dorothea_100_500,,,,,0.007,44.212,0.011,0.01,0.0,0.063,0.05,0.225,0.453,0.891,,,
baseline_overlap_1022_1704,overlap,dorothea_100_500,,,,,0.007,44.212,0.011,0.01,0.0,0.063,0.05,0.225,0.453,0.891,,,
baseline_overlap_1022_1736,overlap,dorothea_100_500,,,,,0.007,44.212,0.011,0.01,0.0,0.063,0.05,0.225,0.453,0.891,,,
baseline_overlap_1025_2045,overlap,dorothea_100_500,,,,,0.007,44.212,0.011,0.01,0.0,0.063,0.05,0.225,0.453,0.891,,,
baseline_overlap_1026_1604,overlap,dorothea_100_500,,,,,0.007,44.212,0.011,0.01,0.0,0.063,0.05,0.225,0.453,0.891,,,
baseline_overlap_1027_0153,overlap,dorothea_100_500,,,,,0.007,44.212,0.011,0.01,0.0,0.063,0.05,0.225,0.453,0.891,,,
