filename,model_type,network,num_nodes,num_possible_sources,avg_num_sources,avg_portion_affected,accuracy,avg rank of source,avg prediction for source,avg prediction over all nodes,min prediction over all nodes,max prediction over all nodes,source in top 5,source in top 20,source in top 40,source in top 80,gene_specific_metrics,pdgrapher_perturbation_discovery,pdgrapher_response_prediction
baseline_advanced_random_1021_0114,advanced_random,dorothea_100_500,,,,,0.009,50.158,0.01,0.01,0.0,0.025,0.049,0.192,0.392,0.792,,,
baseline_advanced_random_1022_1553,advanced_random,dorothea_100_500,,,,,0.009,50.158,0.01,0.01,0.0,0.025,0.049,0.192,0.392,0.792,,,
baseline_advanced_random_1022_1703,advanced_random,dorothea_100_500,,,,,0.009,50.158,0.01,0.01,0.0,0.025,0.049,0.192,0.392,0.792,,,
baseline_advanced_random_1022_1735,advanced_random,dorothea_100_500,,,,,0.009,50.158,0.01,0.01,0.0,0.025,0.049,0.192,0.392,0.792,,,
baseline_advanced_random_1025_2044,advanced_random,dorothea_100_500,,,,,0.009,50.158,0.01,0.01,0.0,0.025,0.049,0.192,0.392,0.792,,,
baseline_advanced_random_1026_1603,advanced_random,dorothea_100_500,,,,,0.009,50.158,0.01,0.01,0.0,0.025,0.049,0.192,0.392,0.792,,,
baseline_advanced_random_1027_0152,advanced_random,dorothea_100_500,,,,,0.009,50.158,0.01,0.01,0.0,0.025,0.049,0.192,0.392,0.792,,,
baseline_jordan_1021_0114,jordan,dorothea_100_500,,,,,0.012,50.3,0.01,0.01,0.0,0.333,0.053,0.191,0.374,0.791,,,
baseline_jordan_1022_1553,jordan,dorothea_100_500,,,,,0.012,50.3,0.01,0.01,0.0,0.333,0.053,0.191,0.374,0.791,,,
baseline_jordan_1022_1703,jordan,dorothea_100_500,,,,,0.012,50.3,0.01,0.01,0.0,0.333,0.053,0.191,0.374,0.791,,,
baseline_jordan_1022_1735,jordan,dorothea_100_500,,,,,0.012,50.3,0.01,0.01,0.0,0.333,0.053,0.191,0.374,0.791,,,
baseline_jordan_1025_2044,jordan,dorothea_100_500,,,,,0.012,50.3,0.01,0.01,0.0,0.333,0.053,0.191,0.374,0.791,,,
baseline_jordan_1026_1603,jordan,dorothea_100_500,,,,,0.012,50.3,0.01,0.01,0.0,0.333,0.053,0.191,0.374,0.791,,,
baseline_jordan_1027_0152,jordan,dorothea_100_500,,,,,0.012,50.3,0.01,0.01,0.0,0.333,0.053,0.191,0.374,0.791,,,
baseline_overlap_1021_0114,overlap,dorothea_100_500,,,,,0.012,50.3,0.01,0.01,0.0,0.333,0.053,0.191,0.374,0.791,,,
baseline_overlap_1022_1553,overlap,dorothea_100_500,,,,,0.012,50.3,0.01,0.01,0.0,0.333,0.053,0.191,0.374,0.791,,,
baseline_overlap_1022_1703,overlap,dorothea_100_500,,,,,0.012,50.3,0.01,0.01,0.0,0.333,0.053,0.191,0.374,0.791,,,
baseline_overlap_1022_1735,overlap,dorothea_100_500,,,,,0.012,50.3,0.01,0.01,0.0,0.333,0.053,0.191,0.374,0.791,,,
baseline_overlap_1025_2044,overlap,dorothea_100_500,,,,,0.012,50.3,0.01,0.01,0.0,0.333,0.053,0.191,0.374,0.791,,,
baseline_overlap_1026_1603,overlap,dorothea_100_500,,,,,0.012,50.3,0.01,0.01,0.0,0.333,0.053,0.191,0.374,0.791,,,
baseline_overlap_1027_0152,overlap,dorothea_100_500,,,,,0.012,50.3,0.01,0.01,0.0,0.333,0.053,0.191,0.374,0.791,,,
baseline_random_1021_0114,random,dorothea_100_500,,,,,0.009,50.158,0.01,0.01,0.0,0.025,0.049,0.192,0.392,0.792,,,
baseline_random_1022_1553,random,dorothea_100_500,,,,,0.009,50.158,0.01,0.01,0.0,0.025,0.049,0.192,0.392,0.792,,,
baseline_random_1022_1703,random,dorothea_100_500,,,,,0.009,50.158,0.01,0.01,0.0,0.025,0.049,0.192,0.392,0.792,,,
baseline_random_1022_1735,random,dorothea_100_500,,,,,0.009,50.158,0.01,0.01,0.0,0.025,0.049,0.192,0.392,0.792,,,
baseline_random_1025_2044,random,dorothea_100_500,,,,,0.009,50.158,0.01,0.01,0.0,0.025,0.049,0.192,0.392,0.792,,,
baseline_random_1026_1603,random,dorothea_100_500,,,,,0.009,50.158,0.01,0.01,0.0,0.025,0.049,0.192,0.392,0.792,,,
baseline_random_1027_0152,random,dorothea_100_500,,,,,0.009,50.158,0.01,0.01,0.0,0.025,0.049,0.192,0.392,0.792,,,
baseline_smallestSuperset_1021_0114,smallestSuperset,dorothea_100_500,,,,,0.014,49.16,0.01,0.01,0.01,0.01,0.062,0.202,0.398,0.79,,,
baseline_smallestSuperset_1022_1553,smallestSuperset,dorothea_100_500,,,,,0.014,49.16,0.01,0.01,0.01,0.01,0.062,0.202,0.398,0.79,,,
baseline_smallestSuperset_1022_1703,smallestSuperset,dorothea_100_500,,,,,0.014,49.16,0.01,0.01,0.01,0.01,0.062,0.202,0.398,0.79,,,
baseline_smallestSuperset_1022_1735,smallestSuperset,dorothea_100_500,,,,,0.014,49.16,0.01,0.01,0.01,0.01,0.062,0.202,0.398,0.79,,,
baseline_smallestSuperset_1025_2044,smallestSuperset,dorothea_100_500,,,,,0.014,49.16,0.01,0.01,0.01,0.01,0.062,0.202,0.398,0.79,,,
baseline_smallestSuperset_1026_1603,smallestSuperset,dorothea_100_500,,,,,0.014,49.16,0.01,0.01,0.01,0.01,0.062,0.202,0.398,0.79,,,
baseline_smallestSuperset_1027_0152,smallestSuperset,dorothea_100_500,,,,,0.014,49.16,0.01,0.01,0.01,0.01,0.062,0.202,0.398,0.79,,,
gat_1021_0222,gat,dorothea_100_500,100.0,89.0,1.0,0.889,0.011,48.832,0.095,0.094,0.076,0.1,0.069,0.217,0.409,0.793,"{'IRF3': {'gene_name': 'IRF3', 'gene_index': 37, 'total_samples': 2666, 'times_true_source': 36, 'times_predicted_source': 0, 'correct_predictions': 0, 'avg_prediction_prob': 0.091, 'avg_rank': 0.0, 'in_top20_count': 0, 'in_top40_count': 0, 'in_top80_count': 0, 'avg_rank_when_true': 60.472, 'avg_prob_when_true': 0.091, 'in_top20_when_true': 0, 'in_top40_when_true': 0, 'in_top80_when_true': 30, 'accuracy_when_true': 0.0, 'precision': None, 'recall': 0.0, 'f1_score': None}, 'ATF7': {'gene_name': 'ATF7', 'gene_index': 3, 'total_samples': 2666, 'times_true_source': 30, 'times_predicted_source': 0, 'correct_predictions': 0, 'avg_prediction_prob': 0.091, 'avg_rank': 0.0, 'in_top20_count': 0, 'in_top40_count': 0, 'in_top80_count': 0, 'avg_rank_when_true': 74.9, 'avg_prob_when_true': 0.091, 'in_top20_when_true': 0, 'in_top40_when_true': 0, 'in_top80_when_true': 14, 'accuracy_when_true': 0.0, 'precision': None, 'recall': 0.0, 'f1_score': None}, 'MYC': {'gene_name': 'MYC', 'gene_index': 50, 'total_samples': 2666, 'times_true_source': 25, 'times_predicted_source': 56, 'correct_predictions': 0, 'avg_prediction_prob': 0.099, 'avg_rank': 0.0, 'in_top20_count': 0, 'in_top40_count': 0, 'in_top80_count': 0, 'avg_rank_when_true': 21.52, 'avg_prob_when_true': 0.099, 'in_top20_when_true': 6, 'in_top40_when_true': 25, 'in_top80_when_true': 25, 'accuracy_when_true': 0.0, 'precision': 0.0, 'recall': 0.0, 'f1_score': None}}",,
