filename,model_type,network,num_nodes,num_possible_sources,avg_num_sources,avg_portion_affected,accuracy,avg rank of source,avg norm rank of source,avg prediction for source,avg prediction over all nodes,min prediction over all nodes,max prediction over all nodes,source in top 5,source in top 20,source in top 40,source in top 80,pdgrapher_perturbation_discovery,pdgrapher_response_prediction,gene_specific_metrics
baseline_advanced_random_1117_1357,advanced_random,dorothea_500_1000,,,,,0.001,252.037,0.504,0.002,0.002,0.0,0.004,0.01,0.036,0.081,0.166,,,
baseline_advanced_random_1117_1554,advanced_random,dorothea_500_1000,,,,,0.001,252.037,0.504,0.002,0.002,0.0,0.004,0.01,0.036,0.081,0.166,,,
baseline_advanced_random_1117_2334,advanced_random,dorothea_500_1000,,,,,0.001,252.037,0.504,0.002,0.002,0.0,0.004,0.01,0.036,0.081,0.166,,,
baseline_advanced_random_1118_0911,advanced_random,dorothea_500_1000,,,,,0.001,252.037,0.504,0.002,0.002,0.0,0.004,0.01,0.036,0.081,0.166,,,
baseline_advanced_random_1118_1013,advanced_random,dorothea_500_1000,,,,,0.001,252.037,0.504,0.002,0.002,0.0,0.004,0.01,0.036,0.081,0.166,,,
baseline_overlap_1117_1357,overlap,dorothea_500_1000,,,,,0.004,252.895,0.506,0.002,0.002,0.002,0.002,0.014,0.043,0.086,0.158,,,
baseline_overlap_1117_1554,overlap,dorothea_500_1000,,,,,0.004,252.895,0.506,0.002,0.002,0.002,0.002,0.014,0.043,0.086,0.158,,,
baseline_overlap_1117_2334,overlap,dorothea_500_1000,,,,,0.004,252.895,0.506,0.002,0.002,0.002,0.002,0.014,0.043,0.086,0.158,,,
baseline_overlap_1118_0911,overlap,dorothea_500_1000,,,,,0.004,252.895,0.506,0.002,0.002,0.002,0.002,0.014,0.043,0.086,0.158,,,
baseline_overlap_1118_1013,overlap,dorothea_500_1000,,,,,0.004,252.895,0.506,0.002,0.002,0.002,0.002,0.014,0.043,0.086,0.158,,,
baseline_random_1117_1357,random,dorothea_500_1000,,,,,0.001,252.037,0.504,0.002,0.002,0.0,0.004,0.01,0.036,0.081,0.166,,,
baseline_random_1117_1554,random,dorothea_500_1000,,,,,0.001,252.037,0.504,0.002,0.002,0.0,0.004,0.01,0.036,0.081,0.166,,,
baseline_random_1117_2334,random,dorothea_500_1000,,,,,0.001,252.037,0.504,0.002,0.002,0.0,0.004,0.01,0.036,0.081,0.166,,,
baseline_random_1118_0911,random,dorothea_500_1000,,,,,0.001,252.037,0.504,0.002,0.002,0.0,0.004,0.01,0.036,0.081,0.166,,,
baseline_random_1118_1013,random,dorothea_500_1000,,,,,0.001,252.037,0.504,0.002,0.002,0.0,0.004,0.01,0.036,0.081,0.166,,,
baseline_smallestSuperset_1117_1357,smallestSuperset,dorothea_500_1000,,,,,0.004,252.895,0.506,0.002,0.002,0.002,0.002,0.014,0.043,0.086,0.158,,,
baseline_smallestSuperset_1117_1554,smallestSuperset,dorothea_500_1000,,,,,0.004,252.895,0.506,0.002,0.002,0.002,0.002,0.014,0.043,0.086,0.158,,,
baseline_smallestSuperset_1117_2334,smallestSuperset,dorothea_500_1000,,,,,0.004,252.895,0.506,0.002,0.002,0.002,0.002,0.014,0.043,0.086,0.158,,,
baseline_smallestSuperset_1118_0911,smallestSuperset,dorothea_500_1000,,,,,0.004,252.895,0.506,0.002,0.002,0.002,0.002,0.014,0.043,0.086,0.158,,,
baseline_smallestSuperset_1118_1013,smallestSuperset,dorothea_500_1000,,,,,0.004,252.895,0.506,0.002,0.002,0.002,0.002,0.014,0.043,0.086,0.158,,,
pdgrapher_1117_1418,pdgrapher,dorothea_500_1000,500.0,279.0,1.0,0.505,0.008,133.785,0.268,0.222,-0.083,-1.302,2.767,0.031,0.103,0.183,0.335,"{'recall@1': 0.0032, 'recall@10': 0.0356, 'recall@100': 0.373, 'recall@1000': 1.0, 'ranking_score': 0.714, 'ranking_score_dcg': 0.1221, 'perc_partially_accurate_predictions': 0.32, 'recall@1_std': 0.0561, 'recall@10_std': 0.1854, 'recall@100_std': 0.4836, 'recall@1000_std': 0.0, 'ranking_score_std': 0.1781, 'ranking_score_dcg_std': 0.0879, 'perc_partially_accurate_predictions_std': 5.61, 'total_samples': 2217, 'avg_topk': 356.9856}","{'forward_mae': -1, 'forward_mse': -1, 'forward_r2': -1, 'forward_r2_scgen': -1, 'forward_spearman': -1, 'backward_mae': -1, 'backward_mse': -1, 'backward_r2': -1, 'backward_r2_scgen': -1, 'backward_spearman': -1, 'backward_avg_topk': -1}","{'IRF3': {'gene_name': 'IRF3', 'gene_index': 195, 'total_samples': 2217, 'times_true_source': 0, 'times_predicted_source': 0, 'correct_predictions': 0, 'avg_prediction_prob': -0.151, 'avg_rank': 0.0, 'in_top20_count': 0, 'in_top40_count': 0, 'in_top80_count': 0, 'avg_rank_when_true': None, 'avg_prob_when_true': None, 'in_top20_when_true': 0, 'in_top40_when_true': 0, 'in_top80_when_true': 0, 'accuracy_when_true': None, 'precision': None, 'recall': None, 'f1_score': None}, 'ATF7': {'gene_name': 'ATF7', 'gene_index': 15, 'total_samples': 2217, 'times_true_source': 7, 'times_predicted_source': 10, 'correct_predictions': 0, 'avg_prediction_prob': 0.256, 'avg_rank': 0.0, 'in_top20_count': 0, 'in_top40_count': 0, 'in_top80_count': 0, 'avg_rank_when_true': 61.429, 'avg_prob_when_true': 0.56, 'in_top20_when_true': 3, 'in_top40_when_true': 4, 'in_top80_when_true': 5, 'accuracy_when_true': 0.0, 'precision': 0.0, 'recall': 0.0, 'f1_score': None}, 'SREBF2': {'gene_name': 'SREBF2', 'gene_index': 402, 'total_samples': 2217, 'times_true_source': 6, 'times_predicted_source': 0, 'correct_predictions': 0, 'avg_prediction_prob': 0.227, 'avg_rank': 0.0, 'in_top20_count': 0, 'in_top40_count': 0, 'in_top80_count': 0, 'avg_rank_when_true': 81.333, 'avg_prob_when_true': 0.261, 'in_top20_when_true': 0, 'in_top40_when_true': 1, 'in_top80_when_true': 4, 'accuracy_when_true': 0.0, 'precision': None, 'recall': 0.0, 'f1_score': None}, 'MYC': {'gene_name': 'MYC', 'gene_index': 260, 'total_samples': 2217, 'times_true_source': 7, 'times_predicted_source': 19, 'correct_predictions': 0, 'avg_prediction_prob': 0.262, 'avg_rank': 0.0, 'in_top20_count': 0, 'in_top40_count': 0, 'in_top80_count': 0, 'avg_rank_when_true': 68.571, 'avg_prob_when_true': 0.416, 'in_top20_when_true': 2, 'in_top40_when_true': 2, 'in_top80_when_true': 4, 'accuracy_when_true': 0.0, 'precision': 0.0, 'recall': 0.0, 'f1_score': None}}"
pdgrapher_1117_1558,pdgrapher,dorothea_500_1000,500.0,279.0,1.0,0.505,0.005,132.472,0.265,0.19,-0.511,-3.981,3.133,0.023,0.092,0.181,0.332,"{'recall@1': 0.0018, 'recall@10': 0.0334, 'recall@100': 0.359, 'recall@1000': 1.0, 'ranking_score': 0.7151, 'ranking_score_dcg': 0.1197, 'perc_partially_accurate_predictions': 0.18, 'recall@1_std': 0.0424, 'recall@10_std': 0.1796, 'recall@100_std': 0.4797, 'recall@1000_std': 0.0, 'ranking_score_std': 0.1693, 'ranking_score_dcg_std': 0.079, 'perc_partially_accurate_predictions_std': 4.24, 'total_samples': 2217, 'avg_topk': 357.5494}","{'forward_mae': -1, 'forward_mse': -1, 'forward_r2': -1, 'forward_r2_scgen': -1, 'forward_spearman': -1, 'backward_mae': -1, 'backward_mse': -1, 'backward_r2': -1, 'backward_r2_scgen': -1, 'backward_spearman': -1, 'backward_avg_topk': -1}","{'IRF3': {'gene_name': 'IRF3', 'gene_index': 195, 'total_samples': 2217, 'times_true_source': 0, 'times_predicted_source': 0, 'correct_predictions': 0, 'avg_prediction_prob': -1.468, 'avg_rank': 0.0, 'in_top20_count': 0, 'in_top40_count': 0, 'in_top80_count': 0, 'avg_rank_when_true': None, 'avg_prob_when_true': None, 'in_top20_when_true': 0, 'in_top40_when_true': 0, 'in_top80_when_true': 0, 'accuracy_when_true': None, 'precision': None, 'recall': None, 'f1_score': None}, 'ATF7': {'gene_name': 'ATF7', 'gene_index': 15, 'total_samples': 2217, 'times_true_source': 7, 'times_predicted_source': 34, 'correct_predictions': 0, 'avg_prediction_prob': 0.392, 'avg_rank': 0.0, 'in_top20_count': 0, 'in_top40_count': 0, 'in_top80_count': 0, 'avg_rank_when_true': 20.143, 'avg_prob_when_true': 0.588, 'in_top20_when_true': 5, 'in_top40_when_true': 6, 'in_top80_when_true': 7, 'accuracy_when_true': 0.0, 'precision': 0.0, 'recall': 0.0, 'f1_score': None}, 'SREBF2': {'gene_name': 'SREBF2', 'gene_index': 402, 'total_samples': 2217, 'times_true_source': 6, 'times_predicted_source': 0, 'correct_predictions': 0, 'avg_prediction_prob': 0.107, 'avg_rank': 0.0, 'in_top20_count': 0, 'in_top40_count': 0, 'in_top80_count': 0, 'avg_rank_when_true': 135.667, 'avg_prob_when_true': 0.203, 'in_top20_when_true': 1, 'in_top40_when_true': 1, 'in_top80_when_true': 2, 'accuracy_when_true': 0.0, 'precision': None, 'recall': 0.0, 'f1_score': None}, 'MYC': {'gene_name': 'MYC', 'gene_index': 260, 'total_samples': 2217, 'times_true_source': 7, 'times_predicted_source': 11, 'correct_predictions': 0, 'avg_prediction_prob': 0.149, 'avg_rank': 0.0, 'in_top20_count': 0, 'in_top40_count': 0, 'in_top80_count': 0, 'avg_rank_when_true': 121.143, 'avg_prob_when_true': 0.199, 'in_top20_when_true': 0, 'in_top40_when_true': 0, 'in_top80_when_true': 3, 'accuracy_when_true': 0.0, 'precision': 0.0, 'recall': 0.0, 'f1_score': None}}"
pdgrapher_1118_0025,pdgrapher,dorothea_500_1000,500.0,279.0,1.0,0.505,0.007,136.253,0.273,0.289,0.017,-0.966,3.103,0.03,0.104,0.192,0.346,"{'recall@1': 0.0018, 'recall@10': 0.0356, 'recall@100': 0.3356, 'recall@1000': 1.0, 'ranking_score': 0.7018, 'ranking_score_dcg': 0.1168, 'perc_partially_accurate_predictions': 0.18, 'recall@1_std': 0.0424, 'recall@10_std': 0.1854, 'recall@100_std': 0.4722, 'recall@1000_std': 0.0, 'ranking_score_std': 0.1824, 'ranking_score_dcg_std': 0.0786, 'perc_partially_accurate_predictions_std': 4.24, 'total_samples': 2217, 'avg_topk': 350.9066}","{'forward_mae': -1, 'forward_mse': -1, 'forward_r2': -1, 'forward_r2_scgen': -1, 'forward_spearman': -1, 'backward_mae': -1, 'backward_mse': -1, 'backward_r2': -1, 'backward_r2_scgen': -1, 'backward_spearman': -1, 'backward_avg_topk': -1}","{'IRF3': {'gene_name': 'IRF3', 'gene_index': 195, 'total_samples': 2217, 'times_true_source': 0, 'times_predicted_source': 0, 'correct_predictions': 0, 'avg_prediction_prob': -0.509, 'avg_rank': 0.0, 'in_top20_count': 0, 'in_top40_count': 0, 'in_top80_count': 0, 'avg_rank_when_true': None, 'avg_prob_when_true': None, 'in_top20_when_true': 0, 'in_top40_when_true': 0, 'in_top80_when_true': 0, 'accuracy_when_true': None, 'precision': None, 'recall': None, 'f1_score': None}, 'ATF7': {'gene_name': 'ATF7', 'gene_index': 15, 'total_samples': 2217, 'times_true_source': 7, 'times_predicted_source': 1, 'correct_predictions': 0, 'avg_prediction_prob': 0.492, 'avg_rank': 0.0, 'in_top20_count': 0, 'in_top40_count': 0, 'in_top80_count': 0, 'avg_rank_when_true': 39.714, 'avg_prob_when_true': 0.571, 'in_top20_when_true': 3, 'in_top40_when_true': 4, 'in_top80_when_true': 6, 'accuracy_when_true': 0.0, 'precision': 0.0, 'recall': 0.0, 'f1_score': None}, 'SREBF2': {'gene_name': 'SREBF2', 'gene_index': 402, 'total_samples': 2217, 'times_true_source': 6, 'times_predicted_source': 16, 'correct_predictions': 0, 'avg_prediction_prob': 0.27, 'avg_rank': 0.0, 'in_top20_count': 0, 'in_top40_count': 0, 'in_top80_count': 0, 'avg_rank_when_true': 68.167, 'avg_prob_when_true': 0.642, 'in_top20_when_true': 2, 'in_top40_when_true': 3, 'in_top80_when_true': 3, 'accuracy_when_true': 0.0, 'precision': 0.0, 'recall': 0.0, 'f1_score': None}, 'MYC': {'gene_name': 'MYC', 'gene_index': 260, 'total_samples': 2217, 'times_true_source': 7, 'times_predicted_source': 9, 'correct_predictions': 0, 'avg_prediction_prob': 0.357, 'avg_rank': 0.0, 'in_top20_count': 0, 'in_top40_count': 0, 'in_top80_count': 0, 'avg_rank_when_true': 52.143, 'avg_prob_when_true': 0.566, 'in_top20_when_true': 1, 'in_top40_when_true': 1, 'in_top80_when_true': 7, 'accuracy_when_true': 0.0, 'precision': 0.0, 'recall': 0.0, 'f1_score': None}}"
pdgrapher_1118_0945,pdgrapher,dorothea_500_1000,500.0,279.0,1.0,0.505,0.004,131.873,0.264,0.161,-0.053,-0.857,2.407,0.035,0.114,0.196,0.348,"{'recall@1': 0.0027, 'recall@10': 0.0343, 'recall@100': 0.359, 'recall@1000': 1.0, 'ranking_score': 0.7127, 'ranking_score_dcg': 0.1208, 'perc_partially_accurate_predictions': 0.27, 'recall@1_std': 0.052, 'recall@10_std': 0.1819, 'recall@100_std': 0.4797, 'recall@1000_std': 0.0, 'ranking_score_std': 0.1773, 'ranking_score_dcg_std': 0.0844, 'perc_partially_accurate_predictions_std': 5.2, 'total_samples': 2217, 'avg_topk': 356.3608}","{'forward_mae': -1, 'forward_mse': -1, 'forward_r2': -1, 'forward_r2_scgen': -1, 'forward_spearman': -1, 'backward_mae': -1, 'backward_mse': -1, 'backward_r2': -1, 'backward_r2_scgen': -1, 'backward_spearman': -1, 'backward_avg_topk': -1}","{'IRF3': {'gene_name': 'IRF3', 'gene_index': 195, 'total_samples': 2217, 'times_true_source': 0, 'times_predicted_source': 0, 'correct_predictions': 0, 'avg_prediction_prob': -0.128, 'avg_rank': 0.0, 'in_top20_count': 0, 'in_top40_count': 0, 'in_top80_count': 0, 'avg_rank_when_true': None, 'avg_prob_when_true': None, 'in_top20_when_true': 0, 'in_top40_when_true': 0, 'in_top80_when_true': 0, 'accuracy_when_true': None, 'precision': None, 'recall': None, 'f1_score': None}, 'ATF7': {'gene_name': 'ATF7', 'gene_index': 15, 'total_samples': 2217, 'times_true_source': 7, 'times_predicted_source': 10, 'correct_predictions': 1, 'avg_prediction_prob': 0.311, 'avg_rank': 0.0, 'in_top20_count': 0, 'in_top40_count': 0, 'in_top80_count': 0, 'avg_rank_when_true': 58.0, 'avg_prob_when_true': 0.597, 'in_top20_when_true': 5, 'in_top40_when_true': 6, 'in_top80_when_true': 6, 'accuracy_when_true': 0.143, 'precision': 0.1, 'recall': 0.143, 'f1_score': 0.118}, 'SREBF2': {'gene_name': 'SREBF2', 'gene_index': 402, 'total_samples': 2217, 'times_true_source': 6, 'times_predicted_source': 3, 'correct_predictions': 0, 'avg_prediction_prob': 0.193, 'avg_rank': 0.0, 'in_top20_count': 0, 'in_top40_count': 0, 'in_top80_count': 0, 'avg_rank_when_true': 102.333, 'avg_prob_when_true': 0.257, 'in_top20_when_true': 1, 'in_top40_when_true': 1, 'in_top80_when_true': 2, 'accuracy_when_true': 0.0, 'precision': 0.0, 'recall': 0.0, 'f1_score': None}, 'MYC': {'gene_name': 'MYC', 'gene_index': 260, 'total_samples': 2217, 'times_true_source': 7, 'times_predicted_source': 48, 'correct_predictions': 0, 'avg_prediction_prob': 0.249, 'avg_rank': 0.0, 'in_top20_count': 0, 'in_top40_count': 0, 'in_top80_count': 0, 'avg_rank_when_true': 82.429, 'avg_prob_when_true': 0.299, 'in_top20_when_true': 3, 'in_top40_when_true': 3, 'in_top80_when_true': 4, 'accuracy_when_true': 0.0, 'precision': 0.0, 'recall': 0.0, 'f1_score': None}}"
