filename,model_type,network,num_nodes,num_possible_sources,avg_num_sources,avg_portion_affected,accuracy,avg rank of source,avg norm rank of source,avg prediction for source,avg prediction over all nodes,min prediction over all nodes,max prediction over all nodes,source in top 5,source in top 20,source in top 40,source in top 80,pdgrapher_perturbation_discovery,pdgrapher_response_prediction,gene_specific_metrics
baseline_advanced_random_1117_1351,advanced_random,dorothea_500_1000,,,,,0.002,135.397,0.271,0.004,0.002,0.0,0.008,0.017,0.07,0.152,0.303,,,
baseline_advanced_random_1117_1547,advanced_random,dorothea_500_1000,,,,,0.002,135.397,0.271,0.004,0.002,0.0,0.008,0.017,0.07,0.152,0.303,,,
baseline_advanced_random_1117_2329,advanced_random,dorothea_500_1000,,,,,0.002,135.397,0.271,0.004,0.002,0.0,0.008,0.017,0.07,0.152,0.303,,,
baseline_advanced_random_1118_0904,advanced_random,dorothea_500_1000,,,,,0.002,135.397,0.271,0.004,0.002,0.0,0.008,0.017,0.07,0.152,0.303,,,
baseline_advanced_random_1118_1004,advanced_random,dorothea_500_1000,,,,,0.002,135.397,0.271,0.004,0.002,0.0,0.008,0.017,0.07,0.152,0.303,,,
baseline_advanced_random_1118_1204,advanced_random,dorothea_500_1000,,,,,0.002,135.397,0.271,0.004,0.002,0.0,0.008,0.017,0.07,0.152,0.303,,,
baseline_overlap_1117_1351,overlap,dorothea_500_1000,,,,,0.007,139.099,0.278,0.004,0.002,0.0,0.005,0.031,0.088,0.159,0.31,,,
baseline_overlap_1117_1547,overlap,dorothea_500_1000,,,,,0.007,139.099,0.278,0.004,0.002,0.0,0.005,0.031,0.088,0.159,0.31,,,
baseline_overlap_1117_2329,overlap,dorothea_500_1000,,,,,0.007,139.099,0.278,0.004,0.002,0.0,0.005,0.031,0.088,0.159,0.31,,,
baseline_overlap_1118_0904,overlap,dorothea_500_1000,,,,,0.007,139.099,0.278,0.004,0.002,0.0,0.005,0.031,0.088,0.159,0.31,,,
baseline_overlap_1118_1004,overlap,dorothea_500_1000,,,,,0.007,139.099,0.278,0.004,0.002,0.0,0.005,0.031,0.088,0.159,0.31,,,
baseline_overlap_1118_1204,overlap,dorothea_500_1000,,,,,0.007,139.099,0.278,0.004,0.002,0.0,0.005,0.031,0.088,0.159,0.31,,,
baseline_random_1117_1351,random,dorothea_500_1000,,,,,0.001,243.193,0.486,0.002,0.002,0.0,0.004,0.008,0.041,0.079,0.167,,,
baseline_random_1117_1547,random,dorothea_500_1000,,,,,0.001,243.193,0.486,0.002,0.002,0.0,0.004,0.008,0.041,0.079,0.167,,,
baseline_random_1117_2329,random,dorothea_500_1000,,,,,0.001,243.193,0.486,0.002,0.002,0.0,0.004,0.008,0.041,0.079,0.167,,,
baseline_random_1118_0904,random,dorothea_500_1000,,,,,0.001,243.193,0.486,0.002,0.002,0.0,0.004,0.008,0.041,0.079,0.167,,,
baseline_random_1118_1004,random,dorothea_500_1000,,,,,0.001,243.193,0.486,0.002,0.002,0.0,0.004,0.008,0.041,0.079,0.167,,,
baseline_random_1118_1204,random,dorothea_500_1000,,,,,0.001,243.193,0.486,0.002,0.002,0.0,0.004,0.008,0.041,0.079,0.167,,,
baseline_smallestSuperset_1117_1351,smallestSuperset,dorothea_500_1000,,,,,0.004,253.102,0.506,0.002,0.002,0.002,0.002,0.013,0.04,0.084,0.158,,,
baseline_smallestSuperset_1117_1547,smallestSuperset,dorothea_500_1000,,,,,0.004,253.102,0.506,0.002,0.002,0.002,0.002,0.013,0.04,0.084,0.158,,,
baseline_smallestSuperset_1117_2329,smallestSuperset,dorothea_500_1000,,,,,0.004,253.102,0.506,0.002,0.002,0.002,0.002,0.013,0.04,0.084,0.158,,,
baseline_smallestSuperset_1118_0904,smallestSuperset,dorothea_500_1000,,,,,0.004,253.102,0.506,0.002,0.002,0.002,0.002,0.013,0.04,0.084,0.158,,,
baseline_smallestSuperset_1118_1004,smallestSuperset,dorothea_500_1000,,,,,0.004,253.102,0.506,0.002,0.002,0.002,0.002,0.013,0.04,0.084,0.158,,,
baseline_smallestSuperset_1118_1204,smallestSuperset,dorothea_500_1000,,,,,0.004,253.102,0.506,0.002,0.002,0.002,0.002,0.013,0.04,0.084,0.158,,,
pdgrapher_1117_1419,pdgrapher,dorothea_500_1000,500.0,279.0,1.0,0.505,0.014,119.086,0.238,0.289,-0.173,-2.009,2.967,0.048,0.145,0.244,0.391,"{'recall@1': 0.0018, 'recall@10': 0.033, 'recall@100': 0.361, 'recall@1000': 1.0, 'ranking_score': 0.7187, 'ranking_score_dcg': 0.1207, 'perc_partially_accurate_predictions': 0.18, 'recall@1_std': 0.0419, 'recall@10_std': 0.1786, 'recall@100_std': 0.4803, 'recall@1000_std': 0.0, 'ranking_score_std': 0.1688, 'ranking_score_dcg_std': 0.0796, 'perc_partially_accurate_predictions_std': 4.19, 'total_samples': 2274, 'avg_topk': 359.3307}","{'forward_mae': -1, 'forward_mse': -1, 'forward_r2': -1, 'forward_r2_scgen': -1, 'forward_spearman': -1, 'backward_mae': -1, 'backward_mse': -1, 'backward_r2': -1, 'backward_r2_scgen': -1, 'backward_spearman': -1, 'backward_avg_topk': -1}","{'IRF3': {'gene_name': 'IRF3', 'gene_index': 195, 'total_samples': 2274, 'times_true_source': 0, 'times_predicted_source': 0, 'correct_predictions': 0, 'avg_prediction_prob': -0.818, 'avg_rank': 0.0, 'in_top20_count': 0, 'in_top40_count': 0, 'in_top80_count': 0, 'avg_rank_when_true': None, 'avg_prob_when_true': None, 'in_top20_when_true': 0, 'in_top40_when_true': 0, 'in_top80_when_true': 0, 'accuracy_when_true': None, 'precision': None, 'recall': None, 'f1_score': None}, 'ATF7': {'gene_name': 'ATF7', 'gene_index': 15, 'total_samples': 2274, 'times_true_source': 3, 'times_predicted_source': 8, 'correct_predictions': 0, 'avg_prediction_prob': 0.173, 'avg_rank': 0.0, 'in_top20_count': 0, 'in_top40_count': 0, 'in_top80_count': 0, 'avg_rank_when_true': 21.333, 'avg_prob_when_true': 0.728, 'in_top20_when_true': 2, 'in_top40_when_true': 2, 'in_top80_when_true': 3, 'accuracy_when_true': 0.0, 'precision': 0.0, 'recall': 0.0, 'f1_score': None}, 'SREBF2': {'gene_name': 'SREBF2', 'gene_index': 402, 'total_samples': 2274, 'times_true_source': 10, 'times_predicted_source': 11, 'correct_predictions': 0, 'avg_prediction_prob': 0.341, 'avg_rank': 0.0, 'in_top20_count': 0, 'in_top40_count': 0, 'in_top80_count': 0, 'avg_rank_when_true': 123.3, 'avg_prob_when_true': 0.318, 'in_top20_when_true': 1, 'in_top40_when_true': 3, 'in_top80_when_true': 4, 'accuracy_when_true': 0.0, 'precision': 0.0, 'recall': 0.0, 'f1_score': None}, 'MYC': {'gene_name': 'MYC', 'gene_index': 260, 'total_samples': 2274, 'times_true_source': 6, 'times_predicted_source': 15, 'correct_predictions': 0, 'avg_prediction_prob': 0.241, 'avg_rank': 0.0, 'in_top20_count': 0, 'in_top40_count': 0, 'in_top80_count': 0, 'avg_rank_when_true': 89.833, 'avg_prob_when_true': 0.228, 'in_top20_when_true': 0, 'in_top40_when_true': 0, 'in_top80_when_true': 2, 'accuracy_when_true': 0.0, 'precision': 0.0, 'recall': 0.0, 'f1_score': None}}"
