filename,model_type,network,num_nodes,num_possible_sources,avg_num_sources,avg_portion_affected,accuracy,avg rank of source,avg norm rank of source,avg prediction for source,avg prediction over all nodes,min prediction over all nodes,max prediction over all nodes,source in top 5,source in top 20,source in top 40,source in top 80,pdgrapher_perturbation_discovery,pdgrapher_response_prediction,gene_specific_metrics
baseline_advanced_random_1117_1348,advanced_random,dorothea_500_1000,,,,,0.0,253.351,0.507,0.0,0.002,0.0,1.0,0.005,0.036,0.08,0.161,,,
baseline_advanced_random_1117_2326,advanced_random,dorothea_500_1000,,,,,0.0,253.351,0.507,0.0,0.002,0.0,1.0,0.005,0.036,0.08,0.161,,,
baseline_advanced_random_1118_0901,advanced_random,dorothea_500_1000,,,,,0.0,253.351,0.507,0.0,0.002,0.0,1.0,0.005,0.036,0.08,0.161,,,
baseline_advanced_random_1118_1002,advanced_random,dorothea_500_1000,,,,,0.0,253.351,0.507,0.0,0.002,0.0,1.0,0.005,0.036,0.08,0.161,,,
baseline_advanced_random_1118_1201,advanced_random,dorothea_500_1000,,,,,0.0,253.351,0.507,0.0,0.002,0.0,1.0,0.005,0.036,0.08,0.161,,,
baseline_overlap_1117_1348,overlap,dorothea_500_1000,,,,,0.0,252.76,0.506,0.001,0.002,0.0,0.313,0.004,0.026,0.071,0.149,,,
baseline_overlap_1117_2326,overlap,dorothea_500_1000,,,,,0.0,252.76,0.506,0.001,0.002,0.0,0.313,0.004,0.026,0.071,0.149,,,
baseline_overlap_1118_0901,overlap,dorothea_500_1000,,,,,0.0,252.76,0.506,0.001,0.002,0.0,0.313,0.004,0.026,0.071,0.149,,,
baseline_overlap_1118_1002,overlap,dorothea_500_1000,,,,,0.0,252.76,0.506,0.001,0.002,0.0,0.313,0.004,0.026,0.071,0.149,,,
baseline_overlap_1118_1201,overlap,dorothea_500_1000,,,,,0.0,252.76,0.506,0.001,0.002,0.0,0.313,0.004,0.026,0.071,0.149,,,
baseline_random_1117_1348,random,dorothea_500_1000,,,,,0.001,243.193,0.486,0.002,0.002,0.0,0.004,0.008,0.041,0.079,0.167,,,
baseline_random_1117_2326,random,dorothea_500_1000,,,,,0.001,243.193,0.486,0.002,0.002,0.0,0.004,0.008,0.041,0.079,0.167,,,
baseline_random_1118_0901,random,dorothea_500_1000,,,,,0.001,243.193,0.486,0.002,0.002,0.0,0.004,0.008,0.041,0.079,0.167,,,
baseline_random_1118_1002,random,dorothea_500_1000,,,,,0.001,243.193,0.486,0.002,0.002,0.0,0.004,0.008,0.041,0.079,0.167,,,
baseline_random_1118_1201,random,dorothea_500_1000,,,,,0.001,243.193,0.486,0.002,0.002,0.0,0.004,0.008,0.041,0.079,0.167,,,
baseline_smallestSuperset_1117_1348,smallestSuperset,dorothea_500_1000,,,,,0.0,253.351,0.507,0.0,0.002,0.0,0.5,0.005,0.036,0.08,0.161,,,
baseline_smallestSuperset_1117_2326,smallestSuperset,dorothea_500_1000,,,,,0.0,253.351,0.507,0.0,0.002,0.0,0.5,0.005,0.036,0.08,0.161,,,
baseline_smallestSuperset_1118_0901,smallestSuperset,dorothea_500_1000,,,,,0.0,253.351,0.507,0.0,0.002,0.0,0.5,0.005,0.036,0.08,0.161,,,
baseline_smallestSuperset_1118_1002,smallestSuperset,dorothea_500_1000,,,,,0.0,253.351,0.507,0.0,0.002,0.0,0.5,0.005,0.036,0.08,0.161,,,
baseline_smallestSuperset_1118_1201,smallestSuperset,dorothea_500_1000,,,,,0.0,253.351,0.507,0.0,0.002,0.0,0.5,0.005,0.036,0.08,0.161,,,
pdgrapher_1117_1320,pdgrapher,dorothea_500_1000,500.0,279.0,1.0,0.505,0.007,134.33,0.269,0.3,-0.333,-3.595,2.382,0.021,0.084,0.165,0.315,"{'recall@1': 0.0044, 'recall@10': 0.0312, 'recall@100': 0.3465, 'recall@1000': 1.0, 'ranking_score': 0.7134, 'ranking_score_dcg': 0.1198, 'perc_partially_accurate_predictions': 0.44, 'recall@1_std': 0.0662, 'recall@10_std': 0.1739, 'recall@100_std': 0.4759, 'recall@1000_std': 0.0, 'ranking_score_std': 0.1654, 'ranking_score_dcg_std': 0.0879, 'perc_partially_accurate_predictions_std': 6.62, 'total_samples': 2274, 'avg_topk': 356.6768}","{'forward_mae': -1, 'forward_mse': -1, 'forward_r2': -1, 'forward_r2_scgen': -1, 'forward_spearman': -1, 'backward_mae': -1, 'backward_mse': -1, 'backward_r2': -1, 'backward_r2_scgen': -1, 'backward_spearman': -1, 'backward_avg_topk': -1}","{'IRF3': {'gene_name': 'IRF3', 'gene_index': 195, 'total_samples': 2274, 'times_true_source': 0, 'times_predicted_source': 0, 'correct_predictions': 0, 'avg_prediction_prob': -1.002, 'avg_rank': 0.0, 'in_top20_count': 0, 'in_top40_count': 0, 'in_top80_count': 0, 'avg_rank_when_true': None, 'avg_prob_when_true': None, 'in_top20_when_true': 0, 'in_top40_when_true': 0, 'in_top80_when_true': 0, 'accuracy_when_true': None, 'precision': None, 'recall': None, 'f1_score': None}, 'ATF7': {'gene_name': 'ATF7', 'gene_index': 15, 'total_samples': 2274, 'times_true_source': 3, 'times_predicted_source': 12, 'correct_predictions': 0, 'avg_prediction_prob': 0.43, 'avg_rank': 0.0, 'in_top20_count': 0, 'in_top40_count': 0, 'in_top80_count': 0, 'avg_rank_when_true': 102.333, 'avg_prob_when_true': 0.476, 'in_top20_when_true': 1, 'in_top40_when_true': 1, 'in_top80_when_true': 1, 'accuracy_when_true': 0.0, 'precision': 0.0, 'recall': 0.0, 'f1_score': None}, 'SREBF2': {'gene_name': 'SREBF2', 'gene_index': 402, 'total_samples': 2274, 'times_true_source': 10, 'times_predicted_source': 6, 'correct_predictions': 0, 'avg_prediction_prob': 0.351, 'avg_rank': 0.0, 'in_top20_count': 0, 'in_top40_count': 0, 'in_top80_count': 0, 'avg_rank_when_true': 122.7, 'avg_prob_when_true': 0.314, 'in_top20_when_true': 0, 'in_top40_when_true': 2, 'in_top80_when_true': 3, 'accuracy_when_true': 0.0, 'precision': 0.0, 'recall': 0.0, 'f1_score': None}, 'MYC': {'gene_name': 'MYC', 'gene_index': 260, 'total_samples': 2274, 'times_true_source': 6, 'times_predicted_source': 20, 'correct_predictions': 0, 'avg_prediction_prob': 0.333, 'avg_rank': 0.0, 'in_top20_count': 0, 'in_top40_count': 0, 'in_top80_count': 0, 'avg_rank_when_true': 121.0, 'avg_prob_when_true': 0.362, 'in_top20_when_true': 1, 'in_top40_when_true': 1, 'in_top80_when_true': 2, 'accuracy_when_true': 0.0, 'precision': 0.0, 'recall': 0.0, 'f1_score': None}}"
