filename,model_type,network,num_nodes,num_possible_sources,avg_num_sources,avg_portion_affected,accuracy,avg rank of source,avg norm rank of source,avg prediction for source,avg prediction over all nodes,min prediction over all nodes,max prediction over all nodes,source in top 5,source in top 20,source in top 40,source in top 80,pdgrapher_perturbation_discovery,pdgrapher_response_prediction,gene_specific_metrics
baseline_advanced_random_1122_1007,advanced_random,dorothea_500_1250,,,,,0.003,151.768,0.304,0.003,0.002,0.0,0.007,0.016,0.059,0.123,0.252,,,
baseline_advanced_random_1122_1325,advanced_random,dorothea_500_1250,,,,,0.003,151.768,0.304,0.003,0.002,0.0,0.007,0.016,0.059,0.123,0.252,,,
baseline_overlap_1122_1007,overlap,dorothea_500_1250,,,,,0.011,147.458,0.295,0.003,0.002,0.0,0.005,0.036,0.098,0.165,0.298,,,
baseline_overlap_1122_1325,overlap,dorothea_500_1250,,,,,0.011,147.458,0.295,0.003,0.002,0.0,0.005,0.036,0.098,0.165,0.298,,,
baseline_random_1122_1007,random,dorothea_500_1250,,,,,0.001,255.134,0.51,0.002,0.002,0.0,0.004,0.012,0.038,0.069,0.142,,,
baseline_random_1122_1325,random,dorothea_500_1250,,,,,0.001,255.134,0.51,0.002,0.002,0.0,0.004,0.012,0.038,0.069,0.142,,,
baseline_smallestSuperset_1122_1007,smallestSuperset,dorothea_500_1250,,,,,0.003,254.108,0.508,0.002,0.002,0.002,0.002,0.01,0.036,0.075,0.147,,,
baseline_smallestSuperset_1122_1325,smallestSuperset,dorothea_500_1250,,,,,0.003,254.108,0.508,0.002,0.002,0.002,0.002,0.01,0.036,0.075,0.147,,,
pdgrapher_1122_1021,pdgrapher,dorothea_500_1250,500.0,298.0,1.0,0.585,0.009,145.093,0.29,0.543,0.126,-1.632,1.633,0.029,0.088,0.154,0.291,"{'recall@1': 0.0026, 'recall@10': 0.0321, 'recall@100': 0.3345, 'recall@1000': 1.0, 'ranking_score': 0.6961, 'ranking_score_dcg': 0.1164, 'perc_partially_accurate_predictions': 0.26, 'recall@1_std': 0.0508, 'recall@10_std': 0.1762, 'recall@100_std': 0.4718, 'recall@1000_std': 0.0, 'ranking_score_std': 0.1832, 'ranking_score_dcg_std': 0.0831, 'perc_partially_accurate_predictions_std': 5.08, 'total_samples': 1934, 'avg_topk': 348.0476}","{'forward_mae': -1, 'forward_mse': -1, 'forward_r2': -1, 'forward_r2_scgen': -1, 'forward_spearman': -1, 'backward_mae': -1, 'backward_mse': -1, 'backward_r2': -1, 'backward_r2_scgen': -1, 'backward_spearman': -1, 'backward_avg_topk': -1}","{'IRF3': {'gene_name': 'IRF3', 'gene_index': 195, 'total_samples': 1934, 'times_true_source': 0, 'times_predicted_source': 0, 'correct_predictions': 0, 'avg_prediction_prob': -0.7, 'avg_rank': 0.0, 'in_top20_count': 0, 'in_top40_count': 0, 'in_top80_count': 0, 'avg_rank_when_true': None, 'avg_prob_when_true': None, 'in_top20_when_true': 0, 'in_top40_when_true': 0, 'in_top80_when_true': 0, 'accuracy_when_true': None, 'precision': None, 'recall': None, 'f1_score': None}, 'ATF7': {'gene_name': 'ATF7', 'gene_index': 15, 'total_samples': 1934, 'times_true_source': 9, 'times_predicted_source': 0, 'correct_predictions': 0, 'avg_prediction_prob': 0.263, 'avg_rank': 0.0, 'in_top20_count': 0, 'in_top40_count': 0, 'in_top80_count': 0, 'avg_rank_when_true': 213.222, 'avg_prob_when_true': 0.113, 'in_top20_when_true': 0, 'in_top40_when_true': 0, 'in_top80_when_true': 0, 'accuracy_when_true': 0.0, 'precision': None, 'recall': 0.0, 'f1_score': None}, 'SREBF2': {'gene_name': 'SREBF2', 'gene_index': 402, 'total_samples': 1934, 'times_true_source': 13, 'times_predicted_source': 0, 'correct_predictions': 0, 'avg_prediction_prob': 0.37, 'avg_rank': 0.0, 'in_top20_count': 0, 'in_top40_count': 0, 'in_top80_count': 0, 'avg_rank_when_true': 175.385, 'avg_prob_when_true': 0.488, 'in_top20_when_true': 0, 'in_top40_when_true': 0, 'in_top80_when_true': 2, 'accuracy_when_true': 0.0, 'precision': None, 'recall': 0.0, 'f1_score': None}, 'MYC': {'gene_name': 'MYC', 'gene_index': 260, 'total_samples': 1934, 'times_true_source': 7, 'times_predicted_source': 0, 'correct_predictions': 0, 'avg_prediction_prob': 0.466, 'avg_rank': 0.0, 'in_top20_count': 0, 'in_top40_count': 0, 'in_top80_count': 0, 'avg_rank_when_true': 170.571, 'avg_prob_when_true': 0.68, 'in_top20_when_true': 0, 'in_top40_when_true': 1, 'in_top80_when_true': 1, 'accuracy_when_true': 0.0, 'precision': None, 'recall': 0.0, 'f1_score': None}}"
pdgrapher_1122_1343,pdgrapher,dorothea_500_1250,500.0,298.0,1.0,0.585,0.011,143.5,0.287,0.384,-0.237,-2.734,2.003,0.036,0.097,0.178,0.317,"{'recall@1': 0.0031, 'recall@10': 0.031, 'recall@100': 0.3309, 'recall@1000': 1.0, 'ranking_score': 0.6934, 'ranking_score_dcg': 0.1157, 'perc_partially_accurate_predictions': 0.31, 'recall@1_std': 0.0556, 'recall@10_std': 0.1734, 'recall@100_std': 0.4705, 'recall@1000_std': 0.0, 'ranking_score_std': 0.1789, 'ranking_score_dcg_std': 0.0848, 'perc_partially_accurate_predictions_std': 5.56, 'total_samples': 1934, 'avg_topk': 346.6939}","{'forward_mae': -1, 'forward_mse': -1, 'forward_r2': -1, 'forward_r2_scgen': -1, 'forward_spearman': -1, 'backward_mae': -1, 'backward_mse': -1, 'backward_r2': -1, 'backward_r2_scgen': -1, 'backward_spearman': -1, 'backward_avg_topk': -1}","{'IRF3': {'gene_name': 'IRF3', 'gene_index': 195, 'total_samples': 1934, 'times_true_source': 0, 'times_predicted_source': 0, 'correct_predictions': 0, 'avg_prediction_prob': -1.128, 'avg_rank': 0.0, 'in_top20_count': 0, 'in_top40_count': 0, 'in_top80_count': 0, 'avg_rank_when_true': None, 'avg_prob_when_true': None, 'in_top20_when_true': 0, 'in_top40_when_true': 0, 'in_top80_when_true': 0, 'accuracy_when_true': None, 'precision': None, 'recall': None, 'f1_score': None}, 'ATF7': {'gene_name': 'ATF7', 'gene_index': 15, 'total_samples': 1934, 'times_true_source': 9, 'times_predicted_source': 5, 'correct_predictions': 0, 'avg_prediction_prob': 0.378, 'avg_rank': 0.0, 'in_top20_count': 0, 'in_top40_count': 0, 'in_top80_count': 0, 'avg_rank_when_true': 81.667, 'avg_prob_when_true': 0.323, 'in_top20_when_true': 1, 'in_top40_when_true': 2, 'in_top80_when_true': 6, 'accuracy_when_true': 0.0, 'precision': 0.0, 'recall': 0.0, 'f1_score': None}, 'SREBF2': {'gene_name': 'SREBF2', 'gene_index': 402, 'total_samples': 1934, 'times_true_source': 13, 'times_predicted_source': 0, 'correct_predictions': 0, 'avg_prediction_prob': 0.165, 'avg_rank': 0.0, 'in_top20_count': 0, 'in_top40_count': 0, 'in_top80_count': 0, 'avg_rank_when_true': 245.846, 'avg_prob_when_true': 0.151, 'in_top20_when_true': 0, 'in_top40_when_true': 0, 'in_top80_when_true': 0, 'accuracy_when_true': 0.0, 'precision': None, 'recall': 0.0, 'f1_score': None}, 'MYC': {'gene_name': 'MYC', 'gene_index': 260, 'total_samples': 1934, 'times_true_source': 7, 'times_predicted_source': 0, 'correct_predictions': 0, 'avg_prediction_prob': 0.287, 'avg_rank': 0.0, 'in_top20_count': 0, 'in_top40_count': 0, 'in_top80_count': 0, 'avg_rank_when_true': 114.143, 'avg_prob_when_true': 0.562, 'in_top20_when_true': 0, 'in_top40_when_true': 0, 'in_top80_when_true': 1, 'accuracy_when_true': 0.0, 'precision': None, 'recall': 0.0, 'f1_score': None}}"
