filename,model_type,network,num_nodes,num_possible_sources,avg_num_sources,avg_portion_affected,accuracy,avg rank of source,avg norm rank of source,avg prediction for source,avg prediction over all nodes,min prediction over all nodes,max prediction over all nodes,source in top 5,source in top 20,source in top 40,source in top 80,pdgrapher_perturbation_discovery,pdgrapher_response_prediction,gene_specific_metrics
baseline_advanced_random_1121_0857,advanced_random,dorothea_500_1000,,,,,0.003,139.878,0.28,0.004,0.002,0.0,0.008,0.017,0.072,0.149,0.29,,,
baseline_advanced_random_1121_1201,advanced_random,dorothea_500_1000,,,,,0.003,139.878,0.28,0.004,0.002,0.0,0.008,0.017,0.072,0.149,0.29,,,
baseline_advanced_random_1121_1343,advanced_random,dorothea_500_1000,,,,,0.003,139.878,0.28,0.004,0.002,0.0,0.008,0.017,0.072,0.149,0.29,,,
baseline_overlap_1121_0857,overlap,dorothea_500_1000,,,,,0.008,139.705,0.279,0.004,0.002,0.0,0.006,0.031,0.093,0.166,0.304,,,
baseline_overlap_1121_1201,overlap,dorothea_500_1000,,,,,0.008,139.705,0.279,0.004,0.002,0.0,0.006,0.031,0.093,0.166,0.304,,,
baseline_overlap_1121_1343,overlap,dorothea_500_1000,,,,,0.008,139.705,0.279,0.004,0.002,0.0,0.006,0.031,0.093,0.166,0.304,,,
baseline_random_1121_0857,random,dorothea_500_1000,,,,,0.003,251.229,0.502,0.002,0.002,0.0,0.004,0.006,0.042,0.082,0.166,,,
baseline_random_1121_1201,random,dorothea_500_1000,,,,,0.003,251.229,0.502,0.002,0.002,0.0,0.004,0.006,0.042,0.082,0.166,,,
baseline_random_1121_1343,random,dorothea_500_1000,,,,,0.003,251.229,0.502,0.002,0.002,0.0,0.004,0.006,0.042,0.082,0.166,,,
baseline_smallestSuperset_1121_0857,smallestSuperset,dorothea_500_1000,,,,,0.004,257.487,0.515,0.002,0.002,0.002,0.002,0.017,0.044,0.087,0.153,,,
baseline_smallestSuperset_1121_1201,smallestSuperset,dorothea_500_1000,,,,,0.004,257.487,0.515,0.002,0.002,0.002,0.002,0.017,0.044,0.087,0.153,,,
baseline_smallestSuperset_1121_1343,smallestSuperset,dorothea_500_1000,,,,,0.004,257.487,0.515,0.002,0.002,0.002,0.002,0.017,0.044,0.087,0.153,,,
