filename,model_type,network,num_nodes,num_possible_sources,avg_num_sources,avg_portion_affected,accuracy,avg rank of source,avg norm rank of source,avg prediction for source,avg prediction over all nodes,min prediction over all nodes,max prediction over all nodes,source in top 5,source in top 20,source in top 40,source in top 80,pdgrapher_perturbation_discovery,pdgrapher_response_prediction,gene_specific_metrics
baseline_advanced_random_1117_1400,advanced_random,dorothea_500_1000,,,,,0.001,243.193,0.486,0.002,0.002,0.0,0.004,0.008,0.041,0.079,0.167,,,
baseline_advanced_random_1117_1440,advanced_random,dorothea_500_1000,,,,,0.001,243.193,0.486,0.002,0.002,0.0,0.004,0.008,0.041,0.079,0.167,,,
baseline_advanced_random_1117_2336,advanced_random,dorothea_500_1000,,,,,0.001,243.193,0.486,0.002,0.002,0.0,0.004,0.008,0.041,0.079,0.167,,,
baseline_advanced_random_1118_0911,advanced_random,dorothea_500_1000,,,,,0.001,243.193,0.486,0.002,0.002,0.0,0.004,0.008,0.041,0.079,0.167,,,
baseline_advanced_random_1118_1011,advanced_random,dorothea_500_1000,,,,,0.001,243.193,0.486,0.002,0.002,0.0,0.004,0.008,0.041,0.079,0.167,,,
baseline_overlap_1117_1400,overlap,dorothea_500_1000,,,,,0.004,253.102,0.506,0.002,0.002,0.002,0.002,0.013,0.04,0.084,0.158,,,
baseline_overlap_1117_1440,overlap,dorothea_500_1000,,,,,0.004,253.102,0.506,0.002,0.002,0.002,0.002,0.013,0.04,0.084,0.158,,,
baseline_overlap_1117_2336,overlap,dorothea_500_1000,,,,,0.004,253.102,0.506,0.002,0.002,0.002,0.002,0.013,0.04,0.084,0.158,,,
baseline_overlap_1118_0911,overlap,dorothea_500_1000,,,,,0.004,253.102,0.506,0.002,0.002,0.002,0.002,0.013,0.04,0.084,0.158,,,
baseline_overlap_1118_1011,overlap,dorothea_500_1000,,,,,0.004,253.102,0.506,0.002,0.002,0.002,0.002,0.013,0.04,0.084,0.158,,,
baseline_random_1117_1400,random,dorothea_500_1000,,,,,0.001,243.193,0.486,0.002,0.002,0.0,0.004,0.008,0.041,0.079,0.167,,,
baseline_random_1117_1440,random,dorothea_500_1000,,,,,0.001,243.193,0.486,0.002,0.002,0.0,0.004,0.008,0.041,0.079,0.167,,,
baseline_random_1117_2336,random,dorothea_500_1000,,,,,0.001,243.193,0.486,0.002,0.002,0.0,0.004,0.008,0.041,0.079,0.167,,,
baseline_random_1118_0911,random,dorothea_500_1000,,,,,0.001,243.193,0.486,0.002,0.002,0.0,0.004,0.008,0.041,0.079,0.167,,,
baseline_random_1118_1011,random,dorothea_500_1000,,,,,0.001,243.193,0.486,0.002,0.002,0.0,0.004,0.008,0.041,0.079,0.167,,,
baseline_smallestSuperset_1117_1400,smallestSuperset,dorothea_500_1000,,,,,0.004,253.102,0.506,0.002,0.002,0.002,0.002,0.013,0.04,0.084,0.158,,,
baseline_smallestSuperset_1117_1440,smallestSuperset,dorothea_500_1000,,,,,0.004,253.102,0.506,0.002,0.002,0.002,0.002,0.013,0.04,0.084,0.158,,,
baseline_smallestSuperset_1117_2336,smallestSuperset,dorothea_500_1000,,,,,0.004,253.102,0.506,0.002,0.002,0.002,0.002,0.013,0.04,0.084,0.158,,,
baseline_smallestSuperset_1118_0911,smallestSuperset,dorothea_500_1000,,,,,0.004,253.102,0.506,0.002,0.002,0.002,0.002,0.013,0.04,0.084,0.158,,,
baseline_smallestSuperset_1118_1011,smallestSuperset,dorothea_500_1000,,,,,0.004,253.102,0.506,0.002,0.002,0.002,0.002,0.013,0.04,0.084,0.158,,,
pdgrapher_1117_1420,pdgrapher,dorothea_500_1000,500.0,279.0,1.0,0.505,0.005,133.367,0.267,0.217,-0.407,-3.08,2.586,0.023,0.091,0.178,0.324,"{'recall@1': 0.0053, 'recall@10': 0.0356, 'recall@100': 0.361, 'recall@1000': 1.0, 'ranking_score': 0.7195, 'ranking_score_dcg': 0.1233, 'perc_partially_accurate_predictions': 0.53, 'recall@1_std': 0.0725, 'recall@10_std': 0.1853, 'recall@100_std': 0.4803, 'recall@1000_std': 0.0, 'ranking_score_std': 0.1683, 'ranking_score_dcg_std': 0.0916, 'perc_partially_accurate_predictions_std': 7.25, 'total_samples': 2274, 'avg_topk': 359.737}","{'forward_mae': -1, 'forward_mse': -1, 'forward_r2': -1, 'forward_r2_scgen': -1, 'forward_spearman': -1, 'backward_mae': -1, 'backward_mse': -1, 'backward_r2': -1, 'backward_r2_scgen': -1, 'backward_spearman': -1, 'backward_avg_topk': -1}","{'IRF3': {'gene_name': 'IRF3', 'gene_index': 195, 'total_samples': 2274, 'times_true_source': 0, 'times_predicted_source': 0, 'correct_predictions': 0, 'avg_prediction_prob': -0.36, 'avg_rank': 0.0, 'in_top20_count': 0, 'in_top40_count': 0, 'in_top80_count': 0, 'avg_rank_when_true': None, 'avg_prob_when_true': None, 'in_top20_when_true': 0, 'in_top40_when_true': 0, 'in_top80_when_true': 0, 'accuracy_when_true': None, 'precision': None, 'recall': None, 'f1_score': None}, 'ATF7': {'gene_name': 'ATF7', 'gene_index': 15, 'total_samples': 2274, 'times_true_source': 3, 'times_predicted_source': 0, 'correct_predictions': 0, 'avg_prediction_prob': 0.169, 'avg_rank': 0.0, 'in_top20_count': 0, 'in_top40_count': 0, 'in_top80_count': 0, 'avg_rank_when_true': 115.667, 'avg_prob_when_true': 0.237, 'in_top20_when_true': 0, 'in_top40_when_true': 1, 'in_top80_when_true': 1, 'accuracy_when_true': 0.0, 'precision': None, 'recall': 0.0, 'f1_score': None}, 'SREBF2': {'gene_name': 'SREBF2', 'gene_index': 402, 'total_samples': 2274, 'times_true_source': 10, 'times_predicted_source': 0, 'correct_predictions': 0, 'avg_prediction_prob': 0.01, 'avg_rank': 0.0, 'in_top20_count': 0, 'in_top40_count': 0, 'in_top80_count': 0, 'avg_rank_when_true': 203.8, 'avg_prob_when_true': 0.071, 'in_top20_when_true': 0, 'in_top40_when_true': 0, 'in_top80_when_true': 0, 'accuracy_when_true': 0.0, 'precision': None, 'recall': 0.0, 'f1_score': None}, 'MYC': {'gene_name': 'MYC', 'gene_index': 260, 'total_samples': 2274, 'times_true_source': 6, 'times_predicted_source': 26, 'correct_predictions': 0, 'avg_prediction_prob': 0.122, 'avg_rank': 0.0, 'in_top20_count': 0, 'in_top40_count': 0, 'in_top80_count': 0, 'avg_rank_when_true': 196.333, 'avg_prob_when_true': 0.013, 'in_top20_when_true': 0, 'in_top40_when_true': 0, 'in_top80_when_true': 0, 'accuracy_when_true': 0.0, 'precision': 0.0, 'recall': 0.0, 'f1_score': None}}"
