filename,model_type,network,num_nodes,num_possible_sources,avg_num_sources,avg_portion_affected,accuracy,avg rank of source,avg norm rank of source,avg prediction for source,avg prediction over all nodes,min prediction over all nodes,max prediction over all nodes,source in top 5,source in top 20,source in top 40,source in top 80,pdgrapher_perturbation_discovery,pdgrapher_response_prediction,gene_specific_metrics
baseline_advanced_random_1104_1956,advanced_random,dorothea_500_1000,,,,,0.003,146.624,0.293,0.004,0.002,0.0,0.009,0.017,0.073,0.147,0.285,,,
baseline_advanced_random_1105_0955,advanced_random,dorothea_500_1000,,,,,0.003,146.624,0.293,0.004,0.002,0.0,0.009,0.017,0.073,0.147,0.285,,,
baseline_jordan_1104_1956,jordan,dorothea_500_1000,,,,,0.001,253.102,0.506,0.002,0.002,0.0,0.009,0.009,0.033,0.07,0.147,,,
baseline_jordan_1105_0955,jordan,dorothea_500_1000,,,,,0.001,253.102,0.506,0.002,0.002,0.0,0.009,0.009,0.033,0.07,0.147,,,
baseline_overlap_1104_1956,overlap,dorothea_500_1000,,,,,0.006,149.425,0.299,0.004,0.002,0.0,0.007,0.023,0.085,0.152,0.3,,,
baseline_overlap_1105_0955,overlap,dorothea_500_1000,,,,,0.006,149.425,0.299,0.004,0.002,0.0,0.007,0.023,0.085,0.152,0.3,,,
baseline_random_1104_1956,random,dorothea_500_1000,,,,,0.002,249.95,0.5,0.002,0.002,0.0,0.004,0.01,0.039,0.082,0.162,,,
baseline_random_1105_0955,random,dorothea_500_1000,,,,,0.002,249.95,0.5,0.002,0.002,0.0,0.004,0.01,0.039,0.082,0.162,,,
baseline_smallestSuperset_1104_1956,smallestSuperset,dorothea_500_1000,,,,,0.002,252.748,0.505,0.002,0.002,0.002,0.002,0.01,0.041,0.09,0.162,,,
baseline_smallestSuperset_1105_0955,smallestSuperset,dorothea_500_1000,,,,,0.002,252.748,0.505,0.002,0.002,0.002,0.002,0.01,0.041,0.09,0.162,,,
