filename,model_type,network,num_nodes,num_possible_sources,avg_num_sources,avg_portion_affected,accuracy,avg rank of source,avg norm rank of source,avg prediction for source,avg prediction over all nodes,min prediction over all nodes,max prediction over all nodes,source in top 5,source in top 20,source in top 40,source in top 80,pdgrapher_perturbation_discovery,pdgrapher_response_prediction,gene_specific_metrics
baseline_advanced_random_1103_1603,advanced_random,dorothea_500_1000,,,,,0.002,251.509,0.503,0.002,0.002,0.0,0.004,0.01,0.04,0.08,0.159,,,
baseline_advanced_random_1103_1622,advanced_random,dorothea_500_1000,,,,,0.002,251.509,0.503,0.002,0.002,0.0,0.004,0.01,0.04,0.08,0.159,,,
baseline_advanced_random_1103_1628,advanced_random,dorothea_500_1000,,,,,0.002,251.509,0.503,0.002,0.002,0.0,0.004,0.01,0.04,0.08,0.159,,,
baseline_advanced_random_1104_1014,advanced_random,dorothea_500_1000,,,,,0.002,251.509,0.503,0.002,0.002,0.0,0.004,0.01,0.04,0.08,0.159,,,
baseline_jordan_1103_1603,jordan,dorothea_500_1000,,,,,0.002,254.633,0.509,0.002,0.002,0.0,1.0,0.01,0.037,0.088,0.166,,,
baseline_jordan_1103_1622,jordan,dorothea_500_1000,,,,,0.002,254.633,0.509,0.002,0.002,0.0,1.0,0.01,0.037,0.088,0.166,,,
baseline_jordan_1103_1628,jordan,dorothea_500_1000,,,,,0.002,254.633,0.509,0.002,0.002,0.0,1.0,0.01,0.037,0.088,0.166,,,
baseline_jordan_1104_1014,jordan,dorothea_500_1000,,,,,0.002,254.633,0.509,0.002,0.002,0.0,1.0,0.01,0.037,0.088,0.166,,,
baseline_overlap_1103_1603,overlap,dorothea_500_1000,,,,,0.003,254.083,0.508,0.002,0.002,0.002,0.002,0.012,0.039,0.087,0.156,,,
baseline_overlap_1103_1622,overlap,dorothea_500_1000,,,,,0.003,254.083,0.508,0.002,0.002,0.002,0.002,0.012,0.039,0.087,0.156,,,
baseline_overlap_1103_1628,overlap,dorothea_500_1000,,,,,0.003,254.083,0.508,0.002,0.002,0.002,0.002,0.012,0.039,0.087,0.156,,,
baseline_overlap_1104_1014,overlap,dorothea_500_1000,,,,,0.003,254.083,0.508,0.002,0.002,0.002,0.002,0.012,0.039,0.087,0.156,,,
baseline_random_1103_1603,random,dorothea_500_1000,,,,,0.002,251.509,0.503,0.002,0.002,0.0,0.004,0.01,0.04,0.08,0.159,,,
baseline_random_1103_1622,random,dorothea_500_1000,,,,,0.002,251.509,0.503,0.002,0.002,0.0,0.004,0.01,0.04,0.08,0.159,,,
baseline_random_1103_1628,random,dorothea_500_1000,,,,,0.002,251.509,0.503,0.002,0.002,0.0,0.004,0.01,0.04,0.08,0.159,,,
baseline_random_1104_1014,random,dorothea_500_1000,,,,,0.002,251.509,0.503,0.002,0.002,0.0,0.004,0.01,0.04,0.08,0.159,,,
baseline_smallestSuperset_1103_1603,smallestSuperset,dorothea_500_1000,,,,,0.003,254.083,0.508,0.002,0.002,0.002,0.002,0.012,0.039,0.087,0.156,,,
baseline_smallestSuperset_1103_1622,smallestSuperset,dorothea_500_1000,,,,,0.003,254.083,0.508,0.002,0.002,0.002,0.002,0.012,0.039,0.087,0.156,,,
baseline_smallestSuperset_1103_1628,smallestSuperset,dorothea_500_1000,,,,,0.003,254.083,0.508,0.002,0.002,0.002,0.002,0.012,0.039,0.087,0.156,,,
baseline_smallestSuperset_1104_1014,smallestSuperset,dorothea_500_1000,,,,,0.003,254.083,0.508,0.002,0.002,0.002,0.002,0.012,0.039,0.087,0.156,,,
