filename,model_type,network,num_nodes,num_possible_sources,avg_num_sources,avg_portion_affected,accuracy,avg rank of source,avg norm rank of source,avg prediction for source,avg prediction over all nodes,min prediction over all nodes,max prediction over all nodes,source in top 5,source in top 20,source in top 40,source in top 80,gene_specific_metrics,pdgrapher_perturbation_discovery,pdgrapher_response_prediction
baseline_advanced_random_1029_1439,advanced_random,dorothea_500_1000,,,,,0.004,147.965,0.296,0.004,0.002,0.0,0.009,0.018,0.069,0.143,0.277,,,
baseline_jordan_1029_1439,jordan,dorothea_500_1000,,,,,0.033,240.034,0.48,0.013,0.002,0.0,1.0,0.057,0.091,0.138,0.208,,,
baseline_overlap_1029_1439,overlap,dorothea_500_1000,,,,,0.029,101.185,0.202,0.032,0.002,0.0,0.997,0.222,0.297,0.377,0.513,,,
baseline_random_1029_1439,random,dorothea_500_1000,,,,,0.002,251.509,0.503,0.002,0.002,0.0,0.004,0.01,0.04,0.08,0.159,,,
baseline_smallestSuperset_1029_1439,smallestSuperset,dorothea_500_1000,,,,,0.037,244.633,0.489,0.035,0.002,0.0,1.0,0.05,0.074,0.125,0.188,,,
gat_1029_1455,gat,dorothea_500_1000,500.0,279.0,1.0,0.499,0.004,190.547,0.381,0.023,0.019,0.005,0.039,0.016,0.065,0.135,0.283,"{'IRF3': {'gene_name': 'IRF3', 'gene_index': 195, 'total_samples': 3773, 'times_true_source': 0, 'times_predicted_source': 0, 'correct_predictions': 0, 'avg_prediction_prob': 0.011, 'avg_rank': 0.0, 'in_top20_count': 0, 'in_top40_count': 0, 'in_top80_count': 0, 'avg_rank_when_true': None, 'avg_prob_when_true': None, 'in_top20_when_true': 0, 'in_top40_when_true': 0, 'in_top80_when_true': 0, 'accuracy_when_true': None, 'precision': None, 'recall': None, 'f1_score': None}, 'ATF7': {'gene_name': 'ATF7', 'gene_index': 15, 'total_samples': 3773, 'times_true_source': 10, 'times_predicted_source': 42, 'correct_predictions': 0, 'avg_prediction_prob': 0.034, 'avg_rank': 0.0, 'in_top20_count': 0, 'in_top40_count': 0, 'in_top80_count': 0, 'avg_rank_when_true': 45.5, 'avg_prob_when_true': 0.035, 'in_top20_when_true': 2, 'in_top40_when_true': 4, 'in_top80_when_true': 9, 'accuracy_when_true': 0.0, 'precision': 0.0, 'recall': 0.0, 'f1_score': None}, 'SREBF2': {'gene_name': 'SREBF2', 'gene_index': 402, 'total_samples': 3773, 'times_true_source': 15, 'times_predicted_source': 0, 'correct_predictions': 0, 'avg_prediction_prob': 0.012, 'avg_rank': 0.0, 'in_top20_count': 0, 'in_top40_count': 0, 'in_top80_count': 0, 'avg_rank_when_true': 415.8, 'avg_prob_when_true': 0.012, 'in_top20_when_true': 0, 'in_top40_when_true': 0, 'in_top80_when_true': 0, 'accuracy_when_true': 0.0, 'precision': None, 'recall': 0.0, 'f1_score': None}, 'MYC': {'gene_name': 'MYC', 'gene_index': 260, 'total_samples': 3773, 'times_true_source': 10, 'times_predicted_source': 0, 'correct_predictions': 0, 'avg_prediction_prob': 0.018, 'avg_rank': 0.0, 'in_top20_count': 0, 'in_top40_count': 0, 'in_top80_count': 0, 'avg_rank_when_true': 166.7, 'avg_prob_when_true': 0.018, 'in_top20_when_true': 0, 'in_top40_when_true': 0, 'in_top80_when_true': 0, 'accuracy_when_true': 0.0, 'precision': None, 'recall': 0.0, 'f1_score': None}}",,
gat_1029_2030,gat,dorothea_500_1000,500.0,279.0,1.0,0.499,0.003,191.134,0.382,0.023,0.019,0.004,0.035,0.018,0.076,0.14,0.28,"{'IRF3': {'gene_name': 'IRF3', 'gene_index': 195, 'total_samples': 3773, 'times_true_source': 0, 'times_predicted_source': 0, 'correct_predictions': 0, 'avg_prediction_prob': 0.01, 'avg_rank': 0.0, 'in_top20_count': 0, 'in_top40_count': 0, 'in_top80_count': 0, 'avg_rank_when_true': None, 'avg_prob_when_true': None, 'in_top20_when_true': 0, 'in_top40_when_true': 0, 'in_top80_when_true': 0, 'accuracy_when_true': None, 'precision': None, 'recall': None, 'f1_score': None}, 'ATF7': {'gene_name': 'ATF7', 'gene_index': 15, 'total_samples': 3773, 'times_true_source': 10, 'times_predicted_source': 40, 'correct_predictions': 0, 'avg_prediction_prob': 0.034, 'avg_rank': 0.0, 'in_top20_count': 0, 'in_top40_count': 0, 'in_top80_count': 0, 'avg_rank_when_true': 47.4, 'avg_prob_when_true': 0.034, 'in_top20_when_true': 3, 'in_top40_when_true': 4, 'in_top80_when_true': 9, 'accuracy_when_true': 0.0, 'precision': 0.0, 'recall': 0.0, 'f1_score': None}, 'SREBF2': {'gene_name': 'SREBF2', 'gene_index': 402, 'total_samples': 3773, 'times_true_source': 15, 'times_predicted_source': 0, 'correct_predictions': 0, 'avg_prediction_prob': 0.012, 'avg_rank': 0.0, 'in_top20_count': 0, 'in_top40_count': 0, 'in_top80_count': 0, 'avg_rank_when_true': 428.4, 'avg_prob_when_true': 0.012, 'in_top20_when_true': 0, 'in_top40_when_true': 0, 'in_top80_when_true': 0, 'accuracy_when_true': 0.0, 'precision': None, 'recall': 0.0, 'f1_score': None}, 'MYC': {'gene_name': 'MYC', 'gene_index': 260, 'total_samples': 3773, 'times_true_source': 10, 'times_predicted_source': 0, 'correct_predictions': 0, 'avg_prediction_prob': 0.018, 'avg_rank': 0.0, 'in_top20_count': 0, 'in_top40_count': 0, 'in_top80_count': 0, 'avg_rank_when_true': 166.2, 'avg_prob_when_true': 0.019, 'in_top20_when_true': 0, 'in_top40_when_true': 0, 'in_top80_when_true': 0, 'accuracy_when_true': 0.0, 'precision': None, 'recall': 0.0, 'f1_score': None}}",,
pdgrapher_1029_1443,pdgrapher,dorothea_500_1000,500.0,279.0,1.0,0.499,0.024,121.805,0.244,0.416,-0.042,-1.536,6.068,0.075,0.168,0.253,0.398,"{'IRF3': {'gene_name': 'IRF3', 'gene_index': 195, 'total_samples': 3773, 'times_true_source': 0, 'times_predicted_source': 0, 'correct_predictions': 0, 'avg_prediction_prob': -0.414, 'avg_rank': 0.0, 'in_top20_count': 0, 'in_top40_count': 0, 'in_top80_count': 0, 'avg_rank_when_true': None, 'avg_prob_when_true': None, 'in_top20_when_true': 0, 'in_top40_when_true': 0, 'in_top80_when_true': 0, 'accuracy_when_true': None, 'precision': None, 'recall': None, 'f1_score': None}, 'ATF7': {'gene_name': 'ATF7', 'gene_index': 15, 'total_samples': 3773, 'times_true_source': 10, 'times_predicted_source': 4, 'correct_predictions': 0, 'avg_prediction_prob': 0.068, 'avg_rank': 0.0, 'in_top20_count': 0, 'in_top40_count': 0, 'in_top80_count': 0, 'avg_rank_when_true': 61.4, 'avg_prob_when_true': 0.665, 'in_top20_when_true': 5, 'in_top40_when_true': 6, 'in_top80_when_true': 7, 'accuracy_when_true': 0.0, 'precision': 0.0, 'recall': 0.0, 'f1_score': None}, 'SREBF2': {'gene_name': 'SREBF2', 'gene_index': 402, 'total_samples': 3773, 'times_true_source': 15, 'times_predicted_source': 0, 'correct_predictions': 0, 'avg_prediction_prob': 0.099, 'avg_rank': 0.0, 'in_top20_count': 0, 'in_top40_count': 0, 'in_top80_count': 0, 'avg_rank_when_true': 155.133, 'avg_prob_when_true': 0.155, 'in_top20_when_true': 1, 'in_top40_when_true': 1, 'in_top80_when_true': 2, 'accuracy_when_true': 0.0, 'precision': None, 'recall': 0.0, 'f1_score': None}, 'MYC': {'gene_name': 'MYC', 'gene_index': 260, 'total_samples': 3773, 'times_true_source': 10, 'times_predicted_source': 4, 'correct_predictions': 0, 'avg_prediction_prob': 0.179, 'avg_rank': 0.0, 'in_top20_count': 0, 'in_top40_count': 0, 'in_top80_count': 0, 'avg_rank_when_true': 107.8, 'avg_prob_when_true': 0.248, 'in_top20_when_true': 0, 'in_top40_when_true': 1, 'in_top80_when_true': 5, 'accuracy_when_true': 0.0, 'precision': 0.0, 'recall': 0.0, 'f1_score': None}}","{'recall@1': 0.0027, 'recall@10': 0.0345, 'recall@100': 0.3422, 'recall@1000': 1.0, 'ranking_score': 0.7019, 'ranking_score_dcg': 0.1184, 'perc_partially_accurate_predictions': 0.27, 'recall@1_std': 0.0514, 'recall@10_std': 0.1824, 'recall@100_std': 0.4744, 'recall@1000_std': 0.0, 'ranking_score_std': 0.1827, 'ranking_score_dcg_std': 0.0853, 'perc_partially_accurate_predictions_std': 5.14, 'total_samples': 3773, 'avg_topk': 350.969}","{'forward_mae': -1, 'forward_mse': -1, 'forward_r2': -1, 'forward_r2_scgen': -1, 'forward_spearman': -1, 'backward_mae': -1, 'backward_mse': -1, 'backward_r2': -1, 'backward_r2_scgen': -1, 'backward_spearman': -1, 'backward_avg_topk': -1}"
pdgrapher_1029_2014,pdgrapher,dorothea_500_1000,500.0,279.0,1.0,0.499,0.028,117.006,0.234,0.381,-0.295,-2.86,5.458,0.076,0.158,0.24,0.397,"{'IRF3': {'gene_name': 'IRF3', 'gene_index': 195, 'total_samples': 3773, 'times_true_source': 0, 'times_predicted_source': 0, 'correct_predictions': 0, 'avg_prediction_prob': -1.08, 'avg_rank': 0.0, 'in_top20_count': 0, 'in_top40_count': 0, 'in_top80_count': 0, 'avg_rank_when_true': None, 'avg_prob_when_true': None, 'in_top20_when_true': 0, 'in_top40_when_true': 0, 'in_top80_when_true': 0, 'accuracy_when_true': None, 'precision': None, 'recall': None, 'f1_score': None}, 'ATF7': {'gene_name': 'ATF7', 'gene_index': 15, 'total_samples': 3773, 'times_true_source': 10, 'times_predicted_source': 124, 'correct_predictions': 0, 'avg_prediction_prob': 0.386, 'avg_rank': 0.0, 'in_top20_count': 0, 'in_top40_count': 0, 'in_top80_count': 0, 'avg_rank_when_true': 19.0, 'avg_prob_when_true': 1.236, 'in_top20_when_true': 7, 'in_top40_when_true': 9, 'in_top80_when_true': 9, 'accuracy_when_true': 0.0, 'precision': 0.0, 'recall': 0.0, 'f1_score': None}, 'SREBF2': {'gene_name': 'SREBF2', 'gene_index': 402, 'total_samples': 3773, 'times_true_source': 15, 'times_predicted_source': 5, 'correct_predictions': 0, 'avg_prediction_prob': 0.288, 'avg_rank': 0.0, 'in_top20_count': 0, 'in_top40_count': 0, 'in_top80_count': 0, 'avg_rank_when_true': 89.4, 'avg_prob_when_true': 0.29, 'in_top20_when_true': 2, 'in_top40_when_true': 2, 'in_top80_when_true': 6, 'accuracy_when_true': 0.0, 'precision': 0.0, 'recall': 0.0, 'f1_score': None}, 'MYC': {'gene_name': 'MYC', 'gene_index': 260, 'total_samples': 3773, 'times_true_source': 10, 'times_predicted_source': 1, 'correct_predictions': 0, 'avg_prediction_prob': 0.073, 'avg_rank': 0.0, 'in_top20_count': 0, 'in_top40_count': 0, 'in_top80_count': 0, 'avg_rank_when_true': 184.9, 'avg_prob_when_true': 0.111, 'in_top20_when_true': 0, 'in_top40_when_true': 0, 'in_top80_when_true': 1, 'accuracy_when_true': 0.0, 'precision': 0.0, 'recall': 0.0, 'f1_score': None}}","{'recall@1': 0.0042, 'recall@10': 0.0358, 'recall@100': 0.3565, 'recall@1000': 1.0, 'ranking_score': 0.7164, 'ranking_score_dcg': 0.1219, 'perc_partially_accurate_predictions': 0.42, 'recall@1_std': 0.065, 'recall@10_std': 0.1857, 'recall@100_std': 0.479, 'recall@1000_std': 0.0, 'ranking_score_std': 0.1674, 'ranking_score_dcg_std': 0.09, 'perc_partially_accurate_predictions_std': 6.5, 'total_samples': 3773, 'avg_topk': 358.207}","{'forward_mae': -1, 'forward_mse': -1, 'forward_r2': -1, 'forward_r2_scgen': -1, 'forward_spearman': -1, 'backward_mae': -1, 'backward_mse': -1, 'backward_r2': -1, 'backward_r2_scgen': -1, 'backward_spearman': -1, 'backward_avg_topk': -1}"
pdgraphernognn_1029_1442,pdgraphernognn,dorothea_500_1000,500.0,279.0,1.0,0.499,0.009,131.962,0.264,0.083,-0.494,-3.461,1.284,0.028,0.091,0.177,0.325,"{'IRF3': {'gene_name': 'IRF3', 'gene_index': 195, 'total_samples': 3773, 'times_true_source': 0, 'times_predicted_source': 0, 'correct_predictions': 0, 'avg_prediction_prob': -1.676, 'avg_rank': 0.0, 'in_top20_count': 0, 'in_top40_count': 0, 'in_top80_count': 0, 'avg_rank_when_true': None, 'avg_prob_when_true': None, 'in_top20_when_true': 0, 'in_top40_when_true': 0, 'in_top80_when_true': 0, 'accuracy_when_true': None, 'precision': None, 'recall': None, 'f1_score': None}, 'ATF7': {'gene_name': 'ATF7', 'gene_index': 15, 'total_samples': 3773, 'times_true_source': 10, 'times_predicted_source': 0, 'correct_predictions': 0, 'avg_prediction_prob': 0.051, 'avg_rank': 0.0, 'in_top20_count': 0, 'in_top40_count': 0, 'in_top80_count': 0, 'avg_rank_when_true': 137.1, 'avg_prob_when_true': 0.076, 'in_top20_when_true': 1, 'in_top40_when_true': 1, 'in_top80_when_true': 2, 'accuracy_when_true': 0.0, 'precision': None, 'recall': 0.0, 'f1_score': None}, 'SREBF2': {'gene_name': 'SREBF2', 'gene_index': 402, 'total_samples': 3773, 'times_true_source': 15, 'times_predicted_source': 0, 'correct_predictions': 0, 'avg_prediction_prob': 0.058, 'avg_rank': 0.0, 'in_top20_count': 0, 'in_top40_count': 0, 'in_top80_count': 0, 'avg_rank_when_true': 147.933, 'avg_prob_when_true': 0.069, 'in_top20_when_true': 0, 'in_top40_when_true': 1, 'in_top80_when_true': 4, 'accuracy_when_true': 0.0, 'precision': None, 'recall': 0.0, 'f1_score': None}, 'MYC': {'gene_name': 'MYC', 'gene_index': 260, 'total_samples': 3773, 'times_true_source': 10, 'times_predicted_source': 26, 'correct_predictions': 0, 'avg_prediction_prob': 0.09, 'avg_rank': 0.0, 'in_top20_count': 0, 'in_top40_count': 0, 'in_top80_count': 0, 'avg_rank_when_true': 133.9, 'avg_prob_when_true': 0.074, 'in_top20_when_true': 0, 'in_top40_when_true': 0, 'in_top80_when_true': 2, 'accuracy_when_true': 0.0, 'precision': 0.0, 'recall': 0.0, 'f1_score': None}}","{'recall@1': 0.0045, 'recall@10': 0.0374, 'recall@100': 0.357, 'recall@1000': 1.0, 'ranking_score': 0.7203, 'ranking_score_dcg': 0.1234, 'perc_partially_accurate_predictions': 0.45, 'recall@1_std': 0.067, 'recall@10_std': 0.1897, 'recall@100_std': 0.4791, 'recall@1000_std': 0.0, 'ranking_score_std': 0.164, 'ranking_score_dcg_std': 0.0922, 'perc_partially_accurate_predictions_std': 6.7, 'total_samples': 3773, 'avg_topk': 360.1497}","{'forward_mae': -1, 'forward_mse': -1, 'forward_r2': -1, 'forward_r2_scgen': -1, 'forward_spearman': -1, 'backward_mae': -1, 'backward_mse': -1, 'backward_r2': -1, 'backward_r2_scgen': -1, 'backward_spearman': -1, 'backward_avg_topk': -1}"
