filename,model_type,network,num_nodes,num_possible_sources,avg_num_sources,avg_portion_affected,accuracy,avg rank of source,avg norm rank of source,avg prediction for source,avg prediction over all nodes,min prediction over all nodes,max prediction over all nodes,source in top 5,source in top 20,source in top 40,source in top 80,pdgrapher_perturbation_discovery,pdgrapher_response_prediction,gene_specific_metrics
baseline_advanced_random_1103_1511,advanced_random,dorothea_500_1000,,,,,0.003,148.958,0.298,0.004,0.002,0.0,0.009,0.019,0.069,0.144,0.281,,,
baseline_advanced_random_1103_1530,advanced_random,dorothea_500_1000,,,,,0.003,148.958,0.298,0.004,0.002,0.0,0.009,0.019,0.069,0.144,0.281,,,
baseline_advanced_random_1103_1534,advanced_random,dorothea_500_1000,,,,,0.003,148.958,0.298,0.004,0.002,0.0,0.009,0.019,0.069,0.144,0.281,,,
baseline_advanced_random_1104_0922,advanced_random,dorothea_500_1000,,,,,0.003,148.958,0.298,0.004,0.002,0.0,0.009,0.019,0.069,0.144,0.281,,,
baseline_jordan_1103_1511,jordan,dorothea_500_1000,,,,,0.018,247.335,0.495,0.01,0.002,0.0,1.0,0.033,0.075,0.122,0.185,,,
baseline_jordan_1103_1530,jordan,dorothea_500_1000,,,,,0.018,247.335,0.495,0.01,0.002,0.0,1.0,0.033,0.075,0.122,0.185,,,
baseline_jordan_1103_1534,jordan,dorothea_500_1000,,,,,0.018,247.335,0.495,0.01,0.002,0.0,1.0,0.033,0.075,0.122,0.185,,,
baseline_jordan_1104_0922,jordan,dorothea_500_1000,,,,,0.018,247.335,0.495,0.01,0.002,0.0,1.0,0.033,0.075,0.122,0.185,,,
baseline_overlap_1103_1511,overlap,dorothea_500_1000,,,,,0.016,118.904,0.238,0.025,0.002,0.0,0.991,0.178,0.262,0.335,0.476,,,
baseline_overlap_1103_1530,overlap,dorothea_500_1000,,,,,0.016,118.904,0.238,0.025,0.002,0.0,0.991,0.178,0.262,0.335,0.476,,,
baseline_overlap_1103_1534,overlap,dorothea_500_1000,,,,,0.016,118.904,0.238,0.025,0.002,0.0,0.991,0.178,0.262,0.335,0.476,,,
baseline_overlap_1104_0922,overlap,dorothea_500_1000,,,,,0.016,118.904,0.238,0.025,0.002,0.0,0.991,0.178,0.262,0.335,0.476,,,
baseline_random_1103_1511,random,dorothea_500_1000,,,,,0.002,251.509,0.503,0.002,0.002,0.0,0.004,0.01,0.04,0.08,0.159,,,
baseline_random_1103_1530,random,dorothea_500_1000,,,,,0.002,251.509,0.503,0.002,0.002,0.0,0.004,0.01,0.04,0.08,0.159,,,
baseline_random_1103_1534,random,dorothea_500_1000,,,,,0.002,251.509,0.503,0.002,0.002,0.0,0.004,0.01,0.04,0.08,0.159,,,
baseline_random_1104_0922,random,dorothea_500_1000,,,,,0.002,251.509,0.503,0.002,0.002,0.0,0.004,0.01,0.04,0.08,0.159,,,
baseline_smallestSuperset_1103_1511,smallestSuperset,dorothea_500_1000,,,,,0.025,247.865,0.496,0.024,0.002,0.0,1.0,0.034,0.063,0.114,0.177,,,
baseline_smallestSuperset_1103_1530,smallestSuperset,dorothea_500_1000,,,,,0.025,247.865,0.496,0.024,0.002,0.0,1.0,0.034,0.063,0.114,0.177,,,
baseline_smallestSuperset_1103_1534,smallestSuperset,dorothea_500_1000,,,,,0.025,247.865,0.496,0.024,0.002,0.0,1.0,0.034,0.063,0.114,0.177,,,
baseline_smallestSuperset_1104_0922,smallestSuperset,dorothea_500_1000,,,,,0.025,247.865,0.496,0.024,0.002,0.0,1.0,0.034,0.063,0.114,0.177,,,
pdgrapher_1103_1435,pdgrapher,dorothea_500_1000,500.0,279.0,1.0,0.499,0.011,128.669,0.257,0.208,-0.177,-1.985,2.262,0.041,0.117,0.188,0.347,"{'recall@1': 0.0029, 'recall@10': 0.0379, 'recall@100': 0.3671, 'recall@1000': 1.0, 'ranking_score': 0.7193, 'ranking_score_dcg': 0.1222, 'perc_partially_accurate_predictions': 0.29, 'recall@1_std': 0.0539, 'recall@10_std': 0.191, 'recall@100_std': 0.482, 'recall@1000_std': 0.0, 'ranking_score_std': 0.1703, 'ranking_score_dcg_std': 0.0845, 'perc_partially_accurate_predictions_std': 5.39, 'total_samples': 3773, 'avg_topk': 359.6509}","{'forward_mae': -1, 'forward_mse': -1, 'forward_r2': -1, 'forward_r2_scgen': -1, 'forward_spearman': -1, 'backward_mae': -1, 'backward_mse': -1, 'backward_r2': -1, 'backward_r2_scgen': -1, 'backward_spearman': -1, 'backward_avg_topk': -1}","{'IRF3': {'gene_name': 'IRF3', 'gene_index': 195, 'total_samples': 3773, 'times_true_source': 0, 'times_predicted_source': 0, 'correct_predictions': 0, 'avg_prediction_prob': -0.831, 'avg_rank': 0.0, 'in_top20_count': 0, 'in_top40_count': 0, 'in_top80_count': 0, 'avg_rank_when_true': None, 'avg_prob_when_true': None, 'in_top20_when_true': 0, 'in_top40_when_true': 0, 'in_top80_when_true': 0, 'accuracy_when_true': None, 'precision': None, 'recall': None, 'f1_score': None}, 'ATF7': {'gene_name': 'ATF7', 'gene_index': 15, 'total_samples': 3773, 'times_true_source': 10, 'times_predicted_source': 9, 'correct_predictions': 0, 'avg_prediction_prob': 0.145, 'avg_rank': 0.0, 'in_top20_count': 0, 'in_top40_count': 0, 'in_top80_count': 0, 'avg_rank_when_true': 94.0, 'avg_prob_when_true': 0.269, 'in_top20_when_true': 4, 'in_top40_when_true': 4, 'in_top80_when_true': 5, 'accuracy_when_true': 0.0, 'precision': 0.0, 'recall': 0.0, 'f1_score': None}, 'SREBF2': {'gene_name': 'SREBF2', 'gene_index': 402, 'total_samples': 3773, 'times_true_source': 15, 'times_predicted_source': 3, 'correct_predictions': 0, 'avg_prediction_prob': 0.14, 'avg_rank': 0.0, 'in_top20_count': 0, 'in_top40_count': 0, 'in_top80_count': 0, 'avg_rank_when_true': 169.933, 'avg_prob_when_true': 0.125, 'in_top20_when_true': 1, 'in_top40_when_true': 1, 'in_top80_when_true': 1, 'accuracy_when_true': 0.0, 'precision': 0.0, 'recall': 0.0, 'f1_score': None}, 'MYC': {'gene_name': 'MYC', 'gene_index': 260, 'total_samples': 3773, 'times_true_source': 10, 'times_predicted_source': 0, 'correct_predictions': 0, 'avg_prediction_prob': 0.07, 'avg_rank': 0.0, 'in_top20_count': 0, 'in_top40_count': 0, 'in_top80_count': 0, 'avg_rank_when_true': 208.1, 'avg_prob_when_true': 0.04, 'in_top20_when_true': 0, 'in_top40_when_true': 0, 'in_top80_when_true': 0, 'accuracy_when_true': 0.0, 'precision': None, 'recall': 0.0, 'f1_score': None}}"
pdgrapher_1104_0826,pdgrapher,dorothea_500_1000,500.0,279.0,1.0,0.499,0.01,122.368,0.245,0.159,-1.157,-5.66,3.653,0.044,0.124,0.218,0.372,"{'recall@1': 0.0045, 'recall@10': 0.0382, 'recall@100': 0.3634, 'recall@1000': 1.0, 'ranking_score': 0.7195, 'ranking_score_dcg': 0.1243, 'perc_partially_accurate_predictions': 0.45, 'recall@1_std': 0.067, 'recall@10_std': 0.1916, 'recall@100_std': 0.481, 'recall@1000_std': 0.0, 'ranking_score_std': 0.1667, 'ranking_score_dcg_std': 0.0941, 'perc_partially_accurate_predictions_std': 6.7, 'total_samples': 3773, 'avg_topk': 359.7585}","{'forward_mae': -1, 'forward_mse': -1, 'forward_r2': -1, 'forward_r2_scgen': -1, 'forward_spearman': -1, 'backward_mae': -1, 'backward_mse': -1, 'backward_r2': -1, 'backward_r2_scgen': -1, 'backward_spearman': -1, 'backward_avg_topk': -1}","{'IRF3': {'gene_name': 'IRF3', 'gene_index': 195, 'total_samples': 3773, 'times_true_source': 0, 'times_predicted_source': 0, 'correct_predictions': 0, 'avg_prediction_prob': -2.826, 'avg_rank': 0.0, 'in_top20_count': 0, 'in_top40_count': 0, 'in_top80_count': 0, 'avg_rank_when_true': None, 'avg_prob_when_true': None, 'in_top20_when_true': 0, 'in_top40_when_true': 0, 'in_top80_when_true': 0, 'accuracy_when_true': None, 'precision': None, 'recall': None, 'f1_score': None}, 'ATF7': {'gene_name': 'ATF7', 'gene_index': 15, 'total_samples': 3773, 'times_true_source': 10, 'times_predicted_source': 0, 'correct_predictions': 0, 'avg_prediction_prob': 0.066, 'avg_rank': 0.0, 'in_top20_count': 0, 'in_top40_count': 0, 'in_top80_count': 0, 'avg_rank_when_true': 57.1, 'avg_prob_when_true': 0.206, 'in_top20_when_true': 2, 'in_top40_when_true': 5, 'in_top80_when_true': 7, 'accuracy_when_true': 0.0, 'precision': None, 'recall': 0.0, 'f1_score': None}, 'SREBF2': {'gene_name': 'SREBF2', 'gene_index': 402, 'total_samples': 3773, 'times_true_source': 15, 'times_predicted_source': 3, 'correct_predictions': 0, 'avg_prediction_prob': 0.082, 'avg_rank': 0.0, 'in_top20_count': 0, 'in_top40_count': 0, 'in_top80_count': 0, 'avg_rank_when_true': 159.733, 'avg_prob_when_true': 0.128, 'in_top20_when_true': 2, 'in_top40_when_true': 2, 'in_top80_when_true': 4, 'accuracy_when_true': 0.0, 'precision': 0.0, 'recall': 0.0, 'f1_score': None}, 'MYC': {'gene_name': 'MYC', 'gene_index': 260, 'total_samples': 3773, 'times_true_source': 10, 'times_predicted_source': 33, 'correct_predictions': 0, 'avg_prediction_prob': 0.223, 'avg_rank': 0.0, 'in_top20_count': 0, 'in_top40_count': 0, 'in_top80_count': 0, 'avg_rank_when_true': 86.0, 'avg_prob_when_true': 0.156, 'in_top20_when_true': 0, 'in_top40_when_true': 2, 'in_top80_when_true': 4, 'accuracy_when_true': 0.0, 'precision': 0.0, 'recall': 0.0, 'f1_score': None}}"
