filename,model_type,network,num_nodes,num_possible_sources,avg_num_sources,avg_portion_affected,accuracy,avg rank of source,avg prediction for source,avg prediction over all nodes,min prediction over all nodes,max prediction over all nodes,source in top 5,source in top 20,source in top 40,source in top 80,avg norm rank of source,gene_specific_metrics,pdgrapher_perturbation_discovery,pdgrapher_response_prediction
baseline_advanced_random_1021_0343,advanced_random,dorothea_500_550,,,,,0.003,252.213,0.002,0.002,0.0,0.004,0.011,0.033,0.072,0.148,,,,
baseline_advanced_random_1022_1612,advanced_random,dorothea_500_550,,,,,0.003,252.213,0.002,0.002,0.0,0.004,0.011,0.033,0.072,0.148,,,,
baseline_advanced_random_1022_1722,advanced_random,dorothea_500_550,,,,,0.003,252.213,0.002,0.002,0.0,0.004,0.011,0.033,0.072,0.148,,,,
baseline_advanced_random_1025_2104,advanced_random,dorothea_500_550,,,,,0.003,252.213,0.002,0.002,0.0,0.004,0.011,0.033,0.072,0.148,,,,
baseline_advanced_random_1026_1620,advanced_random,dorothea_500_550,,,,,0.003,252.213,0.002,0.002,0.0,0.004,0.011,0.033,0.072,0.148,,,,
baseline_advanced_random_1027_0210,advanced_random,dorothea_500_550,,,,,0.003,252.213,0.002,0.002,0.0,0.004,0.011,0.033,0.072,0.148,,,,
baseline_advanced_random_1027_1126,advanced_random,dorothea_500_550,,,,,0.003,252.213,0.002,0.002,0.0,0.004,0.011,0.033,0.072,0.148,,,,
baseline_advanced_random_1027_1422,advanced_random,dorothea_500_550,,,,,0.003,252.213,0.002,0.002,0.0,0.004,0.011,0.033,0.072,0.148,,,,
baseline_advanced_random_1028_2354,advanced_random,dorothea_500_550,,,,,0.003,252.213,0.002,0.002,0.0,0.004,0.011,0.033,0.072,0.148,0.504,,,
baseline_jordan_1021_0343,jordan,dorothea_500_550,,,,,0.0,251.811,0.001,0.002,0.0,1.0,0.003,0.04,0.076,0.173,,,,
baseline_jordan_1022_1612,jordan,dorothea_500_550,,,,,0.0,251.811,0.001,0.002,0.0,1.0,0.003,0.04,0.076,0.173,,,,
baseline_jordan_1022_1722,jordan,dorothea_500_550,,,,,0.0,251.811,0.001,0.002,0.0,1.0,0.003,0.04,0.076,0.173,,,,
baseline_jordan_1025_2104,jordan,dorothea_500_550,,,,,0.0,251.811,0.001,0.002,0.0,1.0,0.003,0.04,0.076,0.173,,,,
baseline_jordan_1026_1620,jordan,dorothea_500_550,,,,,0.0,251.811,0.001,0.002,0.0,1.0,0.003,0.04,0.076,0.173,,,,
baseline_jordan_1027_0210,jordan,dorothea_500_550,,,,,0.0,251.811,0.001,0.002,0.0,1.0,0.003,0.04,0.076,0.173,,,,
baseline_jordan_1027_1126,jordan,dorothea_500_550,,,,,0.0,251.811,0.001,0.002,0.0,1.0,0.003,0.04,0.076,0.173,,,,
baseline_jordan_1027_1422,jordan,dorothea_500_550,,,,,0.0,251.811,0.001,0.002,0.0,1.0,0.003,0.04,0.076,0.173,,,,
baseline_jordan_1028_2354,jordan,dorothea_500_550,,,,,0.0,251.811,0.001,0.002,0.0,1.0,0.003,0.04,0.076,0.173,0.504,,,
baseline_overlap_1021_0343,overlap,dorothea_500_550,,,,,0.006,251.932,0.002,0.002,0.002,0.002,0.019,0.05,0.1,0.157,,,,
baseline_overlap_1022_1612,overlap,dorothea_500_550,,,,,0.006,251.932,0.002,0.002,0.002,0.002,0.019,0.05,0.1,0.157,,,,
baseline_overlap_1022_1722,overlap,dorothea_500_550,,,,,0.006,251.932,0.002,0.002,0.002,0.002,0.019,0.05,0.1,0.157,,,,
baseline_overlap_1025_2104,overlap,dorothea_500_550,,,,,0.006,251.932,0.002,0.002,0.002,0.002,0.019,0.05,0.1,0.157,,,,
baseline_overlap_1026_1620,overlap,dorothea_500_550,,,,,0.006,251.932,0.002,0.002,0.002,0.002,0.019,0.05,0.1,0.157,,,,
baseline_overlap_1027_0210,overlap,dorothea_500_550,,,,,0.006,251.932,0.002,0.002,0.002,0.002,0.019,0.05,0.1,0.157,,,,
baseline_overlap_1027_1126,overlap,dorothea_500_550,,,,,0.006,251.932,0.002,0.002,0.002,0.002,0.019,0.05,0.1,0.157,,,,
baseline_overlap_1027_1422,overlap,dorothea_500_550,,,,,0.006,251.932,0.002,0.002,0.002,0.002,0.019,0.05,0.1,0.157,,,,
baseline_overlap_1028_2354,overlap,dorothea_500_550,,,,,0.006,251.932,0.002,0.002,0.002,0.002,0.019,0.05,0.1,0.157,0.504,,,
baseline_random_1021_0343,random,dorothea_500_550,,,,,0.003,252.213,0.002,0.002,0.0,0.004,0.011,0.033,0.072,0.148,,,,
baseline_random_1022_1612,random,dorothea_500_550,,,,,0.003,252.213,0.002,0.002,0.0,0.004,0.011,0.033,0.072,0.148,,,,
baseline_random_1022_1722,random,dorothea_500_550,,,,,0.003,252.213,0.002,0.002,0.0,0.004,0.011,0.033,0.072,0.148,,,,
baseline_random_1025_2104,random,dorothea_500_550,,,,,0.003,252.213,0.002,0.002,0.0,0.004,0.011,0.033,0.072,0.148,,,,
baseline_random_1026_1620,random,dorothea_500_550,,,,,0.003,252.213,0.002,0.002,0.0,0.004,0.011,0.033,0.072,0.148,,,,
baseline_random_1027_0210,random,dorothea_500_550,,,,,0.003,252.213,0.002,0.002,0.0,0.004,0.011,0.033,0.072,0.148,,,,
baseline_random_1027_1126,random,dorothea_500_550,,,,,0.003,252.213,0.002,0.002,0.0,0.004,0.011,0.033,0.072,0.148,,,,
baseline_random_1027_1422,random,dorothea_500_550,,,,,0.003,252.213,0.002,0.002,0.0,0.004,0.011,0.033,0.072,0.148,,,,
baseline_random_1028_2354,random,dorothea_500_550,,,,,0.003,252.213,0.002,0.002,0.0,0.004,0.011,0.033,0.072,0.148,0.504,,,
baseline_smallestSuperset_1021_0343,smallestSuperset,dorothea_500_550,,,,,0.006,251.932,0.002,0.002,0.002,0.002,0.019,0.05,0.1,0.157,,,,
baseline_smallestSuperset_1022_1612,smallestSuperset,dorothea_500_550,,,,,0.006,251.932,0.002,0.002,0.002,0.002,0.019,0.05,0.1,0.157,,,,
baseline_smallestSuperset_1022_1722,smallestSuperset,dorothea_500_550,,,,,0.006,251.932,0.002,0.002,0.002,0.002,0.019,0.05,0.1,0.157,,,,
baseline_smallestSuperset_1025_2104,smallestSuperset,dorothea_500_550,,,,,0.006,251.932,0.002,0.002,0.002,0.002,0.019,0.05,0.1,0.157,,,,
baseline_smallestSuperset_1026_1620,smallestSuperset,dorothea_500_550,,,,,0.006,251.932,0.002,0.002,0.002,0.002,0.019,0.05,0.1,0.157,,,,
baseline_smallestSuperset_1027_0210,smallestSuperset,dorothea_500_550,,,,,0.006,251.932,0.002,0.002,0.002,0.002,0.019,0.05,0.1,0.157,,,,
baseline_smallestSuperset_1027_1126,smallestSuperset,dorothea_500_550,,,,,0.006,251.932,0.002,0.002,0.002,0.002,0.019,0.05,0.1,0.157,,,,
baseline_smallestSuperset_1027_1422,smallestSuperset,dorothea_500_550,,,,,0.006,251.932,0.002,0.002,0.002,0.002,0.019,0.05,0.1,0.157,,,,
baseline_smallestSuperset_1028_2354,smallestSuperset,dorothea_500_550,,,,,0.006,251.932,0.002,0.002,0.002,0.002,0.019,0.05,0.1,0.157,0.504,,,
gat_1021_0338,gat,dorothea_500_550,500.0,246.0,1.0,0.032,0.002,238.243,0.019,0.019,0.009,0.04,0.011,0.048,0.088,0.167,,"{'IRF3': {'gene_name': 'IRF3', 'gene_index': 195, 'total_samples': 3169, 'times_true_source': 0, 'times_predicted_source': 0, 'correct_predictions': 0, 'avg_prediction_prob': 0.018, 'avg_rank': 0.0, 'in_top20_count': 0, 'in_top40_count': 0, 'in_top80_count': 0, 'avg_rank_when_true': None, 'avg_prob_when_true': None, 'in_top20_when_true': 0, 'in_top40_when_true': 0, 'in_top80_when_true': 0, 'accuracy_when_true': None, 'precision': None, 'recall': None, 'f1_score': None}, 'ATF7': {'gene_name': 'ATF7', 'gene_index': 15, 'total_samples': 3169, 'times_true_source': 9, 'times_predicted_source': 1, 'correct_predictions': 0, 'avg_prediction_prob': 0.019, 'avg_rank': 0.0, 'in_top20_count': 0, 'in_top40_count': 0, 'in_top80_count': 0, 'avg_rank_when_true': 188.222, 'avg_prob_when_true': 0.02, 'in_top20_when_true': 1, 'in_top40_when_true': 1, 'in_top80_when_true': 2, 'accuracy_when_true': 0.0, 'precision': 0.0, 'recall': 0.0, 'f1_score': None}, 'SREBF2': {'gene_name': 'SREBF2', 'gene_index': 402, 'total_samples': 3169, 'times_true_source': 12, 'times_predicted_source': 4, 'correct_predictions': 0, 'avg_prediction_prob': 0.02, 'avg_rank': 0.0, 'in_top20_count': 0, 'in_top40_count': 0, 'in_top80_count': 0, 'avg_rank_when_true': 141.917, 'avg_prob_when_true': 0.021, 'in_top20_when_true': 2, 'in_top40_when_true': 3, 'in_top80_when_true': 3, 'accuracy_when_true': 0.0, 'precision': 0.0, 'recall': 0.0, 'f1_score': None}, 'MYC': {'gene_name': 'MYC', 'gene_index': 260, 'total_samples': 3169, 'times_true_source': 0, 'times_predicted_source': 1, 'correct_predictions': 0, 'avg_prediction_prob': 0.019, 'avg_rank': 0.0, 'in_top20_count': 0, 'in_top40_count': 0, 'in_top80_count': 0, 'avg_rank_when_true': None, 'avg_prob_when_true': None, 'in_top20_when_true': 0, 'in_top40_when_true': 0, 'in_top80_when_true': 0, 'accuracy_when_true': None, 'precision': 0.0, 'recall': None, 'f1_score': None}}",,
gat_1026_1623,gat,dorothea_500_550,500.0,246.0,1.0,0.032,0.002,238.108,0.019,0.019,0.009,0.04,0.011,0.05,0.089,0.171,,"{'IRF3': {'gene_name': 'IRF3', 'gene_index': 195, 'total_samples': 3169, 'times_true_source': 0, 'times_predicted_source': 0, 'correct_predictions': 0, 'avg_prediction_prob': 0.018, 'avg_rank': 0.0, 'in_top20_count': 0, 'in_top40_count': 0, 'in_top80_count': 0, 'avg_rank_when_true': None, 'avg_prob_when_true': None, 'in_top20_when_true': 0, 'in_top40_when_true': 0, 'in_top80_when_true': 0, 'accuracy_when_true': None, 'precision': None, 'recall': None, 'f1_score': None}, 'ATF7': {'gene_name': 'ATF7', 'gene_index': 15, 'total_samples': 3169, 'times_true_source': 9, 'times_predicted_source': 1, 'correct_predictions': 0, 'avg_prediction_prob': 0.019, 'avg_rank': 0.0, 'in_top20_count': 0, 'in_top40_count': 0, 'in_top80_count': 0, 'avg_rank_when_true': 169.0, 'avg_prob_when_true': 0.02, 'in_top20_when_true': 1, 'in_top40_when_true': 1, 'in_top80_when_true': 1, 'accuracy_when_true': 0.0, 'precision': 0.0, 'recall': 0.0, 'f1_score': None}, 'SREBF2': {'gene_name': 'SREBF2', 'gene_index': 402, 'total_samples': 3169, 'times_true_source': 12, 'times_predicted_source': 4, 'correct_predictions': 0, 'avg_prediction_prob': 0.02, 'avg_rank': 0.0, 'in_top20_count': 0, 'in_top40_count': 0, 'in_top80_count': 0, 'avg_rank_when_true': 142.0, 'avg_prob_when_true': 0.02, 'in_top20_when_true': 1, 'in_top40_when_true': 3, 'in_top80_when_true': 3, 'accuracy_when_true': 0.0, 'precision': 0.0, 'recall': 0.0, 'f1_score': None}, 'MYC': {'gene_name': 'MYC', 'gene_index': 260, 'total_samples': 3169, 'times_true_source': 0, 'times_predicted_source': 1, 'correct_predictions': 0, 'avg_prediction_prob': 0.019, 'avg_rank': 0.0, 'in_top20_count': 0, 'in_top40_count': 0, 'in_top80_count': 0, 'avg_rank_when_true': None, 'avg_prob_when_true': None, 'in_top20_when_true': 0, 'in_top40_when_true': 0, 'in_top80_when_true': 0, 'accuracy_when_true': None, 'precision': 0.0, 'recall': None, 'f1_score': None}}",,
gat_1028_1528,gat,dorothea_500_550,500.0,246.0,1.0,0.032,0.002,236.333,0.019,0.019,0.009,0.045,0.011,0.044,0.086,0.184,,"{'IRF3': {'gene_name': 'IRF3', 'gene_index': 195, 'total_samples': 3169, 'times_true_source': 0, 'times_predicted_source': 0, 'correct_predictions': 0, 'avg_prediction_prob': 0.018, 'avg_rank': 0.0, 'in_top20_count': 0, 'in_top40_count': 0, 'in_top80_count': 0, 'avg_rank_when_true': None, 'avg_prob_when_true': None, 'in_top20_when_true': 0, 'in_top40_when_true': 0, 'in_top80_when_true': 0, 'accuracy_when_true': None, 'precision': None, 'recall': None, 'f1_score': None}, 'ATF7': {'gene_name': 'ATF7', 'gene_index': 15, 'total_samples': 3169, 'times_true_source': 9, 'times_predicted_source': 1, 'correct_predictions': 0, 'avg_prediction_prob': 0.019, 'avg_rank': 0.0, 'in_top20_count': 0, 'in_top40_count': 0, 'in_top80_count': 0, 'avg_rank_when_true': 178.222, 'avg_prob_when_true': 0.02, 'in_top20_when_true': 1, 'in_top40_when_true': 1, 'in_top80_when_true': 2, 'accuracy_when_true': 0.0, 'precision': 0.0, 'recall': 0.0, 'f1_score': None}, 'SREBF2': {'gene_name': 'SREBF2', 'gene_index': 402, 'total_samples': 3169, 'times_true_source': 12, 'times_predicted_source': 9, 'correct_predictions': 0, 'avg_prediction_prob': 0.02, 'avg_rank': 0.0, 'in_top20_count': 0, 'in_top40_count': 0, 'in_top80_count': 0, 'avg_rank_when_true': 119.5, 'avg_prob_when_true': 0.021, 'in_top20_when_true': 2, 'in_top40_when_true': 3, 'in_top80_when_true': 5, 'accuracy_when_true': 0.0, 'precision': 0.0, 'recall': 0.0, 'f1_score': None}, 'MYC': {'gene_name': 'MYC', 'gene_index': 260, 'total_samples': 3169, 'times_true_source': 0, 'times_predicted_source': 1, 'correct_predictions': 0, 'avg_prediction_prob': 0.018, 'avg_rank': 0.0, 'in_top20_count': 0, 'in_top40_count': 0, 'in_top80_count': 0, 'avg_rank_when_true': None, 'avg_prob_when_true': None, 'in_top20_when_true': 0, 'in_top40_when_true': 0, 'in_top80_when_true': 0, 'accuracy_when_true': None, 'precision': 0.0, 'recall': None, 'f1_score': None}}",,
gat_1029_0000,gat,dorothea_500_550,500.0,246.0,1.0,0.032,0.002,238.512,0.019,0.019,0.01,0.041,0.012,0.051,0.088,0.173,0.477,"{'IRF3': {'gene_name': 'IRF3', 'gene_index': 195, 'total_samples': 3169, 'times_true_source': 0, 'times_predicted_source': 0, 'correct_predictions': 0, 'avg_prediction_prob': 0.018, 'avg_rank': 0.0, 'in_top20_count': 0, 'in_top40_count': 0, 'in_top80_count': 0, 'avg_rank_when_true': None, 'avg_prob_when_true': None, 'in_top20_when_true': 0, 'in_top40_when_true': 0, 'in_top80_when_true': 0, 'accuracy_when_true': None, 'precision': None, 'recall': None, 'f1_score': None}, 'ATF7': {'gene_name': 'ATF7', 'gene_index': 15, 'total_samples': 3169, 'times_true_source': 9, 'times_predicted_source': 1, 'correct_predictions': 0, 'avg_prediction_prob': 0.019, 'avg_rank': 0.0, 'in_top20_count': 0, 'in_top40_count': 0, 'in_top80_count': 0, 'avg_rank_when_true': 191.556, 'avg_prob_when_true': 0.02, 'in_top20_when_true': 1, 'in_top40_when_true': 1, 'in_top80_when_true': 1, 'accuracy_when_true': 0.0, 'precision': 0.0, 'recall': 0.0, 'f1_score': None}, 'SREBF2': {'gene_name': 'SREBF2', 'gene_index': 402, 'total_samples': 3169, 'times_true_source': 12, 'times_predicted_source': 3, 'correct_predictions': 0, 'avg_prediction_prob': 0.02, 'avg_rank': 0.0, 'in_top20_count': 0, 'in_top40_count': 0, 'in_top80_count': 0, 'avg_rank_when_true': 114.75, 'avg_prob_when_true': 0.021, 'in_top20_when_true': 2, 'in_top40_when_true': 3, 'in_top80_when_true': 4, 'accuracy_when_true': 0.0, 'precision': 0.0, 'recall': 0.0, 'f1_score': None}, 'MYC': {'gene_name': 'MYC', 'gene_index': 260, 'total_samples': 3169, 'times_true_source': 0, 'times_predicted_source': 1, 'correct_predictions': 0, 'avg_prediction_prob': 0.019, 'avg_rank': 0.0, 'in_top20_count': 0, 'in_top40_count': 0, 'in_top80_count': 0, 'avg_rank_when_true': None, 'avg_prob_when_true': None, 'in_top20_when_true': 0, 'in_top40_when_true': 0, 'in_top80_when_true': 0, 'accuracy_when_true': None, 'precision': 0.0, 'recall': None, 'f1_score': None}}",,
