filename,model_type,network,num_nodes,num_possible_sources,avg_num_sources,avg_portion_affected,accuracy,avg rank of source,avg prediction for source,avg prediction over all nodes,min prediction over all nodes,max prediction over all nodes,source in top 5,source in top 20,source in top 40,source in top 80,gene_specific_metrics,pdgrapher_perturbation_discovery,pdgrapher_response_prediction
baseline_advanced_random_1016_1808,advanced_random,dorothea_100_150,,,,,0.005,28.797,0.017,0.01,0.0,0.038,0.06,0.332,0.737,1.0,,,
baseline_advanced_random_1016_2202,advanced_random,dorothea_100_150,,,,,0.005,28.797,0.017,0.01,0.0,0.038,0.06,0.332,0.737,1.0,,,
baseline_advanced_random_1017_0255,advanced_random,dorothea_100_150,,,,,0.005,28.797,0.017,0.01,0.0,0.038,0.06,0.332,0.737,1.0,,,
baseline_advanced_random_1017_0652,advanced_random,dorothea_100_150,,,,,0.005,28.797,0.017,0.01,0.0,0.038,0.06,0.332,0.737,1.0,,,
baseline_advanced_random_1017_1015,advanced_random,dorothea_100_150,,,,,0.005,28.797,0.017,0.01,0.0,0.038,0.06,0.332,0.737,1.0,,,
baseline_jordan_1016_1808,jordan,dorothea_100_150,,,,,0.539,3.323,0.325,0.01,0.0,1.0,0.765,0.949,1.0,1.0,,,
baseline_jordan_1016_2202,jordan,dorothea_100_150,,,,,0.539,3.323,0.325,0.01,0.0,1.0,0.765,0.949,1.0,1.0,,,
baseline_jordan_1017_0255,jordan,dorothea_100_150,,,,,0.539,3.323,0.325,0.01,0.0,1.0,0.765,0.949,1.0,1.0,,,
baseline_jordan_1017_0652,jordan,dorothea_100_150,,,,,0.539,3.323,0.325,0.01,0.0,1.0,0.765,0.949,1.0,1.0,,,
baseline_jordan_1017_1015,jordan,dorothea_100_150,,,,,0.539,3.323,0.325,0.01,0.0,1.0,0.765,0.949,1.0,1.0,,,
baseline_overlap_1016_1808,overlap,dorothea_100_150,,,,,0.336,6.641,0.032,0.01,0.0,0.496,0.488,0.995,1.0,1.0,,,
baseline_overlap_1016_2202,overlap,dorothea_100_150,,,,,0.336,6.641,0.032,0.01,0.0,0.496,0.488,0.995,1.0,1.0,,,
baseline_overlap_1017_0255,overlap,dorothea_100_150,,,,,0.336,6.641,0.032,0.01,0.0,0.496,0.488,0.995,1.0,1.0,,,
baseline_overlap_1017_0652,overlap,dorothea_100_150,,,,,0.336,6.641,0.032,0.01,0.0,0.496,0.488,0.995,1.0,1.0,,,
baseline_overlap_1017_1015,overlap,dorothea_100_150,,,,,0.336,6.641,0.032,0.01,0.0,0.496,0.488,0.995,1.0,1.0,,,
baseline_random_1016_1808,random,dorothea_100_150,,,,,0.005,47.009,0.01,0.01,0.0,0.023,0.028,0.217,0.424,0.829,,,
baseline_random_1016_2202,random,dorothea_100_150,,,,,0.005,47.009,0.01,0.01,0.0,0.023,0.028,0.217,0.424,0.829,,,
baseline_random_1017_0255,random,dorothea_100_150,,,,,0.005,47.009,0.01,0.01,0.0,0.023,0.028,0.217,0.424,0.829,,,
baseline_random_1017_0652,random,dorothea_100_150,,,,,0.005,47.009,0.01,0.01,0.0,0.023,0.028,0.217,0.424,0.829,,,
baseline_random_1017_1015,random,dorothea_100_150,,,,,0.005,47.009,0.01,0.01,0.0,0.023,0.028,0.217,0.424,0.829,,,
baseline_smallestSuperset_1016_1808,smallestSuperset,dorothea_100_150,,,,,0.327,7.06,0.337,0.01,0.0,1.0,0.442,1.0,1.0,1.0,,,
baseline_smallestSuperset_1016_2202,smallestSuperset,dorothea_100_150,,,,,0.327,7.06,0.337,0.01,0.0,1.0,0.442,1.0,1.0,1.0,,,
baseline_smallestSuperset_1017_0255,smallestSuperset,dorothea_100_150,,,,,0.327,7.06,0.337,0.01,0.0,1.0,0.442,1.0,1.0,1.0,,,
baseline_smallestSuperset_1017_0652,smallestSuperset,dorothea_100_150,,,,,0.327,7.06,0.337,0.01,0.0,1.0,0.442,1.0,1.0,1.0,,,
baseline_smallestSuperset_1017_1015,smallestSuperset,dorothea_100_150,,,,,0.327,7.06,0.337,0.01,0.0,1.0,0.442,1.0,1.0,1.0,,,
