filename,model_type,network,num_nodes,num_possible_sources,avg_num_sources,avg_portion_affected,accuracy,avg rank of source,avg prediction for source,avg prediction over all nodes,min prediction over all nodes,max prediction over all nodes,source in top 5,source in top 20,source in top 40,source in top 80,gene_specific_metrics,pdgrapher_perturbation_discovery,pdgrapher_response_prediction
baseline_advanced_random_1016_1808,advanced_random,dorothea_100_150,,,,,0.005,47.009,0.01,0.01,0.0,0.023,0.028,0.217,0.424,0.829,,,
baseline_advanced_random_1016_2202,advanced_random,dorothea_100_150,,,,,0.005,47.009,0.01,0.01,0.0,0.023,0.028,0.217,0.424,0.829,,,
baseline_advanced_random_1017_0255,advanced_random,dorothea_100_150,,,,,0.005,47.009,0.01,0.01,0.0,0.023,0.028,0.217,0.424,0.829,,,
baseline_advanced_random_1017_0652,advanced_random,dorothea_100_150,,,,,0.005,47.009,0.01,0.01,0.0,0.023,0.028,0.217,0.424,0.829,,,
baseline_advanced_random_1017_1015,advanced_random,dorothea_100_150,,,,,0.005,47.009,0.01,0.01,0.0,0.023,0.028,0.217,0.424,0.829,,,
baseline_jordan_1016_1808,jordan,dorothea_100_150,,,,,0.041,16.23,0.036,0.01,0.0,0.5,0.203,0.599,0.982,1.0,,,
baseline_jordan_1016_2202,jordan,dorothea_100_150,,,,,0.041,16.23,0.036,0.01,0.0,0.5,0.203,0.599,0.982,1.0,,,
baseline_jordan_1017_0255,jordan,dorothea_100_150,,,,,0.041,16.23,0.036,0.01,0.0,0.5,0.203,0.599,0.982,1.0,,,
baseline_jordan_1017_0652,jordan,dorothea_100_150,,,,,0.041,16.23,0.036,0.01,0.0,0.5,0.203,0.599,0.982,1.0,,,
baseline_jordan_1017_1015,jordan,dorothea_100_150,,,,,0.041,16.23,0.036,0.01,0.0,0.5,0.203,0.599,0.982,1.0,,,
baseline_overlap_1016_1808,overlap,dorothea_100_150,,,,,0.041,16.23,0.036,0.01,0.0,0.5,0.203,0.599,0.982,1.0,,,
baseline_overlap_1016_2202,overlap,dorothea_100_150,,,,,0.041,16.23,0.036,0.01,0.0,0.5,0.203,0.599,0.982,1.0,,,
baseline_overlap_1017_0255,overlap,dorothea_100_150,,,,,0.041,16.23,0.036,0.01,0.0,0.5,0.203,0.599,0.982,1.0,,,
baseline_overlap_1017_0652,overlap,dorothea_100_150,,,,,0.041,16.23,0.036,0.01,0.0,0.5,0.203,0.599,0.982,1.0,,,
baseline_overlap_1017_1015,overlap,dorothea_100_150,,,,,0.041,16.23,0.036,0.01,0.0,0.5,0.203,0.599,0.982,1.0,,,
baseline_random_1016_1808,random,dorothea_100_150,,,,,0.005,47.009,0.01,0.01,0.0,0.023,0.028,0.217,0.424,0.829,,,
baseline_random_1016_2202,random,dorothea_100_150,,,,,0.005,47.009,0.01,0.01,0.0,0.023,0.028,0.217,0.424,0.829,,,
baseline_random_1017_0255,random,dorothea_100_150,,,,,0.005,47.009,0.01,0.01,0.0,0.023,0.028,0.217,0.424,0.829,,,
baseline_random_1017_0652,random,dorothea_100_150,,,,,0.005,47.009,0.01,0.01,0.0,0.023,0.028,0.217,0.424,0.829,,,
baseline_random_1017_1015,random,dorothea_100_150,,,,,0.005,47.009,0.01,0.01,0.0,0.023,0.028,0.217,0.424,0.829,,,
baseline_smallestSuperset_1016_1808,smallestSuperset,dorothea_100_150,,,,,0.0,49.945,0.01,0.01,0.01,0.01,0.097,0.258,0.35,0.719,,,
baseline_smallestSuperset_1016_2202,smallestSuperset,dorothea_100_150,,,,,0.0,49.945,0.01,0.01,0.01,0.01,0.097,0.258,0.35,0.719,,,
baseline_smallestSuperset_1017_0255,smallestSuperset,dorothea_100_150,,,,,0.0,49.945,0.01,0.01,0.01,0.01,0.097,0.258,0.35,0.719,,,
baseline_smallestSuperset_1017_0652,smallestSuperset,dorothea_100_150,,,,,0.0,49.945,0.01,0.01,0.01,0.01,0.097,0.258,0.35,0.719,,,
baseline_smallestSuperset_1017_1015,smallestSuperset,dorothea_100_150,,,,,0.0,49.945,0.01,0.01,0.01,0.01,0.097,0.258,0.35,0.719,,,
gat_1016_1809,gat,dorothea_100_150,100.0,62.0,1.0,0.336,0.051,15.175,0.285,0.096,0.0,0.308,0.194,0.705,0.963,1.0,"{'IRF3': {'gene_name': 'IRF3', 'gene_index': 37, 'total_samples': 217, 'times_true_source': 0, 'times_predicted_source': 1, 'correct_predictions': 0, 'avg_prediction_prob': 0.121, 'avg_rank': 0.0, 'in_top20_count': 0, 'in_top40_count': 0, 'in_top80_count': 0, 'avg_rank_when_true': None, 'avg_prob_when_true': None, 'in_top20_when_true': 0, 'in_top40_when_true': 0, 'in_top80_when_true': 0, 'accuracy_when_true': None, 'precision': 0.0, 'recall': None, 'f1_score': None}, 'ATF7': {'gene_name': 'ATF7', 'gene_index': 3, 'total_samples': 217, 'times_true_source': 0, 'times_predicted_source': 0, 'correct_predictions': 0, 'avg_prediction_prob': 0.006, 'avg_rank': 0.0, 'in_top20_count': 0, 'in_top40_count': 0, 'in_top80_count': 0, 'avg_rank_when_true': None, 'avg_prob_when_true': None, 'in_top20_when_true': 0, 'in_top40_when_true': 0, 'in_top80_when_true': 0, 'accuracy_when_true': None, 'precision': None, 'recall': None, 'f1_score': None}, 'MYC': {'gene_name': 'MYC', 'gene_index': 50, 'total_samples': 217, 'times_true_source': 0, 'times_predicted_source': 0, 'correct_predictions': 0, 'avg_prediction_prob': 0.263, 'avg_rank': 0.0, 'in_top20_count': 0, 'in_top40_count': 0, 'in_top80_count': 0, 'avg_rank_when_true': None, 'avg_prob_when_true': None, 'in_top20_when_true': 0, 'in_top40_when_true': 0, 'in_top80_when_true': 0, 'accuracy_when_true': None, 'precision': None, 'recall': None, 'f1_score': None}}",,
gat_1016_2209,gat,dorothea_100_150,100.0,62.0,1.0,0.336,0.051,15.175,0.288,0.097,0.0,0.305,0.194,0.705,0.963,1.0,"{'IRF3': {'gene_name': 'IRF3', 'gene_index': 37, 'total_samples': 217, 'times_true_source': 0, 'times_predicted_source': 1, 'correct_predictions': 0, 'avg_prediction_prob': 0.124, 'avg_rank': 0.0, 'in_top20_count': 0, 'in_top40_count': 0, 'in_top80_count': 0, 'avg_rank_when_true': None, 'avg_prob_when_true': None, 'in_top20_when_true': 0, 'in_top40_when_true': 0, 'in_top80_when_true': 0, 'accuracy_when_true': None, 'precision': 0.0, 'recall': None, 'f1_score': None}, 'ATF7': {'gene_name': 'ATF7', 'gene_index': 3, 'total_samples': 217, 'times_true_source': 0, 'times_predicted_source': 0, 'correct_predictions': 0, 'avg_prediction_prob': 0.006, 'avg_rank': 0.0, 'in_top20_count': 0, 'in_top40_count': 0, 'in_top80_count': 0, 'avg_rank_when_true': None, 'avg_prob_when_true': None, 'in_top20_when_true': 0, 'in_top40_when_true': 0, 'in_top80_when_true': 0, 'accuracy_when_true': None, 'precision': None, 'recall': None, 'f1_score': None}, 'MYC': {'gene_name': 'MYC', 'gene_index': 50, 'total_samples': 217, 'times_true_source': 0, 'times_predicted_source': 0, 'correct_predictions': 0, 'avg_prediction_prob': 0.26, 'avg_rank': 0.0, 'in_top20_count': 0, 'in_top40_count': 0, 'in_top80_count': 0, 'avg_rank_when_true': None, 'avg_prob_when_true': None, 'in_top20_when_true': 0, 'in_top40_when_true': 0, 'in_top80_when_true': 0, 'accuracy_when_true': None, 'precision': None, 'recall': None, 'f1_score': None}}",,
