filename,model_type,network,num_nodes,num_possible_sources,avg_num_sources,avg_portion_affected,accuracy,avg rank of source,avg prediction for source,avg prediction over all nodes,min prediction over all nodes,max prediction over all nodes,source in top 5,source in top 20,source in top 40,source in top 80,gene_specific_metrics,pdgrapher_perturbation_discovery,pdgrapher_response_prediction
baseline_advanced_random_1016_1830,advanced_random,dorothea_100_500,,,,,0.008,52.266,0.009,0.01,0.0,0.024,0.049,0.173,0.37,0.768,,,
baseline_advanced_random_1016_2203,advanced_random,dorothea_100_500,,,,,0.008,52.266,0.009,0.01,0.0,0.024,0.049,0.173,0.37,0.768,,,
baseline_advanced_random_1017_0256,advanced_random,dorothea_100_500,,,,,0.008,52.266,0.009,0.01,0.0,0.024,0.049,0.173,0.37,0.768,,,
baseline_advanced_random_1017_0653,advanced_random,dorothea_100_500,,,,,0.008,52.266,0.009,0.01,0.0,0.024,0.049,0.173,0.37,0.768,,,
baseline_advanced_random_1017_1016,advanced_random,dorothea_100_500,,,,,0.008,52.266,0.009,0.01,0.0,0.024,0.049,0.173,0.37,0.768,,,
baseline_jordan_1016_1830,jordan,dorothea_100_500,,,,,0.009,49.141,0.01,0.01,0.004,0.02,0.051,0.204,0.395,0.811,,,
baseline_jordan_1016_2203,jordan,dorothea_100_500,,,,,0.009,49.141,0.01,0.01,0.004,0.02,0.051,0.204,0.395,0.811,,,
baseline_jordan_1017_0256,jordan,dorothea_100_500,,,,,0.009,49.141,0.01,0.01,0.004,0.02,0.051,0.204,0.395,0.811,,,
baseline_jordan_1017_0653,jordan,dorothea_100_500,,,,,0.009,49.141,0.01,0.01,0.004,0.02,0.051,0.204,0.395,0.811,,,
baseline_jordan_1017_1016,jordan,dorothea_100_500,,,,,0.009,49.141,0.01,0.01,0.004,0.02,0.051,0.204,0.395,0.811,,,
baseline_overlap_1016_1830,overlap,dorothea_100_500,,,,,0.005,49.561,0.01,0.01,0.01,0.01,0.051,0.208,0.405,0.778,,,
baseline_overlap_1016_2203,overlap,dorothea_100_500,,,,,0.005,49.561,0.01,0.01,0.01,0.01,0.051,0.208,0.405,0.778,,,
baseline_overlap_1017_0256,overlap,dorothea_100_500,,,,,0.005,49.561,0.01,0.01,0.01,0.01,0.051,0.208,0.405,0.778,,,
baseline_overlap_1017_0653,overlap,dorothea_100_500,,,,,0.005,49.561,0.01,0.01,0.01,0.01,0.051,0.208,0.405,0.778,,,
baseline_overlap_1017_1016,overlap,dorothea_100_500,,,,,0.005,49.561,0.01,0.01,0.01,0.01,0.051,0.208,0.405,0.778,,,
baseline_random_1016_1830,random,dorothea_100_500,,,,,0.008,52.266,0.009,0.01,0.0,0.024,0.049,0.173,0.37,0.768,,,
baseline_random_1016_2203,random,dorothea_100_500,,,,,0.008,52.266,0.009,0.01,0.0,0.024,0.049,0.173,0.37,0.768,,,
baseline_random_1017_0256,random,dorothea_100_500,,,,,0.008,52.266,0.009,0.01,0.0,0.024,0.049,0.173,0.37,0.768,,,
baseline_random_1017_0653,random,dorothea_100_500,,,,,0.008,52.266,0.009,0.01,0.0,0.024,0.049,0.173,0.37,0.768,,,
baseline_random_1017_1016,random,dorothea_100_500,,,,,0.008,52.266,0.009,0.01,0.0,0.024,0.049,0.173,0.37,0.768,,,
baseline_smallestSuperset_1016_1830,smallestSuperset,dorothea_100_500,,,,,0.005,49.561,0.01,0.01,0.01,0.01,0.051,0.208,0.405,0.778,,,
