filename,model_type,network,num_nodes,num_possible_sources,avg_num_sources,avg_portion_affected,accuracy,avg rank of source,avg prediction for source,avg prediction over all nodes,min prediction over all nodes,max prediction over all nodes,source in top 5,source in top 20,source in top 40,source in top 80,gene_specific_metrics,pdgrapher_perturbation_discovery,pdgrapher_response_prediction
baseline_advanced_random_1016_1830,advanced_random,dorothea_100_500,,,,,0.009,46.357,0.011,0.01,0.0,0.026,0.055,0.193,0.432,0.876,,,
baseline_advanced_random_1016_2203,advanced_random,dorothea_100_500,,,,,0.009,46.357,0.011,0.01,0.0,0.026,0.055,0.193,0.432,0.876,,,
baseline_advanced_random_1017_0256,advanced_random,dorothea_100_500,,,,,0.009,46.357,0.011,0.01,0.0,0.026,0.055,0.193,0.432,0.876,,,
baseline_advanced_random_1017_0653,advanced_random,dorothea_100_500,,,,,0.009,46.357,0.011,0.01,0.0,0.026,0.055,0.193,0.432,0.876,,,
baseline_advanced_random_1017_1016,advanced_random,dorothea_100_500,,,,,0.009,46.357,0.011,0.01,0.0,0.026,0.055,0.193,0.432,0.876,,,
baseline_jordan_1016_1830,jordan,dorothea_100_500,,,,,0.015,43.546,0.011,0.01,0.0,0.02,0.068,0.247,0.451,0.893,,,
baseline_jordan_1016_2203,jordan,dorothea_100_500,,,,,0.015,43.546,0.011,0.01,0.0,0.02,0.068,0.247,0.451,0.893,,,
baseline_jordan_1017_0256,jordan,dorothea_100_500,,,,,0.015,43.546,0.011,0.01,0.0,0.02,0.068,0.247,0.451,0.893,,,
baseline_jordan_1017_0653,jordan,dorothea_100_500,,,,,0.015,43.546,0.011,0.01,0.0,0.02,0.068,0.247,0.451,0.893,,,
baseline_jordan_1017_1016,jordan,dorothea_100_500,,,,,0.015,43.546,0.011,0.01,0.0,0.02,0.068,0.247,0.451,0.893,,,
baseline_overlap_1016_1830,overlap,dorothea_100_500,,,,,0.012,43.962,0.011,0.01,0.0,0.107,0.061,0.227,0.47,0.908,,,
baseline_overlap_1016_2203,overlap,dorothea_100_500,,,,,0.012,43.962,0.011,0.01,0.0,0.107,0.061,0.227,0.47,0.908,,,
baseline_overlap_1017_0256,overlap,dorothea_100_500,,,,,0.012,43.962,0.011,0.01,0.0,0.107,0.061,0.227,0.47,0.908,,,
baseline_overlap_1017_0653,overlap,dorothea_100_500,,,,,0.012,43.962,0.011,0.01,0.0,0.107,0.061,0.227,0.47,0.908,,,
baseline_overlap_1017_1016,overlap,dorothea_100_500,,,,,0.012,43.962,0.011,0.01,0.0,0.107,0.061,0.227,0.47,0.908,,,
baseline_random_1016_1830,random,dorothea_100_500,,,,,0.008,52.266,0.009,0.01,0.0,0.024,0.049,0.173,0.37,0.768,,,
baseline_random_1016_2203,random,dorothea_100_500,,,,,0.008,52.266,0.009,0.01,0.0,0.024,0.049,0.173,0.37,0.768,,,
baseline_random_1017_0256,random,dorothea_100_500,,,,,0.008,52.266,0.009,0.01,0.0,0.024,0.049,0.173,0.37,0.768,,,
baseline_random_1017_0653,random,dorothea_100_500,,,,,0.008,52.266,0.009,0.01,0.0,0.024,0.049,0.173,0.37,0.768,,,
baseline_random_1017_1016,random,dorothea_100_500,,,,,0.008,52.266,0.009,0.01,0.0,0.024,0.049,0.173,0.37,0.768,,,
baseline_smallestSuperset_1016_1830,smallestSuperset,dorothea_100_500,,,,,0.012,44.138,0.011,0.01,0.0,0.012,0.061,0.227,0.47,0.905,,,
baseline_smallestSuperset_1016_2203,smallestSuperset,dorothea_100_500,,,,,0.012,44.138,0.011,0.01,0.0,0.012,0.061,0.227,0.47,0.905,,,
baseline_smallestSuperset_1017_0256,smallestSuperset,dorothea_100_500,,,,,0.012,44.138,0.011,0.01,0.0,0.012,0.061,0.227,0.47,0.905,,,
baseline_smallestSuperset_1017_0653,smallestSuperset,dorothea_100_500,,,,,0.012,44.138,0.011,0.01,0.0,0.012,0.061,0.227,0.47,0.905,,,
baseline_smallestSuperset_1017_1016,smallestSuperset,dorothea_100_500,,,,,0.012,44.138,0.011,0.01,0.0,0.012,0.061,0.227,0.47,0.905,,,
gat_1016_1833,gat,dorothea_100_500,100.0,89.0,1.0,0.862,0.007,49.592,0.096,0.096,0.055,0.116,0.058,0.178,0.391,0.812,"{'IRF3': {'gene_name': 'IRF3', 'gene_index': 37, 'total_samples': 740, 'times_true_source': 10, 'times_predicted_source': 0, 'correct_predictions': 0, 'avg_prediction_prob': 0.092, 'avg_rank': 0.0, 'in_top20_count': 0, 'in_top40_count': 0, 'in_top80_count': 0, 'avg_rank_when_true': 80.9, 'avg_prob_when_true': 0.092, 'in_top20_when_true': 0, 'in_top40_when_true': 0, 'in_top80_when_true': 0, 'accuracy_when_true': 0.0, 'precision': None, 'recall': 0.0, 'f1_score': None}, 'ATF7': {'gene_name': 'ATF7', 'gene_index': 3, 'total_samples': 740, 'times_true_source': 8, 'times_predicted_source': 0, 'correct_predictions': 0, 'avg_prediction_prob': 0.094, 'avg_rank': 0.0, 'in_top20_count': 0, 'in_top40_count': 0, 'in_top80_count': 0, 'avg_rank_when_true': 64.625, 'avg_prob_when_true': 0.094, 'in_top20_when_true': 0, 'in_top40_when_true': 0, 'in_top80_when_true': 8, 'accuracy_when_true': 0.0, 'precision': None, 'recall': 0.0, 'f1_score': None}, 'MYC': {'gene_name': 'MYC', 'gene_index': 50, 'total_samples': 740, 'times_true_source': 5, 'times_predicted_source': 0, 'correct_predictions': 0, 'avg_prediction_prob': 0.099, 'avg_rank': 0.0, 'in_top20_count': 0, 'in_top40_count': 0, 'in_top80_count': 0, 'avg_rank_when_true': 23.0, 'avg_prob_when_true': 0.099, 'in_top20_when_true': 1, 'in_top40_when_true': 5, 'in_top80_when_true': 5, 'accuracy_when_true': 0.0, 'precision': None, 'recall': 0.0, 'f1_score': None}}",,
