filename,model_type,network,num_nodes,num_possible_sources,avg_num_sources,avg_portion_affected,accuracy,avg rank of source,avg prediction for source,avg prediction over all nodes,min prediction over all nodes,max prediction over all nodes,source in top 5,source in top 20,source in top 40,source in top 80,gene_specific_metrics,pdgrapher_perturbation_discovery,pdgrapher_response_prediction
baseline_advanced_random_1016_1808,advanced_random,dorothea_100_1000,,,,,0.016,47.48,0.01,0.01,0.0,0.024,0.059,0.212,0.431,0.825,,,
baseline_advanced_random_1016_2202,advanced_random,dorothea_100_1000,,,,,0.016,47.48,0.01,0.01,0.0,0.024,0.059,0.212,0.431,0.825,,,
baseline_advanced_random_1017_0256,advanced_random,dorothea_100_1000,,,,,0.016,47.48,0.01,0.01,0.0,0.024,0.059,0.212,0.431,0.825,,,
baseline_advanced_random_1017_0653,advanced_random,dorothea_100_1000,,,,,0.016,47.48,0.01,0.01,0.0,0.024,0.059,0.212,0.431,0.825,,,
baseline_advanced_random_1017_1015,advanced_random,dorothea_100_1000,,,,,0.016,47.48,0.01,0.01,0.0,0.024,0.059,0.212,0.431,0.825,,,
baseline_jordan_1016_1808,jordan,dorothea_100_1000,,,,,0.014,47.29,0.011,0.01,0.0,1.0,0.059,0.245,0.416,0.824,,,
baseline_jordan_1016_2202,jordan,dorothea_100_1000,,,,,0.014,47.29,0.011,0.01,0.0,1.0,0.059,0.245,0.416,0.824,,,
baseline_jordan_1017_0256,jordan,dorothea_100_1000,,,,,0.014,47.29,0.011,0.01,0.0,1.0,0.059,0.245,0.416,0.824,,,
baseline_jordan_1017_0652,jordan,dorothea_100_1000,,,,,0.014,47.29,0.011,0.01,0.0,1.0,0.059,0.245,0.416,0.824,,,
baseline_jordan_1017_1015,jordan,dorothea_100_1000,,,,,0.014,47.29,0.011,0.01,0.0,1.0,0.059,0.245,0.416,0.824,,,
baseline_overlap_1016_1808,overlap,dorothea_100_1000,,,,,0.014,47.649,0.01,0.01,0.01,0.01,0.055,0.229,0.414,0.833,,,
