filename,model_type,network,num_nodes,num_possible_sources,avg_num_sources,avg_portion_affected,accuracy,avg rank of source,avg prediction for source,avg prediction over all nodes,min prediction over all nodes,max prediction over all nodes,source in top 5,source in top 20,source in top 40,source in top 80,gene_specific_metrics,pdgrapher_perturbation_discovery,pdgrapher_response_prediction
baseline_advanced_random_1016_1808,advanced_random,dorothea_100_150,,,,,0.0,48.02,0.01,0.01,0.0,0.023,0.063,0.217,0.409,0.843,,,
baseline_advanced_random_1016_2202,advanced_random,dorothea_100_150,,,,,0.0,48.02,0.01,0.01,0.0,0.023,0.063,0.217,0.409,0.843,,,
baseline_advanced_random_1017_0255,advanced_random,dorothea_100_150,,,,,0.0,48.02,0.01,0.01,0.0,0.023,0.063,0.217,0.409,0.843,,,
baseline_advanced_random_1017_0652,advanced_random,dorothea_100_150,,,,,0.0,48.02,0.01,0.01,0.0,0.023,0.063,0.217,0.409,0.843,,,
baseline_advanced_random_1017_1015,advanced_random,dorothea_100_150,,,,,0.0,48.02,0.01,0.01,0.0,0.023,0.063,0.217,0.409,0.843,,,
baseline_jordan_1016_1808,jordan,dorothea_100_150,,,,,0.008,44.083,0.012,0.01,0.0,1.0,0.055,0.236,0.461,0.878,,,
baseline_jordan_1016_2202,jordan,dorothea_100_150,,,,,0.008,44.083,0.012,0.01,0.0,1.0,0.055,0.236,0.461,0.878,,,
baseline_jordan_1017_0255,jordan,dorothea_100_150,,,,,0.008,44.083,0.012,0.01,0.0,1.0,0.055,0.236,0.461,0.878,,,
baseline_jordan_1017_0652,jordan,dorothea_100_150,,,,,0.008,44.083,0.012,0.01,0.0,1.0,0.055,0.236,0.461,0.878,,,
baseline_jordan_1017_1015,jordan,dorothea_100_150,,,,,0.008,44.083,0.012,0.01,0.0,1.0,0.055,0.236,0.461,0.878,,,
baseline_overlap_1016_1808,overlap,dorothea_100_150,,,,,0.008,44.083,0.012,0.01,0.0,1.0,0.055,0.236,0.461,0.878,,,
baseline_overlap_1016_2202,overlap,dorothea_100_150,,,,,0.008,44.083,0.012,0.01,0.0,1.0,0.055,0.236,0.461,0.878,,,
baseline_overlap_1017_0255,overlap,dorothea_100_150,,,,,0.008,44.083,0.012,0.01,0.0,1.0,0.055,0.236,0.461,0.878,,,
baseline_overlap_1017_0652,overlap,dorothea_100_150,,,,,0.008,44.083,0.012,0.01,0.0,1.0,0.055,0.236,0.461,0.878,,,
baseline_overlap_1017_1015,overlap,dorothea_100_150,,,,,0.008,44.083,0.012,0.01,0.0,1.0,0.055,0.236,0.461,0.878,,,
baseline_random_1016_1808,random,dorothea_100_150,,,,,0.0,48.02,0.01,0.01,0.0,0.023,0.063,0.217,0.409,0.843,,,
baseline_random_1016_2202,random,dorothea_100_150,,,,,0.0,48.02,0.01,0.01,0.0,0.023,0.063,0.217,0.409,0.843,,,
baseline_random_1017_0255,random,dorothea_100_150,,,,,0.0,48.02,0.01,0.01,0.0,0.023,0.063,0.217,0.409,0.843,,,
baseline_random_1017_0652,random,dorothea_100_150,,,,,0.0,48.02,0.01,0.01,0.0,0.023,0.063,0.217,0.409,0.843,,,
baseline_random_1017_1015,random,dorothea_100_150,,,,,0.0,48.02,0.01,0.01,0.0,0.023,0.063,0.217,0.409,0.843,,,
baseline_smallestSuperset_1016_1808,smallestSuperset,dorothea_100_150,,,,,0.0,49.465,0.008,0.01,0.0,1.0,0.039,0.181,0.362,0.799,,,
baseline_smallestSuperset_1016_2202,smallestSuperset,dorothea_100_150,,,,,0.0,49.465,0.008,0.01,0.0,1.0,0.039,0.181,0.362,0.799,,,
baseline_smallestSuperset_1017_0255,smallestSuperset,dorothea_100_150,,,,,0.0,49.465,0.008,0.01,0.0,1.0,0.039,0.181,0.362,0.799,,,
baseline_smallestSuperset_1017_0652,smallestSuperset,dorothea_100_150,,,,,0.0,49.465,0.008,0.01,0.0,1.0,0.039,0.181,0.362,0.799,,,
baseline_smallestSuperset_1017_1015,smallestSuperset,dorothea_100_150,,,,,0.0,49.465,0.008,0.01,0.0,1.0,0.039,0.181,0.362,0.799,,,
