filename,model_type,network,num_nodes,num_possible_sources,avg_num_sources,avg_portion_affected,accuracy,avg rank of source,avg prediction for source,avg prediction over all nodes,min prediction over all nodes,max prediction over all nodes,source in top 5,source in top 20,source in top 40,source in top 80,gene_specific_metrics,pdgrapher_perturbation_discovery,pdgrapher_response_prediction
baseline_advanced_random_1016_1830,advanced_random,dorothea_100_500,,,,,0.008,52.266,0.009,0.01,0.0,0.024,0.049,0.173,0.37,0.768,,,
baseline_advanced_random_1016_2202,advanced_random,dorothea_100_500,,,,,0.008,52.266,0.009,0.01,0.0,0.024,0.049,0.173,0.37,0.768,,,
baseline_advanced_random_1017_0256,advanced_random,dorothea_100_500,,,,,0.008,52.266,0.009,0.01,0.0,0.024,0.049,0.173,0.37,0.768,,,
baseline_advanced_random_1017_0652,advanced_random,dorothea_100_500,,,,,0.008,52.266,0.009,0.01,0.0,0.024,0.049,0.173,0.37,0.768,,,
baseline_advanced_random_1017_1015,advanced_random,dorothea_100_500,,,,,0.008,52.266,0.009,0.01,0.0,0.024,0.049,0.173,0.37,0.768,,,
baseline_jordan_1016_1830,jordan,dorothea_100_500,,,,,0.009,51.162,0.009,0.01,0.0,0.333,0.042,0.186,0.386,0.769,,,
baseline_jordan_1016_2202,jordan,dorothea_100_500,,,,,0.009,51.162,0.009,0.01,0.0,0.333,0.042,0.186,0.386,0.769,,,
baseline_jordan_1017_0256,jordan,dorothea_100_500,,,,,0.009,51.162,0.009,0.01,0.0,0.333,0.042,0.186,0.386,0.769,,,
baseline_jordan_1017_0652,jordan,dorothea_100_500,,,,,0.009,51.162,0.009,0.01,0.0,0.333,0.042,0.186,0.386,0.769,,,
baseline_jordan_1017_1015,jordan,dorothea_100_500,,,,,0.009,51.162,0.009,0.01,0.0,0.333,0.042,0.186,0.386,0.769,,,
baseline_overlap_1016_1830,overlap,dorothea_100_500,,,,,0.009,51.162,0.009,0.01,0.0,0.333,0.042,0.186,0.386,0.769,,,
baseline_overlap_1016_2202,overlap,dorothea_100_500,,,,,0.009,51.162,0.009,0.01,0.0,0.333,0.042,0.186,0.386,0.769,,,
baseline_overlap_1017_0256,overlap,dorothea_100_500,,,,,0.009,51.162,0.009,0.01,0.0,0.333,0.042,0.186,0.386,0.769,,,
baseline_overlap_1017_0652,overlap,dorothea_100_500,,,,,0.009,51.162,0.009,0.01,0.0,0.333,0.042,0.186,0.386,0.769,,,
baseline_overlap_1017_1015,overlap,dorothea_100_500,,,,,0.009,51.162,0.009,0.01,0.0,0.333,0.042,0.186,0.386,0.769,,,
baseline_random_1016_1830,random,dorothea_100_500,,,,,0.008,52.266,0.009,0.01,0.0,0.024,0.049,0.173,0.37,0.768,,,
baseline_random_1016_2202,random,dorothea_100_500,,,,,0.008,52.266,0.009,0.01,0.0,0.024,0.049,0.173,0.37,0.768,,,
baseline_random_1017_0256,random,dorothea_100_500,,,,,0.008,52.266,0.009,0.01,0.0,0.024,0.049,0.173,0.37,0.768,,,
