filename,model_type,network,num_nodes,num_possible_sources,avg_num_sources,avg_portion_affected,accuracy,avg rank of source,avg prediction for source,avg prediction over all nodes,min prediction over all nodes,max prediction over all nodes,source in top 5,source in top 20,source in top 40,source in top 80,gene_specific_metrics,pdgrapher_perturbation_discovery,pdgrapher_response_prediction
baseline_advanced_random_1017_1045,advanced_random,dorothea_100_500,,,,,0.012,43.893,0.011,0.01,0.0,0.028,0.048,0.214,0.456,0.907,,,
baseline_advanced_random_1017_1952,advanced_random,dorothea_100_500,,,,,0.012,43.893,0.011,0.01,0.0,0.028,0.048,0.214,0.456,0.907,,,
baseline_jordan_1017_1045,jordan,dorothea_100_500,,,,,0.01,44.031,0.011,0.01,0.0,0.023,0.057,0.22,0.449,0.899,,,
baseline_jordan_1017_1952,jordan,dorothea_100_500,,,,,0.01,44.031,0.011,0.01,0.0,0.023,0.057,0.22,0.449,0.899,,,
baseline_overlap_1017_1045,overlap,dorothea_100_500,,,,,0.013,43.646,0.011,0.01,0.0,0.063,0.056,0.228,0.454,0.9,,,
baseline_overlap_1017_1952,overlap,dorothea_100_500,,,,,0.013,43.646,0.011,0.01,0.0,0.063,0.056,0.228,0.454,0.9,,,
baseline_random_1017_1045,random,dorothea_100_500,,,,,0.01,49.409,0.01,0.01,0.0,0.025,0.04,0.194,0.402,0.797,,,
baseline_random_1017_1952,random,dorothea_100_500,,,,,0.01,49.409,0.01,0.01,0.0,0.025,0.04,0.194,0.402,0.797,,,
baseline_smallestSuperset_1017_1045,smallestSuperset,dorothea_100_500,,,,,0.013,43.767,0.011,0.01,0.0,0.012,0.056,0.228,0.454,0.901,,,
baseline_smallestSuperset_1017_1952,smallestSuperset,dorothea_100_500,,,,,0.013,43.767,0.011,0.01,0.0,0.012,0.056,0.228,0.454,0.901,,,
gat_1017_1048,gat,dorothea_100_500,100.0,89.0,1.0,0.852,0.01,47.439,0.092,0.092,0.081,0.121,0.05,0.211,0.424,0.828,"{'IRF3': {'gene_name': 'IRF3', 'gene_index': 37, 'total_samples': 2421, 'times_true_source': 33, 'times_predicted_source': 0, 'correct_predictions': 0, 'avg_prediction_prob': 0.087, 'avg_rank': 0.0, 'in_top20_count': 0, 'in_top40_count': 0, 'in_top80_count': 0, 'avg_rank_when_true': 84.909, 'avg_prob_when_true': 0.087, 'in_top20_when_true': 0, 'in_top40_when_true': 0, 'in_top80_when_true': 0, 'accuracy_when_true': 0.0, 'precision': None, 'recall': 0.0, 'f1_score': None}, 'ATF7': {'gene_name': 'ATF7', 'gene_index': 3, 'total_samples': 2421, 'times_true_source': 32, 'times_predicted_source': 0, 'correct_predictions': 0, 'avg_prediction_prob': 0.088, 'avg_rank': 0.0, 'in_top20_count': 0, 'in_top40_count': 0, 'in_top80_count': 0, 'avg_rank_when_true': 70.438, 'avg_prob_when_true': 0.088, 'in_top20_when_true': 0, 'in_top40_when_true': 0, 'in_top80_when_true': 29, 'accuracy_when_true': 0.0, 'precision': None, 'recall': 0.0, 'f1_score': None}, 'MYC': {'gene_name': 'MYC', 'gene_index': 50, 'total_samples': 2421, 'times_true_source': 32, 'times_predicted_source': 0, 'correct_predictions': 0, 'avg_prediction_prob': 0.095, 'avg_rank': 0.0, 'in_top20_count': 0, 'in_top40_count': 0, 'in_top80_count': 0, 'avg_rank_when_true': 23.031, 'avg_prob_when_true': 0.095, 'in_top20_when_true': 0, 'in_top40_when_true': 32, 'in_top80_when_true': 32, 'accuracy_when_true': 0.0, 'precision': None, 'recall': 0.0, 'f1_score': None}}",,
gat_1017_1957,gat,dorothea_100_500,100.0,89.0,1.0,0.852,0.012,47.818,0.094,0.094,0.084,0.14,0.05,0.205,0.41,0.827,"{'IRF3': {'gene_name': 'IRF3', 'gene_index': 37, 'total_samples': 2421, 'times_true_source': 33, 'times_predicted_source': 0, 'correct_predictions': 0, 'avg_prediction_prob': 0.089, 'avg_rank': 0.0, 'in_top20_count': 0, 'in_top40_count': 0, 'in_top80_count': 0, 'avg_rank_when_true': 84.545, 'avg_prob_when_true': 0.089, 'in_top20_when_true': 0, 'in_top40_when_true': 0, 'in_top80_when_true': 0, 'accuracy_when_true': 0.0, 'precision': None, 'recall': 0.0, 'f1_score': None}, 'ATF7': {'gene_name': 'ATF7', 'gene_index': 3, 'total_samples': 2421, 'times_true_source': 32, 'times_predicted_source': 0, 'correct_predictions': 0, 'avg_prediction_prob': 0.09, 'avg_rank': 0.0, 'in_top20_count': 0, 'in_top40_count': 0, 'in_top80_count': 0, 'avg_rank_when_true': 71.844, 'avg_prob_when_true': 0.09, 'in_top20_when_true': 0, 'in_top40_when_true': 0, 'in_top80_when_true': 31, 'accuracy_when_true': 0.0, 'precision': None, 'recall': 0.0, 'f1_score': None}, 'MYC': {'gene_name': 'MYC', 'gene_index': 50, 'total_samples': 2421, 'times_true_source': 32, 'times_predicted_source': 0, 'correct_predictions': 0, 'avg_prediction_prob': 0.096, 'avg_rank': 0.0, 'in_top20_count': 0, 'in_top40_count': 0, 'in_top80_count': 0, 'avg_rank_when_true': 24.156, 'avg_prob_when_true': 0.096, 'in_top20_when_true': 0, 'in_top40_when_true': 32, 'in_top80_when_true': 32, 'accuracy_when_true': 0.0, 'precision': None, 'recall': 0.0, 'f1_score': None}}",,
pdgrapher_1017_1110,pdgrapher,dorothea_100_500,100.0,89.0,1.0,0.852,0.026,46.131,-1.544,-1.978,-12.668,78.97,0.085,0.255,0.438,0.822,"{'IRF3': {'gene_name': 'IRF3', 'gene_index': 37, 'total_samples': 2421, 'times_true_source': 33, 'times_predicted_source': 34, 'correct_predictions': 1, 'avg_prediction_prob': -2.129, 'avg_rank': 0.0, 'in_top20_count': 0, 'in_top40_count': 0, 'in_top80_count': 0, 'avg_rank_when_true': 52.091, 'avg_prob_when_true': -1.778, 'in_top20_when_true': 8, 'in_top40_when_true': 12, 'in_top80_when_true': 24, 'accuracy_when_true': 0.03, 'precision': 0.029, 'recall': 0.03, 'f1_score': 0.03}, 'ATF7': {'gene_name': 'ATF7', 'gene_index': 3, 'total_samples': 2421, 'times_true_source': 32, 'times_predicted_source': 5, 'correct_predictions': 0, 'avg_prediction_prob': -2.027, 'avg_rank': 0.0, 'in_top20_count': 0, 'in_top40_count': 0, 'in_top80_count': 0, 'avg_rank_when_true': 32.75, 'avg_prob_when_true': -1.896, 'in_top20_when_true': 9, 'in_top40_when_true': 22, 'in_top80_when_true': 32, 'accuracy_when_true': 0.0, 'precision': 0.0, 'recall': 0.0, 'f1_score': None}, 'MYC': {'gene_name': 'MYC', 'gene_index': 50, 'total_samples': 2421, 'times_true_source': 32, 'times_predicted_source': 4, 'correct_predictions': 2, 'avg_prediction_prob': -2.056, 'avg_rank': 0.0, 'in_top20_count': 0, 'in_top40_count': 0, 'in_top80_count': 0, 'avg_rank_when_true': 33.938, 'avg_prob_when_true': -1.462, 'in_top20_when_true': 6, 'in_top40_when_true': 21, 'in_top80_when_true': 32, 'accuracy_when_true': 0.062, 'precision': 0.5, 'recall': 0.062, 'f1_score': 0.111}}","{'recall@1': 0.0095, 'recall@10': 0.0967, 'recall@100': 1.0, 'recall@1000': 1.0, 'ranking_score': 0.5121, 'ranking_score_dcg': 0.1254, 'perc_partially_accurate_predictions': 0.95, 'recall@1_std': 0.097, 'recall@10_std': 0.2955, 'recall@100_std': 0.0, 'recall@1000_std': 0.0, 'ranking_score_std': 0.2875, 'ranking_score_dcg_std': 0.1376, 'perc_partially_accurate_predictions_std': 9.7, 'total_samples': 2421, 'avg_topk': 51.2135}","{'forward_mae': -1, 'forward_mse': -1, 'forward_r2': -1, 'forward_r2_scgen': -1, 'forward_spearman': -1, 'backward_mae': -1, 'backward_mse': -1, 'backward_r2': -1, 'backward_r2_scgen': -1, 'backward_spearman': -1, 'backward_avg_topk': -1}"
pdgrapher_1017_2003,pdgrapher,dorothea_100_500,100.0,89.0,1.0,0.852,0.024,49.045,-2.574,-2.681,-7.019,6.713,0.067,0.208,0.408,0.807,"{'IRF3': {'gene_name': 'IRF3', 'gene_index': 37, 'total_samples': 2421, 'times_true_source': 33, 'times_predicted_source': 10, 'correct_predictions': 0, 'avg_prediction_prob': -2.672, 'avg_rank': 0.0, 'in_top20_count': 0, 'in_top40_count': 0, 'in_top80_count': 0, 'avg_rank_when_true': 37.152, 'avg_prob_when_true': -2.456, 'in_top20_when_true': 9, 'in_top40_when_true': 17, 'in_top80_when_true': 32, 'accuracy_when_true': 0.0, 'precision': 0.0, 'recall': 0.0, 'f1_score': None}, 'ATF7': {'gene_name': 'ATF7', 'gene_index': 3, 'total_samples': 2421, 'times_true_source': 32, 'times_predicted_source': 5, 'correct_predictions': 0, 'avg_prediction_prob': -2.566, 'avg_rank': 0.0, 'in_top20_count': 0, 'in_top40_count': 0, 'in_top80_count': 0, 'avg_rank_when_true': 32.406, 'avg_prob_when_true': -2.562, 'in_top20_when_true': 8, 'in_top40_when_true': 23, 'in_top80_when_true': 32, 'accuracy_when_true': 0.0, 'precision': 0.0, 'recall': 0.0, 'f1_score': None}, 'MYC': {'gene_name': 'MYC', 'gene_index': 50, 'total_samples': 2421, 'times_true_source': 32, 'times_predicted_source': 0, 'correct_predictions': 0, 'avg_prediction_prob': -3.174, 'avg_rank': 0.0, 'in_top20_count': 0, 'in_top40_count': 0, 'in_top80_count': 0, 'avg_rank_when_true': 74.812, 'avg_prob_when_true': -3.176, 'in_top20_when_true': 0, 'in_top40_when_true': 0, 'in_top80_when_true': 20, 'accuracy_when_true': 0.0, 'precision': None, 'recall': 0.0, 'f1_score': None}}","{'recall@1': 0.0165, 'recall@10': 0.0967, 'recall@100': 1.0, 'recall@1000': 1.0, 'ranking_score': 0.4887, 'ranking_score_dcg': 0.1239, 'perc_partially_accurate_predictions': 1.65, 'recall@1_std': 0.1275, 'recall@10_std': 0.2955, 'recall@100_std': 0.0, 'recall@1000_std': 0.0, 'ranking_score_std': 0.2892, 'ranking_score_dcg_std': 0.1551, 'perc_partially_accurate_predictions_std': 12.75, 'total_samples': 2421, 'avg_topk': 48.8732}","{'forward_mae': -1, 'forward_mse': -1, 'forward_r2': -1, 'forward_r2_scgen': -1, 'forward_spearman': -1, 'backward_mae': -1, 'backward_mse': -1, 'backward_r2': -1, 'backward_r2_scgen': -1, 'backward_spearman': -1, 'backward_avg_topk': -1}"
