filename,model_type,network,num_nodes,num_possible_sources,avg_num_sources,avg_portion_affected,accuracy,avg rank of source,avg prediction for source,avg prediction over all nodes,min prediction over all nodes,max prediction over all nodes,source in top 5,source in top 20,source in top 40,source in top 80,gene_specific_metrics,pdgrapher_perturbation_discovery,pdgrapher_response_prediction
baseline_advanced_random_1017_1025,advanced_random,dorothea_100_500,,,,,0.012,44.634,0.011,0.01,0.0,0.028,0.052,0.222,0.436,0.896,,,
baseline_advanced_random_1017_1952,advanced_random,dorothea_100_500,,,,,0.012,44.634,0.011,0.01,0.0,0.028,0.052,0.222,0.436,0.896,,,
baseline_jordan_1017_1025,jordan,dorothea_100_500,,,,,0.2,16.079,0.057,0.01,0.0,1.0,0.389,0.698,0.881,0.993,,,
baseline_jordan_1017_1952,jordan,dorothea_100_500,,,,,0.2,16.079,0.057,0.01,0.0,1.0,0.389,0.698,0.881,0.993,,,
baseline_overlap_1017_1025,overlap,dorothea_100_500,,,,,0.05,39.92,0.011,0.01,0.0,0.041,0.093,0.261,0.494,0.948,,,
baseline_overlap_1017_1952,overlap,dorothea_100_500,,,,,0.05,39.92,0.011,0.01,0.0,0.041,0.093,0.261,0.494,0.948,,,
baseline_random_1017_1025,random,dorothea_100_500,,,,,0.011,50.271,0.01,0.01,0.0,0.025,0.047,0.197,0.386,0.784,,,
baseline_random_1017_1952,random,dorothea_100_500,,,,,0.011,50.271,0.01,0.01,0.0,0.025,0.047,0.197,0.386,0.784,,,
baseline_smallestSuperset_1017_1025,smallestSuperset,dorothea_100_500,,,,,0.05,39.89,0.054,0.01,0.0,1.0,0.093,0.262,0.495,0.953,,,
baseline_smallestSuperset_1017_1952,smallestSuperset,dorothea_100_500,,,,,0.05,39.89,0.054,0.01,0.0,1.0,0.093,0.262,0.495,0.953,,,
